game,2013,16,20131222,201312220kan,clt,"Indianapolis Colts",23,kan,"Kansas City Chiefs",7
team,201312220kan,clt,First Downs,19,,,,,,
team,201312220kan,kan,First Downs,18,,,,,,
team,201312220kan,clt,Rush-Yds-TDs,34-135-1,,,,,,
team,201312220kan,kan,Rush-Yds-TDs,20-155-1,,,,,,
team,201312220kan,clt,Cmp-Att-Yd-TD-INT,26-37-241-1-0,,,,,,
team,201312220kan,kan,Cmp-Att-Yd-TD-INT,16-28-153-0-1,,,,,,
team,201312220kan,clt,Sacked-Yards,1-9,,,,,,
team,201312220kan,kan,Sacked-Yards,5-21,,,,,,
team,201312220kan,clt,Net Pass Yards,232,,,,,,
team,201312220kan,kan,Net Pass Yards,132,,,,,,
team,201312220kan,clt,Total Yards,367,,,,,,
team,201312220kan,kan,Total Yards,287,,,,,,
team,201312220kan,clt,Fumbles-Lost,1-0,,,,,,
team,201312220kan,kan,Fumbles-Lost,5-2,,,,,,
team,201312220kan,clt,Turnovers,0,,,,,,
team,201312220kan,kan,Turnovers,3,,,,,,
team,201312220kan,clt,Penalties-Yards,3-31,,,,,,
team,201312220kan,kan,Penalties-Yards,7-65,,,,,,
team,201312220kan,clt,Third Down Conv.,7-18,,,,,,
team,201312220kan,kan,Third Down Conv.,1-8,,,,,,
team,201312220kan,clt,Fourth Down Conv.,1-1,,,,,,
team,201312220kan,kan,Fourth Down Conv.,1-1,,,,,,
team,201312220kan,clt,Time of Possession,38:20,,,,,,
team,201312220kan,kan,Time of Possession,21:40,,,,,,
player,201312220kan,clt,LuckAn00,pass_cmp,26,,,,,
player,201312220kan,clt,LuckAn00,pass_att,37,,,,,
player,201312220kan,clt,LuckAn00,pass_yds,241,,,,,
player,201312220kan,clt,LuckAn00,pass_td,1,,,,,
player,201312220kan,clt,LuckAn00,pass_int,0,,,,,
player,201312220kan,clt,LuckAn00,pass_sacked,1,,,,,
player,201312220kan,clt,LuckAn00,pass_sacked_yds,9,,,,,
player,201312220kan,clt,LuckAn00,pass_long,33,,,,,
player,201312220kan,clt,LuckAn00,pass_rating,96.8,,,,,
player,201312220kan,clt,LuckAn00,rush_att,6,,,,,
player,201312220kan,clt,LuckAn00,rush_yds,5,,,,,
player,201312220kan,clt,LuckAn00,rush_td,0,,,,,
player,201312220kan,clt,LuckAn00,rush_long,4,,,,,
player,201312220kan,clt,LuckAn00,targets,0,,,,,
player,201312220kan,clt,LuckAn00,rec,0,,,,,
player,201312220kan,clt,LuckAn00,rec_yds,0,,,,,
player,201312220kan,clt,LuckAn00,rec_td,0,,,,,
player,201312220kan,clt,LuckAn00,rec_long,0,,,,,
player,201312220kan,clt,LuckAn00,fumbles,0,,,,,
player,201312220kan,clt,LuckAn00,fumbles_lost,0,,,,,
player,201312220kan,clt,BrowDo00,pass_cmp,0,,,,,
player,201312220kan,clt,BrowDo00,pass_att,0,,,,,
player,201312220kan,clt,BrowDo00,pass_yds,0,,,,,
player,201312220kan,clt,BrowDo00,pass_td,0,,,,,
player,201312220kan,clt,BrowDo00,pass_int,0,,,,,
player,201312220kan,clt,BrowDo00,pass_sacked,0,,,,,
player,201312220kan,clt,BrowDo00,pass_sacked_yds,0,,,,,
player,201312220kan,clt,BrowDo00,pass_long,0,,,,,
player,201312220kan,clt,BrowDo00,pass_rating,,,,,,
player,201312220kan,clt,BrowDo00,rush_att,10,,,,,
player,201312220kan,clt,BrowDo00,rush_yds,79,,,,,
player,201312220kan,clt,BrowDo00,rush_td,1,,,,,
player,201312220kan,clt,BrowDo00,rush_long,51,,,,,
player,201312220kan,clt,BrowDo00,targets,3,,,,,
player,201312220kan,clt,BrowDo00,rec,2,,,,,
player,201312220kan,clt,BrowDo00,rec_yds,31,,,,,
player,201312220kan,clt,BrowDo00,rec_td,1,,,,,
player,201312220kan,clt,BrowDo00,rec_long,33,,,,,
player,201312220kan,clt,BrowDo00,fumbles,0,,,,,
player,201312220kan,clt,BrowDo00,fumbles_lost,0,,,,,
player,201312220kan,clt,RichTr00,pass_cmp,0,,,,,
player,201312220kan,clt,RichTr00,pass_att,0,,,,,
player,201312220kan,clt,RichTr00,pass_yds,0,,,,,
player,201312220kan,clt,RichTr00,pass_td,0,,,,,
player,201312220kan,clt,RichTr00,pass_int,0,,,,,
player,201312220kan,clt,RichTr00,pass_sacked,0,,,,,
player,201312220kan,clt,RichTr00,pass_sacked_yds,0,,,,,
player,201312220kan,clt,RichTr00,pass_long,0,,,,,
player,201312220kan,clt,RichTr00,pass_rating,,,,,,
player,201312220kan,clt,RichTr00,rush_att,16,,,,,
player,201312220kan,clt,RichTr00,rush_yds,43,,,,,
player,201312220kan,clt,RichTr00,rush_td,0,,,,,
player,201312220kan,clt,RichTr00,rush_long,6,,,,,
player,201312220kan,clt,RichTr00,targets,5,,,,,
player,201312220kan,clt,RichTr00,rec,3,,,,,
player,201312220kan,clt,RichTr00,rec_yds,15,,,,,
player,201312220kan,clt,RichTr00,rec_td,0,,,,,
player,201312220kan,clt,RichTr00,rec_long,9,,,,,
player,201312220kan,clt,RichTr00,fumbles,0,,,,,
player,201312220kan,clt,RichTr00,fumbles_lost,0,,,,,
player,201312220kan,clt,ChoiTa00,pass_cmp,0,,,,,
player,201312220kan,clt,ChoiTa00,pass_att,0,,,,,
player,201312220kan,clt,ChoiTa00,pass_yds,0,,,,,
player,201312220kan,clt,ChoiTa00,pass_td,0,,,,,
player,201312220kan,clt,ChoiTa00,pass_int,0,,,,,
player,201312220kan,clt,ChoiTa00,pass_sacked,0,,,,,
player,201312220kan,clt,ChoiTa00,pass_sacked_yds,0,,,,,
player,201312220kan,clt,ChoiTa00,pass_long,0,,,,,
player,201312220kan,clt,ChoiTa00,pass_rating,,,,,,
player,201312220kan,clt,ChoiTa00,rush_att,1,,,,,
player,201312220kan,clt,ChoiTa00,rush_yds,8,,,,,
player,201312220kan,clt,ChoiTa00,rush_td,0,,,,,
player,201312220kan,clt,ChoiTa00,rush_long,8,,,,,
player,201312220kan,clt,ChoiTa00,targets,0,,,,,
player,201312220kan,clt,ChoiTa00,rec,0,,,,,
player,201312220kan,clt,ChoiTa00,rec_yds,0,,,,,
player,201312220kan,clt,ChoiTa00,rec_td,0,,,,,
player,201312220kan,clt,ChoiTa00,rec_long,0,,,,,
player,201312220kan,clt,ChoiTa00,fumbles,0,,,,,
player,201312220kan,clt,ChoiTa00,fumbles_lost,0,,,,,
player,201312220kan,clt,WhalGr00,pass_cmp,0,,,,,
player,201312220kan,clt,WhalGr00,pass_att,0,,,,,
player,201312220kan,clt,WhalGr00,pass_yds,0,,,,,
player,201312220kan,clt,WhalGr00,pass_td,0,,,,,
player,201312220kan,clt,WhalGr00,pass_int,0,,,,,
player,201312220kan,clt,WhalGr00,pass_sacked,0,,,,,
player,201312220kan,clt,WhalGr00,pass_sacked_yds,0,,,,,
player,201312220kan,clt,WhalGr00,pass_long,0,,,,,
player,201312220kan,clt,WhalGr00,pass_rating,,,,,,
player,201312220kan,clt,WhalGr00,rush_att,0,,,,,
player,201312220kan,clt,WhalGr00,rush_yds,0,,,,,
player,201312220kan,clt,WhalGr00,rush_td,0,,,,,
player,201312220kan,clt,WhalGr00,rush_long,0,,,,,
player,201312220kan,clt,WhalGr00,targets,8,,,,,
player,201312220kan,clt,WhalGr00,rec,7,,,,,
player,201312220kan,clt,WhalGr00,rec_yds,80,,,,,
player,201312220kan,clt,WhalGr00,rec_td,0,,,,,
player,201312220kan,clt,WhalGr00,rec_long,21,,,,,
player,201312220kan,clt,WhalGr00,fumbles,0,,,,,
player,201312220kan,clt,WhalGr00,fumbles_lost,0,,,,,
player,201312220kan,clt,HiltT.00,pass_cmp,0,,,,,
player,201312220kan,clt,HiltT.00,pass_att,0,,,,,
player,201312220kan,clt,HiltT.00,pass_yds,0,,,,,
player,201312220kan,clt,HiltT.00,pass_td,0,,,,,
player,201312220kan,clt,HiltT.00,pass_int,0,,,,,
player,201312220kan,clt,HiltT.00,pass_sacked,0,,,,,
player,201312220kan,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201312220kan,clt,HiltT.00,pass_long,0,,,,,
player,201312220kan,clt,HiltT.00,pass_rating,,,,,,
player,201312220kan,clt,HiltT.00,rush_att,0,,,,,
player,201312220kan,clt,HiltT.00,rush_yds,0,,,,,
player,201312220kan,clt,HiltT.00,rush_td,0,,,,,
player,201312220kan,clt,HiltT.00,rush_long,0,,,,,
player,201312220kan,clt,HiltT.00,targets,7,,,,,
player,201312220kan,clt,HiltT.00,rec,5,,,,,
player,201312220kan,clt,HiltT.00,rec_yds,52,,,,,
player,201312220kan,clt,HiltT.00,rec_td,0,,,,,
player,201312220kan,clt,HiltT.00,rec_long,31,,,,,
player,201312220kan,clt,HiltT.00,fumbles,0,,,,,
player,201312220kan,clt,HiltT.00,fumbles_lost,0,,,,,
player,201312220kan,clt,RogeDa01,pass_cmp,0,,,,,
player,201312220kan,clt,RogeDa01,pass_att,0,,,,,
player,201312220kan,clt,RogeDa01,pass_yds,0,,,,,
player,201312220kan,clt,RogeDa01,pass_td,0,,,,,
player,201312220kan,clt,RogeDa01,pass_int,0,,,,,
player,201312220kan,clt,RogeDa01,pass_sacked,0,,,,,
player,201312220kan,clt,RogeDa01,pass_sacked_yds,0,,,,,
player,201312220kan,clt,RogeDa01,pass_long,0,,,,,
player,201312220kan,clt,RogeDa01,pass_rating,,,,,,
player,201312220kan,clt,RogeDa01,rush_att,0,,,,,
player,201312220kan,clt,RogeDa01,rush_yds,0,,,,,
player,201312220kan,clt,RogeDa01,rush_td,0,,,,,
player,201312220kan,clt,RogeDa01,rush_long,0,,,,,
player,201312220kan,clt,RogeDa01,targets,6,,,,,
player,201312220kan,clt,RogeDa01,rec,4,,,,,
player,201312220kan,clt,RogeDa01,rec_yds,42,,,,,
player,201312220kan,clt,RogeDa01,rec_td,0,,,,,
player,201312220kan,clt,RogeDa01,rec_long,17,,,,,
player,201312220kan,clt,RogeDa01,fumbles,0,,,,,
player,201312220kan,clt,RogeDa01,fumbles_lost,0,,,,,
player,201312220kan,clt,FleeCo00,pass_cmp,0,,,,,
player,201312220kan,clt,FleeCo00,pass_att,0,,,,,
player,201312220kan,clt,FleeCo00,pass_yds,0,,,,,
player,201312220kan,clt,FleeCo00,pass_td,0,,,,,
player,201312220kan,clt,FleeCo00,pass_int,0,,,,,
player,201312220kan,clt,FleeCo00,pass_sacked,0,,,,,
player,201312220kan,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201312220kan,clt,FleeCo00,pass_long,0,,,,,
player,201312220kan,clt,FleeCo00,pass_rating,,,,,,
player,201312220kan,clt,FleeCo00,rush_att,0,,,,,
player,201312220kan,clt,FleeCo00,rush_yds,0,,,,,
player,201312220kan,clt,FleeCo00,rush_td,0,,,,,
player,201312220kan,clt,FleeCo00,rush_long,0,,,,,
player,201312220kan,clt,FleeCo00,targets,3,,,,,
player,201312220kan,clt,FleeCo00,rec,2,,,,,
player,201312220kan,clt,FleeCo00,rec_yds,8,,,,,
player,201312220kan,clt,FleeCo00,rec_td,0,,,,,
player,201312220kan,clt,FleeCo00,rec_long,6,,,,,
player,201312220kan,clt,FleeCo00,fumbles,1,,,,,
player,201312220kan,clt,FleeCo00,fumbles_lost,0,,,,,
player,201312220kan,clt,SaunWe00,pass_cmp,0,,,,,
player,201312220kan,clt,SaunWe00,pass_att,0,,,,,
player,201312220kan,clt,SaunWe00,pass_yds,0,,,,,
player,201312220kan,clt,SaunWe00,pass_td,0,,,,,
player,201312220kan,clt,SaunWe00,pass_int,0,,,,,
player,201312220kan,clt,SaunWe00,pass_sacked,0,,,,,
player,201312220kan,clt,SaunWe00,pass_sacked_yds,0,,,,,
player,201312220kan,clt,SaunWe00,pass_long,0,,,,,
player,201312220kan,clt,SaunWe00,pass_rating,,,,,,
player,201312220kan,clt,SaunWe00,rush_att,0,,,,,
player,201312220kan,clt,SaunWe00,rush_yds,0,,,,,
player,201312220kan,clt,SaunWe00,rush_td,0,,,,,
player,201312220kan,clt,SaunWe00,rush_long,0,,,,,
player,201312220kan,clt,SaunWe00,targets,2,,,,,
player,201312220kan,clt,SaunWe00,rec,1,,,,,
player,201312220kan,clt,SaunWe00,rec_yds,6,,,,,
player,201312220kan,clt,SaunWe00,rec_td,0,,,,,
player,201312220kan,clt,SaunWe00,rec_long,6,,,,,
player,201312220kan,clt,SaunWe00,fumbles,0,,,,,
player,201312220kan,clt,SaunWe00,fumbles_lost,0,,,,,
player,201312220kan,clt,DoylJa00,pass_cmp,0,,,,,
player,201312220kan,clt,DoylJa00,pass_att,0,,,,,
player,201312220kan,clt,DoylJa00,pass_yds,0,,,,,
player,201312220kan,clt,DoylJa00,pass_td,0,,,,,
player,201312220kan,clt,DoylJa00,pass_int,0,,,,,
player,201312220kan,clt,DoylJa00,pass_sacked,0,,,,,
player,201312220kan,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201312220kan,clt,DoylJa00,pass_long,0,,,,,
player,201312220kan,clt,DoylJa00,pass_rating,,,,,,
player,201312220kan,clt,DoylJa00,rush_att,0,,,,,
player,201312220kan,clt,DoylJa00,rush_yds,0,,,,,
player,201312220kan,clt,DoylJa00,rush_td,0,,,,,
player,201312220kan,clt,DoylJa00,rush_long,0,,,,,
player,201312220kan,clt,DoylJa00,targets,1,,,,,
player,201312220kan,clt,DoylJa00,rec,1,,,,,
player,201312220kan,clt,DoylJa00,rec_yds,6,,,,,
player,201312220kan,clt,DoylJa00,rec_td,0,,,,,
player,201312220kan,clt,DoylJa00,rec_long,6,,,,,
player,201312220kan,clt,DoylJa00,fumbles,0,,,,,
player,201312220kan,clt,DoylJa00,fumbles_lost,0,,,,,
player,201312220kan,clt,HaviSt00,pass_cmp,0,,,,,
player,201312220kan,clt,HaviSt00,pass_att,0,,,,,
player,201312220kan,clt,HaviSt00,pass_yds,0,,,,,
player,201312220kan,clt,HaviSt00,pass_td,0,,,,,
player,201312220kan,clt,HaviSt00,pass_int,0,,,,,
player,201312220kan,clt,HaviSt00,pass_sacked,0,,,,,
player,201312220kan,clt,HaviSt00,pass_sacked_yds,0,,,,,
player,201312220kan,clt,HaviSt00,pass_long,0,,,,,
player,201312220kan,clt,HaviSt00,pass_rating,,,,,,
player,201312220kan,clt,HaviSt00,rush_att,1,,,,,
player,201312220kan,clt,HaviSt00,rush_yds,0,,,,,
player,201312220kan,clt,HaviSt00,rush_td,0,,,,,
player,201312220kan,clt,HaviSt00,rush_long,0,,,,,
player,201312220kan,clt,HaviSt00,targets,1,,,,,
player,201312220kan,clt,HaviSt00,rec,1,,,,,
player,201312220kan,clt,HaviSt00,rec_yds,1,,,,,
player,201312220kan,clt,HaviSt00,rec_td,0,,,,,
player,201312220kan,clt,HaviSt00,rec_long,1,,,,,
player,201312220kan,clt,HaviSt00,fumbles,0,,,,,
player,201312220kan,clt,HaviSt00,fumbles_lost,0,,,,,
player,201312220kan,clt,BrazLa00,pass_cmp,0,,,,,
player,201312220kan,clt,BrazLa00,pass_att,0,,,,,
player,201312220kan,clt,BrazLa00,pass_yds,0,,,,,
player,201312220kan,clt,BrazLa00,pass_td,0,,,,,
player,201312220kan,clt,BrazLa00,pass_int,0,,,,,
player,201312220kan,clt,BrazLa00,pass_sacked,0,,,,,
player,201312220kan,clt,BrazLa00,pass_sacked_yds,0,,,,,
player,201312220kan,clt,BrazLa00,pass_long,0,,,,,
player,201312220kan,clt,BrazLa00,pass_rating,,,,,,
player,201312220kan,clt,BrazLa00,rush_att,0,,,,,
player,201312220kan,clt,BrazLa00,rush_yds,0,,,,,
player,201312220kan,clt,BrazLa00,rush_td,0,,,,,
player,201312220kan,clt,BrazLa00,rush_long,0,,,,,
player,201312220kan,clt,BrazLa00,targets,1,,,,,
player,201312220kan,clt,BrazLa00,rec,0,,,,,
player,201312220kan,clt,BrazLa00,rec_yds,0,,,,,
player,201312220kan,clt,BrazLa00,rec_td,0,,,,,
player,201312220kan,clt,BrazLa00,rec_long,0,,,,,
player,201312220kan,clt,BrazLa00,fumbles,0,,,,,
player,201312220kan,clt,BrazLa00,fumbles_lost,0,,,,,
player,201312220kan,kan,SmitAl03,pass_cmp,16,,,,,
player,201312220kan,kan,SmitAl03,pass_att,28,,,,,
player,201312220kan,kan,SmitAl03,pass_yds,153,,,,,
player,201312220kan,kan,SmitAl03,pass_td,0,,,,,
player,201312220kan,kan,SmitAl03,pass_int,1,,,,,
player,201312220kan,kan,SmitAl03,pass_sacked,5,,,,,
player,201312220kan,kan,SmitAl03,pass_sacked_yds,21,,,,,
player,201312220kan,kan,SmitAl03,pass_long,19,,,,,
player,201312220kan,kan,SmitAl03,pass_rating,57.6,,,,,
player,201312220kan,kan,SmitAl03,rush_att,6,,,,,
player,201312220kan,kan,SmitAl03,rush_yds,47,,,,,
player,201312220kan,kan,SmitAl03,rush_td,0,,,,,
player,201312220kan,kan,SmitAl03,rush_long,22,,,,,
player,201312220kan,kan,SmitAl03,targets,0,,,,,
player,201312220kan,kan,SmitAl03,rec,0,,,,,
player,201312220kan,kan,SmitAl03,rec_yds,0,,,,,
player,201312220kan,kan,SmitAl03,rec_td,0,,,,,
