game,2013,8,20131028,201310280ram,sea,"Seattle Seahawks",14,ram,"St. Louis Rams",9
team,201310280ram,sea,First Downs,7,,,,,,
team,201310280ram,ram,First Downs,23,,,,,,
team,201310280ram,sea,Rush-Yds-TDs,15-44-0,,,,,,
team,201310280ram,ram,Rush-Yds-TDs,37-200-0,,,,,,
team,201310280ram,sea,Cmp-Att-Yd-TD-INT,10-18-139-2-0,,,,,,
team,201310280ram,ram,Cmp-Att-Yd-TD-INT,15-31-158-0-2,,,,,,
team,201310280ram,sea,Sacked-Yards,7-48,,,,,,
team,201310280ram,ram,Sacked-Yards,3-19,,,,,,
team,201310280ram,sea,Net Pass Yards,91,,,,,,
team,201310280ram,ram,Net Pass Yards,139,,,,,,
team,201310280ram,sea,Total Yards,135,,,,,,
team,201310280ram,ram,Total Yards,339,,,,,,
team,201310280ram,sea,Fumbles-Lost,1-0,,,,,,
team,201310280ram,ram,Fumbles-Lost,1-0,,,,,,
team,201310280ram,sea,Turnovers,0,,,,,,
team,201310280ram,ram,Turnovers,2,,,,,,
team,201310280ram,sea,Penalties-Yards,10-83,,,,,,
team,201310280ram,ram,Penalties-Yards,8-53,,,,,,
team,201310280ram,sea,Third Down Conv.,2-11,,,,,,
team,201310280ram,ram,Third Down Conv.,5-14,,,,,,
team,201310280ram,sea,Fourth Down Conv.,0-0,,,,,,
team,201310280ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201310280ram,sea,Time of Possession,21:51,,,,,,
team,201310280ram,ram,Time of Possession,38:09,,,,,,
player,201310280ram,sea,WilsRu00,pass_cmp,10,,,,,
player,201310280ram,sea,WilsRu00,pass_att,18,,,,,
player,201310280ram,sea,WilsRu00,pass_yds,139,,,,,
player,201310280ram,sea,WilsRu00,pass_td,2,,,,,
player,201310280ram,sea,WilsRu00,pass_int,0,,,,,
player,201310280ram,sea,WilsRu00,pass_sacked,7,,,,,
player,201310280ram,sea,WilsRu00,pass_sacked_yds,48,,,,,
player,201310280ram,sea,WilsRu00,pass_long,80,,,,,
player,201310280ram,sea,WilsRu00,pass_rating,117.6,,,,,
player,201310280ram,sea,WilsRu00,rush_att,3,,,,,
player,201310280ram,sea,WilsRu00,rush_yds,16,,,,,
player,201310280ram,sea,WilsRu00,rush_td,0,,,,,
