game,2013,5,20131006,201310060chi,nor,"New Orleans Saints",26,chi,"Chicago Bears",18
team,201310060chi,nor,First Downs,17,,,,,,
team,201310060chi,chi,First Downs,20,,,,,,
team,201310060chi,nor,Rush-Yds-TDs,29-64-0,,,,,,
team,201310060chi,chi,Rush-Yds-TDs,18-94-0,,,,,,
team,201310060chi,nor,Cmp-Att-Yd-TD-INT,29-35-288-2-0,,,,,,
team,201310060chi,chi,Cmp-Att-Yd-TD-INT,24-33-358-2-0,,,,,,
team,201310060chi,nor,Sacked-Yards,1-5,,,,,,
team,201310060chi,chi,Sacked-Yards,3-18,,,,,,
team,201310060chi,nor,Net Pass Yards,283,,,,,,
team,201310060chi,chi,Net Pass Yards,340,,,,,,
team,201310060chi,nor,Total Yards,347,,,,,,
team,201310060chi,chi,Total Yards,434,,,,,,
team,201310060chi,nor,Fumbles-Lost,1-0,,,,,,
team,201310060chi,chi,Fumbles-Lost,2-1,,,,,,
team,201310060chi,nor,Turnovers,0,,,,,,
team,201310060chi,chi,Turnovers,1,,,,,,
team,201310060chi,nor,Penalties-Yards,2-10,,,,,,
team,201310060chi,chi,Penalties-Yards,6-43,,,,,,
team,201310060chi,nor,Third Down Conv.,6-16,,,,,,
team,201310060chi,chi,Third Down Conv.,4-10,,,,,,
team,201310060chi,nor,Fourth Down Conv.,1-1,,,,,,
team,201310060chi,chi,Fourth Down Conv.,0-1,,,,,,
team,201310060chi,nor,Time of Possession,36:00,,,,,,
team,201310060chi,chi,Time of Possession,24:00,,,,,,
player,201310060chi,nor,BreeDr00,pass_cmp,29,,,,,
player,201310060chi,nor,BreeDr00,pass_att,35,,,,,
player,201310060chi,nor,BreeDr00,pass_yds,288,,,,,
player,201310060chi,nor,BreeDr00,pass_td,2,,,,,
player,201310060chi,nor,BreeDr00,pass_int,0,,,,,
player,201310060chi,nor,BreeDr00,pass_sacked,1,,,,,
player,201310060chi,nor,BreeDr00,pass_sacked_yds,5,,,,,
player,201310060chi,nor,BreeDr00,pass_long,38,,,,,
player,201310060chi,nor,BreeDr00,pass_rating,120.0,,,,,
player,201310060chi,nor,BreeDr00,rush_att,1,,,,,
player,201310060chi,nor,BreeDr00,rush_yds,-2,,,,,
player,201310060chi,nor,BreeDr00,rush_td,0,,,,,
player,201310060chi,nor,BreeDr00,rush_long,-2,,,,,
player,201310060chi,nor,BreeDr00,targets,0,,,,,
player,201310060chi,nor,BreeDr00,rec,0,,,,,
player,201310060chi,nor,BreeDr00,rec_yds,0,,,,,
player,201310060chi,nor,BreeDr00,rec_td,0,,,,,
player,201310060chi,nor,BreeDr00,rec_long,0,,,,,
player,201310060chi,nor,BreeDr00,fumbles,0,,,,,
player,201310060chi,nor,BreeDr00,fumbles_lost,0,,,,,
player,201310060chi,nor,ThomPi00,pass_cmp,0,,,,,
player,201310060chi,nor,ThomPi00,pass_att,0,,,,,
player,201310060chi,nor,ThomPi00,pass_yds,0,,,,,
player,201310060chi,nor,ThomPi00,pass_td,0,,,,,
player,201310060chi,nor,ThomPi00,pass_int,0,,,,,
player,201310060chi,nor,ThomPi00,pass_sacked,0,,,,,
player,201310060chi,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201310060chi,nor,ThomPi00,pass_long,0,,,,,
player,201310060chi,nor,ThomPi00,pass_rating,,,,,,
player,201310060chi,nor,ThomPi00,rush_att,19,,,,,
player,201310060chi,nor,ThomPi00,rush_yds,36,,,,,
player,201310060chi,nor,ThomPi00,rush_td,0,,,,,
player,201310060chi,nor,ThomPi00,rush_long,9,,,,,
player,201310060chi,nor,ThomPi00,targets,9,,,,,
player,201310060chi,nor,ThomPi00,rec,9,,,,,
player,201310060chi,nor,ThomPi00,rec_yds,55,,,,,
player,201310060chi,nor,ThomPi00,rec_td,2,,,,,
player,201310060chi,nor,ThomPi00,rec_long,25,,,,,
player,201310060chi,nor,ThomPi00,fumbles,1,,,,,
player,201310060chi,nor,ThomPi00,fumbles_lost,0,,,,,
player,201310060chi,nor,CollJe01,pass_cmp,0,,,,,
player,201310060chi,nor,CollJe01,pass_att,0,,,,,
player,201310060chi,nor,CollJe01,pass_yds,0,,,,,
player,201310060chi,nor,CollJe01,pass_td,0,,,,,
player,201310060chi,nor,CollJe01,pass_int,0,,,,,
player,201310060chi,nor,CollJe01,pass_sacked,0,,,,,
player,201310060chi,nor,CollJe01,pass_sacked_yds,0,,,,,
player,201310060chi,nor,CollJe01,pass_long,0,,,,,
player,201310060chi,nor,CollJe01,pass_rating,,,,,,
player,201310060chi,nor,CollJe01,rush_att,3,,,,,
player,201310060chi,nor,CollJe01,rush_yds,11,,,,,
player,201310060chi,nor,CollJe01,rush_td,0,,,,,
player,201310060chi,nor,CollJe01,rush_long,5,,,,,
player,201310060chi,nor,CollJe01,targets,4,,,,,
player,201310060chi,nor,CollJe01,rec,4,,,,,
player,201310060chi,nor,CollJe01,rec_yds,17,,,,,
player,201310060chi,nor,CollJe01,rec_td,0,,,,,
player,201310060chi,nor,CollJe01,rec_long,8,,,,,
player,201310060chi,nor,CollJe01,fumbles,0,,,,,
player,201310060chi,nor,CollJe01,fumbles_lost,0,,,,,
player,201310060chi,nor,SproDa00,pass_cmp,0,,,,,
player,201310060chi,nor,SproDa00,pass_att,0,,,,,
player,201310060chi,nor,SproDa00,pass_yds,0,,,,,
player,201310060chi,nor,SproDa00,pass_td,0,,,,,
player,201310060chi,nor,SproDa00,pass_int,0,,,,,
player,201310060chi,nor,SproDa00,pass_sacked,0,,,,,
player,201310060chi,nor,SproDa00,pass_sacked_yds,0,,,,,
player,201310060chi,nor,SproDa00,pass_long,0,,,,,
player,201310060chi,nor,SproDa00,pass_rating,,,,,,
player,201310060chi,nor,SproDa00,rush_att,3,,,,,
player,201310060chi,nor,SproDa00,rush_yds,10,,,,,
player,201310060chi,nor,SproDa00,rush_td,0,,,,,
player,201310060chi,nor,SproDa00,rush_long,5,,,,,
player,201310060chi,nor,SproDa00,targets,3,,,,,
player,201310060chi,nor,SproDa00,rec,3,,,,,
player,201310060chi,nor,SproDa00,rec_yds,31,,,,,
player,201310060chi,nor,SproDa00,rec_td,0,,,,,
player,201310060chi,nor,SproDa00,rec_long,19,,,,,
player,201310060chi,nor,SproDa00,fumbles,0,,,,,
player,201310060chi,nor,SproDa00,fumbles_lost,0,,,,,
player,201310060chi,nor,RobiKh00,pass_cmp,0,,,,,
player,201310060chi,nor,RobiKh00,pass_att,0,,,,,
player,201310060chi,nor,RobiKh00,pass_yds,0,,,,,
player,201310060chi,nor,RobiKh00,pass_td,0,,,,,
player,201310060chi,nor,RobiKh00,pass_int,0,,,,,
player,201310060chi,nor,RobiKh00,pass_sacked,0,,,,,
player,201310060chi,nor,RobiKh00,pass_sacked_yds,0,,,,,
player,201310060chi,nor,RobiKh00,pass_long,0,,,,,
player,201310060chi,nor,RobiKh00,pass_rating,,,,,,
player,201310060chi,nor,RobiKh00,rush_att,3,,,,,
player,201310060chi,nor,RobiKh00,rush_yds,9,,,,,
player,201310060chi,nor,RobiKh00,rush_td,0,,,,,
player,201310060chi,nor,RobiKh00,rush_long,8,,,,,
player,201310060chi,nor,RobiKh00,targets,0,,,,,
player,201310060chi,nor,RobiKh00,rec,0,,,,,
player,201310060chi,nor,RobiKh00,rec_yds,0,,,,,
player,201310060chi,nor,RobiKh00,rec_td,0,,,,,
player,201310060chi,nor,RobiKh00,rec_long,0,,,,,
player,201310060chi,nor,RobiKh00,fumbles,0,,,,,
player,201310060chi,nor,RobiKh00,fumbles_lost,0,,,,,
