game,2013,15,20131215,201312150dal,gnb,"Green Bay Packers",37,dal,"Dallas Cowboys",36
team,201312150dal,gnb,First Downs,26,,,,,,
team,201312150dal,dal,First Downs,27,,,,,,
team,201312150dal,gnb,Rush-Yds-TDs,27-150-1,,,,,,
team,201312150dal,dal,Rush-Yds-TDs,18-134-1,,,,,,
team,201312150dal,gnb,Cmp-Att-Yd-TD-INT,26-39-299-4-1,,,,,,
team,201312150dal,dal,Cmp-Att-Yd-TD-INT,29-48-358-2-2,,,,,,
team,201312150dal,gnb,Sacked-Yards,2-16,,,,,,
team,201312150dal,dal,Sacked-Yards,3-26,,,,,,
team,201312150dal,gnb,Net Pass Yards,283,,,,,,
team,201312150dal,dal,Net Pass Yards,332,,,,,,
team,201312150dal,gnb,Total Yards,433,,,,,,
team,201312150dal,dal,Total Yards,466,,,,,,
team,201312150dal,gnb,Fumbles-Lost,0-0,,,,,,
team,201312150dal,dal,Fumbles-Lost,0-0,,,,,,
team,201312150dal,gnb,Turnovers,1,,,,,,
team,201312150dal,dal,Turnovers,2,,,,,,
team,201312150dal,gnb,Penalties-Yards,7-59,,,,,,
team,201312150dal,dal,Penalties-Yards,7-79,,,,,,
team,201312150dal,gnb,Third Down Conv.,7-13,,,,,,
team,201312150dal,dal,Third Down Conv.,2-9,,,,,,
team,201312150dal,gnb,Fourth Down Conv.,0-0,,,,,,
team,201312150dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201312150dal,gnb,Time of Possession,28:18,,,,,,
team,201312150dal,dal,Time of Possession,31:42,,,,,,
player,201312150dal,gnb,FlynMa00,pass_cmp,26,,,,,
player,201312150dal,gnb,FlynMa00,pass_att,39,,,,,
player,201312150dal,gnb,FlynMa00,pass_yds,299,,,,,
player,201312150dal,gnb,FlynMa00,pass_td,4,,,,,
player,201312150dal,gnb,FlynMa00,pass_int,1,,,,,
player,201312150dal,gnb,FlynMa00,pass_sacked,2,,,,,
player,201312150dal,gnb,FlynMa00,pass_sacked_yds,16,,,,,
player,201312150dal,gnb,FlynMa00,pass_long,39,,,,,
player,201312150dal,gnb,FlynMa00,pass_rating,113.1,,,,,
player,201312150dal,gnb,FlynMa00,rush_att,3,,,,,
player,201312150dal,gnb,FlynMa00,rush_yds,-3,,,,,
player,201312150dal,gnb,FlynMa00,rush_td,0,,,,,
player,201312150dal,gnb,FlynMa00,rush_long,-1,,,,,
player,201312150dal,gnb,FlynMa00,targets,0,,,,,
player,201312150dal,gnb,FlynMa00,rec,0,,,,,
player,201312150dal,gnb,FlynMa00,rec_yds,0,,,,,
player,201312150dal,gnb,FlynMa00,rec_td,0,,,,,
player,201312150dal,gnb,FlynMa00,rec_long,0,,,,,
player,201312150dal,gnb,FlynMa00,fumbles,0,,,,,
player,201312150dal,gnb,FlynMa00,fumbles_lost,0,,,,,
player,201312150dal,gnb,LacyEd00,pass_cmp,0,,,,,
player,201312150dal,gnb,LacyEd00,pass_att,0,,,,,
player,201312150dal,gnb,LacyEd00,pass_yds,0,,,,,
player,201312150dal,gnb,LacyEd00,pass_td,0,,,,,
player,201312150dal,gnb,LacyEd00,pass_int,0,,,,,
player,201312150dal,gnb,LacyEd00,pass_sacked,0,,,,,
