game,2013,11,20131117,201311170mia,sdg,"San Diego Chargers",16,mia,"Miami Dolphins",20
team,201311170mia,sdg,First Downs,22,,,,,,
team,201311170mia,mia,First Downs,21,,,,,,
team,201311170mia,sdg,Rush-Yds-TDs,26-154-0,,,,,,
team,201311170mia,mia,Rush-Yds-TDs,19-104-1,,,,,,
team,201311170mia,sdg,Cmp-Att-Yd-TD-INT,22-34-298-1-1,,,,,,
team,201311170mia,mia,Cmp-Att-Yd-TD-INT,22-35-268-1-1,,,,,,
team,201311170mia,sdg,Sacked-Yards,3-17,,,,,,
team,201311170mia,mia,Sacked-Yards,4-29,,,,,,
team,201311170mia,sdg,Net Pass Yards,281,,,,,,
team,201311170mia,mia,Net Pass Yards,239,,,,,,
team,201311170mia,sdg,Total Yards,435,,,,,,
team,201311170mia,mia,Total Yards,343,,,,,,
team,201311170mia,sdg,Fumbles-Lost,0-0,,,,,,
team,201311170mia,mia,Fumbles-Lost,0-0,,,,,,
team,201311170mia,sdg,Turnovers,1,,,,,,
team,201311170mia,mia,Turnovers,1,,,,,,
team,201311170mia,sdg,Penalties-Yards,10-76,,,,,,
team,201311170mia,mia,Penalties-Yards,3-15,,,,,,
team,201311170mia,sdg,Third Down Conv.,4-11,,,,,,
team,201311170mia,mia,Third Down Conv.,2-10,,,,,,
team,201311170mia,sdg,Fourth Down Conv.,0-0,,,,,,
team,201311170mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201311170mia,sdg,Time of Possession,31:24,,,,,,
team,201311170mia,mia,Time of Possession,28:36,,,,,,
player,201311170mia,sdg,RivePh00,pass_cmp,22,,,,,
player,201311170mia,sdg,RivePh00,pass_att,34,,,,,
player,201311170mia,sdg,RivePh00,pass_yds,298,,,,,
player,201311170mia,sdg,RivePh00,pass_td,1,,,,,
player,201311170mia,sdg,RivePh00,pass_int,1,,,,,
player,201311170mia,sdg,RivePh00,pass_sacked,3,,,,,
player,201311170mia,sdg,RivePh00,pass_sacked_yds,17,,,,,
player,201311170mia,sdg,RivePh00,pass_long,35,,,,,
player,201311170mia,sdg,RivePh00,pass_rating,90.1,,,,,
player,201311170mia,sdg,RivePh00,rush_att,2,,,,,
player,201311170mia,sdg,RivePh00,rush_yds,6,,,,,
player,201311170mia,sdg,RivePh00,rush_td,0,,,,,
player,201311170mia,sdg,RivePh00,rush_long,5,,,,,
player,201311170mia,sdg,RivePh00,targets,0,,,,,
player,201311170mia,sdg,RivePh00,rec,0,,,,,
player,201311170mia,sdg,RivePh00,rec_yds,0,,,,,
player,201311170mia,sdg,RivePh00,rec_td,0,,,,,
player,201311170mia,sdg,RivePh00,rec_long,0,,,,,
player,201311170mia,sdg,RivePh00,fumbles,0,,,,,
player,201311170mia,sdg,RivePh00,fumbles_lost,0,,,,,
player,201311170mia,sdg,MathRy00,pass_cmp,0,,,,,
player,201311170mia,sdg,MathRy00,pass_att,0,,,,,
player,201311170mia,sdg,MathRy00,pass_yds,0,,,,,
player,201311170mia,sdg,MathRy00,pass_td,0,,,,,
player,201311170mia,sdg,MathRy00,pass_int,0,,,,,
player,201311170mia,sdg,MathRy00,pass_sacked,0,,,,,
player,201311170mia,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201311170mia,sdg,MathRy00,pass_long,0,,,,,
player,201311170mia,sdg,MathRy00,pass_rating,,,,,,
player,201311170mia,sdg,MathRy00,rush_att,19,,,,,
player,201311170mia,sdg,MathRy00,rush_yds,127,,,,,
player,201311170mia,sdg,MathRy00,rush_td,0,,,,,
player,201311170mia,sdg,MathRy00,rush_long,51,,,,,
player,201311170mia,sdg,MathRy00,targets,2,,,,,
player,201311170mia,sdg,MathRy00,rec,2,,,,,
player,201311170mia,sdg,MathRy00,rec_yds,16,,,,,
player,201311170mia,sdg,MathRy00,rec_td,0,,,,,
player,201311170mia,sdg,MathRy00,rec_long,11,,,,,
player,201311170mia,sdg,MathRy00,fumbles,0,,,,,
player,201311170mia,sdg,MathRy00,fumbles_lost,0,,,,,
player,201311170mia,sdg,WoodDa02,pass_cmp,0,,,,,
player,201311170mia,sdg,WoodDa02,pass_att,0,,,,,
player,201311170mia,sdg,WoodDa02,pass_yds,0,,,,,
player,201311170mia,sdg,WoodDa02,pass_td,0,,,,,
player,201311170mia,sdg,WoodDa02,pass_int,0,,,,,
player,201311170mia,sdg,WoodDa02,pass_sacked,0,,,,,
player,201311170mia,sdg,WoodDa02,pass_sacked_yds,0,,,,,
player,201311170mia,sdg,WoodDa02,pass_long,0,,,,,
player,201311170mia,sdg,WoodDa02,pass_rating,,,,,,
player,201311170mia,sdg,WoodDa02,rush_att,5,,,,,
player,201311170mia,sdg,WoodDa02,rush_yds,21,,,,,
player,201311170mia,sdg,WoodDa02,rush_td,0,,,,,
player,201311170mia,sdg,WoodDa02,rush_long,7,,,,,
player,201311170mia,sdg,WoodDa02,targets,2,,,,,
player,201311170mia,sdg,WoodDa02,rec,2,,,,,
player,201311170mia,sdg,WoodDa02,rec_yds,16,,,,,
player,201311170mia,sdg,WoodDa02,rec_td,0,,,,,
player,201311170mia,sdg,WoodDa02,rec_long,11,,,,,
player,201311170mia,sdg,WoodDa02,fumbles,0,,,,,
player,201311170mia,sdg,WoodDa02,fumbles_lost,0,,,,,
player,201311170mia,sdg,GreeLa00,pass_cmp,0,,,,,
player,201311170mia,sdg,GreeLa00,pass_att,0,,,,,
player,201311170mia,sdg,GreeLa00,pass_yds,0,,,,,
player,201311170mia,sdg,GreeLa00,pass_td,0,,,,,
player,201311170mia,sdg,GreeLa00,pass_int,0,,,,,
player,201311170mia,sdg,GreeLa00,pass_sacked,0,,,,,
player,201311170mia,sdg,GreeLa00,pass_sacked_yds,0,,,,,
player,201311170mia,sdg,GreeLa00,pass_long,0,,,,,
player,201311170mia,sdg,GreeLa00,pass_rating,,,,,,
player,201311170mia,sdg,GreeLa00,rush_att,0,,,,,
player,201311170mia,sdg,GreeLa00,rush_yds,0,,,,,
player,201311170mia,sdg,GreeLa00,rush_td,0,,,,,
player,201311170mia,sdg,GreeLa00,rush_long,0,,,,,
player,201311170mia,sdg,GreeLa00,targets,5,,,,,
player,201311170mia,sdg,GreeLa00,rec,4,,,,,
player,201311170mia,sdg,GreeLa00,rec_yds,81,,,,,
player,201311170mia,sdg,GreeLa00,rec_td,0,,,,,
