game,2013,17,20131229,201312290nor,tam,"Tampa Bay Buccaneers",17,nor,"New Orleans Saints",42
team,201312290nor,tam,First Downs,18,,,,,,
team,201312290nor,nor,First Downs,21,,,,,,
team,201312290nor,tam,Rush-Yds-TDs,18-75-0,,,,,,
team,201312290nor,nor,Rush-Yds-TDs,30-98-2,,,,,,
team,201312290nor,tam,Cmp-Att-Yd-TD-INT,22-42-219-2-1,,,,,,
team,201312290nor,nor,Cmp-Att-Yd-TD-INT,24-31-381-4-0,,,,,,
team,201312290nor,tam,Sacked-Yards,2-4,,,,,,
team,201312290nor,nor,Sacked-Yards,1-11,,,,,,
team,201312290nor,tam,Net Pass Yards,215,,,,,,
team,201312290nor,nor,Net Pass Yards,370,,,,,,
team,201312290nor,tam,Total Yards,290,,,,,,
team,201312290nor,nor,Total Yards,468,,,,,,
team,201312290nor,tam,Fumbles-Lost,0-0,,,,,,
team,201312290nor,nor,Fumbles-Lost,0-0,,,,,,
team,201312290nor,tam,Turnovers,1,,,,,,
team,201312290nor,nor,Turnovers,0,,,,,,
team,201312290nor,tam,Penalties-Yards,8-78,,,,,,
team,201312290nor,nor,Penalties-Yards,9-94,,,,,,
team,201312290nor,tam,Third Down Conv.,3-13,,,,,,
team,201312290nor,nor,Third Down Conv.,7-13,,,,,,
team,201312290nor,tam,Fourth Down Conv.,1-3,,,,,,
team,201312290nor,nor,Fourth Down Conv.,1-2,,,,,,
team,201312290nor,tam,Time of Possession,25:48,,,,,,
team,201312290nor,nor,Time of Possession,34:12,,,,,,
player,201312290nor,tam,GlenMi00,pass_cmp,22,,,,,
player,201312290nor,tam,GlenMi00,pass_att,41,,,,,
player,201312290nor,tam,GlenMi00,pass_yds,219,,,,,
player,201312290nor,tam,GlenMi00,pass_td,2,,,,,
player,201312290nor,tam,GlenMi00,pass_int,1,,,,,
player,201312290nor,tam,GlenMi00,pass_sacked,2,,,,,
player,201312290nor,tam,GlenMi00,pass_sacked_yds,4,,,,,
player,201312290nor,tam,GlenMi00,pass_long,48,,,,,
player,201312290nor,tam,GlenMi00,pass_rating,75.2,,,,,
player,201312290nor,tam,GlenMi00,rush_att,0,,,,,
player,201312290nor,tam,GlenMi00,rush_yds,0,,,,,
player,201312290nor,tam,GlenMi00,rush_td,0,,,,,
player,201312290nor,tam,GlenMi00,rush_long,0,,,,,
player,201312290nor,tam,GlenMi00,targets,0,,,,,
player,201312290nor,tam,GlenMi00,rec,0,,,,,
player,201312290nor,tam,GlenMi00,rec_yds,0,,,,,
player,201312290nor,tam,GlenMi00,rec_td,0,,,,,
player,201312290nor,tam,GlenMi00,rec_long,0,,,,,
player,201312290nor,tam,GlenMi00,fumbles,0,,,,,
player,201312290nor,tam,GlenMi00,fumbles_lost,0,,,,,
player,201312290nor,tam,koenemic01,pass_cmp,0,,,,,
player,201312290nor,tam,koenemic01,pass_att,1,,,,,
player,201312290nor,tam,koenemic01,pass_yds,0,,,,,
player,201312290nor,tam,koenemic01,pass_td,0,,,,,
player,201312290nor,tam,koenemic01,pass_int,0,,,,,
player,201312290nor,tam,koenemic01,pass_sacked,0,,,,,
player,201312290nor,tam,koenemic01,pass_sacked_yds,0,,,,,
player,201312290nor,tam,koenemic01,pass_long,0,,,,,
player,201312290nor,tam,koenemic01,pass_rating,39.6,,,,,
player,201312290nor,tam,koenemic01,rush_att,0,,,,,
player,201312290nor,tam,koenemic01,rush_yds,0,,,,,
player,201312290nor,tam,koenemic01,rush_td,0,,,,,
player,201312290nor,tam,koenemic01,rush_long,0,,,,,
player,201312290nor,tam,koenemic01,targets,0,,,,,
player,201312290nor,tam,koenemic01,rec,0,,,,,
player,201312290nor,tam,koenemic01,rec_yds,0,,,,,
player,201312290nor,tam,koenemic01,rec_td,0,,,,,
player,201312290nor,tam,koenemic01,rec_long,0,,,,,
player,201312290nor,tam,koenemic01,fumbles,0,,,,,
player,201312290nor,tam,koenemic01,fumbles_lost,0,,,,,
player,201312290nor,tam,LeonBr00,pass_cmp,0,,,,,
player,201312290nor,tam,LeonBr00,pass_att,0,,,,,
player,201312290nor,tam,LeonBr00,pass_yds,0,,,,,
player,201312290nor,tam,LeonBr00,pass_td,0,,,,,
player,201312290nor,tam,LeonBr00,pass_int,0,,,,,
player,201312290nor,tam,LeonBr00,pass_sacked,0,,,,,
player,201312290nor,tam,LeonBr00,pass_sacked_yds,0,,,,,
player,201312290nor,tam,LeonBr00,pass_long,0,,,,,
player,201312290nor,tam,LeonBr00,pass_rating,,,,,,
player,201312290nor,tam,LeonBr00,rush_att,5,,,,,
player,201312290nor,tam,LeonBr00,rush_yds,35,,,,,
player,201312290nor,tam,LeonBr00,rush_td,0,,,,,
player,201312290nor,tam,LeonBr00,rush_long,24,,,,,
player,201312290nor,tam,LeonBr00,targets,3,,,,,
player,201312290nor,tam,LeonBr00,rec,3,,,,,
player,201312290nor,tam,LeonBr00,rec_yds,1,,,,,
player,201312290nor,tam,LeonBr00,rec_td,0,,,,,
player,201312290nor,tam,LeonBr00,rec_long,4,,,,,
player,201312290nor,tam,LeonBr00,fumbles,0,,,,,
player,201312290nor,tam,LeonBr00,fumbles_lost,0,,,,,
player,201312290nor,tam,RainBo00,pass_cmp,0,,,,,
player,201312290nor,tam,RainBo00,pass_att,0,,,,,
player,201312290nor,tam,RainBo00,pass_yds,0,,,,,
player,201312290nor,tam,RainBo00,pass_td,0,,,,,
player,201312290nor,tam,RainBo00,pass_int,0,,,,,
player,201312290nor,tam,RainBo00,pass_sacked,0,,,,,
player,201312290nor,tam,RainBo00,pass_sacked_yds,0,,,,,
player,201312290nor,tam,RainBo00,pass_long,0,,,,,
player,201312290nor,tam,RainBo00,pass_rating,,,,,,
player,201312290nor,tam,RainBo00,rush_att,11,,,,,
player,201312290nor,tam,RainBo00,rush_yds,35,,,,,
player,201312290nor,tam,RainBo00,rush_td,0,,,,,
player,201312290nor,tam,RainBo00,rush_long,16,,,,,
player,201312290nor,tam,RainBo00,targets,2,,,,,
player,201312290nor,tam,RainBo00,rec,1,,,,,
player,201312290nor,tam,RainBo00,rec_yds,1,,,,,
player,201312290nor,tam,RainBo00,rec_td,0,,,,,
player,201312290nor,tam,RainBo00,rec_long,1,,,,,
player,201312290nor,tam,RainBo00,fumbles,0,,,,,
player,201312290nor,tam,RainBo00,fumbles_lost,0,,,,,
player,201312290nor,tam,HillMi00,pass_cmp,0,,,,,
player,201312290nor,tam,HillMi00,pass_att,0,,,,,
player,201312290nor,tam,HillMi00,pass_yds,0,,,,,
player,201312290nor,tam,HillMi00,pass_td,0,,,,,
player,201312290nor,tam,HillMi00,pass_int,0,,,,,
player,201312290nor,tam,HillMi00,pass_sacked,0,,,,,
player,201312290nor,tam,HillMi00,pass_sacked_yds,0,,,,,
player,201312290nor,tam,HillMi00,pass_long,0,,,,,
player,201312290nor,tam,HillMi00,pass_rating,,,,,,
player,201312290nor,tam,HillMi00,rush_att,1,,,,,
player,201312290nor,tam,HillMi00,rush_yds,3,,,,,
player,201312290nor,tam,HillMi00,rush_td,0,,,,,
player,201312290nor,tam,HillMi00,rush_long,3,,,,,
player,201312290nor,tam,HillMi00,targets,2,,,,,
player,201312290nor,tam,HillMi00,rec,2,,,,,
player,201312290nor,tam,HillMi00,rec_yds,23,,,,,
player,201312290nor,tam,HillMi00,rec_td,0,,,,,
player,201312290nor,tam,HillMi00,rec_long,12,,,,,
player,201312290nor,tam,HillMi00,fumbles,0,,,,,
