game,2013,9,20131103,201311030car,atl,"Atlanta Falcons",10,car,"Carolina Panthers",34
team,201311030car,atl,First Downs,12,,,,,,
team,201311030car,car,First Downs,27,,,,,,
team,201311030car,atl,Rush-Yds-TDs,20-78-0,,,,,,
team,201311030car,car,Rush-Yds-TDs,33-131-2,,,,,,
team,201311030car,atl,Cmp-Att-Yd-TD-INT,20-27-219-1-3,,,,,,
team,201311030car,car,Cmp-Att-Yd-TD-INT,23-37-249-1-2,,,,,,
team,201311030car,atl,Sacked-Yards,1-8,,,,,,
team,201311030car,car,Sacked-Yards,1-7,,,,,,
team,201311030car,atl,Net Pass Yards,211,,,,,,
team,201311030car,car,Net Pass Yards,242,,,,,,
team,201311030car,atl,Total Yards,289,,,,,,
team,201311030car,car,Total Yards,373,,,,,,
team,201311030car,atl,Fumbles-Lost,1-1,,,,,,
team,201311030car,car,Fumbles-Lost,1-0,,,,,,
team,201311030car,atl,Turnovers,4,,,,,,
team,201311030car,car,Turnovers,2,,,,,,
team,201311030car,atl,Penalties-Yards,7-59,,,,,,
team,201311030car,car,Penalties-Yards,2-15,,,,,,
team,201311030car,atl,Third Down Conv.,4-10,,,,,,
team,201311030car,car,Third Down Conv.,8-14,,,,,,
team,201311030car,atl,Fourth Down Conv.,0-0,,,,,,
team,201311030car,car,Fourth Down Conv.,1-1,,,,,,
team,201311030car,atl,Time of Possession,23:29,,,,,,
team,201311030car,car,Time of Possession,36:31,,,,,,
player,201311030car,atl,RyanMa00,pass_cmp,20,,,,,
player,201311030car,atl,RyanMa00,pass_att,27,,,,,
player,201311030car,atl,RyanMa00,pass_yds,219,,,,,
player,201311030car,atl,RyanMa00,pass_td,1,,,,,
player,201311030car,atl,RyanMa00,pass_int,3,,,,,
player,201311030car,atl,RyanMa00,pass_sacked,1,,,,,
player,201311030car,atl,RyanMa00,pass_sacked_yds,8,,,,,
player,201311030car,atl,RyanMa00,pass_long,41,,,,,
player,201311030car,atl,RyanMa00,pass_rating,70.4,,,,,
player,201311030car,atl,RyanMa00,rush_att,2,,,,,
player,201311030car,atl,RyanMa00,rush_yds,2,,,,,
player,201311030car,atl,RyanMa00,rush_td,0,,,,,
player,201311030car,atl,RyanMa00,rush_long,3,,,,,
player,201311030car,atl,RyanMa00,targets,0,,,,,
player,201311030car,atl,RyanMa00,rec,0,,,,,
player,201311030car,atl,RyanMa00,rec_yds,0,,,,,
player,201311030car,atl,RyanMa00,rec_td,0,,,,,
player,201311030car,atl,RyanMa00,rec_long,0,,,,,
player,201311030car,atl,RyanMa00,fumbles,0,,,,,
player,201311030car,atl,RyanMa00,fumbles_lost,0,,,,,
player,201311030car,atl,JackSt00,pass_cmp,0,,,,,
player,201311030car,atl,JackSt00,pass_att,0,,,,,
player,201311030car,atl,JackSt00,pass_yds,0,,,,,
player,201311030car,atl,JackSt00,pass_td,0,,,,,
player,201311030car,atl,JackSt00,pass_int,0,,,,,
player,201311030car,atl,JackSt00,pass_sacked,0,,,,,
player,201311030car,atl,JackSt00,pass_sacked_yds,0,,,,,
player,201311030car,atl,JackSt00,pass_long,0,,,,,
player,201311030car,atl,JackSt00,pass_rating,,,,,,
player,201311030car,atl,JackSt00,rush_att,13,,,,,
player,201311030car,atl,JackSt00,rush_yds,57,,,,,
player,201311030car,atl,JackSt00,rush_td,0,,,,,
player,201311030car,atl,JackSt00,rush_long,13,,,,,
player,201311030car,atl,JackSt00,targets,4,,,,,
player,201311030car,atl,JackSt00,rec,3,,,,,
player,201311030car,atl,JackSt00,rec_yds,19,,,,,
player,201311030car,atl,JackSt00,rec_td,0,,,,,
player,201311030car,atl,JackSt00,rec_long,14,,,,,
player,201311030car,atl,JackSt00,fumbles,0,,,,,
player,201311030car,atl,JackSt00,fumbles_lost,0,,,,,
player,201311030car,atl,RodgJa00,pass_cmp,0,,,,,
player,201311030car,atl,RodgJa00,pass_att,0,,,,,
player,201311030car,atl,RodgJa00,pass_yds,0,,,,,
player,201311030car,atl,RodgJa00,pass_td,0,,,,,
