game,2013,3,20130922,201309220nwe,tam,"Tampa Bay Buccaneers",3,nwe,"New England Patriots",23
team,201309220nwe,tam,First Downs,18,,,,,,
team,201309220nwe,nwe,First Downs,21,,,,,,
team,201309220nwe,tam,Rush-Yds-TDs,22-97-0,,,,,,
team,201309220nwe,nwe,Rush-Yds-TDs,33-156-0,,,,,,
team,201309220nwe,tam,Cmp-Att-Yd-TD-INT,19-41-236-0-1,,,,,,
team,201309220nwe,nwe,Cmp-Att-Yd-TD-INT,25-36-225-2-1,,,,,,
team,201309220nwe,tam,Sacked-Yards,3-10,,,,,,
team,201309220nwe,nwe,Sacked-Yards,3-23,,,,,,
team,201309220nwe,tam,Net Pass Yards,226,,,,,,
team,201309220nwe,nwe,Net Pass Yards,202,,,,,,
team,201309220nwe,tam,Total Yards,323,,,,,,
team,201309220nwe,nwe,Total Yards,358,,,,,,
team,201309220nwe,tam,Fumbles-Lost,0-0,,,,,,
team,201309220nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201309220nwe,tam,Turnovers,1,,,,,,
team,201309220nwe,nwe,Turnovers,1,,,,,,
team,201309220nwe,tam,Penalties-Yards,4-48,,,,,,
team,201309220nwe,nwe,Penalties-Yards,6-50,,,,,,
team,201309220nwe,tam,Third Down Conv.,5-14,,,,,,
team,201309220nwe,nwe,Third Down Conv.,6-15,,,,,,
team,201309220nwe,tam,Fourth Down Conv.,0-4,,,,,,
team,201309220nwe,nwe,Fourth Down Conv.,1-2,,,,,,
team,201309220nwe,tam,Time of Possession,26:59,,,,,,
team,201309220nwe,nwe,Time of Possession,33:01,,,,,,
player,201309220nwe,tam,FreeJo00,pass_cmp,19,,,,,
player,201309220nwe,tam,FreeJo00,pass_att,41,,,,,
player,201309220nwe,tam,FreeJo00,pass_yds,236,,,,,
player,201309220nwe,tam,FreeJo00,pass_td,0,,,,,
player,201309220nwe,tam,FreeJo00,pass_int,1,,,,,
player,201309220nwe,tam,FreeJo00,pass_sacked,3,,,,,
player,201309220nwe,tam,FreeJo00,pass_sacked_yds,10,,,,,
player,201309220nwe,tam,FreeJo00,pass_long,30,,,,,
player,201309220nwe,tam,FreeJo00,pass_rating,54.5,,,,,
player,201309220nwe,tam,FreeJo00,rush_att,1,,,,,
player,201309220nwe,tam,FreeJo00,rush_yds,4,,,,,
player,201309220nwe,tam,FreeJo00,rush_td,0,,,,,
player,201309220nwe,tam,FreeJo00,rush_long,4,,,,,
player,201309220nwe,tam,FreeJo00,targets,0,,,,,
player,201309220nwe,tam,FreeJo00,rec,0,,,,,
player,201309220nwe,tam,FreeJo00,rec_yds,0,,,,,
player,201309220nwe,tam,FreeJo00,rec_td,0,,,,,
player,201309220nwe,tam,FreeJo00,rec_long,0,,,,,
player,201309220nwe,tam,FreeJo00,fumbles,0,,,,,
player,201309220nwe,tam,FreeJo00,fumbles_lost,0,,,,,
