game,2013,1,20130908,201309080clt,rai,"Oakland Raiders",17,clt,"Indianapolis Colts",21
team,201309080clt,rai,First Downs,20,,,,,,
team,201309080clt,clt,First Downs,18,,,,,,
team,201309080clt,rai,Rush-Yds-TDs,33-171-1,,,,,,
team,201309080clt,clt,Rush-Yds-TDs,26-127-1,,,,,,
team,201309080clt,rai,Cmp-Att-Yd-TD-INT,19-29-217-1-2,,,,,,
team,201309080clt,clt,Cmp-Att-Yd-TD-INT,18-23-178-2-0,,,,,,
team,201309080clt,rai,Sacked-Yards,1-16,,,,,,
team,201309080clt,clt,Sacked-Yards,4-31,,,,,,
team,201309080clt,rai,Net Pass Yards,201,,,,,,
team,201309080clt,clt,Net Pass Yards,147,,,,,,
team,201309080clt,rai,Total Yards,372,,,,,,
team,201309080clt,clt,Total Yards,274,,,,,,
team,201309080clt,rai,Fumbles-Lost,0-0,,,,,,
team,201309080clt,clt,Fumbles-Lost,0-0,,,,,,
team,201309080clt,rai,Turnovers,2,,,,,,
team,201309080clt,clt,Turnovers,0,,,,,,
team,201309080clt,rai,Penalties-Yards,8-51,,,,,,
team,201309080clt,clt,Penalties-Yards,3-31,,,,,,
team,201309080clt,rai,Third Down Conv.,7-13,,,,,,
team,201309080clt,clt,Third Down Conv.,6-10,,,,,,
team,201309080clt,rai,Fourth Down Conv.,1-1,,,,,,
team,201309080clt,clt,Fourth Down Conv.,0-1,,,,,,
team,201309080clt,rai,Time of Possession,32:47,,,,,,
team,201309080clt,clt,Time of Possession,27:13,,,,,,
player,201309080clt,rai,PryoTe00,pass_cmp,19,,,,,
player,201309080clt,rai,PryoTe00,pass_att,29,,,,,
player,201309080clt,rai,PryoTe00,pass_yds,217,,,,,
player,201309080clt,rai,PryoTe00,pass_td,1,,,,,
player,201309080clt,rai,PryoTe00,pass_int,2,,,,,
player,201309080clt,rai,PryoTe00,pass_sacked,1,,,,,
player,201309080clt,rai,PryoTe00,pass_sacked_yds,16,,,,,
player,201309080clt,rai,PryoTe00,pass_long,41,,,,,
player,201309080clt,rai,PryoTe00,pass_rating,70.6,,,,,
player,201309080clt,rai,PryoTe00,rush_att,13,,,,,
player,201309080clt,rai,PryoTe00,rush_yds,112,,,,,
player,201309080clt,rai,PryoTe00,rush_td,0,,,,,
player,201309080clt,rai,PryoTe00,rush_long,29,,,,,
player,201309080clt,rai,PryoTe00,targets,0,,,,,
player,201309080clt,rai,PryoTe00,rec,0,,,,,
