game,2013,17,20131229,201312290nyg,was,"Washington Redskins",6,nyg,"New York Giants",20
team,201312290nyg,was,First Downs,12,,,,,,
team,201312290nyg,nyg,First Downs,14,,,,,,
team,201312290nyg,was,Rush-Yds-TDs,23-91-0,,,,,,
team,201312290nyg,nyg,Rush-Yds-TDs,35-122-1,,,,,,
team,201312290nyg,was,Cmp-Att-Yd-TD-INT,19-49-169-0-2,,,,,,
team,201312290nyg,nyg,Cmp-Att-Yd-TD-INT,12-32-163-1-2,,,,,,
team,201312290nyg,was,Sacked-Yards,3-9,,,,,,
team,201312290nyg,nyg,Sacked-Yards,1-7,,,,,,
team,201312290nyg,was,Net Pass Yards,160,,,,,,
team,201312290nyg,nyg,Net Pass Yards,156,,,,,,
team,201312290nyg,was,Total Yards,251,,,,,,
team,201312290nyg,nyg,Total Yards,278,,,,,,
team,201312290nyg,was,Fumbles-Lost,3-2,,,,,,
team,201312290nyg,nyg,Fumbles-Lost,4-1,,,,,,
team,201312290nyg,was,Turnovers,4,,,,,,
team,201312290nyg,nyg,Turnovers,3,,,,,,
team,201312290nyg,was,Penalties-Yards,3-30,,,,,,
team,201312290nyg,nyg,Penalties-Yards,3-20,,,,,,
team,201312290nyg,was,Third Down Conv.,5-20,,,,,,
team,201312290nyg,nyg,Third Down Conv.,3-14,,,,,,
team,201312290nyg,was,Fourth Down Conv.,1-3,,,,,,
team,201312290nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201312290nyg,was,Time of Possession,28:21,,,,,,
team,201312290nyg,nyg,Time of Possession,31:39,,,,,,
player,201312290nyg,was,CousKi00,pass_cmp,19,,,,,
player,201312290nyg,was,CousKi00,pass_att,49,,,,,
player,201312290nyg,was,CousKi00,pass_yds,169,,,,,
player,201312290nyg,was,CousKi00,pass_td,0,,,,,
player,201312290nyg,was,CousKi00,pass_int,2,,,,,
player,201312290nyg,was,CousKi00,pass_sacked,3,,,,,
player,201312290nyg,was,CousKi00,pass_sacked_yds,9,,,,,
player,201312290nyg,was,CousKi00,pass_long,21,,,,,
player,201312290nyg,was,CousKi00,pass_rating,31.8,,,,,
player,201312290nyg,was,CousKi00,rush_att,1,,,,,
player,201312290nyg,was,CousKi00,rush_yds,3,,,,,
player,201312290nyg,was,CousKi00,rush_td,0,,,,,
player,201312290nyg,was,CousKi00,rush_long,3,,,,,
player,201312290nyg,was,CousKi00,targets,0,,,,,
player,201312290nyg,was,CousKi00,rec,0,,,,,
player,201312290nyg,was,CousKi00,rec_yds,0,,,,,
player,201312290nyg,was,CousKi00,rec_td,0,,,,,
player,201312290nyg,was,CousKi00,rec_long,0,,,,,
player,201312290nyg,was,CousKi00,fumbles,1,,,,,
player,201312290nyg,was,CousKi00,fumbles_lost,1,,,,,
player,201312290nyg,was,MorrAl00,pass_cmp,0,,,,,
player,201312290nyg,was,MorrAl00,pass_att,0,,,,,
player,201312290nyg,was,MorrAl00,pass_yds,0,,,,,
player,201312290nyg,was,MorrAl00,pass_td,0,,,,,
player,201312290nyg,was,MorrAl00,pass_int,0,,,,,
player,201312290nyg,was,MorrAl00,pass_sacked,0,,,,,
player,201312290nyg,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201312290nyg,was,MorrAl00,pass_long,0,,,,,
player,201312290nyg,was,MorrAl00,pass_rating,,,,,,
player,201312290nyg,was,MorrAl00,rush_att,16,,,,,
player,201312290nyg,was,MorrAl00,rush_yds,62,,,,,
player,201312290nyg,was,MorrAl00,rush_td,0,,,,,
player,201312290nyg,was,MorrAl00,rush_long,19,,,,,
