game,2013,4,20130929,201309290min,pit,"Pittsburgh Steelers",27,min,"Minnesota Vikings",34
player,201309290min,pit,BrowAn04,pass_cmp,0,,,,,
player,201309290min,pit,BrowAn04,pass_att,0,,,,,
player,201309290min,pit,BrowAn04,pass_yds,0,,,,,
player,201309290min,pit,BrowAn04,pass_td,0,,,,,
player,201309290min,pit,BrowAn04,pass_int,0,,,,,
player,201309290min,pit,BrowAn04,pass_sacked,0,,,,,
player,201309290min,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201309290min,pit,BrowAn04,pass_long,0,,,,,
player,201309290min,pit,BrowAn04,pass_rating,,,,,,
player,201309290min,pit,BrowAn04,rush_att,1,,,,,
player,201309290min,pit,BrowAn04,rush_yds,10,,,,,
player,201309290min,pit,BrowAn04,rush_td,0,,,,,
player,201309290min,pit,BrowAn04,rush_long,10,,,,,
player,201309290min,pit,BrowAn04,targets,13,,,,,
player,201309290min,pit,BrowAn04,rec,12,,,,,
player,201309290min,pit,BrowAn04,rec_yds,88,,,,,
player,201309290min,pit,BrowAn04,rec_td,0,,,,,
player,201309290min,pit,BrowAn04,rec_long,15,,,,,
player,201309290min,pit,BrowAn04,fumbles,0,,,,,
player,201309290min,pit,BrowAn04,fumbles_lost,0,,,,,
player,201309290min,pit,DwyeJo00,pass_cmp,0,,,,,
player,201309290min,pit,DwyeJo00,pass_att,0,,,,,
player,201309290min,pit,DwyeJo00,pass_yds,0,,,,,
player,201309290min,pit,DwyeJo00,pass_td,0,,,,,
player,201309290min,pit,DwyeJo00,pass_int,0,,,,,
player,201309290min,pit,DwyeJo00,pass_sacked,0,,,,,
player,201309290min,pit,DwyeJo00,pass_sacked_yds,0,,,,,
player,201309290min,pit,DwyeJo00,pass_long,0,,,,,
player,201309290min,pit,DwyeJo00,pass_rating,,,,,,
player,201309290min,pit,DwyeJo00,rush_att,2,,,,,
player,201309290min,pit,DwyeJo00,rush_yds,7,,,,,
player,201309290min,pit,DwyeJo00,rush_td,0,,,,,
player,201309290min,pit,DwyeJo00,rush_long,7,,,,,
player,201309290min,pit,DwyeJo00,targets,0,,,,,
player,201309290min,pit,DwyeJo00,rec,0,,,,,
player,201309290min,pit,DwyeJo00,rec_yds,0,,,,,
player,201309290min,pit,DwyeJo00,rec_td,0,,,,,
player,201309290min,pit,DwyeJo00,rec_long,0,,,,,
player,201309290min,pit,DwyeJo00,fumbles,0,,,,,
player,201309290min,pit,DwyeJo00,fumbles_lost,0,,,,,
player,201309290min,pit,JoneFe00,pass_cmp,0,,,,,
player,201309290min,pit,JoneFe00,pass_att,0,,,,,
player,201309290min,pit,JoneFe00,pass_yds,0,,,,,
player,201309290min,pit,JoneFe00,pass_td,0,,,,,
player,201309290min,pit,JoneFe00,pass_int,0,,,,,
player,201309290min,pit,JoneFe00,pass_sacked,0,,,,,
player,201309290min,pit,JoneFe00,pass_sacked_yds,0,,,,,
player,201309290min,pit,JoneFe00,pass_long,0,,,,,
player,201309290min,pit,JoneFe00,pass_rating,,,,,,
player,201309290min,pit,JoneFe00,rush_att,2,,,,,
player,201309290min,pit,JoneFe00,rush_yds,3,,,,,
player,201309290min,pit,JoneFe00,rush_td,0,,,,,
player,201309290min,pit,JoneFe00,rush_long,2,,,,,
player,201309290min,pit,JoneFe00,targets,1,,,,,
player,201309290min,pit,JoneFe00,rec,1,,,,,
player,201309290min,pit,JoneFe00,rec_yds,4,,,,,
player,201309290min,pit,JoneFe00,rec_td,0,,,,,
player,201309290min,pit,JoneFe00,rec_long,4,,,,,
player,201309290min,pit,JoneFe00,fumbles,0,,,,,
player,201309290min,pit,JoneFe00,fumbles_lost,0,,,,,
player,201309290min,pit,CotcJe00,pass_cmp,0,,,,,
player,201309290min,pit,CotcJe00,pass_att,0,,,,,
player,201309290min,pit,CotcJe00,pass_yds,0,,,,,
player,201309290min,pit,CotcJe00,pass_td,0,,,,,
player,201309290min,pit,CotcJe00,pass_int,0,,,,,
player,201309290min,pit,CotcJe00,pass_sacked,0,,,,,
player,201309290min,pit,CotcJe00,pass_sacked_yds,0,,,,,
player,201309290min,pit,CotcJe00,pass_long,0,,,,,
player,201309290min,pit,CotcJe00,pass_rating,,,,,,
player,201309290min,pit,CotcJe00,rush_att,0,,,,,
player,201309290min,pit,CotcJe00,rush_yds,0,,,,,
player,201309290min,pit,CotcJe00,rush_td,0,,,,,
player,201309290min,pit,CotcJe00,rush_long,0,,,,,
player,201309290min,pit,CotcJe00,targets,6,,,,,
player,201309290min,pit,CotcJe00,rec,5,,,,,
player,201309290min,pit,CotcJe00,rec_yds,103,,,,,
player,201309290min,pit,CotcJe00,rec_td,1,,,,,
player,201309290min,pit,CotcJe00,rec_long,36,,,,,
player,201309290min,pit,CotcJe00,fumbles,0,,,,,
player,201309290min,pit,CotcJe00,fumbles_lost,0,,,,,
player,201309290min,pit,MillHe00,pass_cmp,0,,,,,
player,201309290min,pit,MillHe00,pass_att,0,,,,,
player,201309290min,pit,MillHe00,pass_yds,0,,,,,
player,201309290min,pit,MillHe00,pass_td,0,,,,,
player,201309290min,pit,MillHe00,pass_int,0,,,,,
player,201309290min,pit,MillHe00,pass_sacked,0,,,,,
player,201309290min,pit,MillHe00,pass_sacked_yds,0,,,,,
player,201309290min,pit,MillHe00,pass_long,0,,,,,
player,201309290min,pit,MillHe00,pass_rating,,,,,,
player,201309290min,pit,MillHe00,rush_att,0,,,,,
player,201309290min,pit,MillHe00,rush_yds,0,,,,,
player,201309290min,pit,MillHe00,rush_td,0,,,,,
player,201309290min,pit,MillHe00,rush_long,0,,,,,
player,201309290min,pit,MillHe00,targets,8,,,,,
player,201309290min,pit,MillHe00,rec,6,,,,,
player,201309290min,pit,MillHe00,rec_yds,70,,,,,
player,201309290min,pit,MillHe00,rec_td,0,,,,,
player,201309290min,pit,MillHe00,rec_long,28,,,,,
player,201309290min,pit,MillHe00,fumbles,0,,,,,
player,201309290min,pit,MillHe00,fumbles_lost,0,,,,,
player,201309290min,pit,SandEm00,pass_cmp,0,,,,,
player,201309290min,pit,SandEm00,pass_att,0,,,,,
player,201309290min,pit,SandEm00,pass_yds,0,,,,,
player,201309290min,pit,SandEm00,pass_td,0,,,,,
player,201309290min,pit,SandEm00,pass_int,0,,,,,
player,201309290min,pit,SandEm00,pass_sacked,0,,,,,
player,201309290min,pit,SandEm00,pass_sacked_yds,0,,,,,
player,201309290min,pit,SandEm00,pass_long,0,,,,,
player,201309290min,pit,SandEm00,pass_rating,,,,,,
player,201309290min,pit,SandEm00,rush_att,0,,,,,
player,201309290min,pit,SandEm00,rush_yds,0,,,,,
player,201309290min,pit,SandEm00,rush_td,0,,,,,
player,201309290min,pit,SandEm00,rush_long,0,,,,,
player,201309290min,pit,SandEm00,targets,8,,,,,
player,201309290min,pit,SandEm00,rec,4,,,,,
player,201309290min,pit,SandEm00,rec_yds,57,,,,,
player,201309290min,pit,SandEm00,rec_td,0,,,,,
player,201309290min,pit,SandEm00,rec_long,36,,,,,
player,201309290min,pit,SandEm00,fumbles,0,,,,,
player,201309290min,pit,SandEm00,fumbles_lost,0,,,,,
player,201309290min,pit,WheaMa00,pass_cmp,0,,,,,
player,201309290min,pit,WheaMa00,pass_att,0,,,,,
player,201309290min,pit,WheaMa00,pass_yds,0,,,,,
player,201309290min,pit,WheaMa00,pass_td,0,,,,,
player,201309290min,pit,WheaMa00,pass_int,0,,,,,
player,201309290min,pit,WheaMa00,pass_sacked,0,,,,,
player,201309290min,pit,WheaMa00,pass_sacked_yds,0,,,,,
player,201309290min,pit,WheaMa00,pass_long,0,,,,,
player,201309290min,pit,WheaMa00,pass_rating,,,,,,
player,201309290min,pit,WheaMa00,rush_att,0,,,,,
player,201309290min,pit,WheaMa00,rush_yds,0,,,,,
player,201309290min,pit,WheaMa00,rush_td,0,,,,,
player,201309290min,pit,WheaMa00,rush_long,0,,,,,
player,201309290min,pit,WheaMa00,targets,5,,,,,
player,201309290min,pit,WheaMa00,rec,3,,,,,
player,201309290min,pit,WheaMa00,rec_yds,26,,,,,
player,201309290min,pit,WheaMa00,rec_td,0,,,,,
player,201309290min,pit,WheaMa00,rec_long,15,,,,,
player,201309290min,pit,WheaMa00,fumbles,0,,,,,
player,201309290min,pit,WheaMa00,fumbles_lost,0,,,,,
player,201309290min,pit,JohnDa05,pass_cmp,0,,,,,
player,201309290min,pit,JohnDa05,pass_att,0,,,,,
player,201309290min,pit,JohnDa05,pass_yds,0,,,,,
player,201309290min,pit,JohnDa05,pass_td,0,,,,,
player,201309290min,pit,JohnDa05,pass_int,0,,,,,
player,201309290min,pit,JohnDa05,pass_sacked,0,,,,,
player,201309290min,pit,JohnDa05,pass_sacked_yds,0,,,,,
player,201309290min,pit,JohnDa05,pass_long,0,,,,,
player,201309290min,pit,JohnDa05,pass_rating,,,,,,
player,201309290min,pit,JohnDa05,rush_att,0,,,,,
player,201309290min,pit,JohnDa05,rush_yds,0,,,,,
player,201309290min,pit,JohnDa05,rush_td,0,,,,,
player,201309290min,pit,JohnDa05,rush_long,0,,,,,
player,201309290min,pit,JohnDa05,targets,1,,,,,
player,201309290min,pit,JohnDa05,rec,1,,,,,
player,201309290min,pit,JohnDa05,rec_yds,8,,,,,
player,201309290min,pit,JohnDa05,rec_td,0,,,,,
player,201309290min,pit,JohnDa05,rec_long,8,,,,,
player,201309290min,pit,JohnDa05,fumbles,0,,,,,
player,201309290min,pit,JohnDa05,fumbles_lost,0,,,,,
player,201309290min,min,CassMa00,pass_cmp,16,,,,,
player,201309290min,min,CassMa00,pass_att,25,,,,,
player,201309290min,min,CassMa00,pass_yds,248,,,,,
player,201309290min,min,CassMa00,pass_td,2,,,,,
player,201309290min,min,CassMa00,pass_int,0,,,,,
player,201309290min,min,CassMa00,pass_sacked,1,,,,,
player,201309290min,min,CassMa00,pass_sacked_yds,0,,,,,
player,201309290min,min,CassMa00,pass_long,70,,,,,
player,201309290min,min,CassMa00,pass_rating,123.4,,,,,
player,201309290min,min,CassMa00,rush_att,2,,,,,
player,201309290min,min,CassMa00,rush_yds,5,,,,,
player,201309290min,min,CassMa00,rush_td,0,,,,,
player,201309290min,min,CassMa00,rush_long,7,,,,,
player,201309290min,min,CassMa00,targets,0,,,,,
player,201309290min,min,CassMa00,rec,0,,,,,
player,201309290min,min,CassMa00,rec_yds,0,,,,,
player,201309290min,min,CassMa00,rec_td,0,,,,,
player,201309290min,min,CassMa00,rec_long,0,,,,,
player,201309290min,min,CassMa00,fumbles,1,,,,,
player,201309290min,min,CassMa00,fumbles_lost,0,,,,,
player,201309290min,min,PeteAd01,pass_cmp,0,,,,,
player,201309290min,min,PeteAd01,pass_att,0,,,,,
player,201309290min,min,PeteAd01,pass_yds,0,,,,,
player,201309290min,min,PeteAd01,pass_td,0,,,,,
player,201309290min,min,PeteAd01,pass_int,0,,,,,
player,201309290min,min,PeteAd01,pass_sacked,0,,,,,
player,201309290min,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201309290min,min,PeteAd01,pass_long,0,,,,,
player,201309290min,min,PeteAd01,pass_rating,,,,,,
player,201309290min,min,PeteAd01,rush_att,23,,,,,
player,201309290min,min,PeteAd01,rush_yds,140,,,,,
player,201309290min,min,PeteAd01,rush_td,2,,,,,
player,201309290min,min,PeteAd01,rush_long,60,,,,,
player,201309290min,min,PeteAd01,targets,1,,,,,
player,201309290min,min,PeteAd01,rec,0,,,,,
player,201309290min,min,PeteAd01,rec_yds,0,,,,,
player,201309290min,min,PeteAd01,rec_td,0,,,,,
player,201309290min,min,PeteAd01,rec_long,0,,,,,
player,201309290min,min,PeteAd01,fumbles,0,,,,,
player,201309290min,min,PeteAd01,fumbles_lost,0,,,,,
player,201309290min,min,SimpJe00,pass_cmp,0,,,,,
player,201309290min,min,SimpJe00,pass_att,0,,,,,
player,201309290min,min,SimpJe00,pass_yds,0,,,,,
player,201309290min,min,SimpJe00,pass_td,0,,,,,
player,201309290min,min,SimpJe00,pass_int,0,,,,,
player,201309290min,min,SimpJe00,pass_sacked,0,,,,,
player,201309290min,min,SimpJe00,pass_sacked_yds,0,,,,,
player,201309290min,min,SimpJe00,pass_long,0,,,,,
player,201309290min,min,SimpJe00,pass_rating,,,,,,
player,201309290min,min,SimpJe00,rush_att,0,,,,,
player,201309290min,min,SimpJe00,rush_yds,0,,,,,
player,201309290min,min,SimpJe00,rush_td,0,,,,,
player,201309290min,min,SimpJe00,rush_long,0,,,,,
player,201309290min,min,SimpJe00,targets,11,,,,,
player,201309290min,min,SimpJe00,rec,7,,,,,
player,201309290min,min,SimpJe00,rec_yds,124,,,,,
player,201309290min,min,SimpJe00,rec_td,0,,,,,
player,201309290min,min,SimpJe00,rec_long,51,,,,,
player,201309290min,min,SimpJe00,fumbles,0,,,,,
player,201309290min,min,SimpJe00,fumbles_lost,0,,,,,
player,201309290min,min,JennGr00,pass_cmp,0,,,,,
player,201309290min,min,JennGr00,pass_att,0,,,,,
player,201309290min,min,JennGr00,pass_yds,0,,,,,
player,201309290min,min,JennGr00,pass_td,0,,,,,
player,201309290min,min,JennGr00,pass_int,0,,,,,
player,201309290min,min,JennGr00,pass_sacked,0,,,,,
player,201309290min,min,JennGr00,pass_sacked_yds,0,,,,,
player,201309290min,min,JennGr00,pass_long,0,,,,,
player,201309290min,min,JennGr00,pass_rating,,,,,,
player,201309290min,min,JennGr00,rush_att,0,,,,,
player,201309290min,min,JennGr00,rush_yds,0,,,,,
player,201309290min,min,JennGr00,rush_td,0,,,,,
player,201309290min,min,JennGr00,rush_long,0,,,,,
player,201309290min,min,JennGr00,targets,4,,,,,
player,201309290min,min,JennGr00,rec,3,,,,,
player,201309290min,min,JennGr00,rec_yds,92,,,,,
player,201309290min,min,JennGr00,rec_td,2,,,,,
player,201309290min,min,JennGr00,rec_long,70,,,,,
player,201309290min,min,JennGr00,fumbles,0,,,,,
player,201309290min,min,JennGr00,fumbles_lost,0,,,,,
player,201309290min,min,PattCo00,pass_cmp,0,,,,,
player,201309290min,min,PattCo00,pass_att,0,,,,,
player,201309290min,min,PattCo00,pass_yds,0,,,,,
player,201309290min,min,PattCo00,pass_td,0,,,,,
player,201309290min,min,PattCo00,pass_int,0,,,,,
player,201309290min,min,PattCo00,pass_sacked,0,,,,,
player,201309290min,min,PattCo00,pass_sacked_yds,0,,,,,
player,201309290min,min,PattCo00,pass_long,0,,,,,
player,201309290min,min,PattCo00,pass_rating,,,,,,
player,201309290min,min,PattCo00,rush_att,0,,,,,
player,201309290min,min,PattCo00,rush_yds,0,,,,,
player,201309290min,min,PattCo00,rush_td,0,,,,,
player,201309290min,min,PattCo00,rush_long,0,,,,,
player,201309290min,min,PattCo00,targets,2,,,,,
player,201309290min,min,PattCo00,rec,1,,,,,
player,201309290min,min,PattCo00,rec_yds,9,,,,,
player,201309290min,min,PattCo00,rec_td,0,,,,,
player,201309290min,min,PattCo00,rec_long,9,,,,,
player,201309290min,min,PattCo00,fumbles,0,,,,,
player,201309290min,min,PattCo00,fumbles_lost,0,,,,,
player,201309290min,min,GerhTo00,pass_cmp,0,,,,,
player,201309290min,min,GerhTo00,pass_att,0,,,,,
player,201309290min,min,GerhTo00,pass_yds,0,,,,,
player,201309290min,min,GerhTo00,pass_td,0,,,,,
player,201309290min,min,GerhTo00,pass_int,0,,,,,
player,201309290min,min,GerhTo00,pass_sacked,0,,,,,
player,201309290min,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201309290min,min,GerhTo00,pass_long,0,,,,,
player,201309290min,min,GerhTo00,pass_rating,,,,,,
player,201309290min,min,GerhTo00,rush_att,0,,,,,
player,201309290min,min,GerhTo00,rush_yds,0,,,,,
player,201309290min,min,GerhTo00,rush_td,0,,,,,
player,201309290min,min,GerhTo00,rush_long,0,,,,,
player,201309290min,min,GerhTo00,targets,1,,,,,
player,201309290min,min,GerhTo00,rec,1,,,,,
player,201309290min,min,GerhTo00,rec_yds,7,,,,,
player,201309290min,min,GerhTo00,rec_td,0,,,,,
player,201309290min,min,GerhTo00,rec_long,7,,,,,
player,201309290min,min,GerhTo00,fumbles,0,,,,,
player,201309290min,min,GerhTo00,fumbles_lost,0,,,,,
player,201309290min,min,RudoKy00,pass_cmp,0,,,,,
player,201309290min,min,RudoKy00,pass_att,0,,,,,
player,201309290min,min,RudoKy00,pass_yds,0,,,,,
player,201309290min,min,RudoKy00,pass_td,0,,,,,
player,201309290min,min,RudoKy00,pass_int,0,,,,,
player,201309290min,min,RudoKy00,pass_sacked,0,,,,,
player,201309290min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201309290min,min,RudoKy00,pass_long,0,,,,,
player,201309290min,min,RudoKy00,pass_rating,,,,,,
player,201309290min,min,RudoKy00,rush_att,0,,,,,
player,201309290min,min,RudoKy00,rush_yds,0,,,,,
player,201309290min,min,RudoKy00,rush_td,0,,,,,
player,201309290min,min,RudoKy00,rush_long,0,,,,,
player,201309290min,min,RudoKy00,targets,2,,,,,
player,201309290min,min,RudoKy00,rec,2,,,,,
player,201309290min,min,RudoKy00,rec_yds,6,,,,,
player,201309290min,min,RudoKy00,rec_td,0,,,,,
player,201309290min,min,RudoKy00,rec_long,6,,,,,
player,201309290min,min,RudoKy00,fumbles,0,,,,,
player,201309290min,min,RudoKy00,fumbles_lost,0,,,,,
player,201309290min,min,WrigJa02,pass_cmp,0,,,,,
player,201309290min,min,WrigJa02,pass_att,0,,,,,
player,201309290min,min,WrigJa02,pass_yds,0,,,,,
player,201309290min,min,WrigJa02,pass_td,0,,,,,
player,201309290min,min,WrigJa02,pass_int,0,,,,,
player,201309290min,min,WrigJa02,pass_sacked,0,,,,,
player,201309290min,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201309290min,min,WrigJa02,pass_long,0,,,,,
player,201309290min,min,WrigJa02,pass_rating,,,,,,
player,201309290min,min,WrigJa02,rush_att,0,,,,,
player,201309290min,min,WrigJa02,rush_yds,0,,,,,
player,201309290min,min,WrigJa02,rush_td,0,,,,,
player,201309290min,min,WrigJa02,rush_long,0,,,,,
player,201309290min,min,WrigJa02,targets,1,,,,,
player,201309290min,min,WrigJa02,rec,1,,,,,
player,201309290min,min,WrigJa02,rec_yds,6,,,,,
player,201309290min,min,WrigJa02,rec_td,0,,,,,
player,201309290min,min,WrigJa02,rec_long,6,,,,,
player,201309290min,min,WrigJa02,fumbles,0,,,,,
player,201309290min,min,WrigJa02,fumbles_lost,0,,,,,
player,201309290min,min,CarlJo00,pass_cmp,0,,,,,
player,201309290min,min,CarlJo00,pass_att,0,,,,,
player,201309290min,min,CarlJo00,pass_yds,0,,,,,
player,201309290min,min,CarlJo00,pass_td,0,,,,,
player,201309290min,min,CarlJo00,pass_int,0,,,,,
player,201309290min,min,CarlJo00,pass_sacked,0,,,,,
player,201309290min,min,CarlJo00,pass_sacked_yds,0,,,,,
player,201309290min,min,CarlJo00,pass_long,0,,,,,
player,201309290min,min,CarlJo00,pass_rating,,,,,,
player,201309290min,min,CarlJo00,rush_att,0,,,,,
player,201309290min,min,CarlJo00,rush_yds,0,,,,,
player,201309290min,min,CarlJo00,rush_td,0,,,,,
player,201309290min,min,CarlJo00,rush_long,0,,,,,
player,201309290min,min,CarlJo00,targets,2,,,,,
player,201309290min,min,CarlJo00,rec,1,,,,,
player,201309290min,min,CarlJo00,rec_yds,4,,,,,
player,201309290min,min,CarlJo00,rec_td,0,,,,,
player,201309290min,min,CarlJo00,rec_long,4,,,,,
player,201309290min,min,CarlJo00,fumbles,0,,,,,
player,201309290min,min,CarlJo00,fumbles_lost,0,,,,,
player,201309290min,min,WebbJo00,pass_cmp,0,,,,,
player,201309290min,min,WebbJo00,pass_att,0,,,,,
player,201309290min,min,WebbJo00,pass_yds,0,,,,,
player,201309290min,min,WebbJo00,pass_td,0,,,,,
player,201309290min,min,WebbJo00,pass_int,0,,,,,
player,201309290min,min,WebbJo00,pass_sacked,0,,,,,
player,201309290min,min,WebbJo00,pass_sacked_yds,0,,,,,
player,201309290min,min,WebbJo00,pass_long,0,,,,,
