game,2013,9,20131103,201311030htx,clt,"Indianapolis Colts",27,htx,"Houston Texans",24
player,201311030htx,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201311030htx,clt,HiltT.00,pass_long,0,,,,,
player,201311030htx,clt,HiltT.00,pass_rating,,,,,,
player,201311030htx,clt,HiltT.00,rush_att,0,,,,,
player,201311030htx,clt,HiltT.00,rush_yds,0,,,,,
player,201311030htx,clt,HiltT.00,rush_td,0,,,,,
player,201311030htx,clt,HiltT.00,rush_long,0,,,,,
player,201311030htx,clt,HiltT.00,targets,12,,,,,
player,201311030htx,clt,HiltT.00,rec,7,,,,,
player,201311030htx,clt,HiltT.00,rec_yds,121,,,,,
player,201311030htx,clt,HiltT.00,rec_td,3,,,,,
player,201311030htx,clt,HiltT.00,rec_long,58,,,,,
player,201311030htx,clt,HiltT.00,fumbles,0,,,,,
player,201311030htx,clt,HiltT.00,fumbles_lost,0,,,,,
player,201311030htx,clt,FleeCo00,pass_cmp,0,,,,,
player,201311030htx,clt,FleeCo00,pass_att,0,,,,,
player,201311030htx,clt,FleeCo00,pass_yds,0,,,,,
player,201311030htx,clt,FleeCo00,pass_td,0,,,,,
player,201311030htx,clt,FleeCo00,pass_int,0,,,,,
player,201311030htx,clt,FleeCo00,pass_sacked,0,,,,,
player,201311030htx,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201311030htx,clt,FleeCo00,pass_long,0,,,,,
player,201311030htx,clt,FleeCo00,pass_rating,,,,,,
player,201311030htx,clt,FleeCo00,rush_att,0,,,,,
player,201311030htx,clt,FleeCo00,rush_yds,0,,,,,
player,201311030htx,clt,FleeCo00,rush_td,0,,,,,
player,201311030htx,clt,FleeCo00,rush_long,0,,,,,
player,201311030htx,clt,FleeCo00,targets,5,,,,,
player,201311030htx,clt,FleeCo00,rec,3,,,,,
player,201311030htx,clt,FleeCo00,rec_yds,64,,,,,
player,201311030htx,clt,FleeCo00,rec_td,0,,,,,
player,201311030htx,clt,FleeCo00,rec_long,44,,,,,
player,201311030htx,clt,FleeCo00,fumbles,0,,,,,
player,201311030htx,clt,FleeCo00,fumbles_lost,0,,,,,
player,201311030htx,clt,WhalGr00,pass_cmp,0,,,,,
player,201311030htx,clt,WhalGr00,pass_att,0,,,,,
player,201311030htx,clt,WhalGr00,pass_yds,0,,,,,
player,201311030htx,clt,WhalGr00,pass_td,0,,,,,
player,201311030htx,clt,WhalGr00,pass_int,0,,,,,
player,201311030htx,clt,WhalGr00,pass_sacked,0,,,,,
player,201311030htx,clt,WhalGr00,pass_sacked_yds,0,,,,,
player,201311030htx,clt,WhalGr00,pass_long,0,,,,,
player,201311030htx,clt,WhalGr00,pass_rating,,,,,,
player,201311030htx,clt,WhalGr00,rush_att,0,,,,,
player,201311030htx,clt,WhalGr00,rush_yds,0,,,,,
player,201311030htx,clt,WhalGr00,rush_td,0,,,,,
player,201311030htx,clt,WhalGr00,rush_long,0,,,,,
player,201311030htx,clt,WhalGr00,targets,9,,,,,
player,201311030htx,clt,WhalGr00,rec,3,,,,,
player,201311030htx,clt,WhalGr00,rec_yds,32,,,,,
player,201311030htx,clt,WhalGr00,rec_td,0,,,,,
player,201311030htx,clt,WhalGr00,rec_long,17,,,,,
player,201311030htx,clt,WhalGr00,fumbles,0,,,,,
player,201311030htx,clt,WhalGr00,fumbles_lost,0,,,,,
player,201311030htx,clt,HeywDa00,pass_cmp,0,,,,,
player,201311030htx,clt,HeywDa00,pass_att,0,,,,,
player,201311030htx,clt,HeywDa00,pass_yds,0,,,,,
player,201311030htx,clt,HeywDa00,pass_td,0,,,,,
player,201311030htx,clt,HeywDa00,pass_int,0,,,,,
player,201311030htx,clt,HeywDa00,pass_sacked,0,,,,,
player,201311030htx,clt,HeywDa00,pass_sacked_yds,0,,,,,
player,201311030htx,clt,HeywDa00,pass_long,0,,,,,
player,201311030htx,clt,HeywDa00,pass_rating,,,,,,
player,201311030htx,clt,HeywDa00,rush_att,0,,,,,
player,201311030htx,clt,HeywDa00,rush_yds,0,,,,,
player,201311030htx,clt,HeywDa00,rush_td,0,,,,,
player,201311030htx,clt,HeywDa00,rush_long,0,,,,,
player,201311030htx,clt,HeywDa00,targets,6,,,,,
player,201311030htx,clt,HeywDa00,rec,1,,,,,
player,201311030htx,clt,HeywDa00,rec_yds,11,,,,,
