game,2013,15,20131215,201312150nyg,sea,"Seattle Seahawks",23,nyg,"New York Giants",0
player,201312150nyg,sea,TurbRo00,rec_td,0,,,,,
player,201312150nyg,sea,TurbRo00,rec_long,1,,,,,
player,201312150nyg,sea,TurbRo00,fumbles,0,,,,,
player,201312150nyg,sea,TurbRo00,fumbles_lost,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_cmp,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_att,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_yds,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_td,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_int,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_sacked,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_long,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_rating,,,,,,
player,201312150nyg,sea,BaldDo00,rush_att,1,,,,,
player,201312150nyg,sea,BaldDo00,rush_yds,3,,,,,
player,201312150nyg,sea,BaldDo00,rush_td,0,,,,,
player,201312150nyg,sea,BaldDo00,rush_long,3,,,,,
player,201312150nyg,sea,BaldDo00,targets,7,,,,,
player,201312150nyg,sea,BaldDo00,rec,6,,,,,
player,201312150nyg,sea,BaldDo00,rec_yds,71,,,,,
player,201312150nyg,sea,BaldDo00,rec_td,1,,,,,
player,201312150nyg,sea,BaldDo00,rec_long,25,,,,,
player,201312150nyg,sea,BaldDo00,fumbles,0,,,,,
player,201312150nyg,sea,BaldDo00,fumbles_lost,0,,,,,
player,201312150nyg,sea,TateGo00,pass_cmp,0,,,,,
player,201312150nyg,sea,TateGo00,pass_att,0,,,,,
player,201312150nyg,sea,TateGo00,pass_yds,0,,,,,
player,201312150nyg,sea,TateGo00,pass_td,0,,,,,
player,201312150nyg,sea,TateGo00,pass_int,0,,,,,
player,201312150nyg,sea,TateGo00,pass_sacked,0,,,,,
player,201312150nyg,sea,TateGo00,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,TateGo00,pass_long,0,,,,,
player,201312150nyg,sea,TateGo00,pass_rating,,,,,,
player,201312150nyg,sea,TateGo00,rush_att,0,,,,,
player,201312150nyg,sea,TateGo00,rush_yds,0,,,,,
player,201312150nyg,sea,TateGo00,rush_td,0,,,,,
player,201312150nyg,sea,TateGo00,rush_long,0,,,,,
player,201312150nyg,sea,TateGo00,targets,6,,,,,
player,201312150nyg,sea,TateGo00,rec,2,,,,,
player,201312150nyg,sea,TateGo00,rec_yds,25,,,,,
player,201312150nyg,sea,TateGo00,rec_td,0,,,,,
player,201312150nyg,sea,TateGo00,rec_long,17,,,,,
player,201312150nyg,sea,TateGo00,fumbles,0,,,,,
player,201312150nyg,sea,TateGo00,fumbles_lost,0,,,,,
player,201312150nyg,sea,WillLu00,pass_cmp,0,,,,,
player,201312150nyg,sea,WillLu00,pass_att,0,,,,,
player,201312150nyg,sea,WillLu00,pass_yds,0,,,,,
player,201312150nyg,sea,WillLu00,pass_td,0,,,,,
player,201312150nyg,sea,WillLu00,pass_int,0,,,,,
player,201312150nyg,sea,WillLu00,pass_sacked,0,,,,,
player,201312150nyg,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,WillLu00,pass_long,0,,,,,
player,201312150nyg,sea,WillLu00,pass_rating,,,,,,
player,201312150nyg,sea,WillLu00,rush_att,0,,,,,
player,201312150nyg,sea,WillLu00,rush_yds,0,,,,,
player,201312150nyg,sea,WillLu00,rush_td,0,,,,,
player,201312150nyg,sea,WillLu00,rush_long,0,,,,,
player,201312150nyg,sea,WillLu00,targets,2,,,,,
player,201312150nyg,sea,WillLu00,rec,2,,,,,
player,201312150nyg,sea,WillLu00,rec_yds,23,,,,,
player,201312150nyg,sea,WillLu00,rec_td,0,,,,,
player,201312150nyg,sea,WillLu00,rec_long,15,,,,,
player,201312150nyg,sea,WillLu00,fumbles,0,,,,,
player,201312150nyg,sea,WillLu00,fumbles_lost,0,,,,,
player,201312150nyg,sea,KearJe01,pass_cmp,0,,,,,
player,201312150nyg,sea,KearJe01,pass_att,0,,,,,
player,201312150nyg,sea,KearJe01,pass_yds,0,,,,,
player,201312150nyg,sea,KearJe01,pass_td,0,,,,,
player,201312150nyg,sea,KearJe01,pass_int,0,,,,,
player,201312150nyg,sea,KearJe01,pass_sacked,0,,,,,
player,201312150nyg,sea,KearJe01,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,KearJe01,pass_long,0,,,,,
player,201312150nyg,sea,KearJe01,pass_rating,,,,,,
player,201312150nyg,sea,KearJe01,rush_att,0,,,,,
player,201312150nyg,sea,KearJe01,rush_yds,0,,,,,
player,201312150nyg,sea,KearJe01,rush_td,0,,,,,
player,201312150nyg,sea,KearJe01,rush_long,0,,,,,
player,201312150nyg,sea,KearJe01,targets,3,,,,,
player,201312150nyg,sea,KearJe01,rec,2,,,,,
player,201312150nyg,sea,KearJe01,rec_yds,21,,,,,
player,201312150nyg,sea,KearJe01,rec_td,0,,,,,
player,201312150nyg,sea,KearJe01,rec_long,13,,,,,
player,201312150nyg,sea,KearJe01,fumbles,0,,,,,
player,201312150nyg,sea,KearJe01,fumbles_lost,0,,,,,
player,201312150nyg,sea,MillZa01,pass_cmp,0,,,,,
player,201312150nyg,sea,MillZa01,pass_att,0,,,,,
player,201312150nyg,sea,MillZa01,pass_yds,0,,,,,
player,201312150nyg,sea,MillZa01,pass_td,0,,,,,
player,201312150nyg,sea,MillZa01,pass_int,0,,,,,
player,201312150nyg,sea,MillZa01,pass_sacked,0,,,,,
player,201312150nyg,sea,MillZa01,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,MillZa01,pass_long,0,,,,,
player,201312150nyg,sea,MillZa01,pass_rating,,,,,,
player,201312150nyg,sea,MillZa01,rush_att,0,,,,,
player,201312150nyg,sea,MillZa01,rush_yds,0,,,,,
player,201312150nyg,sea,MillZa01,rush_td,0,,,,,
player,201312150nyg,sea,MillZa01,rush_long,0,,,,,
player,201312150nyg,sea,MillZa01,targets,3,,,,,
player,201312150nyg,sea,MillZa01,rec,1,,,,,
player,201312150nyg,sea,MillZa01,rec_yds,8,,,,,
player,201312150nyg,sea,MillZa01,rec_td,0,,,,,
player,201312150nyg,sea,MillZa01,rec_long,8,,,,,
player,201312150nyg,sea,MillZa01,fumbles,0,,,,,
player,201312150nyg,sea,MillZa01,fumbles_lost,0,,,,,
player,201312150nyg,sea,ThomEa99,pass_cmp,0,,,,,
player,201312150nyg,sea,ThomEa99,pass_att,0,,,,,
player,201312150nyg,sea,ThomEa99,pass_yds,0,,,,,
player,201312150nyg,sea,ThomEa99,pass_td,0,,,,,
player,201312150nyg,sea,ThomEa99,pass_int,0,,,,,
player,201312150nyg,sea,ThomEa99,pass_sacked,0,,,,,
player,201312150nyg,sea,ThomEa99,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,ThomEa99,pass_long,0,,,,,
player,201312150nyg,sea,ThomEa99,pass_rating,,,,,,
player,201312150nyg,sea,ThomEa99,rush_att,0,,,,,
player,201312150nyg,sea,ThomEa99,rush_yds,0,,,,,
player,201312150nyg,sea,ThomEa99,rush_td,0,,,,,
player,201312150nyg,sea,ThomEa99,rush_long,0,,,,,
player,201312150nyg,sea,ThomEa99,targets,1,,,,,
player,201312150nyg,sea,ThomEa99,rec,0,,,,,
player,201312150nyg,sea,ThomEa99,rec_yds,0,,,,,
player,201312150nyg,sea,ThomEa99,rec_td,0,,,,,
player,201312150nyg,sea,ThomEa99,rec_long,0,,,,,
player,201312150nyg,sea,ThomEa99,fumbles,0,,,,,
player,201312150nyg,sea,ThomEa99,fumbles_lost,0,,,,,
player,201312150nyg,sea,LockRi00,pass_cmp,0,,,,,
player,201312150nyg,sea,LockRi00,pass_att,0,,,,,
player,201312150nyg,sea,LockRi00,pass_yds,0,,,,,
player,201312150nyg,sea,LockRi00,pass_td,0,,,,,
player,201312150nyg,sea,LockRi00,pass_int,0,,,,,
player,201312150nyg,sea,LockRi00,pass_sacked,0,,,,,
player,201312150nyg,sea,LockRi00,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,LockRi00,pass_long,0,,,,,
player,201312150nyg,sea,LockRi00,pass_rating,,,,,,
player,201312150nyg,sea,LockRi00,rush_att,0,,,,,
player,201312150nyg,sea,LockRi00,rush_yds,0,,,,,
player,201312150nyg,sea,LockRi00,rush_td,0,,,,,
player,201312150nyg,sea,LockRi00,rush_long,0,,,,,
player,201312150nyg,sea,LockRi00,targets,1,,,,,
player,201312150nyg,sea,LockRi00,rec,0,,,,,
player,201312150nyg,sea,LockRi00,rec_yds,0,,,,,
player,201312150nyg,sea,LockRi00,rec_td,0,,,,,
player,201312150nyg,sea,LockRi00,rec_long,0,,,,,
player,201312150nyg,sea,LockRi00,fumbles,0,,,,,
player,201312150nyg,sea,LockRi00,fumbles_lost,0,,,,,
player,201312150nyg,nyg,MannEl00,pass_cmp,18,,,,,
player,201312150nyg,nyg,MannEl00,pass_att,31,,,,,
player,201312150nyg,nyg,MannEl00,pass_yds,156,,,,,
player,201312150nyg,nyg,MannEl00,pass_td,0,,,,,
player,201312150nyg,nyg,MannEl00,pass_int,5,,,,,
player,201312150nyg,nyg,MannEl00,pass_sacked,3,,,,,
player,201312150nyg,nyg,MannEl00,pass_sacked_yds,24,,,,,
player,201312150nyg,nyg,MannEl00,pass_long,20,,,,,
player,201312150nyg,nyg,MannEl00,pass_rating,31.9,,,,,
player,201312150nyg,nyg,MannEl00,rush_att,0,,,,,
player,201312150nyg,nyg,MannEl00,rush_yds,0,,,,,
player,201312150nyg,nyg,MannEl00,rush_td,0,,,,,
player,201312150nyg,nyg,MannEl00,rush_long,0,,,,,
player,201312150nyg,nyg,MannEl00,targets,0,,,,,
player,201312150nyg,nyg,MannEl00,rec,0,,,,,
player,201312150nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201312150nyg,nyg,MannEl00,rec_td,0,,,,,
player,201312150nyg,nyg,MannEl00,rec_long,0,,,,,
player,201312150nyg,nyg,MannEl00,fumbles,2,,,,,
player,201312150nyg,nyg,MannEl00,fumbles_lost,0,,,,,
player,201312150nyg,nyg,PainCu00,pass_cmp,4,,,,,
player,201312150nyg,nyg,PainCu00,pass_att,4,,,,,
player,201312150nyg,nyg,PainCu00,pass_yds,30,,,,,
