game,2013,14,20131208,201312080was,kan,"Kansas City Chiefs",45,was,"Washington Redskins",10
team,201312080was,kan,First Downs,20,,,,,,
team,201312080was,was,First Downs,13,,,,,,
team,201312080was,kan,Rush-Yds-TDs,38-192-2,,,,,,
team,201312080was,was,Rush-Yds-TDs,17-65-0,,,,,,
team,201312080was,kan,Cmp-Att-Yd-TD-INT,15-23-154-2-1,,,,,,
team,201312080was,was,Cmp-Att-Yd-TD-INT,19-42-223-1-1,,,,,,
team,201312080was,kan,Sacked-Yards,0-0,,,,,,
team,201312080was,was,Sacked-Yards,6-31,,,,,,
team,201312080was,kan,Net Pass Yards,154,,,,,,
team,201312080was,was,Net Pass Yards,192,,,,,,
team,201312080was,kan,Total Yards,346,,,,,,
team,201312080was,was,Total Yards,257,,,,,,
team,201312080was,kan,Fumbles-Lost,0-0,,,,,,
team,201312080was,was,Fumbles-Lost,2-1,,,,,,
team,201312080was,kan,Turnovers,1,,,,,,
team,201312080was,was,Turnovers,2,,,,,,
team,201312080was,kan,Penalties-Yards,3-30,,,,,,
team,201312080was,was,Penalties-Yards,4-27,,,,,,
team,201312080was,kan,Third Down Conv.,2-11,,,,,,
team,201312080was,was,Third Down Conv.,3-15,,,,,,
team,201312080was,kan,Fourth Down Conv.,1-2,,,,,,
team,201312080was,was,Fourth Down Conv.,0-2,,,,,,
team,201312080was,kan,Time of Possession,34:10,,,,,,
team,201312080was,was,Time of Possession,25:50,,,,,,
player,201312080was,kan,SmitAl03,pass_cmp,14,,,,,
player,201312080was,kan,SmitAl03,pass_att,20,,,,,
player,201312080was,kan,SmitAl03,pass_yds,137,,,,,
player,201312080was,kan,SmitAl03,pass_td,2,,,,,
player,201312080was,kan,SmitAl03,pass_int,0,,,,,
player,201312080was,kan,SmitAl03,pass_sacked,0,,,,,
player,201312080was,kan,SmitAl03,pass_sacked_yds,0,,,,,
player,201312080was,kan,SmitAl03,pass_long,22,,,,,
player,201312080was,kan,SmitAl03,pass_rating,122.3,,,,,
player,201312080was,kan,SmitAl03,rush_att,2,,,,,
player,201312080was,kan,SmitAl03,rush_yds,7,,,,,
player,201312080was,kan,SmitAl03,rush_td,0,,,,,
player,201312080was,kan,SmitAl03,rush_long,4,,,,,
player,201312080was,kan,SmitAl03,targets,0,,,,,
player,201312080was,kan,SmitAl03,rec,0,,,,,
player,201312080was,kan,SmitAl03,rec_yds,0,,,,,
player,201312080was,kan,SmitAl03,rec_td,0,,,,,
player,201312080was,kan,SmitAl03,rec_long,0,,,,,
player,201312080was,kan,SmitAl03,fumbles,0,,,,,
player,201312080was,kan,SmitAl03,fumbles_lost,0,,,,,
player,201312080was,kan,DaniCh00,pass_cmp,1,,,,,
player,201312080was,kan,DaniCh00,pass_att,3,,,,,
player,201312080was,kan,DaniCh00,pass_yds,17,,,,,
player,201312080was,kan,DaniCh00,pass_td,0,,,,,
player,201312080was,kan,DaniCh00,pass_int,1,,,,,
player,201312080was,kan,DaniCh00,pass_sacked,0,,,,,
player,201312080was,kan,DaniCh00,pass_sacked_yds,0,,,,,
player,201312080was,kan,DaniCh00,pass_long,17,,,,,
player,201312080was,kan,DaniCh00,pass_rating,13.9,,,,,
player,201312080was,kan,DaniCh00,rush_att,3,,,,,
player,201312080was,kan,DaniCh00,rush_yds,-3,,,,,
player,201312080was,kan,DaniCh00,rush_td,0,,,,,
player,201312080was,kan,DaniCh00,rush_long,-1,,,,,
player,201312080was,kan,DaniCh00,targets,0,,,,,
player,201312080was,kan,DaniCh00,rec,0,,,,,
player,201312080was,kan,DaniCh00,rec_yds,0,,,,,
player,201312080was,kan,DaniCh00,rec_td,0,,,,,
player,201312080was,kan,DaniCh00,rec_long,0,,,,,
player,201312080was,kan,DaniCh00,fumbles,0,,,,,
player,201312080was,kan,DaniCh00,fumbles_lost,0,,,,,
player,201312080was,kan,CharJa00,pass_cmp,0,,,,,
player,201312080was,kan,CharJa00,pass_att,0,,,,,
player,201312080was,kan,CharJa00,pass_yds,0,,,,,
player,201312080was,kan,CharJa00,pass_td,0,,,,,
player,201312080was,kan,CharJa00,pass_int,0,,,,,
player,201312080was,kan,CharJa00,pass_sacked,0,,,,,
player,201312080was,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201312080was,kan,CharJa00,pass_long,0,,,,,
player,201312080was,kan,CharJa00,pass_rating,,,,,,
player,201312080was,kan,CharJa00,rush_att,19,,,,,
player,201312080was,kan,CharJa00,rush_yds,150,,,,,
player,201312080was,kan,CharJa00,rush_td,1,,,,,
player,201312080was,kan,CharJa00,rush_long,35,,,,,
player,201312080was,kan,CharJa00,targets,3,,,,,
player,201312080was,kan,CharJa00,rec,2,,,,,
player,201312080was,kan,CharJa00,rec_yds,8,,,,,
player,201312080was,kan,CharJa00,rec_td,1,,,,,
player,201312080was,kan,CharJa00,rec_long,5,,,,,
player,201312080was,kan,CharJa00,fumbles,0,,,,,
player,201312080was,kan,CharJa00,fumbles_lost,0,,,,,
player,201312080was,kan,DaviKn00,pass_cmp,0,,,,,
player,201312080was,kan,DaviKn00,pass_att,0,,,,,
player,201312080was,kan,DaviKn00,pass_yds,0,,,,,
player,201312080was,kan,DaviKn00,pass_td,0,,,,,
player,201312080was,kan,DaviKn00,pass_int,0,,,,,
player,201312080was,kan,DaviKn00,pass_sacked,0,,,,,
player,201312080was,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201312080was,kan,DaviKn00,pass_long,0,,,,,
player,201312080was,kan,DaviKn00,pass_rating,,,,,,
player,201312080was,kan,DaviKn00,rush_att,11,,,,,
player,201312080was,kan,DaviKn00,rush_yds,30,,,,,
player,201312080was,kan,DaviKn00,rush_td,1,,,,,
player,201312080was,kan,DaviKn00,rush_long,17,,,,,
player,201312080was,kan,DaviKn00,targets,2,,,,,
player,201312080was,kan,DaviKn00,rec,1,,,,,
player,201312080was,kan,DaviKn00,rec_yds,17,,,,,
player,201312080was,kan,DaviKn00,rec_td,0,,,,,
player,201312080was,kan,DaviKn00,rec_long,17,,,,,
player,201312080was,kan,DaviKn00,fumbles,0,,,,,
player,201312080was,kan,DaviKn00,fumbles_lost,0,,,,,
player,201312080was,kan,GrayCy00,pass_cmp,0,,,,,
player,201312080was,kan,GrayCy00,pass_att,0,,,,,
player,201312080was,kan,GrayCy00,pass_yds,0,,,,,
player,201312080was,kan,GrayCy00,pass_td,0,,,,,
player,201312080was,kan,GrayCy00,pass_int,0,,,,,
player,201312080was,kan,GrayCy00,pass_sacked,0,,,,,
player,201312080was,kan,GrayCy00,pass_sacked_yds,0,,,,,
player,201312080was,kan,GrayCy00,pass_long,0,,,,,
player,201312080was,kan,GrayCy00,pass_rating,,,,,,
player,201312080was,kan,GrayCy00,rush_att,3,,,,,
player,201312080was,kan,GrayCy00,rush_yds,8,,,,,
player,201312080was,kan,GrayCy00,rush_td,0,,,,,
player,201312080was,kan,GrayCy00,rush_long,3,,,,,
player,201312080was,kan,GrayCy00,targets,1,,,,,
player,201312080was,kan,GrayCy00,rec,0,,,,,
player,201312080was,kan,GrayCy00,rec_yds,0,,,,,
player,201312080was,kan,GrayCy00,rec_td,0,,,,,
player,201312080was,kan,GrayCy00,rec_long,0,,,,,
player,201312080was,kan,GrayCy00,fumbles,0,,,,,
player,201312080was,kan,GrayCy00,fumbles_lost,0,,,,,
player,201312080was,kan,BoweDw00,pass_cmp,0,,,,,
player,201312080was,kan,BoweDw00,pass_att,0,,,,,
player,201312080was,kan,BoweDw00,pass_yds,0,,,,,
