game,2013,9,20131103,201311030was,sdg,"San Diego Chargers",24,was,"Washington Redskins",30
team,201311030was,sdg,First Downs,25,,,,,,
team,201311030was,was,First Downs,27,,,,,,
team,201311030was,sdg,Rush-Yds-TDs,16-69-0,,,,,,
team,201311030was,was,Rush-Yds-TDs,40-209-4,,,,,,
team,201311030was,sdg,Cmp-Att-Yd-TD-INT,29-46-341-2-2,,,,,,
team,201311030was,was,Cmp-Att-Yd-TD-INT,23-32-291-0-1,,,,,,
team,201311030was,sdg,Sacked-Yards,1-0,,,,,,
team,201311030was,was,Sacked-Yards,0-0,,,,,,
team,201311030was,sdg,Net Pass Yards,341,,,,,,
team,201311030was,was,Net Pass Yards,291,,,,,,
team,201311030was,sdg,Total Yards,410,,,,,,
team,201311030was,was,Total Yards,500,,,,,,
team,201311030was,sdg,Fumbles-Lost,0-0,,,,,,
team,201311030was,was,Fumbles-Lost,0-0,,,,,,
team,201311030was,sdg,Turnovers,2,,,,,,
team,201311030was,was,Turnovers,1,,,,,,
team,201311030was,sdg,Penalties-Yards,7-63,,,,,,
team,201311030was,was,Penalties-Yards,7-65,,,,,,
team,201311030was,sdg,Third Down Conv.,3-9,,,,,,
team,201311030was,was,Third Down Conv.,12-17,,,,,,
team,201311030was,sdg,Fourth Down Conv.,1-1,,,,,,
team,201311030was,was,Fourth Down Conv.,0-0,,,,,,
team,201311030was,sdg,Time of Possession,25:58,,,,,,
team,201311030was,was,Time of Possession,40:03,,,,,,
player,201311030was,sdg,RivePh00,pass_cmp,29,,,,,
player,201311030was,sdg,RivePh00,pass_att,46,,,,,
player,201311030was,sdg,RivePh00,pass_yds,341,,,,,
player,201311030was,sdg,RivePh00,pass_td,2,,,,,
player,201311030was,sdg,RivePh00,pass_int,2,,,,,
player,201311030was,sdg,RivePh00,pass_sacked,1,,,,,
player,201311030was,sdg,RivePh00,pass_sacked_yds,0,,,,,
player,201311030was,sdg,RivePh00,pass_long,22,,,,,
player,201311030was,sdg,RivePh00,pass_rating,81.9,,,,,
player,201311030was,sdg,RivePh00,rush_att,2,,,,,
player,201311030was,sdg,RivePh00,rush_yds,14,,,,,
player,201311030was,sdg,RivePh00,rush_td,0,,,,,
player,201311030was,sdg,RivePh00,rush_long,9,,,,,
player,201311030was,sdg,RivePh00,targets,0,,,,,
player,201311030was,sdg,RivePh00,rec,0,,,,,
player,201311030was,sdg,RivePh00,rec_yds,0,,,,,
player,201311030was,sdg,RivePh00,rec_td,0,,,,,
player,201311030was,sdg,RivePh00,rec_long,0,,,,,
player,201311030was,sdg,RivePh00,fumbles,0,,,,,
player,201311030was,sdg,RivePh00,fumbles_lost,0,,,,,
player,201311030was,sdg,MathRy00,pass_cmp,0,,,,,
player,201311030was,sdg,MathRy00,pass_att,0,,,,,
player,201311030was,sdg,MathRy00,pass_yds,0,,,,,
player,201311030was,sdg,MathRy00,pass_td,0,,,,,
player,201311030was,sdg,MathRy00,pass_int,0,,,,,
player,201311030was,sdg,MathRy00,pass_sacked,0,,,,,
player,201311030was,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201311030was,sdg,MathRy00,pass_long,0,,,,,
