game,2013,7,20131020,201310200was,chi,"Chicago Bears",41,was,"Washington Redskins",45
team,201310200was,chi,First Downs,21,,,,,,
team,201310200was,was,First Downs,28,,,,,,
team,201310200was,chi,Rush-Yds-TDs,22-140-3,,,,,,
team,201310200was,was,Rush-Yds-TDs,43-209-3,,,,,,
team,201310200was,chi,Cmp-Att-Yd-TD-INT,17-28-232-1-1,,,,,,
team,201310200was,was,Cmp-Att-Yd-TD-INT,18-29-298-2-1,,,,,,
team,201310200was,chi,Sacked-Yards,2-13,,,,,,
team,201310200was,was,Sacked-Yards,1-8,,,,,,
team,201310200was,chi,Net Pass Yards,219,,,,,,
team,201310200was,was,Net Pass Yards,290,,,,,,
team,201310200was,chi,Total Yards,359,,,,,,
team,201310200was,was,Total Yards,499,,,,,,
team,201310200was,chi,Fumbles-Lost,0-0,,,,,,
team,201310200was,was,Fumbles-Lost,2-0,,,,,,
team,201310200was,chi,Turnovers,1,,,,,,
team,201310200was,was,Turnovers,1,,,,,,
team,201310200was,chi,Penalties-Yards,5-30,,,,,,
team,201310200was,was,Penalties-Yards,5-47,,,,,,
team,201310200was,chi,Third Down Conv.,2-8,,,,,,
team,201310200was,was,Third Down Conv.,7-13,,,,,,
team,201310200was,chi,Fourth Down Conv.,0-0,,,,,,
team,201310200was,was,Fourth Down Conv.,0-0,,,,,,
team,201310200was,chi,Time of Possession,26:04,,,,,,
team,201310200was,was,Time of Possession,33:56,,,,,,
player,201310200was,chi,McCoJo01,pass_cmp,14,,,,,
player,201310200was,chi,McCoJo01,pass_att,20,,,,,
player,201310200was,chi,McCoJo01,pass_yds,204,,,,,
player,201310200was,chi,McCoJo01,pass_td,1,,,,,
player,201310200was,chi,McCoJo01,pass_int,0,,,,,
player,201310200was,chi,McCoJo01,pass_sacked,1,,,,,
player,201310200was,chi,McCoJo01,pass_sacked_yds,7,,,,,
player,201310200was,chi,McCoJo01,pass_long,35,,,,,
player,201310200was,chi,McCoJo01,pass_rating,119.6,,,,,
player,201310200was,chi,McCoJo01,rush_att,4,,,,,
player,201310200was,chi,McCoJo01,rush_yds,33,,,,,
player,201310200was,chi,McCoJo01,rush_td,0,,,,,
player,201310200was,chi,McCoJo01,rush_long,13,,,,,
player,201310200was,chi,McCoJo01,targets,0,,,,,
player,201310200was,chi,McCoJo01,rec,0,,,,,
