game,2013,7,20131021,201310210nyg,min,"Minnesota Vikings",7,nyg,"New York Giants",23
team,201310210nyg,min,First Downs,13,,,,,,
team,201310210nyg,nyg,First Downs,17,,,,,,
team,201310210nyg,min,Rush-Yds-TDs,14-30-0,,,,,,
team,201310210nyg,nyg,Rush-Yds-TDs,32-64-1,,,,,,
team,201310210nyg,min,Cmp-Att-Yd-TD-INT,20-53-190-0-1,,,,,,
team,201310210nyg,nyg,Cmp-Att-Yd-TD-INT,23-39-200-1-0,,,,,,
team,201310210nyg,min,Sacked-Yards,1-14,,,,,,
team,201310210nyg,nyg,Sacked-Yards,2-7,,,,,,
team,201310210nyg,min,Net Pass Yards,176,,,,,,
team,201310210nyg,nyg,Net Pass Yards,193,,,,,,
team,201310210nyg,min,Total Yards,206,,,,,,
team,201310210nyg,nyg,Total Yards,257,,,,,,
team,201310210nyg,min,Fumbles-Lost,2-2,,,,,,
team,201310210nyg,nyg,Fumbles-Lost,3-1,,,,,,
team,201310210nyg,min,Turnovers,3,,,,,,
team,201310210nyg,nyg,Turnovers,1,,,,,,
team,201310210nyg,min,Penalties-Yards,3-38,,,,,,
team,201310210nyg,nyg,Penalties-Yards,5-72,,,,,,
team,201310210nyg,min,Third Down Conv.,7-18,,,,,,
team,201310210nyg,nyg,Third Down Conv.,7-19,,,,,,
team,201310210nyg,min,Fourth Down Conv.,0-3,,,,,,
team,201310210nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201310210nyg,min,Time of Possession,23:38,,,,,,
team,201310210nyg,nyg,Time of Possession,36:22,,,,,,
player,201310210nyg,min,FreeJo00,pass_cmp,20,,,,,
player,201310210nyg,min,FreeJo00,pass_att,53,,,,,
player,201310210nyg,min,FreeJo00,pass_yds,190,,,,,
player,201310210nyg,min,FreeJo00,pass_td,0,,,,,
player,201310210nyg,min,FreeJo00,pass_int,1,,,,,
player,201310210nyg,min,FreeJo00,pass_sacked,1,,,,,
player,201310210nyg,min,FreeJo00,pass_sacked_yds,14,,,,,
player,201310210nyg,min,FreeJo00,pass_long,22,,,,,
player,201310210nyg,min,FreeJo00,pass_rating,40.6,,,,,
player,201310210nyg,min,FreeJo00,rush_att,0,,,,,
player,201310210nyg,min,FreeJo00,rush_yds,0,,,,,
player,201310210nyg,min,FreeJo00,rush_td,0,,,,,
player,201310210nyg,min,FreeJo00,rush_long,0,,,,,
player,201310210nyg,min,FreeJo00,targets,0,,,,,
player,201310210nyg,min,FreeJo00,rec,0,,,,,
player,201310210nyg,min,FreeJo00,rec_yds,0,,,,,
player,201310210nyg,min,FreeJo00,rec_td,0,,,,,
player,201310210nyg,min,FreeJo00,rec_long,0,,,,,
player,201310210nyg,min,FreeJo00,fumbles,0,,,,,
player,201310210nyg,min,FreeJo00,fumbles_lost,0,,,,,
player,201310210nyg,min,PeteAd01,pass_cmp,0,,,,,
player,201310210nyg,min,PeteAd01,pass_att,0,,,,,
player,201310210nyg,min,PeteAd01,pass_yds,0,,,,,
player,201310210nyg,min,PeteAd01,pass_td,0,,,,,
player,201310210nyg,min,PeteAd01,pass_int,0,,,,,
player,201310210nyg,min,PeteAd01,pass_sacked,0,,,,,
player,201310210nyg,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201310210nyg,min,PeteAd01,pass_long,0,,,,,
player,201310210nyg,min,PeteAd01,pass_rating,,,,,,
player,201310210nyg,min,PeteAd01,rush_att,13,,,,,
player,201310210nyg,min,PeteAd01,rush_yds,28,,,,,
player,201310210nyg,min,PeteAd01,rush_td,0,,,,,
player,201310210nyg,min,PeteAd01,rush_long,8,,,,,
player,201310210nyg,min,PeteAd01,targets,4,,,,,
player,201310210nyg,min,PeteAd01,rec,2,,,,,
player,201310210nyg,min,PeteAd01,rec_yds,28,,,,,
player,201310210nyg,min,PeteAd01,rec_td,0,,,,,
player,201310210nyg,min,PeteAd01,rec_long,22,,,,,
player,201310210nyg,min,PeteAd01,fumbles,0,,,,,
player,201310210nyg,min,PeteAd01,fumbles_lost,0,,,,,
player,201310210nyg,min,PattCo00,pass_cmp,0,,,,,
player,201310210nyg,min,PattCo00,pass_att,0,,,,,
player,201310210nyg,min,PattCo00,pass_yds,0,,,,,
