game,2013,15,20131215,201312150tam,sfo,"San Francisco 49ers",33,tam,"Tampa Bay Buccaneers",14
team,201312150tam,sfo,First Downs,22,,,,,,
team,201312150tam,tam,First Downs,13,,,,,,
team,201312150tam,sfo,Rush-Yds-TDs,40-187-0,,,,,,
team,201312150tam,tam,Rush-Yds-TDs,12-39-0,,,,,,
team,201312150tam,sfo,Cmp-Att-Yd-TD-INT,19-29-203-2-0,,,,,,
team,201312150tam,tam,Cmp-Att-Yd-TD-INT,18-34-179-2-1,,,,,,
team,201312150tam,sfo,Sacked-Yards,2-14,,,,,,
team,201312150tam,tam,Sacked-Yards,4-35,,,,,,
team,201312150tam,sfo,Net Pass Yards,189,,,,,,
team,201312150tam,tam,Net Pass Yards,144,,,,,,
team,201312150tam,sfo,Total Yards,376,,,,,,
team,201312150tam,tam,Total Yards,183,,,,,,
team,201312150tam,sfo,Fumbles-Lost,2-0,,,,,,
team,201312150tam,tam,Fumbles-Lost,1-1,,,,,,
team,201312150tam,sfo,Turnovers,0,,,,,,
team,201312150tam,tam,Turnovers,2,,,,,,
team,201312150tam,sfo,Penalties-Yards,8-62,,,,,,
team,201312150tam,tam,Penalties-Yards,4-32,,,,,,
team,201312150tam,sfo,Third Down Conv.,6-15,,,,,,
team,201312150tam,tam,Third Down Conv.,1-10,,,,,,
team,201312150tam,sfo,Fourth Down Conv.,0-0,,,,,,
team,201312150tam,tam,Fourth Down Conv.,0-2,,,,,,
team,201312150tam,sfo,Time of Possession,39:50,,,,,,
team,201312150tam,tam,Time of Possession,20:10,,,,,,
player,201312150tam,sfo,KaepCo00,pass_cmp,19,,,,,
player,201312150tam,sfo,KaepCo00,pass_att,29,,,,,
player,201312150tam,sfo,KaepCo00,pass_yds,203,,,,,
player,201312150tam,sfo,KaepCo00,pass_td,2,,,,,
player,201312150tam,sfo,KaepCo00,pass_int,0,,,,,
player,201312150tam,sfo,KaepCo00,pass_sacked,2,,,,,
player,201312150tam,sfo,KaepCo00,pass_sacked_yds,14,,,,,
player,201312150tam,sfo,KaepCo00,pass_long,52,,,,,
player,201312150tam,sfo,KaepCo00,pass_rating,108.8,,,,,
player,201312150tam,sfo,KaepCo00,rush_att,4,,,,,
