game,2013,7,20131020,201310200gnb,cle,"Cleveland Browns",13,gnb,"Green Bay Packers",31
team,201310200gnb,cle,First Downs,17,,,,,,
team,201310200gnb,gnb,First Downs,26,,,,,,
team,201310200gnb,cle,Rush-Yds-TDs,23-83-0,,,,,,
team,201310200gnb,gnb,Rush-Yds-TDs,29-104-1,,,,,,
team,201310200gnb,cle,Cmp-Att-Yd-TD-INT,17-42-149-1-1,,,,,,
team,201310200gnb,gnb,Cmp-Att-Yd-TD-INT,25-36-260-3-0,,,,,,
team,201310200gnb,cle,Sacked-Yards,3-16,,,,,,
team,201310200gnb,gnb,Sacked-Yards,1-7,,,,,,
team,201310200gnb,cle,Net Pass Yards,133,,,,,,
team,201310200gnb,gnb,Net Pass Yards,253,,,,,,
team,201310200gnb,cle,Total Yards,216,,,,,,
team,201310200gnb,gnb,Total Yards,357,,,,,,
team,201310200gnb,cle,Fumbles-Lost,0-0,,,,,,
team,201310200gnb,gnb,Fumbles-Lost,1-0,,,,,,
team,201310200gnb,cle,Turnovers,1,,,,,,
team,201310200gnb,gnb,Turnovers,0,,,,,,
team,201310200gnb,cle,Penalties-Yards,12-106,,,,,,
team,201310200gnb,gnb,Penalties-Yards,10-97,,,,,,
team,201310200gnb,cle,Third Down Conv.,7-18,,,,,,
team,201310200gnb,gnb,Third Down Conv.,7-13,,,,,,
team,201310200gnb,cle,Fourth Down Conv.,2-5,,,,,,
team,201310200gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201310200gnb,cle,Time of Possession,26:38,,,,,,
team,201310200gnb,gnb,Time of Possession,33:22,,,,,,
player,201310200gnb,cle,WeedBr00,pass_cmp,17,,,,,
player,201310200gnb,cle,WeedBr00,pass_att,42,,,,,
player,201310200gnb,cle,WeedBr00,pass_yds,149,,,,,
player,201310200gnb,cle,WeedBr00,pass_td,1,,,,,
player,201310200gnb,cle,WeedBr00,pass_int,1,,,,,
player,201310200gnb,cle,WeedBr00,pass_sacked,3,,,,,
player,201310200gnb,cle,WeedBr00,pass_sacked_yds,16,,,,,
player,201310200gnb,cle,WeedBr00,pass_long,19,,,,,
player,201310200gnb,cle,WeedBr00,pass_rating,48.6,,,,,
player,201310200gnb,cle,WeedBr00,rush_att,2,,,,,
player,201310200gnb,cle,WeedBr00,rush_yds,20,,,,,
player,201310200gnb,cle,WeedBr00,rush_td,0,,,,,
player,201310200gnb,cle,WeedBr00,rush_long,11,,,,,
player,201310200gnb,cle,WeedBr00,targets,0,,,,,
player,201310200gnb,cle,WeedBr00,rec,0,,,,,
player,201310200gnb,cle,WeedBr00,rec_yds,0,,,,,
player,201310200gnb,cle,WeedBr00,rec_td,0,,,,,
player,201310200gnb,cle,WeedBr00,rec_long,0,,,,,
player,201310200gnb,cle,WeedBr00,fumbles,0,,,,,
player,201310200gnb,cle,WeedBr00,fumbles_lost,0,,,,,
player,201310200gnb,cle,McGaWi00,pass_cmp,0,,,,,
player,201310200gnb,cle,McGaWi00,pass_att,0,,,,,
player,201310200gnb,cle,McGaWi00,pass_yds,0,,,,,
player,201310200gnb,cle,McGaWi00,pass_td,0,,,,,
player,201310200gnb,cle,McGaWi00,pass_int,0,,,,,
player,201310200gnb,cle,McGaWi00,pass_sacked,0,,,,,
player,201310200gnb,cle,McGaWi00,pass_sacked_yds,0,,,,,
player,201310200gnb,cle,McGaWi00,pass_long,0,,,,,
player,201310200gnb,cle,McGaWi00,pass_rating,,,,,,
player,201310200gnb,cle,McGaWi00,rush_att,11,,,,,
player,201310200gnb,cle,McGaWi00,rush_yds,39,,,,,
player,201310200gnb,cle,McGaWi00,rush_td,0,,,,,
player,201310200gnb,cle,McGaWi00,rush_long,8,,,,,
player,201310200gnb,cle,McGaWi00,targets,1,,,,,
player,201310200gnb,cle,McGaWi00,rec,0,,,,,
player,201310200gnb,cle,McGaWi00,rec_yds,0,,,,,
player,201310200gnb,cle,McGaWi00,rec_td,0,,,,,
player,201310200gnb,cle,McGaWi00,rec_long,0,,,,,
player,201310200gnb,cle,McGaWi00,fumbles,0,,,,,
player,201310200gnb,cle,McGaWi00,fumbles_lost,0,,,,,
player,201310200gnb,cle,OgboCh00,pass_cmp,0,,,,,
player,201310200gnb,cle,OgboCh00,pass_att,0,,,,,
player,201310200gnb,cle,OgboCh00,pass_yds,0,,,,,
player,201310200gnb,cle,OgboCh00,pass_td,0,,,,,
player,201310200gnb,cle,OgboCh00,pass_int,0,,,,,
player,201310200gnb,cle,OgboCh00,pass_sacked,0,,,,,
player,201310200gnb,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201310200gnb,cle,OgboCh00,pass_long,0,,,,,
player,201310200gnb,cle,OgboCh00,pass_rating,,,,,,
player,201310200gnb,cle,OgboCh00,rush_att,4,,,,,
player,201310200gnb,cle,OgboCh00,rush_yds,15,,,,,
player,201310200gnb,cle,OgboCh00,rush_td,0,,,,,
player,201310200gnb,cle,OgboCh00,rush_long,9,,,,,
player,201310200gnb,cle,OgboCh00,targets,2,,,,,
player,201310200gnb,cle,OgboCh00,rec,0,,,,,
player,201310200gnb,cle,OgboCh00,rec_yds,0,,,,,
player,201310200gnb,cle,OgboCh00,rec_td,0,,,,,
player,201310200gnb,cle,OgboCh00,rec_long,0,,,,,
player,201310200gnb,cle,OgboCh00,fumbles,0,,,,,
player,201310200gnb,cle,OgboCh00,fumbles_lost,0,,,,,
player,201310200gnb,cle,WhitFo00,pass_cmp,0,,,,,
player,201310200gnb,cle,WhitFo00,pass_att,0,,,,,
player,201310200gnb,cle,WhitFo00,pass_yds,0,,,,,
player,201310200gnb,cle,WhitFo00,pass_td,0,,,,,
player,201310200gnb,cle,WhitFo00,pass_int,0,,,,,
player,201310200gnb,cle,WhitFo00,pass_sacked,0,,,,,
player,201310200gnb,cle,WhitFo00,pass_sacked_yds,0,,,,,
player,201310200gnb,cle,WhitFo00,pass_long,0,,,,,
player,201310200gnb,cle,WhitFo00,pass_rating,,,,,,
player,201310200gnb,cle,WhitFo00,rush_att,5,,,,,
player,201310200gnb,cle,WhitFo00,rush_yds,11,,,,,
player,201310200gnb,cle,WhitFo00,rush_td,0,,,,,
player,201310200gnb,cle,WhitFo00,rush_long,7,,,,,
player,201310200gnb,cle,WhitFo00,targets,5,,,,,
player,201310200gnb,cle,WhitFo00,rec,2,,,,,
