game,2013,16,20131222,201312220htx,den,"Denver Broncos",37,htx,"Houston Texans",13
player,201312220htx,den,DeckEr00,pass_int,0,,,,,
player,201312220htx,den,DeckEr00,pass_sacked,0,,,,,
player,201312220htx,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201312220htx,den,DeckEr00,pass_long,0,,,,,
player,201312220htx,den,DeckEr00,pass_rating,,,,,,
player,201312220htx,den,DeckEr00,rush_att,0,,,,,
player,201312220htx,den,DeckEr00,rush_yds,0,,,,,
player,201312220htx,den,DeckEr00,rush_td,0,,,,,
player,201312220htx,den,DeckEr00,rush_long,0,,,,,
player,201312220htx,den,DeckEr00,targets,17,,,,,
player,201312220htx,den,DeckEr00,rec,10,,,,,
player,201312220htx,den,DeckEr00,rec_yds,131,,,,,
player,201312220htx,den,DeckEr00,rec_td,2,,,,,
player,201312220htx,den,DeckEr00,rec_long,35,,,,,
player,201312220htx,den,DeckEr00,fumbles,0,,,,,
player,201312220htx,den,DeckEr00,fumbles_lost,0,,,,,
player,201312220htx,den,ThomDe03,pass_cmp,0,,,,,
player,201312220htx,den,ThomDe03,pass_att,0,,,,,
player,201312220htx,den,ThomDe03,pass_yds,0,,,,,
player,201312220htx,den,ThomDe03,pass_td,0,,,,,
player,201312220htx,den,ThomDe03,pass_int,0,,,,,
player,201312220htx,den,ThomDe03,pass_sacked,0,,,,,
player,201312220htx,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201312220htx,den,ThomDe03,pass_long,0,,,,,
player,201312220htx,den,ThomDe03,pass_rating,,,,,,
player,201312220htx,den,ThomDe03,rush_att,0,,,,,
player,201312220htx,den,ThomDe03,rush_yds,0,,,,,
player,201312220htx,den,ThomDe03,rush_td,0,,,,,
player,201312220htx,den,ThomDe03,rush_long,0,,,,,
player,201312220htx,den,ThomDe03,targets,14,,,,,
player,201312220htx,den,ThomDe03,rec,8,,,,,
player,201312220htx,den,ThomDe03,rec_yds,123,,,,,
player,201312220htx,den,ThomDe03,rec_td,1,,,,,
player,201312220htx,den,ThomDe03,rec_long,36,,,,,
player,201312220htx,den,ThomDe03,fumbles,0,,,,,
player,201312220htx,den,ThomDe03,fumbles_lost,0,,,,,
player,201312220htx,den,ThomJu00,pass_cmp,0,,,,,
player,201312220htx,den,ThomJu00,pass_att,0,,,,,
player,201312220htx,den,ThomJu00,pass_yds,0,,,,,
player,201312220htx,den,ThomJu00,pass_td,0,,,,,
player,201312220htx,den,ThomJu00,pass_int,0,,,,,
player,201312220htx,den,ThomJu00,pass_sacked,0,,,,,
player,201312220htx,den,ThomJu00,pass_sacked_yds,0,,,,,
player,201312220htx,den,ThomJu00,pass_long,0,,,,,
player,201312220htx,den,ThomJu00,pass_rating,,,,,,
player,201312220htx,den,ThomJu00,rush_att,0,,,,,
player,201312220htx,den,ThomJu00,rush_yds,0,,,,,
player,201312220htx,den,ThomJu00,rush_td,0,,,,,
player,201312220htx,den,ThomJu00,rush_long,0,,,,,
player,201312220htx,den,ThomJu00,targets,8,,,,,
player,201312220htx,den,ThomJu00,rec,6,,,,,
player,201312220htx,den,ThomJu00,rec_yds,78,,,,,
player,201312220htx,den,ThomJu00,rec_td,1,,,,,
player,201312220htx,den,ThomJu00,rec_long,25,,,,,
player,201312220htx,den,ThomJu00,fumbles,0,,,,,
player,201312220htx,den,ThomJu00,fumbles_lost,0,,,,,
player,201312220htx,den,TammJa00,pass_cmp,0,,,,,
player,201312220htx,den,TammJa00,pass_att,0,,,,,
player,201312220htx,den,TammJa00,pass_yds,0,,,,,
player,201312220htx,den,TammJa00,pass_td,0,,,,,
player,201312220htx,den,TammJa00,pass_int,0,,,,,
player,201312220htx,den,TammJa00,pass_sacked,0,,,,,
player,201312220htx,den,TammJa00,pass_sacked_yds,0,,,,,
player,201312220htx,den,TammJa00,pass_long,0,,,,,
