game,2013,14,20131208,201312080sdg,nyg,"New York Giants",14,sdg,"San Diego Chargers",37
team,201312080sdg,nyg,First Downs,18,,,,,,
team,201312080sdg,sdg,First Downs,25,,,,,,
team,201312080sdg,nyg,Rush-Yds-TDs,20-92-1,,,,,,
team,201312080sdg,sdg,Rush-Yds-TDs,40-144-1,,,,,,
team,201312080sdg,nyg,Cmp-Att-Yd-TD-INT,20-32-259-1-2,,,,,,
team,201312080sdg,sdg,Cmp-Att-Yd-TD-INT,21-28-249-3-0,,,,,,
team,201312080sdg,nyg,Sacked-Yards,2-18,,,,,,
team,201312080sdg,sdg,Sacked-Yards,2-5,,,,,,
team,201312080sdg,nyg,Net Pass Yards,241,,,,,,
team,201312080sdg,sdg,Net Pass Yards,244,,,,,,
team,201312080sdg,nyg,Total Yards,333,,,,,,
team,201312080sdg,sdg,Total Yards,388,,,,,,
team,201312080sdg,nyg,Fumbles-Lost,1-1,,,,,,
team,201312080sdg,sdg,Fumbles-Lost,1-1,,,,,,
team,201312080sdg,nyg,Turnovers,3,,,,,,
team,201312080sdg,sdg,Turnovers,1,,,,,,
team,201312080sdg,nyg,Penalties-Yards,7-72,,,,,,
team,201312080sdg,sdg,Penalties-Yards,6-30,,,,,,
team,201312080sdg,nyg,Third Down Conv.,3-8,,,,,,
team,201312080sdg,sdg,Third Down Conv.,10-15,,,,,,
team,201312080sdg,nyg,Fourth Down Conv.,1-2,,,,,,
team,201312080sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201312080sdg,nyg,Time of Possession,23:04,,,,,,
team,201312080sdg,sdg,Time of Possession,36:56,,,,,,
player,201312080sdg,nyg,MannEl00,pass_cmp,20,,,,,
player,201312080sdg,nyg,MannEl00,pass_att,32,,,,,
player,201312080sdg,nyg,MannEl00,pass_yds,259,,,,,
player,201312080sdg,nyg,MannEl00,pass_td,1,,,,,
player,201312080sdg,nyg,MannEl00,pass_int,2,,,,,
player,201312080sdg,nyg,MannEl00,pass_sacked,2,,,,,
player,201312080sdg,nyg,MannEl00,pass_sacked_yds,18,,,,,
player,201312080sdg,nyg,MannEl00,pass_long,51,,,,,
player,201312080sdg,nyg,MannEl00,pass_rating,72.3,,,,,
player,201312080sdg,nyg,MannEl00,rush_att,0,,,,,
player,201312080sdg,nyg,MannEl00,rush_yds,0,,,,,
player,201312080sdg,nyg,MannEl00,rush_td,0,,,,,
player,201312080sdg,nyg,MannEl00,rush_long,0,,,,,
player,201312080sdg,nyg,MannEl00,targets,0,,,,,
player,201312080sdg,nyg,MannEl00,rec,0,,,,,
player,201312080sdg,nyg,MannEl00,rec_yds,0,,,,,
player,201312080sdg,nyg,MannEl00,rec_td,0,,,,,
player,201312080sdg,nyg,MannEl00,rec_long,0,,,,,
player,201312080sdg,nyg,MannEl00,fumbles,0,,,,,
player,201312080sdg,nyg,MannEl00,fumbles_lost,0,,,,,
player,201312080sdg,nyg,BrowAn03,pass_cmp,0,,,,,
player,201312080sdg,nyg,BrowAn03,pass_att,0,,,,,
player,201312080sdg,nyg,BrowAn03,pass_yds,0,,,,,
player,201312080sdg,nyg,BrowAn03,pass_td,0,,,,,
player,201312080sdg,nyg,BrowAn03,pass_int,0,,,,,
player,201312080sdg,nyg,BrowAn03,pass_sacked,0,,,,,
player,201312080sdg,nyg,BrowAn03,pass_sacked_yds,0,,,,,
player,201312080sdg,nyg,BrowAn03,pass_long,0,,,,,
player,201312080sdg,nyg,BrowAn03,pass_rating,,,,,,
player,201312080sdg,nyg,BrowAn03,rush_att,16,,,,,
player,201312080sdg,nyg,BrowAn03,rush_yds,81,,,,,
player,201312080sdg,nyg,BrowAn03,rush_td,0,,,,,
player,201312080sdg,nyg,BrowAn03,rush_long,19,,,,,
player,201312080sdg,nyg,BrowAn03,targets,4,,,,,
player,201312080sdg,nyg,BrowAn03,rec,3,,,,,
player,201312080sdg,nyg,BrowAn03,rec_yds,15,,,,,
player,201312080sdg,nyg,BrowAn03,rec_td,0,,,,,
player,201312080sdg,nyg,BrowAn03,rec_long,7,,,,,
player,201312080sdg,nyg,BrowAn03,fumbles,1,,,,,
player,201312080sdg,nyg,BrowAn03,fumbles_lost,1,,,,,
player,201312080sdg,nyg,HillPe00,pass_cmp,0,,,,,
player,201312080sdg,nyg,HillPe00,pass_att,0,,,,,
player,201312080sdg,nyg,HillPe00,pass_yds,0,,,,,
player,201312080sdg,nyg,HillPe00,pass_td,0,,,,,
player,201312080sdg,nyg,HillPe00,pass_int,0,,,,,
player,201312080sdg,nyg,HillPe00,pass_sacked,0,,,,,
player,201312080sdg,nyg,HillPe00,pass_sacked_yds,0,,,,,
player,201312080sdg,nyg,HillPe00,pass_long,0,,,,,
player,201312080sdg,nyg,HillPe00,pass_rating,,,,,,
