game,2013,5,20131006,201310060nyg,phi,"Philadelphia Eagles",36,nyg,"New York Giants",21
team,201310060nyg,phi,First Downs,28,,,,,,
team,201310060nyg,nyg,First Downs,21,,,,,,
team,201310060nyg,phi,Rush-Yds-TDs,37-140-1,,,,,,
team,201310060nyg,nyg,Rush-Yds-TDs,17-53-1,,,,,,
team,201310060nyg,phi,Cmp-Att-Yd-TD-INT,22-39-302-2-0,,,,,,
team,201310060nyg,nyg,Cmp-Att-Yd-TD-INT,24-52-334-2-3,,,,,,
team,201310060nyg,phi,Sacked-Yards,1-3,,,,,,
team,201310060nyg,nyg,Sacked-Yards,1-4,,,,,,
team,201310060nyg,phi,Net Pass Yards,299,,,,,,
team,201310060nyg,nyg,Net Pass Yards,330,,,,,,
team,201310060nyg,phi,Total Yards,439,,,,,,
team,201310060nyg,nyg,Total Yards,383,,,,,,
team,201310060nyg,phi,Fumbles-Lost,0-0,,,,,,
team,201310060nyg,nyg,Fumbles-Lost,1-1,,,,,,
team,201310060nyg,phi,Turnovers,0,,,,,,
team,201310060nyg,nyg,Turnovers,4,,,,,,
team,201310060nyg,phi,Penalties-Yards,8-88,,,,,,
team,201310060nyg,nyg,Penalties-Yards,12-136,,,,,,
team,201310060nyg,phi,Third Down Conv.,9-19,,,,,,
team,201310060nyg,nyg,Third Down Conv.,5-13,,,,,,
team,201310060nyg,phi,Fourth Down Conv.,0-0,,,,,,
team,201310060nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201310060nyg,phi,Time of Possession,32:07,,,,,,
team,201310060nyg,nyg,Time of Possession,27:53,,,,,,
player,201310060nyg,phi,FoleNi00,pass_cmp,16,,,,,
player,201310060nyg,phi,FoleNi00,pass_att,25,,,,,
player,201310060nyg,phi,FoleNi00,pass_yds,197,,,,,
player,201310060nyg,phi,FoleNi00,pass_td,2,,,,,
player,201310060nyg,phi,FoleNi00,pass_int,0,,,,,
player,201310060nyg,phi,FoleNi00,pass_sacked,1,,,,,
player,201310060nyg,phi,FoleNi00,pass_sacked_yds,3,,,,,
player,201310060nyg,phi,FoleNi00,pass_long,28,,,,,
player,201310060nyg,phi,FoleNi00,pass_rating,114.9,,,,,
player,201310060nyg,phi,FoleNi00,rush_att,3,,,,,
