game,2015,8,20151101,201511010nor,nyg,"New York Giants",49,nor,"New Orleans Saints",52
team,201511010nor,nyg,First Downs,28,,,,,,
team,201511010nor,nor,First Downs,35,,,,,,
team,201511010nor,nyg,Rush-Yds-TDs,21-87-0,,,,,,
team,201511010nor,nor,Rush-Yds-TDs,26-103-0,,,,,,
team,201511010nor,nyg,Cmp-Att-Yd-TD-INT,30-41-350-6-0,,,,,,
team,201511010nor,nor,Cmp-Att-Yd-TD-INT,39-50-505-7-2,,,,,,
team,201511010nor,nyg,Sacked-Yards,3-21,,,,,,
team,201511010nor,nor,Sacked-Yards,0-0,,,,,,
team,201511010nor,nyg,Net Pass Yards,329,,,,,,
team,201511010nor,nor,Net Pass Yards,505,,,,,,
team,201511010nor,nyg,Total Yards,416,,,,,,
team,201511010nor,nor,Total Yards,608,,,,,,
team,201511010nor,nyg,Fumbles-Lost,2-1,,,,,,
team,201511010nor,nor,Fumbles-Lost,1-0,,,,,,
team,201511010nor,nyg,Turnovers,1,,,,,,
team,201511010nor,nor,Turnovers,2,,,,,,
team,201511010nor,nyg,Penalties-Yards,6-53,,,,,,
team,201511010nor,nor,Penalties-Yards,12-93,,,,,,
team,201511010nor,nyg,Third Down Conv.,1-8,,,,,,
team,201511010nor,nor,Third Down Conv.,7-11,,,,,,
team,201511010nor,nyg,Fourth Down Conv.,2-2,,,,,,
team,201511010nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201511010nor,nyg,Time of Possession,25:01,,,,,,
team,201511010nor,nor,Time of Possession,34:59,,,,,,
player,201511010nor,nyg,MannEl00,pass_cmp,30,,,,,
player,201511010nor,nyg,MannEl00,pass_att,41,,,,,
player,201511010nor,nyg,MannEl00,pass_yds,350,,,,,
player,201511010nor,nyg,MannEl00,pass_td,6,,,,,
player,201511010nor,nyg,MannEl00,pass_int,0,,,,,
player,201511010nor,nyg,MannEl00,pass_sacked,3,,,,,
player,201511010nor,nyg,MannEl00,pass_sacked_yds,21,,,,,
player,201511010nor,nyg,MannEl00,pass_long,50,,,,,
player,201511010nor,nyg,MannEl00,pass_rating,138.2,,,,,
player,201511010nor,nyg,MannEl00,rush_att,0,,,,,
player,201511010nor,nyg,MannEl00,rush_yds,0,,,,,
player,201511010nor,nyg,MannEl00,rush_td,0,,,,,
player,201511010nor,nyg,MannEl00,rush_long,0,,,,,
player,201511010nor,nyg,MannEl00,targets,0,,,,,
player,201511010nor,nyg,MannEl00,rec,0,,,,,
player,201511010nor,nyg,MannEl00,rec_yds,0,,,,,
player,201511010nor,nyg,MannEl00,rec_td,0,,,,,
player,201511010nor,nyg,MannEl00,rec_long,0,,,,,
player,201511010nor,nyg,MannEl00,fumbles,1,,,,,
player,201511010nor,nyg,MannEl00,fumbles_lost,0,,,,,
player,201511010nor,nyg,JennRa00,pass_cmp,0,,,,,
player,201511010nor,nyg,JennRa00,pass_att,0,,,,,
player,201511010nor,nyg,JennRa00,pass_yds,0,,,,,
player,201511010nor,nyg,JennRa00,pass_td,0,,,,,
player,201511010nor,nyg,JennRa00,pass_int,0,,,,,
player,201511010nor,nyg,JennRa00,pass_sacked,0,,,,,
player,201511010nor,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201511010nor,nyg,JennRa00,pass_long,0,,,,,
player,201511010nor,nyg,JennRa00,pass_rating,,,,,,
player,201511010nor,nyg,JennRa00,rush_att,10,,,,,
player,201511010nor,nyg,JennRa00,rush_yds,54,,,,,
player,201511010nor,nyg,JennRa00,rush_td,0,,,,,
