game,2015,2,20150920,201509200chi,crd,"Arizona Cardinals",48,chi,"Chicago Bears",23
team,201509200chi,crd,First Downs,21,,,,,,
team,201509200chi,chi,First Downs,18,,,,,,
team,201509200chi,crd,Rush-Yds-TDs,28-115-1,,,,,,
team,201509200chi,chi,Rush-Yds-TDs,28-109-1,,,,,,
team,201509200chi,crd,Cmp-Att-Yd-TD-INT,17-24-185-4-1,,,,,,
team,201509200chi,chi,Cmp-Att-Yd-TD-INT,22-32-241-1-2,,,,,,
team,201509200chi,crd,Sacked-Yards,0-0,,,,,,
team,201509200chi,chi,Sacked-Yards,2-15,,,,,,
team,201509200chi,crd,Net Pass Yards,185,,,,,,
team,201509200chi,chi,Net Pass Yards,226,,,,,,
team,201509200chi,crd,Total Yards,300,,,,,,
team,201509200chi,chi,Total Yards,335,,,,,,
team,201509200chi,crd,Fumbles-Lost,1-1,,,,,,
team,201509200chi,chi,Fumbles-Lost,3-0,,,,,,
team,201509200chi,crd,Turnovers,2,,,,,,
team,201509200chi,chi,Turnovers,2,,,,,,
team,201509200chi,crd,Penalties-Yards,8-58,,,,,,
team,201509200chi,chi,Penalties-Yards,14-170,,,,,,
team,201509200chi,crd,Third Down Conv.,5-9,,,,,,
team,201509200chi,chi,Third Down Conv.,2-12,,,,,,
team,201509200chi,crd,Fourth Down Conv.,1-1,,,,,,
team,201509200chi,chi,Fourth Down Conv.,0-1,,,,,,
team,201509200chi,crd,Time of Possession,30:04,,,,,,
team,201509200chi,chi,Time of Possession,29:56,,,,,,
player,201509200chi,crd,PalmCa00,pass_cmp,17,,,,,
player,201509200chi,crd,PalmCa00,pass_att,24,,,,,
player,201509200chi,crd,PalmCa00,pass_yds,185,,,,,
player,201509200chi,crd,PalmCa00,pass_td,4,,,,,
player,201509200chi,crd,PalmCa00,pass_int,1,,,,,
player,201509200chi,crd,PalmCa00,pass_sacked,0,,,,,
player,201509200chi,crd,PalmCa00,pass_sacked_yds,0,,,,,
player,201509200chi,crd,PalmCa00,pass_long,28,,,,,
player,201509200chi,crd,PalmCa00,pass_rating,115.5,,,,,
player,201509200chi,crd,PalmCa00,rush_att,2,,,,,
player,201509200chi,crd,PalmCa00,rush_yds,-2,,,,,
player,201509200chi,crd,PalmCa00,rush_td,0,,,,,
player,201509200chi,crd,PalmCa00,rush_long,-1,,,,,
player,201509200chi,crd,PalmCa00,targets,0,,,,,
player,201509200chi,crd,PalmCa00,rec,0,,,,,
player,201509200chi,crd,PalmCa00,rec_yds,0,,,,,
player,201509200chi,crd,PalmCa00,rec_td,0,,,,,
player,201509200chi,crd,PalmCa00,rec_long,0,,,,,
player,201509200chi,crd,PalmCa00,fumbles,0,,,,,
player,201509200chi,crd,PalmCa00,fumbles_lost,0,,,,,
player,201509200chi,crd,JohnCh04,pass_cmp,0,,,,,
player,201509200chi,crd,JohnCh04,pass_att,0,,,,,
player,201509200chi,crd,JohnCh04,pass_yds,0,,,,,
player,201509200chi,crd,JohnCh04,pass_td,0,,,,,
player,201509200chi,crd,JohnCh04,pass_int,0,,,,,
