game,2015,15,20151221,201512210nor,det,"Detroit Lions",35,nor,"New Orleans Saints",27
team,201512210nor,det,First Downs,24,,,,,,
team,201512210nor,nor,First Downs,27,,,,,,
team,201512210nor,det,Rush-Yds-TDs,23-150-2,,,,,,
team,201512210nor,nor,Rush-Yds-TDs,18-69-0,,,,,,
team,201512210nor,det,Cmp-Att-Yd-TD-INT,22-25-254-3-0,,,,,,
team,201512210nor,nor,Cmp-Att-Yd-TD-INT,34-52-341-3-0,,,,,,
team,201512210nor,det,Sacked-Yards,3-8,,,,,,
team,201512210nor,nor,Sacked-Yards,1-11,,,,,,
team,201512210nor,det,Net Pass Yards,246,,,,,,
team,201512210nor,nor,Net Pass Yards,330,,,,,,
team,201512210nor,det,Total Yards,396,,,,,,
team,201512210nor,nor,Total Yards,399,,,,,,
team,201512210nor,det,Fumbles-Lost,2-1,,,,,,
team,201512210nor,nor,Fumbles-Lost,1-0,,,,,,
team,201512210nor,det,Turnovers,1,,,,,,
team,201512210nor,nor,Turnovers,0,,,,,,
team,201512210nor,det,Penalties-Yards,10-92,,,,,,
team,201512210nor,nor,Penalties-Yards,6-28,,,,,,
team,201512210nor,det,Third Down Conv.,4-8,,,,,,
team,201512210nor,nor,Third Down Conv.,5-14,,,,,,
team,201512210nor,det,Fourth Down Conv.,0-0,,,,,,
team,201512210nor,nor,Fourth Down Conv.,2-2,,,,,,
team,201512210nor,det,Time of Possession,29:36,,,,,,
team,201512210nor,nor,Time of Possession,30:24,,,,,,
player,201512210nor,det,StafMa00,pass_cmp,22,,,,,
player,201512210nor,det,StafMa00,pass_att,25,,,,,
player,201512210nor,det,StafMa00,pass_yds,254,,,,,
player,201512210nor,det,StafMa00,pass_td,3,,,,,
player,201512210nor,det,StafMa00,pass_int,0,,,,,
player,201512210nor,det,StafMa00,pass_sacked,3,,,,,
player,201512210nor,det,StafMa00,pass_sacked_yds,8,,,,,
player,201512210nor,det,StafMa00,pass_long,45,,,,,
player,201512210nor,det,StafMa00,pass_rating,148.6,,,,,
player,201512210nor,det,StafMa00,rush_att,4,,,,,
player,201512210nor,det,StafMa00,rush_yds,-1,,,,,
player,201512210nor,det,StafMa00,rush_td,0,,,,,
player,201512210nor,det,StafMa00,rush_long,3,,,,,
player,201512210nor,det,StafMa00,targets,0,,,,,
player,201512210nor,det,StafMa00,rec,0,,,,,
player,201512210nor,det,StafMa00,rec_yds,0,,,,,
player,201512210nor,det,StafMa00,rec_td,0,,,,,
player,201512210nor,det,StafMa00,rec_long,0,,,,,
player,201512210nor,det,StafMa00,fumbles,0,,,,,
player,201512210nor,det,StafMa00,fumbles_lost,0,,,,,
