game,2015,10,20151115,201511150oti,car,"Carolina Panthers",27,oti,"Tennessee Titans",10
team,201511150oti,car,First Downs,24,,,,,,
team,201511150oti,oti,First Downs,11,,,,,,
team,201511150oti,car,Rush-Yds-TDs,34-119-2,,,,,,
team,201511150oti,oti,Rush-Yds-TDs,21-64-1,,,,,,
team,201511150oti,car,Cmp-Att-Yd-TD-INT,21-25-217-1-0,,,,,,
team,201511150oti,oti,Cmp-Att-Yd-TD-INT,16-24-185-0-1,,,,,,
team,201511150oti,car,Sacked-Yards,5-33,,,,,,
team,201511150oti,oti,Sacked-Yards,1-7,,,,,,
team,201511150oti,car,Net Pass Yards,184,,,,,,
team,201511150oti,oti,Net Pass Yards,178,,,,,,
team,201511150oti,car,Total Yards,303,,,,,,
team,201511150oti,oti,Total Yards,242,,,,,,
team,201511150oti,car,Fumbles-Lost,0-0,,,,,,
team,201511150oti,oti,Fumbles-Lost,3-1,,,,,,
team,201511150oti,car,Turnovers,0,,,,,,
team,201511150oti,oti,Turnovers,2,,,,,,
team,201511150oti,car,Penalties-Yards,5-45,,,,,,
team,201511150oti,oti,Penalties-Yards,4-30,,,,,,
team,201511150oti,car,Third Down Conv.,7-13,,,,,,
team,201511150oti,oti,Third Down Conv.,5-12,,,,,,
team,201511150oti,car,Fourth Down Conv.,0-0,,,,,,
team,201511150oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201511150oti,car,Time of Possession,35:55,,,,,,
team,201511150oti,oti,Time of Possession,24:05,,,,,,
player,201511150oti,car,NewtCa00,pass_cmp,21,,,,,
player,201511150oti,car,NewtCa00,pass_att,25,,,,,
player,201511150oti,car,NewtCa00,pass_yds,217,,,,,
player,201511150oti,car,NewtCa00,pass_td,1,,,,,
player,201511150oti,car,NewtCa00,pass_int,0,,,,,
player,201511150oti,car,NewtCa00,pass_sacked,5,,,,,
player,201511150oti,car,NewtCa00,pass_sacked_yds,33,,,,,
player,201511150oti,car,NewtCa00,pass_long,27,,,,,
player,201511150oti,car,NewtCa00,pass_rating,116.2,,,,,
player,201511150oti,car,NewtCa00,rush_att,9,,,,,
player,201511150oti,car,NewtCa00,rush_yds,23,,,,,
player,201511150oti,car,NewtCa00,rush_td,1,,,,,
player,201511150oti,car,NewtCa00,rush_long,7,,,,,
player,201511150oti,car,NewtCa00,targets,0,,,,,
player,201511150oti,car,NewtCa00,rec,0,,,,,
player,201511150oti,car,NewtCa00,rec_yds,0,,,,,
player,201511150oti,car,NewtCa00,rec_td,0,,,,,
player,201511150oti,car,NewtCa00,rec_long,0,,,,,
player,201511150oti,car,NewtCa00,fumbles,0,,,,,
player,201511150oti,car,NewtCa00,fumbles_lost,0,,,,,
player,201511150oti,car,StewJo00,pass_cmp,0,,,,,
player,201511150oti,car,StewJo00,pass_att,0,,,,,
player,201511150oti,car,StewJo00,pass_yds,0,,,,,
player,201511150oti,car,StewJo00,pass_td,0,,,,,
player,201511150oti,car,StewJo00,pass_int,0,,,,,
player,201511150oti,car,StewJo00,pass_sacked,0,,,,,
player,201511150oti,car,StewJo00,pass_sacked_yds,0,,,,,
player,201511150oti,car,StewJo00,pass_long,0,,,,,
player,201511150oti,car,StewJo00,pass_rating,,,,,,
player,201511150oti,car,StewJo00,rush_att,22,,,,,
player,201511150oti,car,StewJo00,rush_yds,91,,,,,
player,201511150oti,car,StewJo00,rush_td,1,,,,,
player,201511150oti,car,StewJo00,rush_long,17,,,,,
player,201511150oti,car,StewJo00,targets,0,,,,,
player,201511150oti,car,StewJo00,rec,0,,,,,
player,201511150oti,car,StewJo00,rec_yds,0,,,,,
player,201511150oti,car,StewJo00,rec_td,0,,,,,
player,201511150oti,car,StewJo00,rec_long,0,,,,,
player,201511150oti,car,StewJo00,fumbles,0,,,,,
player,201511150oti,car,StewJo00,fumbles_lost,0,,,,,
player,201511150oti,car,TolbMi00,pass_cmp,0,,,,,
player,201511150oti,car,TolbMi00,pass_att,0,,,,,
player,201511150oti,car,TolbMi00,pass_yds,0,,,,,
player,201511150oti,car,TolbMi00,pass_td,0,,,,,
player,201511150oti,car,TolbMi00,pass_int,0,,,,,
player,201511150oti,car,TolbMi00,pass_sacked,0,,,,,
player,201511150oti,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201511150oti,car,TolbMi00,pass_long,0,,,,,
player,201511150oti,car,TolbMi00,pass_rating,,,,,,
player,201511150oti,car,TolbMi00,rush_att,3,,,,,
player,201511150oti,car,TolbMi00,rush_yds,5,,,,,
player,201511150oti,car,TolbMi00,rush_td,0,,,,,
player,201511150oti,car,TolbMi00,rush_long,3,,,,,
player,201511150oti,car,TolbMi00,targets,1,,,,,
player,201511150oti,car,TolbMi00,rec,1,,,,,
player,201511150oti,car,TolbMi00,rec_yds,16,,,,,
player,201511150oti,car,TolbMi00,rec_td,0,,,,,
player,201511150oti,car,TolbMi00,rec_long,16,,,,,
player,201511150oti,car,TolbMi00,fumbles,0,,,,,
player,201511150oti,car,TolbMi00,fumbles_lost,0,,,,,
player,201511150oti,car,OlseGr00,pass_cmp,0,,,,,
player,201511150oti,car,OlseGr00,pass_att,0,,,,,
player,201511150oti,car,OlseGr00,pass_yds,0,,,,,
player,201511150oti,car,OlseGr00,pass_td,0,,,,,
player,201511150oti,car,OlseGr00,pass_int,0,,,,,
player,201511150oti,car,OlseGr00,pass_sacked,0,,,,,
player,201511150oti,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201511150oti,car,OlseGr00,pass_long,0,,,,,
player,201511150oti,car,OlseGr00,pass_rating,,,,,,
player,201511150oti,car,OlseGr00,rush_att,0,,,,,
player,201511150oti,car,OlseGr00,rush_yds,0,,,,,
player,201511150oti,car,OlseGr00,rush_td,0,,,,,
player,201511150oti,car,OlseGr00,rush_long,0,,,,,
player,201511150oti,car,OlseGr00,targets,8,,,,,
player,201511150oti,car,OlseGr00,rec,8,,,,,
player,201511150oti,car,OlseGr00,rec_yds,80,,,,,
player,201511150oti,car,OlseGr00,rec_td,0,,,,,
player,201511150oti,car,OlseGr00,rec_long,20,,,,,
player,201511150oti,car,OlseGr00,fumbles,0,,,,,
player,201511150oti,car,OlseGr00,fumbles_lost,0,,,,,
player,201511150oti,car,GinnTe00,pass_cmp,0,,,,,
player,201511150oti,car,GinnTe00,pass_att,0,,,,,
player,201511150oti,car,GinnTe00,pass_yds,0,,,,,
player,201511150oti,car,GinnTe00,pass_td,0,,,,,
player,201511150oti,car,GinnTe00,pass_int,0,,,,,
player,201511150oti,car,GinnTe00,pass_sacked,0,,,,,
player,201511150oti,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201511150oti,car,GinnTe00,pass_long,0,,,,,
player,201511150oti,car,GinnTe00,pass_rating,,,,,,
player,201511150oti,car,GinnTe00,rush_att,0,,,,,
player,201511150oti,car,GinnTe00,rush_yds,0,,,,,
player,201511150oti,car,GinnTe00,rush_td,0,,,,,
player,201511150oti,car,GinnTe00,rush_long,0,,,,,
player,201511150oti,car,GinnTe00,targets,8,,,,,
player,201511150oti,car,GinnTe00,rec,4,,,,,
player,201511150oti,car,GinnTe00,rec_yds,45,,,,,
player,201511150oti,car,GinnTe00,rec_td,0,,,,,
player,201511150oti,car,GinnTe00,rec_long,19,,,,,
player,201511150oti,car,GinnTe00,fumbles,0,,,,,
player,201511150oti,car,GinnTe00,fumbles_lost,0,,,,,
player,201511150oti,car,FuncDe00,pass_cmp,0,,,,,
player,201511150oti,car,FuncDe00,pass_att,0,,,,,
player,201511150oti,car,FuncDe00,pass_yds,0,,,,,
player,201511150oti,car,FuncDe00,pass_td,0,,,,,
player,201511150oti,car,FuncDe00,pass_int,0,,,,,
player,201511150oti,car,FuncDe00,pass_sacked,0,,,,,
player,201511150oti,car,FuncDe00,pass_sacked_yds,0,,,,,
player,201511150oti,car,FuncDe00,pass_long,0,,,,,
player,201511150oti,car,FuncDe00,pass_rating,,,,,,
player,201511150oti,car,FuncDe00,rush_att,0,,,,,
