game,2015,5,20151011,201510110kan,chi,"Chicago Bears",18,kan,"Kansas City Chiefs",17
player,201510110kan,chi,WilsMa02,fumbles_lost,0,,,,,
player,201510110kan,chi,MereCa00,pass_cmp,0,,,,,
player,201510110kan,chi,MereCa00,pass_att,0,,,,,
player,201510110kan,chi,MereCa00,pass_yds,0,,,,,
player,201510110kan,chi,MereCa00,pass_td,0,,,,,
player,201510110kan,chi,MereCa00,pass_int,0,,,,,
player,201510110kan,chi,MereCa00,pass_sacked,0,,,,,
player,201510110kan,chi,MereCa00,pass_sacked_yds,0,,,,,
player,201510110kan,chi,MereCa00,pass_long,0,,,,,
player,201510110kan,chi,MereCa00,pass_rating,,,,,,
player,201510110kan,chi,MereCa00,rush_att,0,,,,,
player,201510110kan,chi,MereCa00,rush_yds,0,,,,,
player,201510110kan,chi,MereCa00,rush_td,0,,,,,
player,201510110kan,chi,MereCa00,rush_long,0,,,,,
player,201510110kan,chi,MereCa00,targets,4,,,,,
player,201510110kan,chi,MereCa00,rec,4,,,,,
player,201510110kan,chi,MereCa00,rec_yds,52,,,,,
player,201510110kan,chi,MereCa00,rec_td,0,,,,,
player,201510110kan,chi,MereCa00,rec_long,20,,,,,
player,201510110kan,chi,MereCa00,fumbles,0,,,,,
player,201510110kan,chi,MereCa00,fumbles_lost,0,,,,,
player,201510110kan,chi,BennMa00,pass_cmp,0,,,,,
player,201510110kan,chi,BennMa00,pass_att,0,,,,,
player,201510110kan,chi,BennMa00,pass_yds,0,,,,,
player,201510110kan,chi,BennMa00,pass_td,0,,,,,
player,201510110kan,chi,BennMa00,pass_int,0,,,,,
player,201510110kan,chi,BennMa00,pass_sacked,0,,,,,
player,201510110kan,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201510110kan,chi,BennMa00,pass_long,0,,,,,
player,201510110kan,chi,BennMa00,pass_rating,,,,,,
player,201510110kan,chi,BennMa00,rush_att,0,,,,,
player,201510110kan,chi,BennMa00,rush_yds,0,,,,,
player,201510110kan,chi,BennMa00,rush_td,0,,,,,
player,201510110kan,chi,BennMa00,rush_long,0,,,,,
player,201510110kan,chi,BennMa00,targets,11,,,,,
player,201510110kan,chi,BennMa00,rec,4,,,,,
player,201510110kan,chi,BennMa00,rec_yds,32,,,,,
player,201510110kan,chi,BennMa00,rec_td,0,,,,,
player,201510110kan,chi,BennMa00,rec_long,11,,,,,
player,201510110kan,chi,BennMa00,fumbles,0,,,,,
player,201510110kan,chi,BennMa00,fumbles_lost,0,,,,,
player,201510110kan,chi,BellJo02,pass_cmp,0,,,,,
player,201510110kan,chi,BellJo02,pass_att,0,,,,,
player,201510110kan,chi,BellJo02,pass_yds,0,,,,,
player,201510110kan,chi,BellJo02,pass_td,0,,,,,
player,201510110kan,chi,BellJo02,pass_int,0,,,,,
player,201510110kan,chi,BellJo02,pass_sacked,0,,,,,
player,201510110kan,chi,BellJo02,pass_sacked_yds,0,,,,,
