game,2015,3,20150927,201509270cle,rai,"Oakland Raiders",27,cle,"Cleveland Browns",20
team,201509270cle,rai,First Downs,19,,,,,,
team,201509270cle,cle,First Downs,21,,,,,,
team,201509270cle,rai,Rush-Yds-TDs,30-155-1,,,,,,
team,201509270cle,cle,Rush-Yds-TDs,14-39-0,,,,,,
team,201509270cle,rai,Cmp-Att-Yd-TD-INT,20-32-314-2-0,,,,,,
team,201509270cle,cle,Cmp-Att-Yd-TD-INT,28-49-341-2-1,,,,,,
team,201509270cle,rai,Sacked-Yards,0-0,,,,,,
team,201509270cle,cle,Sacked-Yards,5-25,,,,,,
team,201509270cle,rai,Net Pass Yards,314,,,,,,
team,201509270cle,cle,Net Pass Yards,316,,,,,,
team,201509270cle,rai,Total Yards,469,,,,,,
team,201509270cle,cle,Total Yards,355,,,,,,
team,201509270cle,rai,Fumbles-Lost,1-1,,,,,,
team,201509270cle,cle,Fumbles-Lost,2-1,,,,,,
team,201509270cle,rai,Turnovers,1,,,,,,
team,201509270cle,cle,Turnovers,2,,,,,,
team,201509270cle,rai,Penalties-Yards,12-85,,,,,,
team,201509270cle,cle,Penalties-Yards,6-50,,,,,,
team,201509270cle,rai,Third Down Conv.,6-14,,,,,,
team,201509270cle,cle,Third Down Conv.,8-16,,,,,,
team,201509270cle,rai,Fourth Down Conv.,0-0,,,,,,
team,201509270cle,cle,Fourth Down Conv.,1-1,,,,,,
team,201509270cle,rai,Time of Possession,32:29,,,,,,
team,201509270cle,cle,Time of Possession,27:31,,,,,,
player,201509270cle,rai,CarrDe02,pass_cmp,20,,,,,
player,201509270cle,rai,CarrDe02,pass_att,32,,,,,
player,201509270cle,rai,CarrDe02,pass_yds,314,,,,,
player,201509270cle,rai,CarrDe02,pass_td,2,,,,,
player,201509270cle,rai,CarrDe02,pass_int,0,,,,,
player,201509270cle,rai,CarrDe02,pass_sacked,0,,,,,
player,201509270cle,rai,CarrDe02,pass_sacked_yds,0,,,,,
player,201509270cle,rai,CarrDe02,pass_long,55,,,,,
player,201509270cle,rai,CarrDe02,pass_rating,115.9,,,,,
player,201509270cle,rai,CarrDe02,rush_att,1,,,,,
player,201509270cle,rai,CarrDe02,rush_yds,-1,,,,,
player,201509270cle,rai,CarrDe02,rush_td,0,,,,,
player,201509270cle,rai,CarrDe02,rush_long,-1,,,,,
player,201509270cle,rai,CarrDe02,targets,0,,,,,
player,201509270cle,rai,CarrDe02,rec,0,,,,,
player,201509270cle,rai,CarrDe02,rec_yds,0,,,,,
player,201509270cle,rai,CarrDe02,rec_td,0,,,,,
player,201509270cle,rai,CarrDe02,rec_long,0,,,,,
player,201509270cle,rai,CarrDe02,fumbles,0,,,,,
player,201509270cle,rai,CarrDe02,fumbles_lost,0,,,,,
player,201509270cle,rai,MurrLa00,pass_cmp,0,,,,,
player,201509270cle,rai,MurrLa00,pass_att,0,,,,,
player,201509270cle,rai,MurrLa00,pass_yds,0,,,,,
player,201509270cle,rai,MurrLa00,pass_td,0,,,,,
player,201509270cle,rai,MurrLa00,pass_int,0,,,,,
player,201509270cle,rai,MurrLa00,pass_sacked,,,,,,
player,201509270cle,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201509270cle,rai,MurrLa00,pass_long,0,,,,,
player,201509270cle,rai,MurrLa00,pass_rating,,,,,,
player,201509270cle,rai,MurrLa00,rush_att,26,,,,,
player,201509270cle,rai,MurrLa00,rush_yds,139,,,,,
player,201509270cle,rai,MurrLa00,rush_td,1,,,,,
player,201509270cle,rai,MurrLa00,rush_long,54,,,,,
player,201509270cle,rai,MurrLa00,targets,1,,,,,
player,201509270cle,rai,MurrLa00,rec,1,,,,,
player,201509270cle,rai,MurrLa00,rec_yds,10,,,,,
player,201509270cle,rai,MurrLa00,rec_td,0,,,,,
player,201509270cle,rai,MurrLa00,rec_long,10,,,,,
player,201509270cle,rai,MurrLa00,fumbles,0,,,,,
player,201509270cle,rai,MurrLa00,fumbles_lost,0,,,,,
player,201509270cle,rai,JoneTa00,pass_cmp,0,,,,,
player,201509270cle,rai,JoneTa00,pass_att,0,,,,,
player,201509270cle,rai,JoneTa00,pass_yds,0,,,,,
player,201509270cle,rai,JoneTa00,pass_td,0,,,,,
player,201509270cle,rai,JoneTa00,pass_int,0,,,,,
player,201509270cle,rai,JoneTa00,pass_sacked,,,,,,
player,201509270cle,rai,JoneTa00,pass_sacked_yds,0,,,,,
player,201509270cle,rai,JoneTa00,pass_long,0,,,,,
player,201509270cle,rai,JoneTa00,pass_rating,,,,,,
player,201509270cle,rai,JoneTa00,rush_att,2,,,,,
player,201509270cle,rai,JoneTa00,rush_yds,16,,,,,
player,201509270cle,rai,JoneTa00,rush_td,0,,,,,
player,201509270cle,rai,JoneTa00,rush_long,9,,,,,
player,201509270cle,rai,JoneTa00,targets,0,,,,,
player,201509270cle,rai,JoneTa00,rec,0,,,,,
player,201509270cle,rai,JoneTa00,rec_yds,0,,,,,
player,201509270cle,rai,JoneTa00,rec_td,0,,,,,
player,201509270cle,rai,JoneTa00,rec_long,0,,,,,
player,201509270cle,rai,JoneTa00,fumbles,0,,,,,
player,201509270cle,rai,JoneTa00,fumbles_lost,0,,,,,
player,201509270cle,rai,ReecMa00,pass_cmp,0,,,,,
player,201509270cle,rai,ReecMa00,pass_att,0,,,,,
player,201509270cle,rai,ReecMa00,pass_yds,0,,,,,
player,201509270cle,rai,ReecMa00,pass_td,0,,,,,
player,201509270cle,rai,ReecMa00,pass_int,0,,,,,
player,201509270cle,rai,ReecMa00,pass_sacked,,,,,,
player,201509270cle,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201509270cle,rai,ReecMa00,pass_long,0,,,,,
player,201509270cle,rai,ReecMa00,pass_rating,,,,,,
player,201509270cle,rai,ReecMa00,rush_att,1,,,,,
player,201509270cle,rai,ReecMa00,rush_yds,1,,,,,
player,201509270cle,rai,ReecMa00,rush_td,0,,,,,
player,201509270cle,rai,ReecMa00,rush_long,1,,,,,
player,201509270cle,rai,ReecMa00,targets,2,,,,,
player,201509270cle,rai,ReecMa00,rec,1,,,,,
player,201509270cle,rai,ReecMa00,rec_yds,55,,,,,
player,201509270cle,rai,ReecMa00,rec_td,0,,,,,
player,201509270cle,rai,ReecMa00,rec_long,55,,,,,
player,201509270cle,rai,ReecMa00,fumbles,0,,,,,
player,201509270cle,rai,ReecMa00,fumbles_lost,0,,,,,
player,201509270cle,rai,CoopAm00,pass_cmp,0,,,,,
player,201509270cle,rai,CoopAm00,pass_att,0,,,,,
player,201509270cle,rai,CoopAm00,pass_yds,0,,,,,
player,201509270cle,rai,CoopAm00,pass_td,0,,,,,
player,201509270cle,rai,CoopAm00,pass_int,0,,,,,
player,201509270cle,rai,CoopAm00,pass_sacked,,,,,,
player,201509270cle,rai,CoopAm00,pass_sacked_yds,0,,,,,
player,201509270cle,rai,CoopAm00,pass_long,0,,,,,
player,201509270cle,rai,CoopAm00,pass_rating,,,,,,
player,201509270cle,rai,CoopAm00,rush_att,0,,,,,
player,201509270cle,rai,CoopAm00,rush_yds,0,,,,,
player,201509270cle,rai,CoopAm00,rush_td,0,,,,,
player,201509270cle,rai,CoopAm00,rush_long,0,,,,,
player,201509270cle,rai,CoopAm00,targets,11,,,,,
player,201509270cle,rai,CoopAm00,rec,8,,,,,
player,201509270cle,rai,CoopAm00,rec_yds,134,,,,,
player,201509270cle,rai,CoopAm00,rec_td,0,,,,,
player,201509270cle,rai,CoopAm00,rec_long,40,,,,,
player,201509270cle,rai,CoopAm00,fumbles,1,,,,,
player,201509270cle,rai,CoopAm00,fumbles_lost,1,,,,,
player,201509270cle,rai,RobeSe00,pass_cmp,0,,,,,
player,201509270cle,rai,RobeSe00,pass_att,0,,,,,
player,201509270cle,rai,RobeSe00,pass_yds,0,,,,,
player,201509270cle,rai,RobeSe00,pass_td,0,,,,,
player,201509270cle,rai,RobeSe00,pass_int,0,,,,,
player,201509270cle,rai,RobeSe00,pass_sacked,,,,,,
player,201509270cle,rai,RobeSe00,pass_sacked_yds,0,,,,,
player,201509270cle,rai,RobeSe00,pass_long,0,,,,,
player,201509270cle,rai,RobeSe00,pass_rating,,,,,,
player,201509270cle,rai,RobeSe00,rush_att,0,,,,,
player,201509270cle,rai,RobeSe00,rush_yds,0,,,,,
player,201509270cle,rai,RobeSe00,rush_td,0,,,,,
player,201509270cle,rai,RobeSe00,rush_long,0,,,,,
player,201509270cle,rai,RobeSe00,targets,5,,,,,
player,201509270cle,rai,RobeSe00,rec,3,,,,,
player,201509270cle,rai,RobeSe00,rec_yds,56,,,,,
player,201509270cle,rai,RobeSe00,rec_td,1,,,,,
player,201509270cle,rai,RobeSe00,rec_long,36,,,,,
player,201509270cle,rai,RobeSe00,fumbles,0,,,,,
