game,2015,7,20151025,201510250ram,cle,"Cleveland Browns",6,ram,"St. Louis Rams",24
team,201510250ram,cle,First Downs,19,,,,,,
team,201510250ram,ram,First Downs,16,,,,,,
team,201510250ram,cle,Rush-Yds-TDs,24-82-0,,,,,,
team,201510250ram,ram,Rush-Yds-TDs,26-158-2,,,,,,
team,201510250ram,cle,Cmp-Att-Yd-TD-INT,30-37-297-0-0,,,,,,
team,201510250ram,ram,Cmp-Att-Yd-TD-INT,15-23-163-0-0,,,,,,
team,201510250ram,cle,Sacked-Yards,4-15,,,,,,
team,201510250ram,ram,Sacked-Yards,2-13,,,,,,
team,201510250ram,cle,Net Pass Yards,282,,,,,,
team,201510250ram,ram,Net Pass Yards,150,,,,,,
team,201510250ram,cle,Total Yards,364,,,,,,
team,201510250ram,ram,Total Yards,308,,,,,,
team,201510250ram,cle,Fumbles-Lost,4-4,,,,,,
team,201510250ram,ram,Fumbles-Lost,1-1,,,,,,
team,201510250ram,cle,Turnovers,4,,,,,,
team,201510250ram,ram,Turnovers,1,,,,,,
team,201510250ram,cle,Penalties-Yards,11-98,,,,,,
team,201510250ram,ram,Penalties-Yards,9-75,,,,,,
team,201510250ram,cle,Third Down Conv.,3-12,,,,,,
team,201510250ram,ram,Third Down Conv.,1-9,,,,,,
team,201510250ram,cle,Fourth Down Conv.,0-1,,,,,,
team,201510250ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201510250ram,cle,Time of Possession,35:33,,,,,,
team,201510250ram,ram,Time of Possession,24:27,,,,,,
player,201510250ram,cle,McCoJo01,pass_cmp,26,,,,,
player,201510250ram,cle,McCoJo01,pass_att,32,,,,,
player,201510250ram,cle,McCoJo01,pass_yds,270,,,,,
player,201510250ram,cle,McCoJo01,pass_td,0,,,,,
player,201510250ram,cle,McCoJo01,pass_int,0,,,,,
player,201510250ram,cle,McCoJo01,pass_sacked,4,,,,,
player,201510250ram,cle,McCoJo01,pass_sacked_yds,15,,,,,
player,201510250ram,cle,McCoJo01,pass_long,28,,,,,
player,201510250ram,cle,McCoJo01,pass_rating,101.8,,,,,
player,201510250ram,cle,McCoJo01,rush_att,4,,,,,
player,201510250ram,cle,McCoJo01,rush_yds,21,,,,,
player,201510250ram,cle,McCoJo01,rush_td,0,,,,,
player,201510250ram,cle,McCoJo01,rush_long,9,,,,,
player,201510250ram,cle,McCoJo01,targets,0,,,,,
player,201510250ram,cle,McCoJo01,rec,0,,,,,
player,201510250ram,cle,McCoJo01,rec_yds,0,,,,,
player,201510250ram,cle,McCoJo01,rec_td,0,,,,,
player,201510250ram,cle,McCoJo01,rec_long,0,,,,,
player,201510250ram,cle,McCoJo01,fumbles,2,,,,,
player,201510250ram,cle,McCoJo01,fumbles_lost,2,,,,,
player,201510250ram,cle,ManzJo00,pass_cmp,4,,,,,
player,201510250ram,cle,ManzJo00,pass_att,5,,,,,
player,201510250ram,cle,ManzJo00,pass_yds,27,,,,,
player,201510250ram,cle,ManzJo00,pass_td,0,,,,,
player,201510250ram,cle,ManzJo00,pass_int,0,,,,,
player,201510250ram,cle,ManzJo00,pass_sacked,0,,,,,
player,201510250ram,cle,ManzJo00,pass_sacked_yds,0,,,,,
player,201510250ram,cle,ManzJo00,pass_long,13,,,,,
player,201510250ram,cle,ManzJo00,pass_rating,89.2,,,,,
player,201510250ram,cle,ManzJo00,rush_att,1,,,,,
player,201510250ram,cle,ManzJo00,rush_yds,5,,,,,
player,201510250ram,cle,ManzJo00,rush_td,0,,,,,
player,201510250ram,cle,ManzJo00,rush_long,5,,,,,
player,201510250ram,cle,ManzJo00,targets,0,,,,,
player,201510250ram,cle,ManzJo00,rec,0,,,,,
player,201510250ram,cle,ManzJo00,rec_yds,0,,,,,
player,201510250ram,cle,ManzJo00,rec_td,0,,,,,
player,201510250ram,cle,ManzJo00,rec_long,0,,,,,
player,201510250ram,cle,ManzJo00,fumbles,0,,,,,
player,201510250ram,cle,ManzJo00,fumbles_lost,0,,,,,
player,201510250ram,cle,TurbRo00,pass_cmp,0,,,,,
player,201510250ram,cle,TurbRo00,pass_att,0,,,,,
player,201510250ram,cle,TurbRo00,pass_yds,0,,,,,
player,201510250ram,cle,TurbRo00,pass_td,0,,,,,
player,201510250ram,cle,TurbRo00,pass_int,0,,,,,
player,201510250ram,cle,TurbRo00,pass_sacked,0,,,,,
player,201510250ram,cle,TurbRo00,pass_sacked_yds,0,,,,,
player,201510250ram,cle,TurbRo00,pass_long,0,,,,,
player,201510250ram,cle,TurbRo00,pass_rating,,,,,,
player,201510250ram,cle,TurbRo00,rush_att,5,,,,,
player,201510250ram,cle,TurbRo00,rush_yds,30,,,,,
player,201510250ram,cle,TurbRo00,rush_td,0,,,,,
player,201510250ram,cle,TurbRo00,rush_long,22,,,,,
player,201510250ram,cle,TurbRo00,targets,2,,,,,
player,201510250ram,cle,TurbRo00,rec,2,,,,,
player,201510250ram,cle,TurbRo00,rec_yds,8,,,,,
player,201510250ram,cle,TurbRo00,rec_td,0,,,,,
player,201510250ram,cle,TurbRo00,rec_long,7,,,,,
player,201510250ram,cle,TurbRo00,fumbles,0,,,,,
player,201510250ram,cle,TurbRo00,fumbles_lost,0,,,,,
player,201510250ram,cle,JohnDu00,pass_cmp,0,,,,,
player,201510250ram,cle,JohnDu00,pass_att,0,,,,,
player,201510250ram,cle,JohnDu00,pass_yds,0,,,,,
