game,2015,13,20151206,201512060tam,atl,"Atlanta Falcons",19,tam,"Tampa Bay Buccaneers",23
team,201512060tam,atl,First Downs,21,,,,,,
team,201512060tam,tam,First Downs,25,,,,,,
team,201512060tam,atl,Rush-Yds-TDs,18-64-0,,,,,,
team,201512060tam,tam,Rush-Yds-TDs,37-166-2,,,,,,
team,201512060tam,atl,Cmp-Att-Yd-TD-INT,30-45-269-1-1,,,,,,
team,201512060tam,tam,Cmp-Att-Yd-TD-INT,18-27-227-1-1,,,,,,
team,201512060tam,atl,Sacked-Yards,3-14,,,,,,
team,201512060tam,tam,Sacked-Yards,1-5,,,,,,
team,201512060tam,atl,Net Pass Yards,255,,,,,,
team,201512060tam,tam,Net Pass Yards,222,,,,,,
team,201512060tam,atl,Total Yards,319,,,,,,
team,201512060tam,tam,Total Yards,388,,,,,,
team,201512060tam,atl,Fumbles-Lost,1-0,,,,,,
team,201512060tam,tam,Fumbles-Lost,1-1,,,,,,
team,201512060tam,atl,Turnovers,1,,,,,,
team,201512060tam,tam,Turnovers,2,,,,,,
team,201512060tam,atl,Penalties-Yards,7-58,,,,,,
team,201512060tam,tam,Penalties-Yards,8-53,,,,,,
team,201512060tam,atl,Third Down Conv.,8-16,,,,,,
team,201512060tam,tam,Third Down Conv.,6-11,,,,,,
team,201512060tam,atl,Fourth Down Conv.,0-0,,,,,,
team,201512060tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201512060tam,atl,Time of Possession,28:45,,,,,,
team,201512060tam,tam,Time of Possession,31:15,,,,,,
player,201512060tam,atl,RyanMa00,pass_cmp,30,,,,,
player,201512060tam,atl,RyanMa00,pass_att,45,,,,,
player,201512060tam,atl,RyanMa00,pass_yds,269,,,,,
player,201512060tam,atl,RyanMa00,pass_td,1,,,,,
player,201512060tam,atl,RyanMa00,pass_int,1,,,,,
player,201512060tam,atl,RyanMa00,pass_sacked,3,,,,,
player,201512060tam,atl,RyanMa00,pass_sacked_yds,14,,,,,
player,201512060tam,atl,RyanMa00,pass_long,25,,,,,
player,201512060tam,atl,RyanMa00,pass_rating,80.7,,,,,
player,201512060tam,atl,RyanMa00,rush_att,1,,,,,
player,201512060tam,atl,RyanMa00,rush_yds,4,,,,,
player,201512060tam,atl,RyanMa00,rush_td,0,,,,,
player,201512060tam,atl,RyanMa00,rush_long,4,,,,,
player,201512060tam,atl,RyanMa00,targets,0,,,,,
player,201512060tam,atl,RyanMa00,rec,0,,,,,
player,201512060tam,atl,RyanMa00,rec_yds,0,,,,,
player,201512060tam,atl,RyanMa00,rec_td,0,,,,,
player,201512060tam,atl,RyanMa00,rec_long,0,,,,,
player,201512060tam,atl,RyanMa00,fumbles,1,,,,,
player,201512060tam,atl,RyanMa00,fumbles_lost,0,,,,,
player,201512060tam,atl,FreeDe00,pass_cmp,0,,,,,
player,201512060tam,atl,FreeDe00,pass_att,0,,,,,
player,201512060tam,atl,FreeDe00,pass_yds,0,,,,,
player,201512060tam,atl,FreeDe00,pass_td,0,,,,,
player,201512060tam,atl,FreeDe00,pass_int,0,,,,,
player,201512060tam,atl,FreeDe00,pass_sacked,0,,,,,
player,201512060tam,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201512060tam,atl,FreeDe00,pass_long,0,,,,,
player,201512060tam,atl,FreeDe00,pass_rating,,,,,,
player,201512060tam,atl,FreeDe00,rush_att,14,,,,,
player,201512060tam,atl,FreeDe00,rush_yds,47,,,,,
player,201512060tam,atl,FreeDe00,rush_td,0,,,,,
player,201512060tam,atl,FreeDe00,rush_long,14,,,,,
player,201512060tam,atl,FreeDe00,targets,11,,,,,
player,201512060tam,atl,FreeDe00,rec,10,,,,,
player,201512060tam,atl,FreeDe00,rec_yds,56,,,,,
player,201512060tam,atl,FreeDe00,rec_td,0,,,,,
player,201512060tam,atl,FreeDe00,rec_long,13,,,,,
player,201512060tam,atl,FreeDe00,fumbles,0,,,,,
player,201512060tam,atl,FreeDe00,fumbles_lost,0,,,,,
player,201512060tam,atl,ColeTe01,pass_cmp,0,,,,,
player,201512060tam,atl,ColeTe01,pass_att,0,,,,,
player,201512060tam,atl,ColeTe01,pass_yds,0,,,,,
player,201512060tam,atl,ColeTe01,pass_td,0,,,,,
player,201512060tam,atl,ColeTe01,pass_int,0,,,,,
player,201512060tam,atl,ColeTe01,pass_sacked,0,,,,,
