game,2015,1,20150913,201509130was,mia,"Miami Dolphins",17,was,"Washington Redskins",10
team,201509130was,mia,First Downs,19,,,,,,
team,201509130was,was,First Downs,20,,,,,,
team,201509130was,mia,Rush-Yds-TDs,18-74-0,,,,,,
team,201509130was,was,Rush-Yds-TDs,37-161-0,,,,,,
team,201509130was,mia,Cmp-Att-Yd-TD-INT,22-34-226-1-0,,,,,,
team,201509130was,was,Cmp-Att-Yd-TD-INT,21-31-196-1-2,,,,,,
team,201509130was,mia,Sacked-Yards,3-44,,,,,,
team,201509130was,was,Sacked-Yards,1-8,,,,,,
team,201509130was,mia,Net Pass Yards,182,,,,,,
team,201509130was,was,Net Pass Yards,188,,,,,,
team,201509130was,mia,Total Yards,256,,,,,,
team,201509130was,was,Total Yards,349,,,,,,
team,201509130was,mia,Fumbles-Lost,2-1,,,,,,
team,201509130was,was,Fumbles-Lost,1-0,,,,,,
team,201509130was,mia,Turnovers,1,,,,,,
team,201509130was,was,Turnovers,2,,,,,,
team,201509130was,mia,Penalties-Yards,6-39,,,,,,
team,201509130was,was,Penalties-Yards,11-88,,,,,,
team,201509130was,mia,Third Down Conv.,5-12,,,,,,
team,201509130was,was,Third Down Conv.,6-14,,,,,,
team,201509130was,mia,Fourth Down Conv.,0-1,,,,,,
team,201509130was,was,Fourth Down Conv.,0-1,,,,,,
team,201509130was,mia,Time of Possession,22:06,,,,,,
team,201509130was,was,Time of Possession,37:54,,,,,,
player,201509130was,mia,TannRy00,pass_cmp,22,,,,,
player,201509130was,mia,TannRy00,pass_att,34,,,,,
player,201509130was,mia,TannRy00,pass_yds,226,,,,,
player,201509130was,mia,TannRy00,pass_td,1,,,,,
player,201509130was,mia,TannRy00,pass_int,0,,,,,
player,201509130was,mia,TannRy00,pass_sacked,3,,,,,
player,201509130was,mia,TannRy00,pass_sacked_yds,44,,,,,
player,201509130was,mia,TannRy00,pass_long,17,,,,,
player,201509130was,mia,TannRy00,pass_rating,93.5,,,,,
player,201509130was,mia,TannRy00,rush_att,3,,,,,
player,201509130was,mia,TannRy00,rush_yds,7,,,,,
player,201509130was,mia,TannRy00,rush_td,0,,,,,
player,201509130was,mia,TannRy00,rush_long,5,,,,,
player,201509130was,mia,TannRy00,targets,0,,,,,
player,201509130was,mia,TannRy00,rec,0,,,,,
player,201509130was,mia,TannRy00,rec_yds,0,,,,,
player,201509130was,mia,TannRy00,rec_td,0,,,,,
player,201509130was,mia,TannRy00,rec_long,0,,,,,
player,201509130was,mia,TannRy00,fumbles,1,,,,,
player,201509130was,mia,TannRy00,fumbles_lost,1,,,,,
player,201509130was,mia,MillLa01,pass_cmp,0,,,,,
player,201509130was,mia,MillLa01,pass_att,0,,,,,
player,201509130was,mia,MillLa01,pass_yds,0,,,,,
player,201509130was,mia,MillLa01,pass_td,0,,,,,
player,201509130was,mia,MillLa01,pass_int,0,,,,,
player,201509130was,mia,MillLa01,pass_sacked,0,,,,,
player,201509130was,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201509130was,mia,MillLa01,pass_long,0,,,,,
player,201509130was,mia,MillLa01,pass_rating,,,,,,
player,201509130was,mia,MillLa01,rush_att,13,,,,,
player,201509130was,mia,MillLa01,rush_yds,53,,,,,
player,201509130was,mia,MillLa01,rush_td,0,,,,,
player,201509130was,mia,MillLa01,rush_long,17,,,,,
player,201509130was,mia,MillLa01,targets,1,,,,,
player,201509130was,mia,MillLa01,rec,1,,,,,
player,201509130was,mia,MillLa01,rec_yds,22,,,,,
player,201509130was,mia,MillLa01,rec_td,0,,,,,
player,201509130was,mia,MillLa01,rec_long,22,,,,,
player,201509130was,mia,MillLa01,fumbles,0,,,,,
player,201509130was,mia,MillLa01,fumbles_lost,0,,,,,
player,201509130was,mia,LandJa00,pass_cmp,0,,,,,
player,201509130was,mia,LandJa00,pass_att,0,,,,,
player,201509130was,mia,LandJa00,pass_yds,0,,,,,
player,201509130was,mia,LandJa00,pass_td,0,,,,,
player,201509130was,mia,LandJa00,pass_int,0,,,,,
player,201509130was,mia,LandJa00,pass_sacked,0,,,,,
player,201509130was,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201509130was,mia,LandJa00,pass_long,0,,,,,
player,201509130was,mia,LandJa00,pass_rating,,,,,,
player,201509130was,mia,LandJa00,rush_att,1,,,,,
player,201509130was,mia,LandJa00,rush_yds,14,,,,,
player,201509130was,mia,LandJa00,rush_td,0,,,,,
player,201509130was,mia,LandJa00,rush_long,14,,,,,
player,201509130was,mia,LandJa00,targets,12,,,,,
player,201509130was,mia,LandJa00,rec,8,,,,,
player,201509130was,mia,LandJa00,rec_yds,53,,,,,
player,201509130was,mia,LandJa00,rec_td,0,,,,,
player,201509130was,mia,LandJa00,rec_long,20,,,,,
player,201509130was,mia,LandJa00,fumbles,0,,,,,
player,201509130was,mia,LandJa00,fumbles_lost,0,,,,,
player,201509130was,mia,CameJo00,pass_cmp,0,,,,,
player,201509130was,mia,CameJo00,pass_att,0,,,,,
player,201509130was,mia,CameJo00,pass_yds,0,,,,,
player,201509130was,mia,CameJo00,pass_td,0,,,,,
player,201509130was,mia,CameJo00,pass_int,0,,,,,
player,201509130was,mia,CameJo00,pass_sacked,0,,,,,
player,201509130was,mia,CameJo00,pass_sacked_yds,0,,,,,
player,201509130was,mia,CameJo00,pass_long,0,,,,,
player,201509130was,mia,CameJo00,pass_rating,,,,,,
player,201509130was,mia,CameJo00,rush_att,0,,,,,
player,201509130was,mia,CameJo00,rush_yds,0,,,,,
player,201509130was,mia,CameJo00,rush_td,0,,,,,
player,201509130was,mia,CameJo00,rush_long,0,,,,,
player,201509130was,mia,CameJo00,targets,7,,,,,
player,201509130was,mia,CameJo00,rec,4,,,,,
player,201509130was,mia,CameJo00,rec_yds,73,,,,,
player,201509130was,mia,CameJo00,rec_td,0,,,,,
player,201509130was,mia,CameJo00,rec_long,27,,,,,
player,201509130was,mia,CameJo00,fumbles,0,,,,,
player,201509130was,mia,CameJo00,fumbles_lost,0,,,,,
player,201509130was,mia,MattRi00,pass_cmp,0,,,,,
player,201509130was,mia,MattRi00,pass_att,0,,,,,
player,201509130was,mia,MattRi00,pass_yds,0,,,,,
player,201509130was,mia,MattRi00,pass_td,0,,,,,
player,201509130was,mia,MattRi00,pass_int,0,,,,,
player,201509130was,mia,MattRi00,pass_sacked,0,,,,,
player,201509130was,mia,MattRi00,pass_sacked_yds,0,,,,,
player,201509130was,mia,MattRi00,pass_long,0,,,,,
player,201509130was,mia,MattRi00,pass_rating,,,,,,
player,201509130was,mia,MattRi00,rush_att,0,,,,,
player,201509130was,mia,MattRi00,rush_yds,0,,,,,
player,201509130was,mia,MattRi00,rush_td,0,,,,,
player,201509130was,mia,MattRi00,rush_long,0,,,,,
player,201509130was,mia,MattRi00,targets,6,,,,,
