game,2015,2,20150920,201509200nyg,atl,"Atlanta Falcons",24,nyg,"New York Giants",20
team,201509200nyg,atl,First Downs,25,,,,,,
team,201509200nyg,nyg,First Downs,19,,,,,,
team,201509200nyg,atl,Rush-Yds-TDs,22-56-2,,,,,,
team,201509200nyg,nyg,Rush-Yds-TDs,23-97-0,,,,,,
team,201509200nyg,atl,Cmp-Att-Yd-TD-INT,30-46-363-1-0,,,,,,
team,201509200nyg,nyg,Cmp-Att-Yd-TD-INT,27-40-292-2-0,,,,,,
team,201509200nyg,atl,Sacked-Yards,2-17,,,,,,
team,201509200nyg,nyg,Sacked-Yards,2-1,,,,,,
team,201509200nyg,atl,Net Pass Yards,346,,,,,,
team,201509200nyg,nyg,Net Pass Yards,291,,,,,,
team,201509200nyg,atl,Total Yards,402,,,,,,
team,201509200nyg,nyg,Total Yards,388,,,,,,
team,201509200nyg,atl,Fumbles-Lost,0-0,,,,,,
team,201509200nyg,nyg,Fumbles-Lost,2-1,,,,,,
team,201509200nyg,atl,Turnovers,0,,,,,,
team,201509200nyg,nyg,Turnovers,1,,,,,,
team,201509200nyg,atl,Penalties-Yards,6-65,,,,,,
team,201509200nyg,nyg,Penalties-Yards,6-35,,,,,,
team,201509200nyg,atl,Third Down Conv.,11-17,,,,,,
team,201509200nyg,nyg,Third Down Conv.,10-17,,,,,,
team,201509200nyg,atl,Fourth Down Conv.,0-0,,,,,,
team,201509200nyg,nyg,Fourth Down Conv.,0-1,,,,,,
team,201509200nyg,atl,Time of Possession,31:35,,,,,,
team,201509200nyg,nyg,Time of Possession,28:25,,,,,,
player,201509200nyg,atl,RyanMa00,pass_cmp,30,,,,,
player,201509200nyg,atl,RyanMa00,pass_att,46,,,,,
player,201509200nyg,atl,RyanMa00,pass_yds,363,,,,,
player,201509200nyg,atl,RyanMa00,pass_td,1,,,,,
player,201509200nyg,atl,RyanMa00,pass_int,0,,,,,
player,201509200nyg,atl,RyanMa00,pass_sacked,2,,,,,
player,201509200nyg,atl,RyanMa00,pass_sacked_yds,17,,,,,
player,201509200nyg,atl,RyanMa00,pass_long,41,,,,,
player,201509200nyg,atl,RyanMa00,pass_rating,96.6,,,,,
player,201509200nyg,atl,RyanMa00,rush_att,1,,,,,
player,201509200nyg,atl,RyanMa00,rush_yds,-1,,,,,
player,201509200nyg,atl,RyanMa00,rush_td,0,,,,,
player,201509200nyg,atl,RyanMa00,rush_long,-1,,,,,
player,201509200nyg,atl,RyanMa00,targets,0,,,,,
player,201509200nyg,atl,RyanMa00,rec,0,,,,,
player,201509200nyg,atl,RyanMa00,rec_yds,0,,,,,
player,201509200nyg,atl,RyanMa00,rec_td,0,,,,,
player,201509200nyg,atl,RyanMa00,rec_long,0,,,,,
player,201509200nyg,atl,RyanMa00,fumbles,0,,,,,
player,201509200nyg,atl,RyanMa00,fumbles_lost,0,,,,,
player,201509200nyg,atl,ColeTe01,pass_cmp,0,,,,,
player,201509200nyg,atl,ColeTe01,pass_att,0,,,,,
player,201509200nyg,atl,ColeTe01,pass_yds,0,,,,,
player,201509200nyg,atl,ColeTe01,pass_td,0,,,,,
player,201509200nyg,atl,ColeTe01,pass_int,0,,,,,
player,201509200nyg,atl,ColeTe01,pass_sacked,0,,,,,
player,201509200nyg,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201509200nyg,atl,ColeTe01,pass_long,0,,,,,
player,201509200nyg,atl,ColeTe01,pass_rating,,,,,,
player,201509200nyg,atl,ColeTe01,rush_att,9,,,,,
player,201509200nyg,atl,ColeTe01,rush_yds,32,,,,,
player,201509200nyg,atl,ColeTe01,rush_td,1,,,,,
player,201509200nyg,atl,ColeTe01,rush_long,11,,,,,
player,201509200nyg,atl,ColeTe01,targets,1,,,,,
player,201509200nyg,atl,ColeTe01,rec,0,,,,,
player,201509200nyg,atl,ColeTe01,rec_yds,0,,,,,
player,201509200nyg,atl,ColeTe01,rec_td,0,,,,,
player,201509200nyg,atl,ColeTe01,rec_long,0,,,,,
player,201509200nyg,atl,ColeTe01,fumbles,0,,,,,
player,201509200nyg,atl,ColeTe01,fumbles_lost,0,,,,,
player,201509200nyg,atl,FreeDe00,pass_cmp,0,,,,,
player,201509200nyg,atl,FreeDe00,pass_att,0,,,,,
player,201509200nyg,atl,FreeDe00,pass_yds,0,,,,,
player,201509200nyg,atl,FreeDe00,pass_td,0,,,,,
player,201509200nyg,atl,FreeDe00,pass_int,0,,,,,
player,201509200nyg,atl,FreeDe00,pass_sacked,0,,,,,
player,201509200nyg,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201509200nyg,atl,FreeDe00,pass_long,0,,,,,
player,201509200nyg,atl,FreeDe00,pass_rating,,,,,,
player,201509200nyg,atl,FreeDe00,rush_att,12,,,,,
player,201509200nyg,atl,FreeDe00,rush_yds,25,,,,,
player,201509200nyg,atl,FreeDe00,rush_td,1,,,,,
player,201509200nyg,atl,FreeDe00,rush_long,7,,,,,
player,201509200nyg,atl,FreeDe00,targets,8,,,,,
player,201509200nyg,atl,FreeDe00,rec,4,,,,,
player,201509200nyg,atl,FreeDe00,rec_yds,34,,,,,
player,201509200nyg,atl,FreeDe00,rec_td,0,,,,,
player,201509200nyg,atl,FreeDe00,rec_long,11,,,,,
player,201509200nyg,atl,FreeDe00,fumbles,0,,,,,
player,201509200nyg,atl,FreeDe00,fumbles_lost,0,,,,,
player,201509200nyg,atl,JoneJu02,pass_cmp,0,,,,,
player,201509200nyg,atl,JoneJu02,pass_att,0,,,,,
player,201509200nyg,atl,JoneJu02,pass_yds,0,,,,,
player,201509200nyg,atl,JoneJu02,pass_td,0,,,,,
player,201509200nyg,atl,JoneJu02,pass_int,0,,,,,
player,201509200nyg,atl,JoneJu02,pass_sacked,0,,,,,
player,201509200nyg,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201509200nyg,atl,JoneJu02,pass_long,0,,,,,
player,201509200nyg,atl,JoneJu02,pass_rating,,,,,,
player,201509200nyg,atl,JoneJu02,rush_att,0,,,,,
player,201509200nyg,atl,JoneJu02,rush_yds,0,,,,,
player,201509200nyg,atl,JoneJu02,rush_td,0,,,,,
player,201509200nyg,atl,JoneJu02,rush_long,0,,,,,
player,201509200nyg,atl,JoneJu02,targets,15,,,,,
player,201509200nyg,atl,JoneJu02,rec,13,,,,,
player,201509200nyg,atl,JoneJu02,rec_yds,135,,,,,
player,201509200nyg,atl,JoneJu02,rec_td,0,,,,,
player,201509200nyg,atl,JoneJu02,rec_long,37,,,,,
player,201509200nyg,atl,JoneJu02,fumbles,0,,,,,
player,201509200nyg,atl,JoneJu02,fumbles_lost,0,,,,,
player,201509200nyg,atl,TammJa00,pass_cmp,0,,,,,
player,201509200nyg,atl,TammJa00,pass_att,0,,,,,
player,201509200nyg,atl,TammJa00,pass_yds,0,,,,,
player,201509200nyg,atl,TammJa00,pass_td,0,,,,,
player,201509200nyg,atl,TammJa00,pass_int,0,,,,,
player,201509200nyg,atl,TammJa00,pass_sacked,0,,,,,
player,201509200nyg,atl,TammJa00,pass_sacked_yds,0,,,,,
player,201509200nyg,atl,TammJa00,pass_long,0,,,,,
player,201509200nyg,atl,TammJa00,pass_rating,,,,,,
player,201509200nyg,atl,TammJa00,rush_att,0,,,,,
player,201509200nyg,atl,TammJa00,rush_yds,0,,,,,
