game,2015,11,20151122,201511220det,rai,"Oakland Raiders",13,det,"Detroit Lions",18
team,201511220det,rai,First Downs,13,,,,,,
team,201511220det,det,First Downs,22,,,,,,
team,201511220det,rai,Rush-Yds-TDs,21-52-1,,,,,,
team,201511220det,det,Rush-Yds-TDs,31-109-1,,,,,,
team,201511220det,rai,Cmp-Att-Yd-TD-INT,13-25-169-0-0,,,,,,
team,201511220det,det,Cmp-Att-Yd-TD-INT,22-35-282-0-0,,,,,,
team,201511220det,rai,Sacked-Yards,1-5,,,,,,
team,201511220det,det,Sacked-Yards,4-16,,,,,,
team,201511220det,rai,Net Pass Yards,164,,,,,,
team,201511220det,det,Net Pass Yards,266,,,,,,
team,201511220det,rai,Total Yards,216,,,,,,
team,201511220det,det,Total Yards,375,,,,,,
team,201511220det,rai,Fumbles-Lost,3-0,,,,,,
team,201511220det,det,Fumbles-Lost,0-0,,,,,,
team,201511220det,rai,Turnovers,0,,,,,,
team,201511220det,det,Turnovers,0,,,,,,
team,201511220det,rai,Penalties-Yards,6-31,,,,,,
team,201511220det,det,Penalties-Yards,7-55,,,,,,
team,201511220det,rai,Third Down Conv.,4-11,,,,,,
team,201511220det,det,Third Down Conv.,6-14,,,,,,
team,201511220det,rai,Fourth Down Conv.,0-0,,,,,,
team,201511220det,det,Fourth Down Conv.,0-0,,,,,,
team,201511220det,rai,Time of Possession,23:58,,,,,,
team,201511220det,det,Time of Possession,36:02,,,,,,
player,201511220det,rai,CarrDe02,pass_cmp,13,,,,,
player,201511220det,rai,CarrDe02,pass_att,25,,,,,
player,201511220det,rai,CarrDe02,pass_yds,169,,,,,
player,201511220det,rai,CarrDe02,pass_td,0,,,,,
player,201511220det,rai,CarrDe02,pass_int,0,,,,,
player,201511220det,rai,CarrDe02,pass_sacked,1,,,,,
player,201511220det,rai,CarrDe02,pass_sacked_yds,5,,,,,
player,201511220det,rai,CarrDe02,pass_long,43,,,,,
player,201511220det,rai,CarrDe02,pass_rating,73.6,,,,,
player,201511220det,rai,CarrDe02,rush_att,1,,,,,
player,201511220det,rai,CarrDe02,rush_yds,8,,,,,
player,201511220det,rai,CarrDe02,rush_td,0,,,,,
player,201511220det,rai,CarrDe02,rush_long,8,,,,,
player,201511220det,rai,CarrDe02,targets,0,,,,,
player,201511220det,rai,CarrDe02,rec,0,,,,,
player,201511220det,rai,CarrDe02,rec_yds,0,,,,,
player,201511220det,rai,CarrDe02,rec_td,0,,,,,
player,201511220det,rai,CarrDe02,rec_long,0,,,,,
player,201511220det,rai,CarrDe02,fumbles,1,,,,,
player,201511220det,rai,CarrDe02,fumbles_lost,0,,,,,
player,201511220det,rai,MurrLa00,pass_cmp,0,,,,,
player,201511220det,rai,MurrLa00,pass_att,0,,,,,
player,201511220det,rai,MurrLa00,pass_yds,0,,,,,
player,201511220det,rai,MurrLa00,pass_td,0,,,,,
player,201511220det,rai,MurrLa00,pass_int,0,,,,,
player,201511220det,rai,MurrLa00,pass_sacked,,,,,,
player,201511220det,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201511220det,rai,MurrLa00,pass_long,0,,,,,
player,201511220det,rai,MurrLa00,pass_rating,,,,,,
player,201511220det,rai,MurrLa00,rush_att,13,,,,,
player,201511220det,rai,MurrLa00,rush_yds,28,,,,,
player,201511220det,rai,MurrLa00,rush_td,1,,,,,
player,201511220det,rai,MurrLa00,rush_long,16,,,,,
player,201511220det,rai,MurrLa00,targets,0,,,,,
player,201511220det,rai,MurrLa00,rec,0,,,,,
player,201511220det,rai,MurrLa00,rec_yds,0,,,,,
player,201511220det,rai,MurrLa00,rec_td,0,,,,,
player,201511220det,rai,MurrLa00,rec_long,0,,,,,
player,201511220det,rai,MurrLa00,fumbles,0,,,,,
player,201511220det,rai,MurrLa00,fumbles_lost,0,,,,,
player,201511220det,rai,OlawJa00,pass_cmp,0,,,,,
player,201511220det,rai,OlawJa00,pass_att,0,,,,,
player,201511220det,rai,OlawJa00,pass_yds,0,,,,,
player,201511220det,rai,OlawJa00,pass_td,0,,,,,
player,201511220det,rai,OlawJa00,pass_int,0,,,,,
player,201511220det,rai,OlawJa00,pass_sacked,,,,,,
player,201511220det,rai,OlawJa00,pass_sacked_yds,0,,,,,
player,201511220det,rai,OlawJa00,pass_long,0,,,,,
player,201511220det,rai,OlawJa00,pass_rating,,,,,,
player,201511220det,rai,OlawJa00,rush_att,4,,,,,
player,201511220det,rai,OlawJa00,rush_yds,12,,,,,
player,201511220det,rai,OlawJa00,rush_td,0,,,,,
player,201511220det,rai,OlawJa00,rush_long,6,,,,,
player,201511220det,rai,OlawJa00,targets,1,,,,,
player,201511220det,rai,OlawJa00,rec,1,,,,,
player,201511220det,rai,OlawJa00,rec_yds,15,,,,,
player,201511220det,rai,OlawJa00,rec_td,0,,,,,
player,201511220det,rai,OlawJa00,rec_long,15,,,,,
player,201511220det,rai,OlawJa00,fumbles,0,,,,,
player,201511220det,rai,OlawJa00,fumbles_lost,0,,,,,
player,201511220det,rai,ReecMa00,pass_cmp,0,,,,,
player,201511220det,rai,ReecMa00,pass_att,0,,,,,
player,201511220det,rai,ReecMa00,pass_yds,0,,,,,
player,201511220det,rai,ReecMa00,pass_td,0,,,,,
player,201511220det,rai,ReecMa00,pass_int,0,,,,,
player,201511220det,rai,ReecMa00,pass_sacked,,,,,,
player,201511220det,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201511220det,rai,ReecMa00,pass_long,0,,,,,
player,201511220det,rai,ReecMa00,pass_rating,,,,,,
player,201511220det,rai,ReecMa00,rush_att,2,,,,,
player,201511220det,rai,ReecMa00,rush_yds,2,,,,,
player,201511220det,rai,ReecMa00,rush_td,0,,,,,
player,201511220det,rai,ReecMa00,rush_long,2,,,,,
player,201511220det,rai,ReecMa00,targets,1,,,,,
player,201511220det,rai,ReecMa00,rec,0,,,,,
player,201511220det,rai,ReecMa00,rec_yds,0,,,,,
player,201511220det,rai,ReecMa00,rec_td,0,,,,,
player,201511220det,rai,ReecMa00,rec_long,0,,,,,
player,201511220det,rai,ReecMa00,fumbles,0,,,,,
player,201511220det,rai,ReecMa00,fumbles_lost,0,,,,,
player,201511220det,rai,JoneTa00,pass_cmp,0,,,,,
player,201511220det,rai,JoneTa00,pass_att,0,,,,,
player,201511220det,rai,JoneTa00,pass_yds,0,,,,,
player,201511220det,rai,JoneTa00,pass_td,0,,,,,
player,201511220det,rai,JoneTa00,pass_int,0,,,,,
player,201511220det,rai,JoneTa00,pass_sacked,,,,,,
player,201511220det,rai,JoneTa00,pass_sacked_yds,0,,,,,
player,201511220det,rai,JoneTa00,pass_long,0,,,,,
player,201511220det,rai,JoneTa00,pass_rating,,,,,,
player,201511220det,rai,JoneTa00,rush_att,1,,,,,
player,201511220det,rai,JoneTa00,rush_yds,2,,,,,
player,201511220det,rai,JoneTa00,rush_td,0,,,,,
