game,2015,15,20151220,201512200rav,kan,"Kansas City Chiefs",34,rav,"Baltimore Ravens",14
team,201512200rav,kan,First Downs,15,,,,,,
team,201512200rav,rav,First Downs,19,,,,,,
team,201512200rav,kan,Rush-Yds-TDs,28-113-1,,,,,,
team,201512200rav,rav,Rush-Yds-TDs,20-93-0,,,,,,
team,201512200rav,kan,Cmp-Att-Yd-TD-INT,21-25-171-1-0,,,,,,
team,201512200rav,rav,Cmp-Att-Yd-TD-INT,26-45-281-2-2,,,,,,
team,201512200rav,kan,Sacked-Yards,3-7,,,,,,
team,201512200rav,rav,Sacked-Yards,2-8,,,,,,
team,201512200rav,kan,Net Pass Yards,164,,,,,,
team,201512200rav,rav,Net Pass Yards,273,,,,,,
team,201512200rav,kan,Total Yards,277,,,,,,
team,201512200rav,rav,Total Yards,366,,,,,,
team,201512200rav,kan,Fumbles-Lost,1-0,,,,,,
team,201512200rav,rav,Fumbles-Lost,1-1,,,,,,
team,201512200rav,kan,Turnovers,0,,,,,,
team,201512200rav,rav,Turnovers,3,,,,,,
team,201512200rav,kan,Penalties-Yards,6-55,,,,,,
team,201512200rav,rav,Penalties-Yards,7-63,,,,,,
team,201512200rav,kan,Third Down Conv.,5-13,,,,,,
team,201512200rav,rav,Third Down Conv.,4-13,,,,,,
team,201512200rav,kan,Fourth Down Conv.,0-0,,,,,,
team,201512200rav,rav,Fourth Down Conv.,1-3,,,,,,
team,201512200rav,kan,Time of Possession,32:19,,,,,,
team,201512200rav,rav,Time of Possession,27:41,,,,,,
player,201512200rav,kan,SmitAl03,pass_cmp,21,,,,,
player,201512200rav,kan,SmitAl03,pass_att,25,,,,,
player,201512200rav,kan,SmitAl03,pass_yds,171,,,,,
player,201512200rav,kan,SmitAl03,pass_td,1,,,,,
player,201512200rav,kan,SmitAl03,pass_int,0,,,,,
player,201512200rav,kan,SmitAl03,pass_sacked,3,,,,,
player,201512200rav,kan,SmitAl03,pass_sacked_yds,7,,,,,
player,201512200rav,kan,SmitAl03,pass_long,29,,,,,
player,201512200rav,kan,SmitAl03,pass_rating,108.5,,,,,
player,201512200rav,kan,SmitAl03,rush_att,4,,,,,
player,201512200rav,kan,SmitAl03,rush_yds,17,,,,,
player,201512200rav,kan,SmitAl03,rush_td,0,,,,,
player,201512200rav,kan,SmitAl03,rush_long,8,,,,,
player,201512200rav,kan,SmitAl03,targets,0,,,,,
player,201512200rav,kan,SmitAl03,rec,0,,,,,
player,201512200rav,kan,SmitAl03,rec_yds,0,,,,,
player,201512200rav,kan,SmitAl03,rec_td,0,,,,,
player,201512200rav,kan,SmitAl03,rec_long,0,,,,,
player,201512200rav,kan,SmitAl03,fumbles,0,,,,,
player,201512200rav,kan,SmitAl03,fumbles_lost,0,,,,,
player,201512200rav,kan,WestCh01,pass_cmp,0,,,,,
player,201512200rav,kan,WestCh01,pass_att,0,,,,,
player,201512200rav,kan,WestCh01,pass_yds,0,,,,,
player,201512200rav,kan,WestCh01,pass_td,0,,,,,
player,201512200rav,kan,WestCh01,pass_int,0,,,,,
player,201512200rav,kan,WestCh01,pass_sacked,0,,,,,
player,201512200rav,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201512200rav,kan,WestCh01,pass_long,0,,,,,
player,201512200rav,kan,WestCh01,pass_rating,,,,,,
player,201512200rav,kan,WestCh01,rush_att,16,,,,,
player,201512200rav,kan,WestCh01,rush_yds,76,,,,,
player,201512200rav,kan,WestCh01,rush_td,1,,,,,
player,201512200rav,kan,WestCh01,rush_long,38,,,,,
player,201512200rav,kan,WestCh01,targets,2,,,,,
player,201512200rav,kan,WestCh01,rec,2,,,,,
player,201512200rav,kan,WestCh01,rec_yds,9,,,,,
player,201512200rav,kan,WestCh01,rec_td,0,,,,,
player,201512200rav,kan,WestCh01,rec_long,12,,,,,
player,201512200rav,kan,WestCh01,fumbles,0,,,,,
player,201512200rav,kan,WestCh01,fumbles_lost,0,,,,,
player,201512200rav,kan,DaviKn00,pass_cmp,0,,,,,
player,201512200rav,kan,DaviKn00,pass_att,0,,,,,
player,201512200rav,kan,DaviKn00,pass_yds,0,,,,,
player,201512200rav,kan,DaviKn00,pass_td,0,,,,,
player,201512200rav,kan,DaviKn00,pass_int,0,,,,,
player,201512200rav,kan,DaviKn00,pass_sacked,0,,,,,
player,201512200rav,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201512200rav,kan,DaviKn00,pass_long,0,,,,,
player,201512200rav,kan,DaviKn00,pass_rating,,,,,,
player,201512200rav,kan,DaviKn00,rush_att,5,,,,,
player,201512200rav,kan,DaviKn00,rush_yds,14,,,,,
player,201512200rav,kan,DaviKn00,rush_td,0,,,,,
player,201512200rav,kan,DaviKn00,rush_long,6,,,,,
player,201512200rav,kan,DaviKn00,targets,0,,,,,
player,201512200rav,kan,DaviKn00,rec,0,,,,,
player,201512200rav,kan,DaviKn00,rec_yds,0,,,,,
player,201512200rav,kan,DaviKn00,rec_td,0,,,,,
player,201512200rav,kan,DaviKn00,rec_long,0,,,,,
player,201512200rav,kan,DaviKn00,fumbles,0,,,,,
player,201512200rav,kan,DaviKn00,fumbles_lost,0,,,,,
player,201512200rav,kan,WilsAl02,pass_cmp,0,,,,,
player,201512200rav,kan,WilsAl02,pass_att,0,,,,,
player,201512200rav,kan,WilsAl02,pass_yds,0,,,,,
player,201512200rav,kan,WilsAl02,pass_td,0,,,,,
player,201512200rav,kan,WilsAl02,pass_int,0,,,,,
player,201512200rav,kan,WilsAl02,pass_sacked,0,,,,,
player,201512200rav,kan,WilsAl02,pass_sacked_yds,0,,,,,
player,201512200rav,kan,WilsAl02,pass_long,0,,,,,
player,201512200rav,kan,WilsAl02,pass_rating,,,,,,
player,201512200rav,kan,WilsAl02,rush_att,1,,,,,
player,201512200rav,kan,WilsAl02,rush_yds,8,,,,,
player,201512200rav,kan,WilsAl02,rush_td,0,,,,,
player,201512200rav,kan,WilsAl02,rush_long,8,,,,,
player,201512200rav,kan,WilsAl02,targets,4,,,,,
player,201512200rav,kan,WilsAl02,rec,4,,,,,
player,201512200rav,kan,WilsAl02,rec_yds,27,,,,,
player,201512200rav,kan,WilsAl02,rec_td,0,,,,,
player,201512200rav,kan,WilsAl02,rec_long,11,,,,,
player,201512200rav,kan,WilsAl02,fumbles,0,,,,,
player,201512200rav,kan,WilsAl02,fumbles_lost,0,,,,,
player,201512200rav,kan,KelcTr00,pass_cmp,0,,,,,
player,201512200rav,kan,KelcTr00,pass_att,0,,,,,
