game,2015,14,20151213,201512130ram,det,"Detroit Lions",14,ram,"St. Louis Rams",21
team,201512130ram,det,First Downs,22,,,,,,
team,201512130ram,ram,First Downs,15,,,,,,
team,201512130ram,det,Rush-Yds-TDs,20-111-0,,,,,,
team,201512130ram,ram,Rush-Yds-TDs,29-203-2,,,,,,
team,201512130ram,det,Cmp-Att-Yd-TD-INT,30-46-245-2-1,,,,,,
team,201512130ram,ram,Cmp-Att-Yd-TD-INT,14-22-124-0-1,,,,,,
team,201512130ram,det,Sacked-Yards,4-25,,,,,,
team,201512130ram,ram,Sacked-Yards,1-10,,,,,,
team,201512130ram,det,Net Pass Yards,220,,,,,,
team,201512130ram,ram,Net Pass Yards,114,,,,,,
team,201512130ram,det,Total Yards,331,,,,,,
team,201512130ram,ram,Total Yards,317,,,,,,
team,201512130ram,det,Fumbles-Lost,1-0,,,,,,
team,201512130ram,ram,Fumbles-Lost,2-1,,,,,,
team,201512130ram,det,Turnovers,1,,,,,,
team,201512130ram,ram,Turnovers,2,,,,,,
team,201512130ram,det,Penalties-Yards,5-45,,,,,,
team,201512130ram,ram,Penalties-Yards,5-48,,,,,,
team,201512130ram,det,Third Down Conv.,5-13,,,,,,
team,201512130ram,ram,Third Down Conv.,4-11,,,,,,
team,201512130ram,det,Fourth Down Conv.,0-1,,,,,,
team,201512130ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201512130ram,det,Time of Possession,33:50,,,,,,
team,201512130ram,ram,Time of Possession,26:10,,,,,,
player,201512130ram,det,StafMa00,pass_cmp,30,,,,,
player,201512130ram,det,StafMa00,pass_att,46,,,,,
player,201512130ram,det,StafMa00,pass_yds,245,,,,,
player,201512130ram,det,StafMa00,pass_td,2,,,,,
player,201512130ram,det,StafMa00,pass_int,1,,,,,
player,201512130ram,det,StafMa00,pass_sacked,4,,,,,
player,201512130ram,det,StafMa00,pass_sacked_yds,25,,,,,
player,201512130ram,det,StafMa00,pass_long,16,,,,,
player,201512130ram,det,StafMa00,pass_rating,84.1,,,,,
player,201512130ram,det,StafMa00,rush_att,2,,,,,
player,201512130ram,det,StafMa00,rush_yds,5,,,,,
player,201512130ram,det,StafMa00,rush_td,0,,,,,
player,201512130ram,det,StafMa00,rush_long,6,,,,,
player,201512130ram,det,StafMa00,targets,0,,,,,
player,201512130ram,det,StafMa00,rec,0,,,,,
player,201512130ram,det,StafMa00,rec_yds,0,,,,,
player,201512130ram,det,StafMa00,rec_td,0,,,,,
player,201512130ram,det,StafMa00,rec_long,0,,,,,
player,201512130ram,det,StafMa00,fumbles,1,,,,,
player,201512130ram,det,StafMa00,fumbles_lost,0,,,,,
player,201512130ram,det,BellJo01,pass_cmp,0,,,,,
player,201512130ram,det,BellJo01,pass_att,0,,,,,
player,201512130ram,det,BellJo01,pass_yds,0,,,,,
player,201512130ram,det,BellJo01,pass_td,0,,,,,
player,201512130ram,det,BellJo01,pass_int,0,,,,,
player,201512130ram,det,BellJo01,pass_sacked,0,,,,,
player,201512130ram,det,BellJo01,pass_sacked_yds,0,,,,,
player,201512130ram,det,BellJo01,pass_long,0,,,,,
player,201512130ram,det,BellJo01,pass_rating,,,,,,
player,201512130ram,det,BellJo01,rush_att,7,,,,,
player,201512130ram,det,BellJo01,rush_yds,50,,,,,
player,201512130ram,det,BellJo01,rush_td,0,,,,,
player,201512130ram,det,BellJo01,rush_long,18,,,,,
player,201512130ram,det,BellJo01,targets,2,,,,,
player,201512130ram,det,BellJo01,rec,2,,,,,
player,201512130ram,det,BellJo01,rec_yds,25,,,,,
