game,2015,13,20151206,201512060sdg,den,"Denver Broncos",17,sdg,"San Diego Chargers",3
team,201512060sdg,den,First Downs,19,,,,,,
team,201512060sdg,sdg,First Downs,15,,,,,,
team,201512060sdg,den,Rush-Yds-TDs,39-134-0,,,,,,
team,201512060sdg,sdg,Rush-Yds-TDs,23-93-0,,,,,,
team,201512060sdg,den,Cmp-Att-Yd-TD-INT,16-26-166-1-1,,,,,,
team,201512060sdg,sdg,Cmp-Att-Yd-TD-INT,18-35-202-0-1,,,,,,
team,201512060sdg,den,Sacked-Yards,1-7,,,,,,
team,201512060sdg,sdg,Sacked-Yards,4-23,,,,,,
team,201512060sdg,den,Net Pass Yards,159,,,,,,
team,201512060sdg,sdg,Net Pass Yards,179,,,,,,
team,201512060sdg,den,Total Yards,293,,,,,,
team,201512060sdg,sdg,Total Yards,272,,,,,,
team,201512060sdg,den,Fumbles-Lost,0-0,,,,,,
team,201512060sdg,sdg,Fumbles-Lost,4-2,,,,,,
team,201512060sdg,den,Turnovers,1,,,,,,
team,201512060sdg,sdg,Turnovers,3,,,,,,
team,201512060sdg,den,Penalties-Yards,3-18,,,,,,
team,201512060sdg,sdg,Penalties-Yards,8-72,,,,,,
team,201512060sdg,den,Third Down Conv.,6-13,,,,,,
team,201512060sdg,sdg,Third Down Conv.,5-14,,,,,,
team,201512060sdg,den,Fourth Down Conv.,0-0,,,,,,
team,201512060sdg,sdg,Fourth Down Conv.,0-2,,,,,,
team,201512060sdg,den,Time of Possession,32:57,,,,,,
team,201512060sdg,sdg,Time of Possession,27:03,,,,,,
player,201512060sdg,den,OsweBr00,pass_cmp,16,,,,,
player,201512060sdg,den,OsweBr00,pass_att,26,,,,,
player,201512060sdg,den,OsweBr00,pass_yds,166,,,,,
player,201512060sdg,den,OsweBr00,pass_td,1,,,,,
player,201512060sdg,den,OsweBr00,pass_int,1,,,,,
player,201512060sdg,den,OsweBr00,pass_sacked,1,,,,,
player,201512060sdg,den,OsweBr00,pass_sacked_yds,7,,,,,
player,201512060sdg,den,OsweBr00,pass_long,22,,,,,
player,201512060sdg,den,OsweBr00,pass_rating,76.8,,,,,
player,201512060sdg,den,OsweBr00,rush_att,3,,,,,
player,201512060sdg,den,OsweBr00,rush_yds,1,,,,,
player,201512060sdg,den,OsweBr00,rush_td,0,,,,,
player,201512060sdg,den,OsweBr00,rush_long,1,,,,,
player,201512060sdg,den,OsweBr00,targets,0,,,,,
player,201512060sdg,den,OsweBr00,rec,0,,,,,
player,201512060sdg,den,OsweBr00,rec_yds,0,,,,,
player,201512060sdg,den,OsweBr00,rec_td,0,,,,,
player,201512060sdg,den,OsweBr00,rec_long,0,,,,,
player,201512060sdg,den,OsweBr00,fumbles,0,,,,,
player,201512060sdg,den,OsweBr00,fumbles_lost,0,,,,,
player,201512060sdg,den,HillRo00,pass_cmp,0,,,,,
player,201512060sdg,den,HillRo00,pass_att,0,,,,,
player,201512060sdg,den,HillRo00,pass_yds,0,,,,,
player,201512060sdg,den,HillRo00,pass_td,0,,,,,
player,201512060sdg,den,HillRo00,pass_int,0,,,,,
player,201512060sdg,den,HillRo00,pass_sacked,0,,,,,
player,201512060sdg,den,HillRo00,pass_sacked_yds,0,,,,,
player,201512060sdg,den,HillRo00,pass_long,0,,,,,
player,201512060sdg,den,HillRo00,pass_rating,,,,,,
player,201512060sdg,den,HillRo00,rush_att,19,,,,,
player,201512060sdg,den,HillRo00,rush_yds,56,,,,,
player,201512060sdg,den,HillRo00,rush_td,0,,,,,
player,201512060sdg,den,HillRo00,rush_long,11,,,,,
player,201512060sdg,den,HillRo00,targets,1,,,,,
player,201512060sdg,den,HillRo00,rec,0,,,,,
player,201512060sdg,den,HillRo00,rec_yds,0,,,,,
player,201512060sdg,den,HillRo00,rec_td,0,,,,,
player,201512060sdg,den,HillRo00,rec_long,0,,,,,
player,201512060sdg,den,HillRo00,fumbles,0,,,,,
player,201512060sdg,den,HillRo00,fumbles_lost,0,,,,,
player,201512060sdg,den,AndeC.00,pass_cmp,0,,,,,
player,201512060sdg,den,AndeC.00,pass_att,0,,,,,
player,201512060sdg,den,AndeC.00,pass_yds,0,,,,,
player,201512060sdg,den,AndeC.00,pass_td,0,,,,,
player,201512060sdg,den,AndeC.00,pass_int,0,,,,,
player,201512060sdg,den,AndeC.00,pass_sacked,0,,,,,
player,201512060sdg,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201512060sdg,den,AndeC.00,pass_long,0,,,,,
player,201512060sdg,den,AndeC.00,pass_rating,,,,,,
player,201512060sdg,den,AndeC.00,rush_att,7,,,,,
player,201512060sdg,den,AndeC.00,rush_yds,42,,,,,
player,201512060sdg,den,AndeC.00,rush_td,0,,,,,
player,201512060sdg,den,AndeC.00,rush_long,22,,,,,
player,201512060sdg,den,AndeC.00,targets,1,,,,,
player,201512060sdg,den,AndeC.00,rec,1,,,,,
player,201512060sdg,den,AndeC.00,rec_yds,12,,,,,
player,201512060sdg,den,AndeC.00,rec_td,0,,,,,
player,201512060sdg,den,AndeC.00,rec_long,12,,,,,
player,201512060sdg,den,AndeC.00,fumbles,0,,,,,
player,201512060sdg,den,AndeC.00,fumbles_lost,0,,,,,
player,201512060sdg,den,ThomJu01,pass_cmp,0,,,,,
player,201512060sdg,den,ThomJu01,pass_att,0,,,,,
player,201512060sdg,den,ThomJu01,pass_yds,0,,,,,
player,201512060sdg,den,ThomJu01,pass_td,0,,,,,
player,201512060sdg,den,ThomJu01,pass_int,0,,,,,
player,201512060sdg,den,ThomJu01,pass_sacked,0,,,,,
player,201512060sdg,den,ThomJu01,pass_sacked_yds,0,,,,,
player,201512060sdg,den,ThomJu01,pass_long,0,,,,,
player,201512060sdg,den,ThomJu01,pass_rating,,,,,,
player,201512060sdg,den,ThomJu01,rush_att,8,,,,,
player,201512060sdg,den,ThomJu01,rush_yds,27,,,,,
player,201512060sdg,den,ThomJu01,rush_td,0,,,,,
player,201512060sdg,den,ThomJu01,rush_long,12,,,,,
player,201512060sdg,den,ThomJu01,targets,1,,,,,
player,201512060sdg,den,ThomJu01,rec,1,,,,,
player,201512060sdg,den,ThomJu01,rec_yds,14,,,,,
player,201512060sdg,den,ThomJu01,rec_td,0,,,,,
player,201512060sdg,den,ThomJu01,rec_long,14,,,,,
player,201512060sdg,den,ThomJu01,fumbles,0,,,,,
player,201512060sdg,den,ThomJu01,fumbles_lost,0,,,,,
player,201512060sdg,den,SandEm00,pass_cmp,0,,,,,
player,201512060sdg,den,SandEm00,pass_att,0,,,,,
player,201512060sdg,den,SandEm00,pass_yds,0,,,,,
player,201512060sdg,den,SandEm00,pass_td,0,,,,,
player,201512060sdg,den,SandEm00,pass_int,0,,,,,
player,201512060sdg,den,SandEm00,pass_sacked,0,,,,,
player,201512060sdg,den,SandEm00,pass_sacked_yds,0,,,,,
player,201512060sdg,den,SandEm00,pass_long,0,,,,,
player,201512060sdg,den,SandEm00,pass_rating,,,,,,
player,201512060sdg,den,SandEm00,rush_att,1,,,,,
player,201512060sdg,den,SandEm00,rush_yds,5,,,,,
player,201512060sdg,den,SandEm00,rush_td,0,,,,,
player,201512060sdg,den,SandEm00,rush_long,5,,,,,
player,201512060sdg,den,SandEm00,targets,8,,,,,
player,201512060sdg,den,SandEm00,rec,3,,,,,
player,201512060sdg,den,SandEm00,rec_yds,19,,,,,
player,201512060sdg,den,SandEm00,rec_td,0,,,,,
player,201512060sdg,den,SandEm00,rec_long,9,,,,,
player,201512060sdg,den,SandEm00,fumbles,0,,,,,
player,201512060sdg,den,SandEm00,fumbles_lost,0,,,,,
