game,2015,7,20151025,201510250clt,nor,"New Orleans Saints",27,clt,"Indianapolis Colts",21
team,201510250clt,nor,First Downs,22,,,,,,
team,201510250clt,clt,First Downs,15,,,,,,
team,201510250clt,nor,Rush-Yds-TDs,36-183-3,,,,,,
team,201510250clt,clt,Rush-Yds-TDs,13-75-0,,,,,,
team,201510250clt,nor,Cmp-Att-Yd-TD-INT,29-45-280-1-1,,,,,,
team,201510250clt,clt,Cmp-Att-Yd-TD-INT,23-44-333-3-2,,,,,,
team,201510250clt,nor,Sacked-Yards,2-14,,,,,,
team,201510250clt,clt,Sacked-Yards,4-32,,,,,,
team,201510250clt,nor,Net Pass Yards,266,,,,,,
team,201510250clt,clt,Net Pass Yards,301,,,,,,
team,201510250clt,nor,Total Yards,449,,,,,,
team,201510250clt,clt,Total Yards,376,,,,,,
team,201510250clt,nor,Fumbles-Lost,1-0,,,,,,
team,201510250clt,clt,Fumbles-Lost,3-1,,,,,,
team,201510250clt,nor,Turnovers,1,,,,,,
team,201510250clt,clt,Turnovers,3,,,,,,
team,201510250clt,nor,Penalties-Yards,12-100,,,,,,
team,201510250clt,clt,Penalties-Yards,7-42,,,,,,
team,201510250clt,nor,Third Down Conv.,7-20,,,,,,
team,201510250clt,clt,Third Down Conv.,3-13,,,,,,
team,201510250clt,nor,Fourth Down Conv.,1-1,,,,,,
team,201510250clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201510250clt,nor,Time of Possession,38:23,,,,,,
team,201510250clt,clt,Time of Possession,21:37,,,,,,
player,201510250clt,nor,BreeDr00,pass_cmp,28,,,,,
player,201510250clt,nor,BreeDr00,pass_att,44,,,,,
player,201510250clt,nor,BreeDr00,pass_yds,255,,,,,
player,201510250clt,nor,BreeDr00,pass_td,1,,,,,
player,201510250clt,nor,BreeDr00,pass_int,1,,,,,
player,201510250clt,nor,BreeDr00,pass_sacked,2,,,,,
player,201510250clt,nor,BreeDr00,pass_sacked_yds,14,,,,,
player,201510250clt,nor,BreeDr00,pass_long,47,,,,,
player,201510250clt,nor,BreeDr00,pass_rating,77.4,,,,,
player,201510250clt,nor,BreeDr00,rush_att,4,,,,,
player,201510250clt,nor,BreeDr00,rush_yds,-4,,,,,
player,201510250clt,nor,BreeDr00,rush_td,0,,,,,
player,201510250clt,nor,BreeDr00,rush_long,-1,,,,,
player,201510250clt,nor,BreeDr00,targets,0,,,,,
player,201510250clt,nor,BreeDr00,rec,0,,,,,
player,201510250clt,nor,BreeDr00,rec_yds,0,,,,,
player,201510250clt,nor,BreeDr00,rec_td,0,,,,,
player,201510250clt,nor,BreeDr00,rec_long,0,,,,,
player,201510250clt,nor,BreeDr00,fumbles,0,,,,,
player,201510250clt,nor,BreeDr00,fumbles_lost,0,,,,,
player,201510250clt,nor,McCoLu00,pass_cmp,1,,,,,
player,201510250clt,nor,McCoLu00,pass_att,1,,,,,
player,201510250clt,nor,McCoLu00,pass_yds,25,,,,,
player,201510250clt,nor,McCoLu00,pass_td,0,,,,,
player,201510250clt,nor,McCoLu00,pass_int,0,,,,,
player,201510250clt,nor,McCoLu00,pass_sacked,0,,,,,
player,201510250clt,nor,McCoLu00,pass_sacked_yds,0,,,,,
player,201510250clt,nor,McCoLu00,pass_long,25,,,,,
player,201510250clt,nor,McCoLu00,pass_rating,118.7,,,,,
player,201510250clt,nor,McCoLu00,rush_att,0,,,,,
player,201510250clt,nor,McCoLu00,rush_yds,0,,,,,
player,201510250clt,nor,McCoLu00,rush_td,0,,,,,
player,201510250clt,nor,McCoLu00,rush_long,0,,,,,
player,201510250clt,nor,McCoLu00,targets,0,,,,,
player,201510250clt,nor,McCoLu00,rec,0,,,,,
player,201510250clt,nor,McCoLu00,rec_yds,0,,,,,
player,201510250clt,nor,McCoLu00,rec_td,0,,,,,
player,201510250clt,nor,McCoLu00,rec_long,0,,,,,
player,201510250clt,nor,McCoLu00,fumbles,0,,,,,
player,201510250clt,nor,McCoLu00,fumbles_lost,0,,,,,
player,201510250clt,nor,IngrMa01,pass_cmp,0,,,,,
player,201510250clt,nor,IngrMa01,pass_att,0,,,,,
player,201510250clt,nor,IngrMa01,pass_yds,0,,,,,
player,201510250clt,nor,IngrMa01,pass_td,0,,,,,
player,201510250clt,nor,IngrMa01,pass_int,0,,,,,
player,201510250clt,nor,IngrMa01,pass_sacked,0,,,,,
player,201510250clt,nor,IngrMa01,pass_sacked_yds,0,,,,,
