game,2015,14,20151210,201512100crd,min,"Minnesota Vikings",20,crd,"Arizona Cardinals",23
player,201512100crd,min,WallMi00,pass_td,0,,,,,
player,201512100crd,min,WallMi00,pass_int,0,,,,,
player,201512100crd,min,WallMi00,pass_sacked,0,,,,,
player,201512100crd,min,WallMi00,pass_sacked_yds,0,,,,,
player,201512100crd,min,WallMi00,pass_long,0,,,,,
player,201512100crd,min,WallMi00,pass_rating,,,,,,
player,201512100crd,min,WallMi00,rush_att,0,,,,,
player,201512100crd,min,WallMi00,rush_yds,0,,,,,
player,201512100crd,min,WallMi00,rush_td,0,,,,,
player,201512100crd,min,WallMi00,rush_long,0,,,,,
player,201512100crd,min,WallMi00,targets,5,,,,,
player,201512100crd,min,WallMi00,rec,3,,,,,
player,201512100crd,min,WallMi00,rec_yds,42,,,,,
player,201512100crd,min,WallMi00,rec_td,1,,,,,
player,201512100crd,min,WallMi00,rec_long,23,,,,,
player,201512100crd,min,WallMi00,fumbles,0,,,,,
player,201512100crd,min,WallMi00,fumbles_lost,0,,,,,
player,201512100crd,min,ElliRh00,pass_cmp,0,,,,,
player,201512100crd,min,ElliRh00,pass_att,0,,,,,
player,201512100crd,min,ElliRh00,pass_yds,0,,,,,
player,201512100crd,min,ElliRh00,pass_td,0,,,,,
player,201512100crd,min,ElliRh00,pass_int,0,,,,,
player,201512100crd,min,ElliRh00,pass_sacked,0,,,,,
player,201512100crd,min,ElliRh00,pass_sacked_yds,0,,,,,
player,201512100crd,min,ElliRh00,pass_long,0,,,,,
player,201512100crd,min,ElliRh00,pass_rating,,,,,,
player,201512100crd,min,ElliRh00,rush_att,0,,,,,
player,201512100crd,min,ElliRh00,rush_yds,0,,,,,
player,201512100crd,min,ElliRh00,rush_td,0,,,,,
player,201512100crd,min,ElliRh00,rush_long,0,,,,,
player,201512100crd,min,ElliRh00,targets,1,,,,,
player,201512100crd,min,ElliRh00,rec,1,,,,,
player,201512100crd,min,ElliRh00,rec_yds,41,,,,,
player,201512100crd,min,ElliRh00,rec_td,0,,,,,
player,201512100crd,min,ElliRh00,rec_long,41,,,,,
player,201512100crd,min,ElliRh00,fumbles,0,,,,,
player,201512100crd,min,ElliRh00,fumbles_lost,0,,,,,
player,201512100crd,min,PruiMy00,pass_cmp,0,,,,,
player,201512100crd,min,PruiMy00,pass_att,0,,,,,
player,201512100crd,min,PruiMy00,pass_yds,0,,,,,
player,201512100crd,min,PruiMy00,pass_td,0,,,,,
player,201512100crd,min,PruiMy00,pass_int,0,,,,,
player,201512100crd,min,PruiMy00,pass_sacked,0,,,,,
player,201512100crd,min,PruiMy00,pass_sacked_yds,0,,,,,
player,201512100crd,min,PruiMy00,pass_long,0,,,,,
player,201512100crd,min,PruiMy00,pass_rating,,,,,,
player,201512100crd,min,PruiMy00,rush_att,0,,,,,
player,201512100crd,min,PruiMy00,rush_yds,0,,,,,
player,201512100crd,min,PruiMy00,rush_td,0,,,,,
player,201512100crd,min,PruiMy00,rush_long,0,,,,,
player,201512100crd,min,PruiMy00,targets,2,,,,,
player,201512100crd,min,PruiMy00,rec,2,,,,,
player,201512100crd,min,PruiMy00,rec_yds,36,,,,,
player,201512100crd,min,PruiMy00,rec_td,0,,,,,
player,201512100crd,min,PruiMy00,rec_long,32,,,,,
player,201512100crd,min,PruiMy00,fumbles,0,,,,,
player,201512100crd,min,PruiMy00,fumbles_lost,0,,,,,
player,201512100crd,min,AsiaMa00,pass_cmp,0,,,,,
player,201512100crd,min,AsiaMa00,pass_att,0,,,,,
player,201512100crd,min,AsiaMa00,pass_yds,0,,,,,
player,201512100crd,min,AsiaMa00,pass_td,0,,,,,
player,201512100crd,min,AsiaMa00,pass_int,0,,,,,
player,201512100crd,min,AsiaMa00,pass_sacked,0,,,,,
player,201512100crd,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201512100crd,min,AsiaMa00,pass_long,0,,,,,
player,201512100crd,min,AsiaMa00,pass_rating,,,,,,
player,201512100crd,min,AsiaMa00,rush_att,0,,,,,
player,201512100crd,min,AsiaMa00,rush_yds,0,,,,,
player,201512100crd,min,AsiaMa00,rush_td,0,,,,,
player,201512100crd,min,AsiaMa00,rush_long,0,,,,,
player,201512100crd,min,AsiaMa00,targets,2,,,,,
player,201512100crd,min,AsiaMa00,rec,2,,,,,
player,201512100crd,min,AsiaMa00,rec_yds,30,,,,,
player,201512100crd,min,AsiaMa00,rec_td,0,,,,,
player,201512100crd,min,AsiaMa00,rec_long,22,,,,,
player,201512100crd,min,AsiaMa00,fumbles,0,,,,,
player,201512100crd,min,AsiaMa00,fumbles_lost,0,,,,,
player,201512100crd,min,LineZa01,pass_cmp,0,,,,,
player,201512100crd,min,LineZa01,pass_att,0,,,,,
player,201512100crd,min,LineZa01,pass_yds,0,,,,,
player,201512100crd,min,LineZa01,pass_td,0,,,,,
player,201512100crd,min,LineZa01,pass_int,0,,,,,
player,201512100crd,min,LineZa01,pass_sacked,0,,,,,
player,201512100crd,min,LineZa01,pass_sacked_yds,0,,,,,
player,201512100crd,min,LineZa01,pass_long,0,,,,,
player,201512100crd,min,LineZa01,pass_rating,,,,,,
player,201512100crd,min,LineZa01,rush_att,0,,,,,
player,201512100crd,min,LineZa01,rush_yds,0,,,,,
player,201512100crd,min,LineZa01,rush_td,0,,,,,
player,201512100crd,min,LineZa01,rush_long,0,,,,,
player,201512100crd,min,LineZa01,targets,1,,,,,
player,201512100crd,min,LineZa01,rec,1,,,,,
player,201512100crd,min,LineZa01,rec_yds,24,,,,,
player,201512100crd,min,LineZa01,rec_td,0,,,,,
player,201512100crd,min,LineZa01,rec_long,24,,,,,
player,201512100crd,min,LineZa01,fumbles,0,,,,,
player,201512100crd,min,LineZa01,fumbles_lost,0,,,,,
player,201512100crd,min,DiggSt00,pass_cmp,0,,,,,
player,201512100crd,min,DiggSt00,pass_att,0,,,,,
player,201512100crd,min,DiggSt00,pass_yds,0,,,,,
player,201512100crd,min,DiggSt00,pass_td,0,,,,,
player,201512100crd,min,DiggSt00,pass_int,0,,,,,
player,201512100crd,min,DiggSt00,pass_sacked,0,,,,,
player,201512100crd,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201512100crd,min,DiggSt00,pass_long,0,,,,,
player,201512100crd,min,DiggSt00,pass_rating,,,,,,
player,201512100crd,min,DiggSt00,rush_att,0,,,,,
player,201512100crd,min,DiggSt00,rush_yds,0,,,,,
player,201512100crd,min,DiggSt00,rush_td,0,,,,,
player,201512100crd,min,DiggSt00,rush_long,0,,,,,
player,201512100crd,min,DiggSt00,targets,7,,,,,
player,201512100crd,min,DiggSt00,rec,2,,,,,
player,201512100crd,min,DiggSt00,rec_yds,12,,,,,
player,201512100crd,min,DiggSt00,rec_td,0,,,,,
player,201512100crd,min,DiggSt00,rec_long,7,,,,,
player,201512100crd,min,DiggSt00,fumbles,0,,,,,
player,201512100crd,min,DiggSt00,fumbles_lost,0,,,,,
player,201512100crd,min,McKiJe00,pass_cmp,0,,,,,
player,201512100crd,min,McKiJe00,pass_att,0,,,,,
player,201512100crd,min,McKiJe00,pass_yds,0,,,,,
player,201512100crd,min,McKiJe00,pass_td,0,,,,,
player,201512100crd,min,McKiJe00,pass_int,0,,,,,
player,201512100crd,min,McKiJe00,pass_sacked,0,,,,,
player,201512100crd,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201512100crd,min,McKiJe00,pass_long,0,,,,,
player,201512100crd,min,McKiJe00,pass_rating,,,,,,
player,201512100crd,min,McKiJe00,rush_att,0,,,,,
player,201512100crd,min,McKiJe00,rush_yds,0,,,,,
player,201512100crd,min,McKiJe00,rush_td,0,,,,,
player,201512100crd,min,McKiJe00,rush_long,0,,,,,
player,201512100crd,min,McKiJe00,targets,1,,,,,
player,201512100crd,min,McKiJe00,rec,1,,,,,
player,201512100crd,min,McKiJe00,rec_yds,8,,,,,
player,201512100crd,min,McKiJe00,rec_td,0,,,,,
player,201512100crd,min,McKiJe00,rec_long,8,,,,,
player,201512100crd,min,McKiJe00,fumbles,0,,,,,
player,201512100crd,min,McKiJe00,fumbles_lost,0,,,,,
player,201512100crd,min,ThieAd00,pass_cmp,0,,,,,
player,201512100crd,min,ThieAd00,pass_att,0,,,,,
player,201512100crd,min,ThieAd00,pass_yds,0,,,,,
player,201512100crd,min,ThieAd00,pass_td,0,,,,,
player,201512100crd,min,ThieAd00,pass_int,0,,,,,
player,201512100crd,min,ThieAd00,pass_sacked,0,,,,,
player,201512100crd,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201512100crd,min,ThieAd00,pass_long,0,,,,,
player,201512100crd,min,ThieAd00,pass_rating,,,,,,
player,201512100crd,min,ThieAd00,rush_att,0,,,,,
player,201512100crd,min,ThieAd00,rush_yds,0,,,,,
player,201512100crd,min,ThieAd00,rush_td,0,,,,,
player,201512100crd,min,ThieAd00,rush_long,0,,,,,
player,201512100crd,min,ThieAd00,targets,1,,,,,
player,201512100crd,min,ThieAd00,rec,1,,,,,
player,201512100crd,min,ThieAd00,rec_yds,7,,,,,
player,201512100crd,min,ThieAd00,rec_td,0,,,,,
player,201512100crd,min,ThieAd00,rec_long,7,,,,,
player,201512100crd,min,ThieAd00,fumbles,0,,,,,
player,201512100crd,min,ThieAd00,fumbles_lost,0,,,,,
player,201512100crd,crd,PalmCa00,pass_cmp,25,,,,,
player,201512100crd,crd,PalmCa00,pass_att,35,,,,,
player,201512100crd,crd,PalmCa00,pass_yds,310,,,,,
player,201512100crd,crd,PalmCa00,pass_td,2,,,,,
player,201512100crd,crd,PalmCa00,pass_int,0,,,,,
player,201512100crd,crd,PalmCa00,pass_sacked,2,,,,,
player,201512100crd,crd,PalmCa00,pass_sacked_yds,14,,,,,
player,201512100crd,crd,PalmCa00,pass_long,65,,,,,
player,201512100crd,crd,PalmCa00,pass_rating,117.6,,,,,
player,201512100crd,crd,PalmCa00,rush_att,3,,,,,
