game,2015,4,20151005,201510050sea,det,"Detroit Lions",10,sea,"Seattle Seahawks",13
team,201510050sea,det,First Downs,12,,,,,,
team,201510050sea,sea,First Downs,18,,,,,,
team,201510050sea,det,Rush-Yds-TDs,18-53-0,,,,,,
team,201510050sea,sea,Rush-Yds-TDs,31-110-0,,,,,,
team,201510050sea,det,Cmp-Att-Yd-TD-INT,24-35-203-0-0,,,,,,
team,201510050sea,sea,Cmp-Att-Yd-TD-INT,20-26-287-1-0,,,,,,
team,201510050sea,det,Sacked-Yards,0-0,,,,,,
team,201510050sea,sea,Sacked-Yards,6-52,,,,,,
team,201510050sea,det,Net Pass Yards,203,,,,,,
team,201510050sea,sea,Net Pass Yards,235,,,,,,
team,201510050sea,det,Total Yards,256,,,,,,
team,201510050sea,sea,Total Yards,345,,,,,,
team,201510050sea,det,Fumbles-Lost,2-1,,,,,,
team,201510050sea,sea,Fumbles-Lost,5-3,,,,,,
team,201510050sea,det,Turnovers,1,,,,,,
team,201510050sea,sea,Turnovers,3,,,,,,
team,201510050sea,det,Penalties-Yards,4-37,,,,,,
team,201510050sea,sea,Penalties-Yards,5-30,,,,,,
team,201510050sea,det,Third Down Conv.,3-13,,,,,,
team,201510050sea,sea,Third Down Conv.,6-13,,,,,,
team,201510050sea,det,Fourth Down Conv.,0-0,,,,,,
team,201510050sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201510050sea,det,Time of Possession,27:56,,,,,,
team,201510050sea,sea,Time of Possession,32:04,,,,,,
player,201510050sea,det,StafMa00,pass_cmp,24,,,,,
player,201510050sea,det,StafMa00,pass_att,35,,,,,
player,201510050sea,det,StafMa00,pass_yds,203,,,,,
player,201510050sea,det,StafMa00,pass_td,0,,,,,
player,201510050sea,det,StafMa00,pass_int,0,,,,,
player,201510050sea,det,StafMa00,pass_sacked,0,,,,,
player,201510050sea,det,StafMa00,pass_sacked_yds,0,,,,,
player,201510050sea,det,StafMa00,pass_long,26,,,,,
player,201510050sea,det,StafMa00,pass_rating,83.4,,,,,
player,201510050sea,det,StafMa00,rush_att,0,,,,,
player,201510050sea,det,StafMa00,rush_yds,0,,,,,
player,201510050sea,det,StafMa00,rush_td,0,,,,,
player,201510050sea,det,StafMa00,rush_long,0,,,,,
player,201510050sea,det,StafMa00,targets,0,,,,,
player,201510050sea,det,StafMa00,rec,0,,,,,
player,201510050sea,det,StafMa00,rec_yds,0,,,,,
player,201510050sea,det,StafMa00,rec_td,0,,,,,
player,201510050sea,det,StafMa00,rec_long,0,,,,,
player,201510050sea,det,StafMa00,fumbles,0,,,,,
player,201510050sea,det,StafMa00,fumbles_lost,0,,,,,
player,201510050sea,det,AbduAm00,pass_cmp,0,,,,,
player,201510050sea,det,AbduAm00,pass_att,0,,,,,
player,201510050sea,det,AbduAm00,pass_yds,0,,,,,
player,201510050sea,det,AbduAm00,pass_td,0,,,,,
player,201510050sea,det,AbduAm00,pass_int,0,,,,,
player,201510050sea,det,AbduAm00,pass_sacked,0,,,,,
player,201510050sea,det,AbduAm00,pass_sacked_yds,0,,,,,
player,201510050sea,det,AbduAm00,pass_long,0,,,,,
player,201510050sea,det,AbduAm00,pass_rating,,,,,,
player,201510050sea,det,AbduAm00,rush_att,13,,,,,
player,201510050sea,det,AbduAm00,rush_yds,33,,,,,
player,201510050sea,det,AbduAm00,rush_td,0,,,,,
