game,2015,6,20151018,201510180clt,nwe,"New England Patriots",34,clt,"Indianapolis Colts",27
team,201510180clt,nwe,First Downs,22,,,,,,
team,201510180clt,clt,First Downs,24,,,,,,
team,201510180clt,nwe,Rush-Yds-TDs,25-116-1,,,,,,
team,201510180clt,clt,Rush-Yds-TDs,22-120-0,,,,,,
team,201510180clt,nwe,Cmp-Att-Yd-TD-INT,23-37-312-3-1,,,,,,
team,201510180clt,clt,Cmp-Att-Yd-TD-INT,30-50-312-3-0,,,,,,
team,201510180clt,nwe,Sacked-Yards,2-11,,,,,,
team,201510180clt,clt,Sacked-Yards,3-23,,,,,,
team,201510180clt,nwe,Net Pass Yards,301,,,,,,
team,201510180clt,clt,Net Pass Yards,289,,,,,,
team,201510180clt,nwe,Total Yards,417,,,,,,
team,201510180clt,clt,Total Yards,409,,,,,,
team,201510180clt,nwe,Fumbles-Lost,0-0,,,,,,
team,201510180clt,clt,Fumbles-Lost,0-0,,,,,,
team,201510180clt,nwe,Turnovers,1,,,,,,
team,201510180clt,clt,Turnovers,0,,,,,,
team,201510180clt,nwe,Penalties-Yards,8-72,,,,,,
team,201510180clt,clt,Penalties-Yards,11-103,,,,,,
team,201510180clt,nwe,Third Down Conv.,5-12,,,,,,
team,201510180clt,clt,Third Down Conv.,7-16,,,,,,
team,201510180clt,nwe,Fourth Down Conv.,1-1,,,,,,
team,201510180clt,clt,Fourth Down Conv.,1-3,,,,,,
team,201510180clt,nwe,Time of Possession,27:28,,,,,,
team,201510180clt,clt,Time of Possession,32:32,,,,,,
player,201510180clt,nwe,BradTo00,pass_cmp,23,,,,,
player,201510180clt,nwe,BradTo00,pass_att,37,,,,,
player,201510180clt,nwe,BradTo00,pass_yds,312,,,,,
player,201510180clt,nwe,BradTo00,pass_td,3,,,,,
player,201510180clt,nwe,BradTo00,pass_int,1,,,,,
player,201510180clt,nwe,BradTo00,pass_sacked,2,,,,,
player,201510180clt,nwe,BradTo00,pass_sacked_yds,11,,,,,
player,201510180clt,nwe,BradTo00,pass_long,39,,,,,
player,201510180clt,nwe,BradTo00,pass_rating,104.8,,,,,
player,201510180clt,nwe,BradTo00,rush_att,4,,,,,
player,201510180clt,nwe,BradTo00,rush_yds,0,,,,,
player,201510180clt,nwe,BradTo00,rush_td,0,,,,,
player,201510180clt,nwe,BradTo00,rush_long,2,,,,,
player,201510180clt,nwe,BradTo00,targets,0,,,,,
player,201510180clt,nwe,BradTo00,rec,0,,,,,
player,201510180clt,nwe,BradTo00,rec_yds,0,,,,,
player,201510180clt,nwe,BradTo00,rec_td,0,,,,,
player,201510180clt,nwe,BradTo00,rec_long,0,,,,,
player,201510180clt,nwe,BradTo00,fumbles,0,,,,,
player,201510180clt,nwe,BradTo00,fumbles_lost,0,,,,,
player,201510180clt,nwe,BlouLe00,pass_cmp,0,,,,,
player,201510180clt,nwe,BlouLe00,pass_att,0,,,,,
player,201510180clt,nwe,BlouLe00,pass_yds,0,,,,,
