game,2015,8,20151101,201511010den,gnb,"Green Bay Packers",10,den,"Denver Broncos",29
team,201511010den,gnb,First Downs,14,,,,,,
team,201511010den,den,First Downs,24,,,,,,
team,201511010den,gnb,Rush-Yds-TDs,21-90-1,,,,,,
team,201511010den,den,Rush-Yds-TDs,34-160-3,,,,,,
team,201511010den,gnb,Cmp-Att-Yd-TD-INT,14-22-77-0-0,,,,,,
team,201511010den,den,Cmp-Att-Yd-TD-INT,21-29-340-0-1,,,,,,
team,201511010den,gnb,Sacked-Yards,3-27,,,,,,
team,201511010den,den,Sacked-Yards,0-0,,,,,,
team,201511010den,gnb,Net Pass Yards,50,,,,,,
team,201511010den,den,Net Pass Yards,340,,,,,,
team,201511010den,gnb,Total Yards,140,,,,,,
team,201511010den,den,Total Yards,500,,,,,,
team,201511010den,gnb,Fumbles-Lost,3-0,,,,,,
team,201511010den,den,Fumbles-Lost,0-0,,,,,,
team,201511010den,gnb,Turnovers,0,,,,,,
team,201511010den,den,Turnovers,1,,,,,,
team,201511010den,gnb,Penalties-Yards,2-15,,,,,,
team,201511010den,den,Penalties-Yards,11-93,,,,,,
team,201511010den,gnb,Third Down Conv.,2-8,,,,,,
team,201511010den,den,Third Down Conv.,6-12,,,,,,
team,201511010den,gnb,Fourth Down Conv.,0-0,,,,,,
team,201511010den,den,Fourth Down Conv.,0-0,,,,,,
team,201511010den,gnb,Time of Possession,26:33,,,,,,
team,201511010den,den,Time of Possession,33:27,,,,,,
player,201511010den,gnb,RodgAa00,pass_cmp,14,,,,,
player,201511010den,gnb,RodgAa00,pass_att,22,,,,,
player,201511010den,gnb,RodgAa00,pass_yds,77,,,,,
player,201511010den,gnb,RodgAa00,pass_td,0,,,,,
player,201511010den,gnb,RodgAa00,pass_int,0,,,,,
player,201511010den,gnb,RodgAa00,pass_sacked,3,,,,,
player,201511010den,gnb,RodgAa00,pass_sacked_yds,27,,,,,
player,201511010den,gnb,RodgAa00,pass_long,17,,,,,
player,201511010den,gnb,RodgAa00,pass_rating,69.7,,,,,
player,201511010den,gnb,RodgAa00,rush_att,2,,,,,
player,201511010den,gnb,RodgAa00,rush_yds,31,,,,,
player,201511010den,gnb,RodgAa00,rush_td,0,,,,,
player,201511010den,gnb,RodgAa00,rush_long,17,,,,,
player,201511010den,gnb,RodgAa00,targets,0,,,,,
player,201511010den,gnb,RodgAa00,rec,0,,,,,
player,201511010den,gnb,RodgAa00,rec_yds,0,,,,,
player,201511010den,gnb,RodgAa00,rec_td,0,,,,,
player,201511010den,gnb,RodgAa00,rec_long,0,,,,,
player,201511010den,gnb,RodgAa00,fumbles,1,,,,,
player,201511010den,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201511010den,gnb,LacyEd00,pass_cmp,0,,,,,
player,201511010den,gnb,LacyEd00,pass_att,0,,,,,
player,201511010den,gnb,LacyEd00,pass_yds,0,,,,,
player,201511010den,gnb,LacyEd00,pass_td,0,,,,,
player,201511010den,gnb,LacyEd00,pass_int,0,,,,,
player,201511010den,gnb,LacyEd00,pass_sacked,0,,,,,
player,201511010den,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201511010den,gnb,LacyEd00,pass_long,0,,,,,
player,201511010den,gnb,LacyEd00,pass_rating,,,,,,
player,201511010den,gnb,LacyEd00,rush_att,11,,,,,
player,201511010den,gnb,LacyEd00,rush_yds,38,,,,,
player,201511010den,gnb,LacyEd00,rush_td,1,,,,,
player,201511010den,gnb,LacyEd00,rush_long,15,,,,,
player,201511010den,gnb,LacyEd00,targets,2,,,,,
player,201511010den,gnb,LacyEd00,rec,1,,,,,
player,201511010den,gnb,LacyEd00,rec_yds,9,,,,,
player,201511010den,gnb,LacyEd00,rec_td,0,,,,,
player,201511010den,gnb,LacyEd00,rec_long,9,,,,,
player,201511010den,gnb,LacyEd00,fumbles,1,,,,,
player,201511010den,gnb,LacyEd00,fumbles_lost,0,,,,,
player,201511010den,gnb,CobbRa00,pass_cmp,0,,,,,
player,201511010den,gnb,CobbRa00,pass_att,0,,,,,
player,201511010den,gnb,CobbRa00,pass_yds,0,,,,,
player,201511010den,gnb,CobbRa00,pass_td,0,,,,,
player,201511010den,gnb,CobbRa00,pass_int,0,,,,,
player,201511010den,gnb,CobbRa00,pass_sacked,0,,,,,
player,201511010den,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201511010den,gnb,CobbRa00,pass_long,0,,,,,
player,201511010den,gnb,CobbRa00,pass_rating,,,,,,
player,201511010den,gnb,CobbRa00,rush_att,1,,,,,
player,201511010den,gnb,CobbRa00,rush_yds,10,,,,,
player,201511010den,gnb,CobbRa00,rush_td,0,,,,,
player,201511010den,gnb,CobbRa00,rush_long,10,,,,,
player,201511010den,gnb,CobbRa00,targets,9,,,,,
player,201511010den,gnb,CobbRa00,rec,6,,,,,
player,201511010den,gnb,CobbRa00,rec_yds,27,,,,,
player,201511010den,gnb,CobbRa00,rec_td,0,,,,,
player,201511010den,gnb,CobbRa00,rec_long,17,,,,,
player,201511010den,gnb,CobbRa00,fumbles,0,,,,,
player,201511010den,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201511010den,gnb,StarJa00,pass_cmp,0,,,,,
player,201511010den,gnb,StarJa00,pass_att,0,,,,,
player,201511010den,gnb,StarJa00,pass_yds,0,,,,,
player,201511010den,gnb,StarJa00,pass_td,0,,,,,
player,201511010den,gnb,StarJa00,pass_int,0,,,,,
player,201511010den,gnb,StarJa00,pass_sacked,0,,,,,
player,201511010den,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201511010den,gnb,StarJa00,pass_long,0,,,,,
player,201511010den,gnb,StarJa00,pass_rating,,,,,,
player,201511010den,gnb,StarJa00,rush_att,5,,,,,
player,201511010den,gnb,StarJa00,rush_yds,9,,,,,
player,201511010den,gnb,StarJa00,rush_td,0,,,,,
player,201511010den,gnb,StarJa00,rush_long,4,,,,,
player,201511010den,gnb,StarJa00,targets,2,,,,,
player,201511010den,gnb,StarJa00,rec,2,,,,,
player,201511010den,gnb,StarJa00,rec_yds,9,,,,,
player,201511010den,gnb,StarJa00,rec_td,0,,,,,
player,201511010den,gnb,StarJa00,rec_long,5,,,,,
player,201511010den,gnb,StarJa00,fumbles,0,,,,,
player,201511010den,gnb,StarJa00,fumbles_lost,0,,,,,
player,201511010den,gnb,HarrAl00,pass_cmp,0,,,,,
player,201511010den,gnb,HarrAl00,pass_att,0,,,,,
player,201511010den,gnb,HarrAl00,pass_yds,0,,,,,
player,201511010den,gnb,HarrAl00,pass_td,0,,,,,
player,201511010den,gnb,HarrAl00,pass_int,0,,,,,
player,201511010den,gnb,HarrAl00,pass_sacked,0,,,,,
player,201511010den,gnb,HarrAl00,pass_sacked_yds,0,,,,,
player,201511010den,gnb,HarrAl00,pass_long,0,,,,,
player,201511010den,gnb,HarrAl00,pass_rating,,,,,,
player,201511010den,gnb,HarrAl00,rush_att,2,,,,,
player,201511010den,gnb,HarrAl00,rush_yds,2,,,,,
player,201511010den,gnb,HarrAl00,rush_td,0,,,,,
player,201511010den,gnb,HarrAl00,rush_long,2,,,,,
