game,2015,5,20151011,201510110det,crd,"Arizona Cardinals",42,det,"Detroit Lions",17
team,201510110det,crd,First Downs,15,,,,,,
team,201510110det,det,First Downs,29,,,,,,
team,201510110det,crd,Rush-Yds-TDs,25-187-3,,,,,,
team,201510110det,det,Rush-Yds-TDs,18-56-0,,,,,,
team,201510110det,crd,Cmp-Att-Yd-TD-INT,12-18-171-3-0,,,,,,
team,201510110det,det,Cmp-Att-Yd-TD-INT,41-70-379-2-4,,,,,,
team,201510110det,crd,Sacked-Yards,2-13,,,,,,
team,201510110det,det,Sacked-Yards,1-0,,,,,,
team,201510110det,crd,Net Pass Yards,158,,,,,,
team,201510110det,det,Net Pass Yards,379,,,,,,
team,201510110det,crd,Total Yards,345,,,,,,
team,201510110det,det,Total Yards,435,,,,,,
team,201510110det,crd,Fumbles-Lost,0-0,,,,,,
team,201510110det,det,Fumbles-Lost,3-2,,,,,,
team,201510110det,crd,Turnovers,0,,,,,,
team,201510110det,det,Turnovers,6,,,,,,
team,201510110det,crd,Penalties-Yards,9-70,,,,,,
team,201510110det,det,Penalties-Yards,9-85,,,,,,
team,201510110det,crd,Third Down Conv.,1-8,,,,,,
team,201510110det,det,Third Down Conv.,8-17,,,,,,
team,201510110det,crd,Fourth Down Conv.,0-0,,,,,,
team,201510110det,det,Fourth Down Conv.,0-1,,,,,,
team,201510110det,crd,Time of Possession,23:28,,,,,,
team,201510110det,det,Time of Possession,36:32,,,,,,
player,201510110det,crd,PalmCa00,pass_cmp,11,,,,,
player,201510110det,crd,PalmCa00,pass_att,14,,,,,
player,201510110det,crd,PalmCa00,pass_yds,161,,,,,
player,201510110det,crd,PalmCa00,pass_td,3,,,,,
player,201510110det,crd,PalmCa00,pass_int,0,,,,,
player,201510110det,crd,PalmCa00,pass_sacked,2,,,,,
player,201510110det,crd,PalmCa00,pass_sacked_yds,13,,,,,
player,201510110det,crd,PalmCa00,pass_long,49,,,,,
player,201510110det,crd,PalmCa00,pass_rating,154.2,,,,,
player,201510110det,crd,PalmCa00,rush_att,1,,,,,
player,201510110det,crd,PalmCa00,rush_yds,-1,,,,,
player,201510110det,crd,PalmCa00,rush_td,0,,,,,
player,201510110det,crd,PalmCa00,rush_long,-1,,,,,
player,201510110det,crd,PalmCa00,targets,0,,,,,
player,201510110det,crd,PalmCa00,rec,0,,,,,
player,201510110det,crd,PalmCa00,rec_yds,0,,,,,
player,201510110det,crd,PalmCa00,rec_td,0,,,,,
player,201510110det,crd,PalmCa00,rec_long,0,,,,,
player,201510110det,crd,PalmCa00,fumbles,0,,,,,
