game,2015,1,20150914,201509140sfo,min,"Minnesota Vikings",3,sfo,"San Francisco 49ers",20
team,201509140sfo,min,First Downs,17,,,,,,
team,201509140sfo,sfo,First Downs,25,,,,,,
team,201509140sfo,min,Rush-Yds-TDs,17-71-0,,,,,,
team,201509140sfo,sfo,Rush-Yds-TDs,39-230-2,,,,,,
team,201509140sfo,min,Cmp-Att-Yd-TD-INT,23-32-231-0-1,,,,,,
team,201509140sfo,sfo,Cmp-Att-Yd-TD-INT,17-26-165-0-0,,,,,,
team,201509140sfo,min,Sacked-Yards,5-54,,,,,,
team,201509140sfo,sfo,Sacked-Yards,1-0,,,,,,
team,201509140sfo,min,Net Pass Yards,177,,,,,,
team,201509140sfo,sfo,Net Pass Yards,165,,,,,,
team,201509140sfo,min,Total Yards,248,,,,,,
team,201509140sfo,sfo,Total Yards,395,,,,,,
team,201509140sfo,min,Fumbles-Lost,0-0,,,,,,
team,201509140sfo,sfo,Fumbles-Lost,1-1,,,,,,
team,201509140sfo,min,Turnovers,1,,,,,,
team,201509140sfo,sfo,Turnovers,1,,,,,,
team,201509140sfo,min,Penalties-Yards,5-25,,,,,,
team,201509140sfo,sfo,Penalties-Yards,8-57,,,,,,
team,201509140sfo,min,Third Down Conv.,1-9,,,,,,
team,201509140sfo,sfo,Third Down Conv.,5-12,,,,,,
team,201509140sfo,min,Fourth Down Conv.,0-2,,,,,,
team,201509140sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201509140sfo,min,Time of Possession,26:58,,,,,,
team,201509140sfo,sfo,Time of Possession,33:02,,,,,,
player,201509140sfo,min,BridTe00,pass_cmp,23,,,,,
player,201509140sfo,min,BridTe00,pass_att,32,,,,,
player,201509140sfo,min,BridTe00,pass_yds,231,,,,,
player,201509140sfo,min,BridTe00,pass_td,0,,,,,
player,201509140sfo,min,BridTe00,pass_int,1,,,,,
player,201509140sfo,min,BridTe00,pass_sacked,5,,,,,
player,201509140sfo,min,BridTe00,pass_sacked_yds,54,,,,,
player,201509140sfo,min,BridTe00,pass_long,27,,,,,
player,201509140sfo,min,BridTe00,pass_rating,79.0,,,,,
player,201509140sfo,min,BridTe00,rush_att,3,,,,,
player,201509140sfo,min,BridTe00,rush_yds,16,,,,,
player,201509140sfo,min,BridTe00,rush_td,0,,,,,
player,201509140sfo,min,BridTe00,rush_long,10,,,,,
player,201509140sfo,min,BridTe00,targets,0,,,,,
player,201509140sfo,min,BridTe00,rec,0,,,,,
player,201509140sfo,min,BridTe00,rec_yds,0,,,,,
player,201509140sfo,min,BridTe00,rec_td,0,,,,,
player,201509140sfo,min,BridTe00,rec_long,0,,,,,
player,201509140sfo,min,BridTe00,fumbles,0,,,,,
player,201509140sfo,min,BridTe00,fumbles_lost,0,,,,,
player,201509140sfo,min,PeteAd01,pass_cmp,0,,,,,
player,201509140sfo,min,PeteAd01,pass_att,0,,,,,
player,201509140sfo,min,PeteAd01,pass_yds,0,,,,,
player,201509140sfo,min,PeteAd01,pass_td,0,,,,,
player,201509140sfo,min,PeteAd01,pass_int,0,,,,,
player,201509140sfo,min,PeteAd01,pass_sacked,0,,,,,
player,201509140sfo,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201509140sfo,min,PeteAd01,pass_long,0,,,,,
player,201509140sfo,min,PeteAd01,pass_rating,,,,,,
player,201509140sfo,min,PeteAd01,rush_att,10,,,,,
player,201509140sfo,min,PeteAd01,rush_yds,31,,,,,
player,201509140sfo,min,PeteAd01,rush_td,0,,,,,
player,201509140sfo,min,PeteAd01,rush_long,9,,,,,
player,201509140sfo,min,PeteAd01,targets,3,,,,,
player,201509140sfo,min,PeteAd01,rec,3,,,,,
player,201509140sfo,min,PeteAd01,rec_yds,21,,,,,
player,201509140sfo,min,PeteAd01,rec_td,0,,,,,
player,201509140sfo,min,PeteAd01,rec_long,17,,,,,
player,201509140sfo,min,PeteAd01,fumbles,0,,,,,
player,201509140sfo,min,PeteAd01,fumbles_lost,0,,,,,
player,201509140sfo,min,McKiJe00,pass_cmp,0,,,,,
player,201509140sfo,min,McKiJe00,pass_att,0,,,,,
player,201509140sfo,min,McKiJe00,pass_yds,0,,,,,
player,201509140sfo,min,McKiJe00,pass_td,0,,,,,
player,201509140sfo,min,McKiJe00,pass_int,0,,,,,
player,201509140sfo,min,McKiJe00,pass_sacked,0,,,,,
player,201509140sfo,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201509140sfo,min,McKiJe00,pass_long,0,,,,,
player,201509140sfo,min,McKiJe00,pass_rating,,,,,,
player,201509140sfo,min,McKiJe00,rush_att,3,,,,,
player,201509140sfo,min,McKiJe00,rush_yds,20,,,,,
player,201509140sfo,min,McKiJe00,rush_td,0,,,,,
player,201509140sfo,min,McKiJe00,rush_long,15,,,,,
player,201509140sfo,min,McKiJe00,targets,2,,,,,
player,201509140sfo,min,McKiJe00,rec,2,,,,,
player,201509140sfo,min,McKiJe00,rec_yds,8,,,,,
player,201509140sfo,min,McKiJe00,rec_td,0,,,,,
player,201509140sfo,min,McKiJe00,rec_long,10,,,,,
player,201509140sfo,min,McKiJe00,fumbles,0,,,,,
player,201509140sfo,min,McKiJe00,fumbles_lost,0,,,,,
player,201509140sfo,min,AsiaMa00,pass_cmp,0,,,,,
player,201509140sfo,min,AsiaMa00,pass_att,0,,,,,
player,201509140sfo,min,AsiaMa00,pass_yds,0,,,,,
player,201509140sfo,min,AsiaMa00,pass_td,0,,,,,
player,201509140sfo,min,AsiaMa00,pass_int,0,,,,,
player,201509140sfo,min,AsiaMa00,pass_sacked,0,,,,,
player,201509140sfo,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201509140sfo,min,AsiaMa00,pass_long,0,,,,,
player,201509140sfo,min,AsiaMa00,pass_rating,,,,,,
player,201509140sfo,min,AsiaMa00,rush_att,1,,,,,
player,201509140sfo,min,AsiaMa00,rush_yds,4,,,,,
player,201509140sfo,min,AsiaMa00,rush_td,0,,,,,
player,201509140sfo,min,AsiaMa00,rush_long,4,,,,,
player,201509140sfo,min,AsiaMa00,targets,2,,,,,
player,201509140sfo,min,AsiaMa00,rec,2,,,,,
player,201509140sfo,min,AsiaMa00,rec_yds,28,,,,,
player,201509140sfo,min,AsiaMa00,rec_td,0,,,,,
player,201509140sfo,min,AsiaMa00,rec_long,21,,,,,
player,201509140sfo,min,AsiaMa00,fumbles,0,,,,,
player,201509140sfo,min,AsiaMa00,fumbles_lost,0,,,,,
player,201509140sfo,min,WallMi00,pass_cmp,0,,,,,
player,201509140sfo,min,WallMi00,pass_att,0,,,,,
player,201509140sfo,min,WallMi00,pass_yds,0,,,,,
player,201509140sfo,min,WallMi00,pass_td,0,,,,,
player,201509140sfo,min,WallMi00,pass_int,0,,,,,
player,201509140sfo,min,WallMi00,pass_sacked,0,,,,,
player,201509140sfo,min,WallMi00,pass_sacked_yds,0,,,,,
