game,2015,14,20151213,201512130den,rai,"Oakland Raiders",15,den,"Denver Broncos",12
team,201512130den,rai,First Downs,8,,,,,,
team,201512130den,den,First Downs,20,,,,,,
team,201512130den,rai,Rush-Yds-TDs,23-27-0,,,,,,
team,201512130den,den,Rush-Yds-TDs,21-34-0,,,,,,
team,201512130den,rai,Cmp-Att-Yd-TD-INT,12-29-135-2-0,,,,,,
team,201512130den,den,Cmp-Att-Yd-TD-INT,35-51-308-0-0,,,,,,
team,201512130den,rai,Sacked-Yards,3-36,,,,,,
team,201512130den,den,Sacked-Yards,5-32,,,,,,
team,201512130den,rai,Net Pass Yards,99,,,,,,
team,201512130den,den,Net Pass Yards,276,,,,,,
team,201512130den,rai,Total Yards,126,,,,,,
team,201512130den,den,Total Yards,310,,,,,,
team,201512130den,rai,Fumbles-Lost,3-0,,,,,,
team,201512130den,den,Fumbles-Lost,4-2,,,,,,
team,201512130den,rai,Turnovers,0,,,,,,
team,201512130den,den,Turnovers,2,,,,,,
team,201512130den,rai,Penalties-Yards,10-70,,,,,,
team,201512130den,den,Penalties-Yards,4-27,,,,,,
team,201512130den,rai,Third Down Conv.,3-15,,,,,,
team,201512130den,den,Third Down Conv.,4-18,,,,,,
team,201512130den,rai,Fourth Down Conv.,0-0,,,,,,
team,201512130den,den,Fourth Down Conv.,1-3,,,,,,
team,201512130den,rai,Time of Possession,24:02,,,,,,
team,201512130den,den,Time of Possession,35:58,,,,,,
player,201512130den,rai,CarrDe02,pass_cmp,12,,,,,
player,201512130den,rai,CarrDe02,pass_att,29,,,,,
player,201512130den,rai,CarrDe02,pass_yds,135,,,,,
player,201512130den,rai,CarrDe02,pass_td,2,,,,,
player,201512130den,rai,CarrDe02,pass_int,0,,,,,
player,201512130den,rai,CarrDe02,pass_sacked,3,,,,,
player,201512130den,rai,CarrDe02,pass_sacked_yds,36,,,,,
player,201512130den,rai,CarrDe02,pass_long,29,,,,,
player,201512130den,rai,CarrDe02,pass_rating,79.0,,,,,
player,201512130den,rai,CarrDe02,rush_att,4,,,,,
player,201512130den,rai,CarrDe02,rush_yds,-4,,,,,
player,201512130den,rai,CarrDe02,rush_td,0,,,,,
player,201512130den,rai,CarrDe02,rush_long,-1,,,,,
player,201512130den,rai,CarrDe02,targets,0,,,,,
player,201512130den,rai,CarrDe02,rec,0,,,,,
player,201512130den,rai,CarrDe02,rec_yds,0,,,,,
player,201512130den,rai,CarrDe02,rec_td,0,,,,,
player,201512130den,rai,CarrDe02,rec_long,0,,,,,
player,201512130den,rai,CarrDe02,fumbles,1,,,,,
player,201512130den,rai,CarrDe02,fumbles_lost,0,,,,,
player,201512130den,rai,MurrLa00,pass_cmp,0,,,,,
player,201512130den,rai,MurrLa00,pass_att,0,,,,,
player,201512130den,rai,MurrLa00,pass_yds,0,,,,,
player,201512130den,rai,MurrLa00,pass_td,0,,,,,
player,201512130den,rai,MurrLa00,pass_int,0,,,,,
player,201512130den,rai,MurrLa00,pass_sacked,,,,,,
player,201512130den,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201512130den,rai,MurrLa00,pass_long,0,,,,,
player,201512130den,rai,MurrLa00,pass_rating,,,,,,
player,201512130den,rai,MurrLa00,rush_att,16,,,,,
player,201512130den,rai,MurrLa00,rush_yds,27,,,,,
player,201512130den,rai,MurrLa00,rush_td,0,,,,,
player,201512130den,rai,MurrLa00,rush_long,7,,,,,
player,201512130den,rai,MurrLa00,targets,1,,,,,
player,201512130den,rai,MurrLa00,rec,0,,,,,
player,201512130den,rai,MurrLa00,rec_yds,0,,,,,
player,201512130den,rai,MurrLa00,rec_td,0,,,,,
player,201512130den,rai,MurrLa00,rec_long,0,,,,,
player,201512130den,rai,MurrLa00,fumbles,0,,,,,
player,201512130den,rai,MurrLa00,fumbles_lost,0,,,,,
player,201512130den,rai,ReecMa00,pass_cmp,0,,,,,
player,201512130den,rai,ReecMa00,pass_att,0,,,,,
player,201512130den,rai,ReecMa00,pass_yds,0,,,,,
player,201512130den,rai,ReecMa00,pass_td,0,,,,,
player,201512130den,rai,ReecMa00,pass_int,0,,,,,
player,201512130den,rai,ReecMa00,pass_sacked,,,,,,
player,201512130den,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201512130den,rai,ReecMa00,pass_long,0,,,,,
player,201512130den,rai,ReecMa00,pass_rating,,,,,,
player,201512130den,rai,ReecMa00,rush_att,2,,,,,
player,201512130den,rai,ReecMa00,rush_yds,2,,,,,
player,201512130den,rai,ReecMa00,rush_td,0,,,,,
player,201512130den,rai,ReecMa00,rush_long,2,,,,,
player,201512130den,rai,ReecMa00,targets,0,,,,,
player,201512130den,rai,ReecMa00,rec,0,,,,,
player,201512130den,rai,ReecMa00,rec_yds,0,,,,,
player,201512130den,rai,ReecMa00,rec_td,0,,,,,
player,201512130den,rai,ReecMa00,rec_long,0,,,,,
player,201512130den,rai,ReecMa00,fumbles,0,,,,,
player,201512130den,rai,ReecMa00,fumbles_lost,0,,,,,
player,201512130den,rai,JoneTa00,pass_cmp,0,,,,,
player,201512130den,rai,JoneTa00,pass_att,0,,,,,
player,201512130den,rai,JoneTa00,pass_yds,0,,,,,
player,201512130den,rai,JoneTa00,pass_td,0,,,,,
player,201512130den,rai,JoneTa00,pass_int,0,,,,,
player,201512130den,rai,JoneTa00,pass_sacked,,,,,,
player,201512130den,rai,JoneTa00,pass_sacked_yds,0,,,,,
player,201512130den,rai,JoneTa00,pass_long,0,,,,,
