game,2015,4,20151004,201510040atl,htx,"Houston Texans",21,atl,"Atlanta Falcons",48
team,201510040atl,htx,First Downs,24,,,,,,
team,201510040atl,atl,First Downs,22,,,,,,
team,201510040atl,htx,Rush-Yds-TDs,17-54-1,,,,,,
team,201510040atl,atl,Rush-Yds-TDs,35-135-4,,,,,,
team,201510040atl,htx,Cmp-Att-Yd-TD-INT,29-57-382-2-1,,,,,,
team,201510040atl,atl,Cmp-Att-Yd-TD-INT,19-27-256-1-0,,,,,,
team,201510040atl,htx,Sacked-Yards,1-8,,,,,,
team,201510040atl,atl,Sacked-Yards,2-13,,,,,,
team,201510040atl,htx,Net Pass Yards,374,,,,,,
team,201510040atl,atl,Net Pass Yards,243,,,,,,
team,201510040atl,htx,Total Yards,428,,,,,,
team,201510040atl,atl,Total Yards,378,,,,,,
team,201510040atl,htx,Fumbles-Lost,3-3,,,,,,
team,201510040atl,atl,Fumbles-Lost,0-0,,,,,,
team,201510040atl,htx,Turnovers,4,,,,,,
team,201510040atl,atl,Turnovers,0,,,,,,
team,201510040atl,htx,Penalties-Yards,5-35,,,,,,
team,201510040atl,atl,Penalties-Yards,10-80,,,,,,
team,201510040atl,htx,Third Down Conv.,7-15,,,,,,
team,201510040atl,atl,Third Down Conv.,9-16,,,,,,
team,201510040atl,htx,Fourth Down Conv.,0-2,,,,,,
team,201510040atl,atl,Fourth Down Conv.,1-1,,,,,,
team,201510040atl,htx,Time of Possession,24:08,,,,,,
team,201510040atl,atl,Time of Possession,35:52,,,,,,
player,201510040atl,htx,HoyeBr00,pass_cmp,17,,,,,
player,201510040atl,htx,HoyeBr00,pass_att,30,,,,,
player,201510040atl,htx,HoyeBr00,pass_yds,232,,,,,
player,201510040atl,htx,HoyeBr00,pass_td,2,,,,,
player,201510040atl,htx,HoyeBr00,pass_int,0,,,,,
player,201510040atl,htx,HoyeBr00,pass_sacked,1,,,,,
player,201510040atl,htx,HoyeBr00,pass_sacked_yds,8,,,,,
player,201510040atl,htx,HoyeBr00,pass_long,42,,,,,
player,201510040atl,htx,HoyeBr00,pass_rating,103.7,,,,,
player,201510040atl,htx,HoyeBr00,rush_att,0,,,,,
player,201510040atl,htx,HoyeBr00,rush_yds,0,,,,,
player,201510040atl,htx,HoyeBr00,rush_td,0,,,,,
player,201510040atl,htx,HoyeBr00,rush_long,0,,,,,
player,201510040atl,htx,HoyeBr00,targets,0,,,,,
player,201510040atl,htx,HoyeBr00,rec,0,,,,,
player,201510040atl,htx,HoyeBr00,rec_yds,0,,,,,
player,201510040atl,htx,HoyeBr00,rec_td,0,,,,,
player,201510040atl,htx,HoyeBr00,rec_long,0,,,,,
player,201510040atl,htx,HoyeBr00,fumbles,0,,,,,
player,201510040atl,htx,HoyeBr00,fumbles_lost,0,,,,,
player,201510040atl,htx,MallRy00,pass_cmp,12,,,,,
player,201510040atl,htx,MallRy00,pass_att,27,,,,,
player,201510040atl,htx,MallRy00,pass_yds,150,,,,,
player,201510040atl,htx,MallRy00,pass_td,0,,,,,
player,201510040atl,htx,MallRy00,pass_int,1,,,,,
player,201510040atl,htx,MallRy00,pass_sacked,0,,,,,
player,201510040atl,htx,MallRy00,pass_sacked_yds,0,,,,,
player,201510040atl,htx,MallRy00,pass_long,26,,,,,
player,201510040atl,htx,MallRy00,pass_rating,46.8,,,,,
player,201510040atl,htx,MallRy00,rush_att,0,,,,,
player,201510040atl,htx,MallRy00,rush_yds,0,,,,,
player,201510040atl,htx,MallRy00,rush_td,0,,,,,
player,201510040atl,htx,MallRy00,rush_long,0,,,,,
player,201510040atl,htx,MallRy00,targets,0,,,,,
player,201510040atl,htx,MallRy00,rec,0,,,,,
player,201510040atl,htx,MallRy00,rec_yds,0,,,,,
player,201510040atl,htx,MallRy00,rec_td,0,,,,,
player,201510040atl,htx,MallRy00,rec_long,0,,,,,
player,201510040atl,htx,MallRy00,fumbles,0,,,,,
player,201510040atl,htx,MallRy00,fumbles_lost,0,,,,,
player,201510040atl,htx,PolkCh00,pass_cmp,0,,,,,
player,201510040atl,htx,PolkCh00,pass_att,0,,,,,
player,201510040atl,htx,PolkCh00,pass_yds,0,,,,,
player,201510040atl,htx,PolkCh00,pass_td,0,,,,,
player,201510040atl,htx,PolkCh00,pass_int,0,,,,,
player,201510040atl,htx,PolkCh00,pass_sacked,0,,,,,
player,201510040atl,htx,PolkCh00,pass_sacked_yds,0,,,,,
player,201510040atl,htx,PolkCh00,pass_long,0,,,,,
player,201510040atl,htx,PolkCh00,pass_rating,,,,,,
player,201510040atl,htx,PolkCh00,rush_att,3,,,,,
player,201510040atl,htx,PolkCh00,rush_yds,27,,,,,
player,201510040atl,htx,PolkCh00,rush_td,1,,,,,
player,201510040atl,htx,PolkCh00,rush_long,17,,,,,
player,201510040atl,htx,PolkCh00,targets,4,,,,,
player,201510040atl,htx,PolkCh00,rec,3,,,,,
player,201510040atl,htx,PolkCh00,rec_yds,23,,,,,
player,201510040atl,htx,PolkCh00,rec_td,0,,,,,
player,201510040atl,htx,PolkCh00,rec_long,11,,,,,
player,201510040atl,htx,PolkCh00,fumbles,0,,,,,
player,201510040atl,htx,PolkCh00,fumbles_lost,0,,,,,
player,201510040atl,htx,BlueAl00,pass_cmp,0,,,,,
player,201510040atl,htx,BlueAl00,pass_att,0,,,,,
player,201510040atl,htx,BlueAl00,pass_yds,0,,,,,
player,201510040atl,htx,BlueAl00,pass_td,0,,,,,
player,201510040atl,htx,BlueAl00,pass_int,0,,,,,
player,201510040atl,htx,BlueAl00,pass_sacked,0,,,,,
player,201510040atl,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201510040atl,htx,BlueAl00,pass_long,0,,,,,
player,201510040atl,htx,BlueAl00,pass_rating,,,,,,
player,201510040atl,htx,BlueAl00,rush_att,6,,,,,
player,201510040atl,htx,BlueAl00,rush_yds,17,,,,,
player,201510040atl,htx,BlueAl00,rush_td,0,,,,,
player,201510040atl,htx,BlueAl00,rush_long,9,,,,,
player,201510040atl,htx,BlueAl00,targets,0,,,,,
player,201510040atl,htx,BlueAl00,rec,0,,,,,
player,201510040atl,htx,BlueAl00,rec_yds,0,,,,,
player,201510040atl,htx,BlueAl00,rec_td,0,,,,,
player,201510040atl,htx,BlueAl00,rec_long,0,,,,,
player,201510040atl,htx,BlueAl00,fumbles,0,,,,,
player,201510040atl,htx,BlueAl00,fumbles_lost,0,,,,,
player,201510040atl,htx,FostAr00,pass_cmp,0,,,,,
player,201510040atl,htx,FostAr00,pass_att,0,,,,,
player,201510040atl,htx,FostAr00,pass_yds,0,,,,,
player,201510040atl,htx,FostAr00,pass_td,0,,,,,
player,201510040atl,htx,FostAr00,pass_int,0,,,,,
player,201510040atl,htx,FostAr00,pass_sacked,0,,,,,
player,201510040atl,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201510040atl,htx,FostAr00,pass_long,0,,,,,
player,201510040atl,htx,FostAr00,pass_rating,,,,,,
player,201510040atl,htx,FostAr00,rush_att,8,,,,,
player,201510040atl,htx,FostAr00,rush_yds,10,,,,,
player,201510040atl,htx,FostAr00,rush_td,0,,,,,
player,201510040atl,htx,FostAr00,rush_long,5,,,,,
player,201510040atl,htx,FostAr00,targets,5,,,,,
player,201510040atl,htx,FostAr00,rec,3,,,,,
player,201510040atl,htx,FostAr00,rec_yds,25,,,,,
player,201510040atl,htx,FostAr00,rec_td,0,,,,,
player,201510040atl,htx,FostAr00,rec_long,15,,,,,
player,201510040atl,htx,FostAr00,fumbles,1,,,,,
player,201510040atl,htx,FostAr00,fumbles_lost,1,,,,,
player,201510040atl,htx,HopkDe00,pass_cmp,0,,,,,
player,201510040atl,htx,HopkDe00,pass_att,0,,,,,
player,201510040atl,htx,HopkDe00,pass_yds,0,,,,,
player,201510040atl,htx,HopkDe00,pass_td,0,,,,,
player,201510040atl,htx,HopkDe00,pass_int,0,,,,,
player,201510040atl,htx,HopkDe00,pass_sacked,0,,,,,
player,201510040atl,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201510040atl,htx,HopkDe00,pass_long,0,,,,,
player,201510040atl,htx,HopkDe00,pass_rating,,,,,,
player,201510040atl,htx,HopkDe00,rush_att,0,,,,,
player,201510040atl,htx,HopkDe00,rush_yds,0,,,,,
player,201510040atl,htx,HopkDe00,rush_td,0,,,,,
player,201510040atl,htx,HopkDe00,rush_long,0,,,,,
player,201510040atl,htx,HopkDe00,targets,22,,,,,
player,201510040atl,htx,HopkDe00,rec,9,,,,,
player,201510040atl,htx,HopkDe00,rec_yds,157,,,,,
player,201510040atl,htx,HopkDe00,rec_td,0,,,,,
player,201510040atl,htx,HopkDe00,rec_long,28,,,,,
player,201510040atl,htx,HopkDe00,fumbles,0,,,,,
player,201510040atl,htx,HopkDe00,fumbles_lost,0,,,,,
player,201510040atl,htx,ShorCe00,pass_cmp,0,,,,,
player,201510040atl,htx,ShorCe00,pass_att,0,,,,,
player,201510040atl,htx,ShorCe00,pass_yds,0,,,,,
player,201510040atl,htx,ShorCe00,pass_td,0,,,,,
player,201510040atl,htx,ShorCe00,pass_int,0,,,,,
player,201510040atl,htx,ShorCe00,pass_sacked,0,,,,,
player,201510040atl,htx,ShorCe00,pass_sacked_yds,0,,,,,
player,201510040atl,htx,ShorCe00,pass_long,0,,,,,
player,201510040atl,htx,ShorCe00,pass_rating,,,,,,
player,201510040atl,htx,ShorCe00,rush_att,0,,,,,
player,201510040atl,htx,ShorCe00,rush_yds,0,,,,,
player,201510040atl,htx,ShorCe00,rush_td,0,,,,,
player,201510040atl,htx,ShorCe00,rush_long,0,,,,,
player,201510040atl,htx,ShorCe00,targets,10,,,,,
player,201510040atl,htx,ShorCe00,rec,6,,,,,
player,201510040atl,htx,ShorCe00,rec_yds,87,,,,,
player,201510040atl,htx,ShorCe00,rec_td,1,,,,,
player,201510040atl,htx,ShorCe00,rec_long,42,,,,,
player,201510040atl,htx,ShorCe00,fumbles,1,,,,,
player,201510040atl,htx,ShorCe00,fumbles_lost,1,,,,,
player,201510040atl,htx,MumpKe00,pass_cmp,0,,,,,
player,201510040atl,htx,MumpKe00,pass_att,0,,,,,
player,201510040atl,htx,MumpKe00,pass_yds,0,,,,,
player,201510040atl,htx,MumpKe00,pass_td,0,,,,,
player,201510040atl,htx,MumpKe00,pass_int,0,,,,,
player,201510040atl,htx,MumpKe00,pass_sacked,0,,,,,
player,201510040atl,htx,MumpKe00,pass_sacked_yds,0,,,,,
player,201510040atl,htx,MumpKe00,pass_long,0,,,,,
player,201510040atl,htx,MumpKe00,pass_rating,,,,,,
player,201510040atl,htx,MumpKe00,rush_att,0,,,,,
player,201510040atl,htx,MumpKe00,rush_yds,0,,,,,
player,201510040atl,htx,MumpKe00,rush_td,0,,,,,
player,201510040atl,htx,MumpKe00,rush_long,0,,,,,
player,201510040atl,htx,MumpKe00,targets,7,,,,,
player,201510040atl,htx,MumpKe00,rec,4,,,,,
player,201510040atl,htx,MumpKe00,rec_yds,56,,,,,
player,201510040atl,htx,MumpKe00,rec_td,0,,,,,
player,201510040atl,htx,MumpKe00,rec_long,26,,,,,
player,201510040atl,htx,MumpKe00,fumbles,0,,,,,
player,201510040atl,htx,MumpKe00,fumbles_lost,0,,,,,
player,201510040atl,htx,FiedC.00,pass_cmp,0,,,,,
player,201510040atl,htx,FiedC.00,pass_att,0,,,,,
player,201510040atl,htx,FiedC.00,pass_yds,0,,,,,
player,201510040atl,htx,FiedC.00,pass_td,0,,,,,
player,201510040atl,htx,FiedC.00,pass_int,0,,,,,
player,201510040atl,htx,FiedC.00,pass_sacked,0,,,,,
player,201510040atl,htx,FiedC.00,pass_sacked_yds,0,,,,,
player,201510040atl,htx,FiedC.00,pass_long,0,,,,,
player,201510040atl,htx,FiedC.00,pass_rating,,,,,,
player,201510040atl,htx,FiedC.00,rush_att,0,,,,,
player,201510040atl,htx,FiedC.00,rush_yds,0,,,,,
player,201510040atl,htx,FiedC.00,rush_td,0,,,,,
player,201510040atl,htx,FiedC.00,rush_long,0,,,,,
player,201510040atl,htx,FiedC.00,targets,3,,,,,
player,201510040atl,htx,FiedC.00,rec,3,,,,,
player,201510040atl,htx,FiedC.00,rec_yds,28,,,,,
player,201510040atl,htx,FiedC.00,rec_td,1,,,,,
player,201510040atl,htx,FiedC.00,rec_long,19,,,,,
player,201510040atl,htx,FiedC.00,fumbles,1,,,,,
player,201510040atl,htx,FiedC.00,fumbles_lost,1,,,,,
player,201510040atl,htx,GrahGa00,pass_cmp,0,,,,,
player,201510040atl,htx,GrahGa00,pass_att,0,,,,,
player,201510040atl,htx,GrahGa00,pass_yds,0,,,,,
player,201510040atl,htx,GrahGa00,pass_td,0,,,,,
player,201510040atl,htx,GrahGa00,pass_int,0,,,,,
player,201510040atl,htx,GrahGa00,pass_sacked,0,,,,,
player,201510040atl,htx,GrahGa00,pass_sacked_yds,0,,,,,
player,201510040atl,htx,GrahGa00,pass_long,0,,,,,
player,201510040atl,htx,GrahGa00,pass_rating,,,,,,
player,201510040atl,htx,GrahGa00,rush_att,0,,,,,
player,201510040atl,htx,GrahGa00,rush_yds,0,,,,,
player,201510040atl,htx,GrahGa00,rush_td,0,,,,,
player,201510040atl,htx,GrahGa00,rush_long,0,,,,,
player,201510040atl,htx,GrahGa00,targets,6,,,,,
player,201510040atl,htx,GrahGa00,rec,1,,,,,
player,201510040atl,htx,GrahGa00,rec_yds,6,,,,,
player,201510040atl,htx,GrahGa00,rec_td,0,,,,,
player,201510040atl,htx,GrahGa00,rec_long,6,,,,,
player,201510040atl,htx,GrahGa00,fumbles,0,,,,,
player,201510040atl,htx,GrahGa00,fumbles_lost,0,,,,,
player,201510040atl,atl,RyanMa00,pass_cmp,19,,,,,
player,201510040atl,atl,RyanMa00,pass_att,27,,,,,
player,201510040atl,atl,RyanMa00,pass_yds,256,,,,,
player,201510040atl,atl,RyanMa00,pass_td,1,,,,,
player,201510040atl,atl,RyanMa00,pass_int,0,,,,,
player,201510040atl,atl,RyanMa00,pass_sacked,2,,,,,
player,201510040atl,atl,RyanMa00,pass_sacked_yds,13,,,,,
player,201510040atl,atl,RyanMa00,pass_long,55,,,,,
player,201510040atl,atl,RyanMa00,pass_rating,112.6,,,,,
player,201510040atl,atl,RyanMa00,rush_att,1,,,,,
player,201510040atl,atl,RyanMa00,rush_yds,-1,,,,,
player,201510040atl,atl,RyanMa00,rush_td,0,,,,,
player,201510040atl,atl,RyanMa00,rush_long,-1,,,,,
player,201510040atl,atl,RyanMa00,targets,0,,,,,
player,201510040atl,atl,RyanMa00,rec,0,,,,,
player,201510040atl,atl,RyanMa00,rec_yds,0,,,,,
player,201510040atl,atl,RyanMa00,rec_td,0,,,,,
player,201510040atl,atl,RyanMa00,rec_long,0,,,,,
player,201510040atl,atl,RyanMa00,fumbles,0,,,,,
player,201510040atl,atl,RyanMa00,fumbles_lost,0,,,,,
