game,2015,2,20150920,201509200nor,tam,"Tampa Bay Buccaneers",26,nor,"New Orleans Saints",19
team,201509200nor,tam,First Downs,18,,,,,,
team,201509200nor,nor,First Downs,21,,,,,,
team,201509200nor,tam,Rush-Yds-TDs,35-139-1,,,,,,
team,201509200nor,nor,Rush-Yds-TDs,27-104-2,,,,,,
team,201509200nor,tam,Cmp-Att-Yd-TD-INT,14-21-207-1-0,,,,,,
team,201509200nor,nor,Cmp-Att-Yd-TD-INT,24-38-255-1-1,,,,,,
team,201509200nor,tam,Sacked-Yards,3-13,,,,,,
team,201509200nor,nor,Sacked-Yards,4-36,,,,,,
team,201509200nor,tam,Net Pass Yards,194,,,,,,
team,201509200nor,nor,Net Pass Yards,219,,,,,,
team,201509200nor,tam,Total Yards,333,,,,,,
team,201509200nor,nor,Total Yards,323,,,,,,
team,201509200nor,tam,Fumbles-Lost,2-2,,,,,,
team,201509200nor,nor,Fumbles-Lost,5-2,,,,,,
team,201509200nor,tam,Turnovers,2,,,,,,
team,201509200nor,nor,Turnovers,3,,,,,,
team,201509200nor,tam,Penalties-Yards,11-90,,,,,,
team,201509200nor,nor,Penalties-Yards,10-115,,,,,,
team,201509200nor,tam,Third Down Conv.,5-14,,,,,,
team,201509200nor,nor,Third Down Conv.,7-14,,,,,,
team,201509200nor,tam,Fourth Down Conv.,0-0,,,,,,
team,201509200nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201509200nor,tam,Time of Possession,28:32,,,,,,
team,201509200nor,nor,Time of Possession,31:28,,,,,,
player,201509200nor,tam,WinsJa00,pass_cmp,14,,,,,
player,201509200nor,tam,WinsJa00,pass_att,21,,,,,
player,201509200nor,tam,WinsJa00,pass_yds,207,,,,,
player,201509200nor,tam,WinsJa00,pass_td,1,,,,,
player,201509200nor,tam,WinsJa00,pass_int,0,,,,,
player,201509200nor,tam,WinsJa00,pass_sacked,3,,,,,
player,201509200nor,tam,WinsJa00,pass_sacked_yds,13,,,,,
player,201509200nor,tam,WinsJa00,pass_long,54,,,,,
player,201509200nor,tam,WinsJa00,pass_rating,114.6,,,,,
player,201509200nor,tam,WinsJa00,rush_att,6,,,,,
player,201509200nor,tam,WinsJa00,rush_yds,23,,,,,
player,201509200nor,tam,WinsJa00,rush_td,1,,,,,
player,201509200nor,tam,WinsJa00,rush_long,9,,,,,
player,201509200nor,tam,WinsJa00,targets,0,,,,,
player,201509200nor,tam,WinsJa00,rec,0,,,,,
player,201509200nor,tam,WinsJa00,rec_yds,0,,,,,
player,201509200nor,tam,WinsJa00,rec_td,0,,,,,
player,201509200nor,tam,WinsJa00,rec_long,0,,,,,
player,201509200nor,tam,WinsJa00,fumbles,1,,,,,
player,201509200nor,tam,WinsJa00,fumbles_lost,1,,,,,
player,201509200nor,tam,MartDo00,pass_cmp,0,,,,,
player,201509200nor,tam,MartDo00,pass_att,0,,,,,
player,201509200nor,tam,MartDo00,pass_yds,0,,,,,
player,201509200nor,tam,MartDo00,pass_td,0,,,,,
player,201509200nor,tam,MartDo00,pass_int,0,,,,,
player,201509200nor,tam,MartDo00,pass_sacked,0,,,,,
player,201509200nor,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201509200nor,tam,MartDo00,pass_long,0,,,,,
player,201509200nor,tam,MartDo00,pass_rating,,,,,,
player,201509200nor,tam,MartDo00,rush_att,21,,,,,
player,201509200nor,tam,MartDo00,rush_yds,78,,,,,
player,201509200nor,tam,MartDo00,rush_td,0,,,,,
player,201509200nor,tam,MartDo00,rush_long,20,,,,,
player,201509200nor,tam,MartDo00,targets,2,,,,,
player,201509200nor,tam,MartDo00,rec,2,,,,,
player,201509200nor,tam,MartDo00,rec_yds,20,,,,,
player,201509200nor,tam,MartDo00,rec_td,0,,,,,
player,201509200nor,tam,MartDo00,rec_long,16,,,,,
player,201509200nor,tam,MartDo00,fumbles,1,,,,,
player,201509200nor,tam,MartDo00,fumbles_lost,1,,,,,
player,201509200nor,tam,SimsCh00,pass_cmp,0,,,,,
player,201509200nor,tam,SimsCh00,pass_att,0,,,,,
player,201509200nor,tam,SimsCh00,pass_yds,0,,,,,
player,201509200nor,tam,SimsCh00,pass_td,0,,,,,
player,201509200nor,tam,SimsCh00,pass_int,0,,,,,
player,201509200nor,tam,SimsCh00,pass_sacked,0,,,,,
player,201509200nor,tam,SimsCh00,pass_sacked_yds,0,,,,,
player,201509200nor,tam,SimsCh00,pass_long,0,,,,,
player,201509200nor,tam,SimsCh00,pass_rating,,,,,,
player,201509200nor,tam,SimsCh00,rush_att,8,,,,,
player,201509200nor,tam,SimsCh00,rush_yds,38,,,,,
player,201509200nor,tam,SimsCh00,rush_td,0,,,,,
player,201509200nor,tam,SimsCh00,rush_long,12,,,,,
player,201509200nor,tam,SimsCh00,targets,3,,,,,
player,201509200nor,tam,SimsCh00,rec,3,,,,,
player,201509200nor,tam,SimsCh00,rec_yds,14,,,,,
player,201509200nor,tam,SimsCh00,rec_td,0,,,,,
