game,2015,1,20150913,201509130tam,oti,"Tennessee Titans",42,tam,"Tampa Bay Buccaneers",14
team,201509130tam,oti,First Downs,20,,,,,,
team,201509130tam,tam,First Downs,16,,,,,,
team,201509130tam,oti,Rush-Yds-TDs,32-124-1,,,,,,
team,201509130tam,tam,Rush-Yds-TDs,26-92-0,,,,,,
team,201509130tam,oti,Cmp-Att-Yd-TD-INT,13-15-209-4-0,,,,,,
team,201509130tam,tam,Cmp-Att-Yd-TD-INT,16-33-210-2-2,,,,,,
team,201509130tam,oti,Sacked-Yards,2-24,,,,,,
team,201509130tam,tam,Sacked-Yards,4-29,,,,,,
team,201509130tam,oti,Net Pass Yards,185,,,,,,
team,201509130tam,tam,Net Pass Yards,181,,,,,,
team,201509130tam,oti,Total Yards,309,,,,,,
team,201509130tam,tam,Total Yards,273,,,,,,
team,201509130tam,oti,Fumbles-Lost,2-1,,,,,,
team,201509130tam,tam,Fumbles-Lost,2-0,,,,,,
team,201509130tam,oti,Turnovers,1,,,,,,
team,201509130tam,tam,Turnovers,2,,,,,,
team,201509130tam,oti,Penalties-Yards,8-55,,,,,,
team,201509130tam,tam,Penalties-Yards,12-97,,,,,,
team,201509130tam,oti,Third Down Conv.,4-9,,,,,,
team,201509130tam,tam,Third Down Conv.,3-14,,,,,,
team,201509130tam,oti,Fourth Down Conv.,0-0,,,,,,
team,201509130tam,tam,Fourth Down Conv.,2-4,,,,,,
team,201509130tam,oti,Time of Possession,31:30,,,,,,
team,201509130tam,tam,Time of Possession,28:30,,,,,,
player,201509130tam,oti,MariMa01,pass_cmp,13,,,,,
player,201509130tam,oti,MariMa01,pass_att,15,,,,,
player,201509130tam,oti,MariMa01,pass_yds,209,,,,,
player,201509130tam,oti,MariMa01,pass_td,4,,,,,
player,201509130tam,oti,MariMa01,pass_int,0,,,,,
player,201509130tam,oti,MariMa01,pass_sacked,2,,,,,
player,201509130tam,oti,MariMa01,pass_sacked_yds,24,,,,,
player,201509130tam,oti,MariMa01,pass_long,52,,,,,
player,201509130tam,oti,MariMa01,pass_rating,158.3,,,,,
player,201509130tam,oti,MariMa01,rush_att,2,,,,,
player,201509130tam,oti,MariMa01,rush_yds,6,,,,,
player,201509130tam,oti,MariMa01,rush_td,0,,,,,
player,201509130tam,oti,MariMa01,rush_long,9,,,,,
player,201509130tam,oti,MariMa01,targets,0,,,,,
player,201509130tam,oti,MariMa01,rec,0,,,,,
player,201509130tam,oti,MariMa01,rec_yds,0,,,,,
player,201509130tam,oti,MariMa01,rec_td,0,,,,,
player,201509130tam,oti,MariMa01,rec_long,0,,,,,
player,201509130tam,oti,MariMa01,fumbles,0,,,,,
player,201509130tam,oti,MariMa01,fumbles_lost,0,,,,,
player,201509130tam,oti,SankBi00,pass_cmp,0,,,,,
player,201509130tam,oti,SankBi00,pass_att,0,,,,,
player,201509130tam,oti,SankBi00,pass_yds,0,,,,,
player,201509130tam,oti,SankBi00,pass_td,0,,,,,
player,201509130tam,oti,SankBi00,pass_int,0,,,,,
player,201509130tam,oti,SankBi00,pass_sacked,0,,,,,
player,201509130tam,oti,SankBi00,pass_sacked_yds,0,,,,,
player,201509130tam,oti,SankBi00,pass_long,0,,,,,
player,201509130tam,oti,SankBi00,pass_rating,,,,,,
player,201509130tam,oti,SankBi00,rush_att,12,,,,,
player,201509130tam,oti,SankBi00,rush_yds,74,,,,,
player,201509130tam,oti,SankBi00,rush_td,1,,,,,
player,201509130tam,oti,SankBi00,rush_long,16,,,,,
player,201509130tam,oti,SankBi00,targets,3,,,,,
player,201509130tam,oti,SankBi00,rec,2,,,,,
player,201509130tam,oti,SankBi00,rec_yds,12,,,,,
player,201509130tam,oti,SankBi00,rec_td,1,,,,,
player,201509130tam,oti,SankBi00,rec_long,12,,,,,
player,201509130tam,oti,SankBi00,fumbles,1,,,,,
player,201509130tam,oti,SankBi00,fumbles_lost,0,,,,,
player,201509130tam,oti,WestTe00,pass_cmp,0,,,,,
player,201509130tam,oti,WestTe00,pass_att,0,,,,,
player,201509130tam,oti,WestTe00,pass_yds,0,,,,,
player,201509130tam,oti,WestTe00,pass_td,0,,,,,
player,201509130tam,oti,WestTe00,pass_int,0,,,,,
player,201509130tam,oti,WestTe00,pass_sacked,0,,,,,
player,201509130tam,oti,WestTe00,pass_sacked_yds,0,,,,,
player,201509130tam,oti,WestTe00,pass_long,0,,,,,
player,201509130tam,oti,WestTe00,pass_rating,,,,,,
