game,2015,9,20151108,201511080tam,nyg,"New York Giants",32,tam,"Tampa Bay Buccaneers",18
team,201511080tam,nyg,First Downs,24,,,,,,
team,201511080tam,tam,First Downs,19,,,,,,
team,201511080tam,nyg,Rush-Yds-TDs,33-114-0,,,,,,
team,201511080tam,tam,Rush-Yds-TDs,23-136-1,,,,,,
team,201511080tam,nyg,Cmp-Att-Yd-TD-INT,26-40-213-2-2,,,,,,
team,201511080tam,tam,Cmp-Att-Yd-TD-INT,19-36-247-0-0,,,,,,
team,201511080tam,nyg,Sacked-Yards,0-0,,,,,,
team,201511080tam,tam,Sacked-Yards,0-0,,,,,,
team,201511080tam,nyg,Net Pass Yards,213,,,,,,
team,201511080tam,tam,Net Pass Yards,247,,,,,,
team,201511080tam,nyg,Total Yards,327,,,,,,
team,201511080tam,tam,Total Yards,383,,,,,,
team,201511080tam,nyg,Fumbles-Lost,1-0,,,,,,
team,201511080tam,tam,Fumbles-Lost,4-3,,,,,,
team,201511080tam,nyg,Turnovers,2,,,,,,
team,201511080tam,tam,Turnovers,3,,,,,,
team,201511080tam,nyg,Penalties-Yards,6-49,,,,,,
team,201511080tam,tam,Penalties-Yards,9-79,,,,,,
team,201511080tam,nyg,Third Down Conv.,9-16,,,,,,
team,201511080tam,tam,Third Down Conv.,6-13,,,,,,
team,201511080tam,nyg,Fourth Down Conv.,0-1,,,,,,
team,201511080tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201511080tam,nyg,Time of Possession,34:55,,,,,,
team,201511080tam,tam,Time of Possession,25:05,,,,,,
player,201511080tam,nyg,MannEl00,pass_cmp,26,,,,,
player,201511080tam,nyg,MannEl00,pass_att,40,,,,,
player,201511080tam,nyg,MannEl00,pass_yds,213,,,,,
player,201511080tam,nyg,MannEl00,pass_td,2,,,,,
player,201511080tam,nyg,MannEl00,pass_int,2,,,,,
player,201511080tam,nyg,MannEl00,pass_sacked,0,,,,,
player,201511080tam,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201511080tam,nyg,MannEl00,pass_long,24,,,,,
player,201511080tam,nyg,MannEl00,pass_rating,74.3,,,,,
player,201511080tam,nyg,MannEl00,rush_att,1,,,,,
player,201511080tam,nyg,MannEl00,rush_yds,-1,,,,,
player,201511080tam,nyg,MannEl00,rush_td,0,,,,,
player,201511080tam,nyg,MannEl00,rush_long,-1,,,,,
player,201511080tam,nyg,MannEl00,targets,0,,,,,
player,201511080tam,nyg,MannEl00,rec,0,,,,,
player,201511080tam,nyg,MannEl00,rec_yds,0,,,,,
player,201511080tam,nyg,MannEl00,rec_td,0,,,,,
player,201511080tam,nyg,MannEl00,rec_long,0,,,,,
player,201511080tam,nyg,MannEl00,fumbles,0,,,,,
player,201511080tam,nyg,MannEl00,fumbles_lost,0,,,,,
player,201511080tam,nyg,JennRa00,pass_cmp,0,,,,,
player,201511080tam,nyg,JennRa00,pass_att,0,,,,,
player,201511080tam,nyg,JennRa00,pass_yds,0,,,,,
player,201511080tam,nyg,JennRa00,pass_td,0,,,,,
player,201511080tam,nyg,JennRa00,pass_int,0,,,,,
player,201511080tam,nyg,JennRa00,pass_sacked,0,,,,,
player,201511080tam,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201511080tam,nyg,JennRa00,pass_long,0,,,,,
player,201511080tam,nyg,JennRa00,pass_rating,,,,,,
player,201511080tam,nyg,JennRa00,rush_att,13,,,,,
player,201511080tam,nyg,JennRa00,rush_yds,48,,,,,
player,201511080tam,nyg,JennRa00,rush_td,0,,,,,
player,201511080tam,nyg,JennRa00,rush_long,9,,,,,
player,201511080tam,nyg,JennRa00,targets,1,,,,,
player,201511080tam,nyg,JennRa00,rec,1,,,,,
player,201511080tam,nyg,JennRa00,rec_yds,-1,,,,,
player,201511080tam,nyg,JennRa00,rec_td,0,,,,,
player,201511080tam,nyg,JennRa00,rec_long,-1,,,,,
player,201511080tam,nyg,JennRa00,fumbles,0,,,,,
player,201511080tam,nyg,JennRa00,fumbles_lost,0,,,,,
player,201511080tam,nyg,WillAn00,pass_cmp,0,,,,,
player,201511080tam,nyg,WillAn00,pass_att,0,,,,,
player,201511080tam,nyg,WillAn00,pass_yds,0,,,,,
player,201511080tam,nyg,WillAn00,pass_td,0,,,,,
player,201511080tam,nyg,WillAn00,pass_int,0,,,,,
player,201511080tam,nyg,WillAn00,pass_sacked,0,,,,,
player,201511080tam,nyg,WillAn00,pass_sacked_yds,0,,,,,
player,201511080tam,nyg,WillAn00,pass_long,0,,,,,
player,201511080tam,nyg,WillAn00,pass_rating,,,,,,
player,201511080tam,nyg,WillAn00,rush_att,7,,,,,
