game,2015,7,20151026,201510260crd,rav,"Baltimore Ravens",18,crd,"Arizona Cardinals",26
player,201510260crd,rav,FlacJo00,rush_att,0,,,,,
player,201510260crd,rav,FlacJo00,rush_yds,0,,,,,
player,201510260crd,rav,FlacJo00,rush_td,0,,,,,
player,201510260crd,rav,FlacJo00,rush_long,0,,,,,
player,201510260crd,rav,FlacJo00,targets,0,,,,,
player,201510260crd,rav,FlacJo00,rec,0,,,,,
player,201510260crd,rav,FlacJo00,rec_yds,0,,,,,
player,201510260crd,rav,FlacJo00,rec_td,0,,,,,
player,201510260crd,rav,FlacJo00,rec_long,0,,,,,
player,201510260crd,rav,FlacJo00,fumbles,0,,,,,
player,201510260crd,rav,FlacJo00,fumbles_lost,0,,,,,
player,201510260crd,rav,ForsJu00,pass_cmp,0,,,,,
player,201510260crd,rav,ForsJu00,pass_att,0,,,,,
player,201510260crd,rav,ForsJu00,pass_yds,0,,,,,
player,201510260crd,rav,ForsJu00,pass_td,0,,,,,
player,201510260crd,rav,ForsJu00,pass_int,0,,,,,
player,201510260crd,rav,ForsJu00,pass_sacked,0,,,,,
player,201510260crd,rav,ForsJu00,pass_sacked_yds,0,,,,,
player,201510260crd,rav,ForsJu00,pass_long,0,,,,,
player,201510260crd,rav,ForsJu00,pass_rating,,,,,,
player,201510260crd,rav,ForsJu00,rush_att,12,,,,,
player,201510260crd,rav,ForsJu00,rush_yds,36,,,,,
player,201510260crd,rav,ForsJu00,rush_td,1,,,,,
player,201510260crd,rav,ForsJu00,rush_long,14,,,,,
player,201510260crd,rav,ForsJu00,targets,4,,,,,
player,201510260crd,rav,ForsJu00,rec,3,,,,,
player,201510260crd,rav,ForsJu00,rec_yds,8,,,,,
player,201510260crd,rav,ForsJu00,rec_td,0,,,,,
player,201510260crd,rav,ForsJu00,rec_long,4,,,,,
player,201510260crd,rav,ForsJu00,fumbles,0,,,,,
player,201510260crd,rav,ForsJu00,fumbles_lost,0,,,,,
player,201510260crd,rav,AlleJa01,pass_cmp,0,,,,,
player,201510260crd,rav,AlleJa01,pass_att,0,,,,,
player,201510260crd,rav,AlleJa01,pass_yds,0,,,,,
player,201510260crd,rav,AlleJa01,pass_td,0,,,,,
player,201510260crd,rav,AlleJa01,pass_int,0,,,,,
player,201510260crd,rav,AlleJa01,pass_sacked,0,,,,,
player,201510260crd,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201510260crd,rav,AlleJa01,pass_long,0,,,,,
player,201510260crd,rav,AlleJa01,pass_rating,,,,,,
player,201510260crd,rav,AlleJa01,rush_att,3,,,,,
player,201510260crd,rav,AlleJa01,rush_yds,25,,,,,
player,201510260crd,rav,AlleJa01,rush_td,0,,,,,
player,201510260crd,rav,AlleJa01,rush_long,15,,,,,
