game,2015,2,20150920,201509200phi,dal,"Dallas Cowboys",20,phi,"Philadelphia Eagles",10
team,201509200phi,dal,First Downs,21,,,,,,
team,201509200phi,phi,First Downs,17,,,,,,
team,201509200phi,dal,Rush-Yds-TDs,33-109-0,,,,,,
team,201509200phi,phi,Rush-Yds-TDs,17-7-0,,,,,,
team,201509200phi,dal,Cmp-Att-Yd-TD-INT,25-34-268-1-0,,,,,,
team,201509200phi,phi,Cmp-Att-Yd-TD-INT,23-37-224-1-2,,,,,,
team,201509200phi,dal,Sacked-Yards,3-18,,,,,,
team,201509200phi,phi,Sacked-Yards,1-5,,,,,,
team,201509200phi,dal,Net Pass Yards,250,,,,,,
team,201509200phi,phi,Net Pass Yards,219,,,,,,
team,201509200phi,dal,Total Yards,359,,,,,,
team,201509200phi,phi,Total Yards,226,,,,,,
team,201509200phi,dal,Fumbles-Lost,2-2,,,,,,
team,201509200phi,phi,Fumbles-Lost,1-1,,,,,,
team,201509200phi,dal,Turnovers,2,,,,,,
team,201509200phi,phi,Turnovers,3,,,,,,
team,201509200phi,dal,Penalties-Yards,18-142,,,,,,
team,201509200phi,phi,Penalties-Yards,8-60,,,,,,
team,201509200phi,dal,Third Down Conv.,4-12,,,,,,
team,201509200phi,phi,Third Down Conv.,2-11,,,,,,
team,201509200phi,dal,Fourth Down Conv.,0-0,,,,,,
team,201509200phi,phi,Fourth Down Conv.,1-1,,,,,,
team,201509200phi,dal,Time of Possession,40:30,,,,,,
team,201509200phi,phi,Time of Possession,19:30,,,,,,
player,201509200phi,dal,RomoTo00,pass_cmp,18,,,,,
player,201509200phi,dal,RomoTo00,pass_att,27,,,,,
player,201509200phi,dal,RomoTo00,pass_yds,195,,,,,
player,201509200phi,dal,RomoTo00,pass_td,0,,,,,
player,201509200phi,dal,RomoTo00,pass_int,0,,,,,
player,201509200phi,dal,RomoTo00,pass_sacked,3,,,,,
player,201509200phi,dal,RomoTo00,pass_sacked_yds,18,,,,,
player,201509200phi,dal,RomoTo00,pass_long,39,,,,,
player,201509200phi,dal,RomoTo00,pass_rating,87.7,,,,,
player,201509200phi,dal,RomoTo00,rush_att,1,,,,,
player,201509200phi,dal,RomoTo00,rush_yds,12,,,,,
player,201509200phi,dal,RomoTo00,rush_td,0,,,,,
player,201509200phi,dal,RomoTo00,rush_long,12,,,,,
player,201509200phi,dal,RomoTo00,targets,0,,,,,
player,201509200phi,dal,RomoTo00,rec,0,,,,,
player,201509200phi,dal,RomoTo00,rec_yds,0,,,,,
player,201509200phi,dal,RomoTo00,rec_td,0,,,,,
player,201509200phi,dal,RomoTo00,rec_long,0,,,,,
player,201509200phi,dal,RomoTo00,fumbles,1,,,,,
player,201509200phi,dal,RomoTo00,fumbles_lost,1,,,,,
player,201509200phi,dal,WeedBr00,pass_cmp,7,,,,,
player,201509200phi,dal,WeedBr00,pass_att,7,,,,,
player,201509200phi,dal,WeedBr00,pass_yds,73,,,,,
player,201509200phi,dal,WeedBr00,pass_td,1,,,,,
player,201509200phi,dal,WeedBr00,pass_int,0,,,,,
player,201509200phi,dal,WeedBr00,pass_sacked,0,,,,,
player,201509200phi,dal,WeedBr00,pass_sacked_yds,0,,,,,
player,201509200phi,dal,WeedBr00,pass_long,42,,,,,
player,201509200phi,dal,WeedBr00,pass_rating,149.7,,,,,
player,201509200phi,dal,WeedBr00,rush_att,3,,,,,
player,201509200phi,dal,WeedBr00,rush_yds,7,,,,,
player,201509200phi,dal,WeedBr00,rush_td,0,,,,,
player,201509200phi,dal,WeedBr00,rush_long,9,,,,,
player,201509200phi,dal,WeedBr00,targets,0,,,,,
player,201509200phi,dal,WeedBr00,rec,0,,,,,
player,201509200phi,dal,WeedBr00,rec_yds,0,,,,,
player,201509200phi,dal,WeedBr00,rec_td,0,,,,,
player,201509200phi,dal,WeedBr00,rec_long,0,,,,,
player,201509200phi,dal,WeedBr00,fumbles,0,,,,,
player,201509200phi,dal,WeedBr00,fumbles_lost,0,,,,,
player,201509200phi,dal,RandJo01,pass_cmp,0,,,,,
player,201509200phi,dal,RandJo01,pass_att,0,,,,,
player,201509200phi,dal,RandJo01,pass_yds,0,,,,,
player,201509200phi,dal,RandJo01,pass_td,0,,,,,
player,201509200phi,dal,RandJo01,pass_int,0,,,,,
player,201509200phi,dal,RandJo01,pass_sacked,0,,,,,
player,201509200phi,dal,RandJo01,pass_sacked_yds,0,,,,,
player,201509200phi,dal,RandJo01,pass_long,0,,,,,
player,201509200phi,dal,RandJo01,pass_rating,,,,,,
player,201509200phi,dal,RandJo01,rush_att,18,,,,,
player,201509200phi,dal,RandJo01,rush_yds,51,,,,,
player,201509200phi,dal,RandJo01,rush_td,0,,,,,
player,201509200phi,dal,RandJo01,rush_long,6,,,,,
player,201509200phi,dal,RandJo01,targets,1,,,,,
player,201509200phi,dal,RandJo01,rec,1,,,,,
player,201509200phi,dal,RandJo01,rec_yds,14,,,,,
player,201509200phi,dal,RandJo01,rec_td,0,,,,,
player,201509200phi,dal,RandJo01,rec_long,14,,,,,
player,201509200phi,dal,RandJo01,fumbles,0,,,,,
player,201509200phi,dal,RandJo01,fumbles_lost,0,,,,,
player,201509200phi,dal,McFaDa00,pass_cmp,0,,,,,
player,201509200phi,dal,McFaDa00,pass_att,0,,,,,
player,201509200phi,dal,McFaDa00,pass_yds,0,,,,,
player,201509200phi,dal,McFaDa00,pass_td,0,,,,,
player,201509200phi,dal,McFaDa00,pass_int,0,,,,,
player,201509200phi,dal,McFaDa00,pass_sacked,0,,,,,
player,201509200phi,dal,McFaDa00,pass_sacked_yds,0,,,,,
player,201509200phi,dal,McFaDa00,pass_long,0,,,,,
player,201509200phi,dal,McFaDa00,pass_rating,,,,,,
player,201509200phi,dal,McFaDa00,rush_att,10,,,,,
player,201509200phi,dal,McFaDa00,rush_yds,31,,,,,
player,201509200phi,dal,McFaDa00,rush_td,0,,,,,
player,201509200phi,dal,McFaDa00,rush_long,9,,,,,
player,201509200phi,dal,McFaDa00,targets,2,,,,,
player,201509200phi,dal,McFaDa00,rec,2,,,,,
player,201509200phi,dal,McFaDa00,rec_yds,21,,,,,
player,201509200phi,dal,McFaDa00,rec_td,0,,,,,
player,201509200phi,dal,McFaDa00,rec_long,14,,,,,
player,201509200phi,dal,McFaDa00,fumbles,0,,,,,
player,201509200phi,dal,McFaDa00,fumbles_lost,0,,,,,
player,201509200phi,dal,DunbLa00,pass_cmp,0,,,,,
player,201509200phi,dal,DunbLa00,pass_att,0,,,,,
player,201509200phi,dal,DunbLa00,pass_yds,0,,,,,
player,201509200phi,dal,DunbLa00,pass_td,0,,,,,
player,201509200phi,dal,DunbLa00,pass_int,0,,,,,
player,201509200phi,dal,DunbLa00,pass_sacked,0,,,,,
player,201509200phi,dal,DunbLa00,pass_sacked_yds,0,,,,,
player,201509200phi,dal,DunbLa00,pass_long,0,,,,,
player,201509200phi,dal,DunbLa00,pass_rating,,,,,,
player,201509200phi,dal,DunbLa00,rush_att,1,,,,,
player,201509200phi,dal,DunbLa00,rush_yds,8,,,,,
player,201509200phi,dal,DunbLa00,rush_td,0,,,,,
player,201509200phi,dal,DunbLa00,rush_long,8,,,,,
player,201509200phi,dal,DunbLa00,targets,5,,,,,
player,201509200phi,dal,DunbLa00,rec,3,,,,,
player,201509200phi,dal,DunbLa00,rec_yds,45,,,,,
player,201509200phi,dal,DunbLa00,rec_td,0,,,,,
player,201509200phi,dal,DunbLa00,rec_long,39,,,,,
player,201509200phi,dal,DunbLa00,fumbles,0,,,,,
player,201509200phi,dal,DunbLa00,fumbles_lost,0,,,,,
player,201509200phi,dal,WillTe01,pass_cmp,0,,,,,
player,201509200phi,dal,WillTe01,pass_att,0,,,,,
player,201509200phi,dal,WillTe01,pass_yds,0,,,,,
player,201509200phi,dal,WillTe01,pass_td,0,,,,,
player,201509200phi,dal,WillTe01,pass_int,0,,,,,
player,201509200phi,dal,WillTe01,pass_sacked,0,,,,,
player,201509200phi,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201509200phi,dal,WillTe01,pass_long,0,,,,,
player,201509200phi,dal,WillTe01,pass_rating,,,,,,
player,201509200phi,dal,WillTe01,rush_att,0,,,,,
player,201509200phi,dal,WillTe01,rush_yds,0,,,,,
player,201509200phi,dal,WillTe01,rush_td,0,,,,,
player,201509200phi,dal,WillTe01,rush_long,0,,,,,
player,201509200phi,dal,WillTe01,targets,7,,,,,
player,201509200phi,dal,WillTe01,rec,4,,,,,
player,201509200phi,dal,WillTe01,rec_yds,84,,,,,
player,201509200phi,dal,WillTe01,rec_td,1,,,,,
