game,2015,5,20151011,201510110dal,nwe,"New England Patriots",30,dal,"Dallas Cowboys",6
team,201510110dal,nwe,First Downs,20,,,,,,
team,201510110dal,dal,First Downs,18,,,,,,
team,201510110dal,nwe,Rush-Yds-TDs,23-109-1,,,,,,
team,201510110dal,dal,Rush-Yds-TDs,24-102-0,,,,,,
team,201510110dal,nwe,Cmp-Att-Yd-TD-INT,20-27-275-2-0,,,,,,
team,201510110dal,dal,Cmp-Att-Yd-TD-INT,26-39-187-0-1,,,,,,
team,201510110dal,nwe,Sacked-Yards,5-28,,,,,,
team,201510110dal,dal,Sacked-Yards,3-24,,,,,,
team,201510110dal,nwe,Net Pass Yards,247,,,,,,
team,201510110dal,dal,Net Pass Yards,163,,,,,,
team,201510110dal,nwe,Total Yards,356,,,,,,
team,201510110dal,dal,Total Yards,265,,,,,,
team,201510110dal,nwe,Fumbles-Lost,1-0,,,,,,
team,201510110dal,dal,Fumbles-Lost,1-1,,,,,,
team,201510110dal,nwe,Turnovers,0,,,,,,
team,201510110dal,dal,Turnovers,2,,,,,,
team,201510110dal,nwe,Penalties-Yards,9-65,,,,,,
team,201510110dal,dal,Penalties-Yards,7-50,,,,,,
team,201510110dal,nwe,Third Down Conv.,3-10,,,,,,
team,201510110dal,dal,Third Down Conv.,4-14,,,,,,
team,201510110dal,nwe,Fourth Down Conv.,0-1,,,,,,
team,201510110dal,dal,Fourth Down Conv.,1-2,,,,,,
team,201510110dal,nwe,Time of Possession,26:48,,,,,,
team,201510110dal,dal,Time of Possession,33:12,,,,,,
player,201510110dal,nwe,BradTo00,pass_cmp,20,,,,,
player,201510110dal,nwe,BradTo00,pass_att,27,,,,,
player,201510110dal,nwe,BradTo00,pass_yds,275,,,,,
player,201510110dal,nwe,BradTo00,pass_td,2,,,,,
player,201510110dal,nwe,BradTo00,pass_int,0,,,,,
player,201510110dal,nwe,BradTo00,pass_sacked,5,,,,,
player,201510110dal,nwe,BradTo00,pass_sacked_yds,28,,,,,
player,201510110dal,nwe,BradTo00,pass_long,59,,,,,
player,201510110dal,nwe,BradTo00,pass_rating,130.9,,,,,
player,201510110dal,nwe,BradTo00,rush_att,2,,,,,
player,201510110dal,nwe,BradTo00,rush_yds,3,,,,,
player,201510110dal,nwe,BradTo00,rush_td,1,,,,,
player,201510110dal,nwe,BradTo00,rush_long,2,,,,,
player,201510110dal,nwe,BradTo00,targets,0,,,,,
player,201510110dal,nwe,BradTo00,rec,0,,,,,
player,201510110dal,nwe,BradTo00,rec_yds,0,,,,,
player,201510110dal,nwe,BradTo00,rec_td,0,,,,,
player,201510110dal,nwe,BradTo00,rec_long,0,,,,,
player,201510110dal,nwe,BradTo00,fumbles,1,,,,,
player,201510110dal,nwe,BradTo00,fumbles_lost,0,,,,,
player,201510110dal,nwe,BlouLe00,pass_cmp,0,,,,,
player,201510110dal,nwe,BlouLe00,pass_att,0,,,,,
player,201510110dal,nwe,BlouLe00,pass_yds,0,,,,,
player,201510110dal,nwe,BlouLe00,pass_td,0,,,,,
player,201510110dal,nwe,BlouLe00,pass_int,0,,,,,
player,201510110dal,nwe,BlouLe00,pass_sacked,0,,,,,
player,201510110dal,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201510110dal,nwe,BlouLe00,pass_long,0,,,,,
player,201510110dal,nwe,BlouLe00,pass_rating,,,,,,
player,201510110dal,nwe,BlouLe00,rush_att,13,,,,,
player,201510110dal,nwe,BlouLe00,rush_yds,74,,,,,
player,201510110dal,nwe,BlouLe00,rush_td,0,,,,,
player,201510110dal,nwe,BlouLe00,rush_long,34,,,,,
player,201510110dal,nwe,BlouLe00,targets,0,,,,,
player,201510110dal,nwe,BlouLe00,rec,0,,,,,
player,201510110dal,nwe,BlouLe00,rec_yds,0,,,,,
player,201510110dal,nwe,BlouLe00,rec_td,0,,,,,
player,201510110dal,nwe,BlouLe00,rec_long,0,,,,,
player,201510110dal,nwe,BlouLe00,fumbles,0,,,,,
player,201510110dal,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201510110dal,nwe,LewiDi00,pass_cmp,0,,,,,
player,201510110dal,nwe,LewiDi00,pass_att,0,,,,,
player,201510110dal,nwe,LewiDi00,pass_yds,0,,,,,
player,201510110dal,nwe,LewiDi00,pass_td,0,,,,,
player,201510110dal,nwe,LewiDi00,pass_int,0,,,,,
player,201510110dal,nwe,LewiDi00,pass_sacked,0,,,,,
player,201510110dal,nwe,LewiDi00,pass_sacked_yds,0,,,,,
player,201510110dal,nwe,LewiDi00,pass_long,0,,,,,
player,201510110dal,nwe,LewiDi00,pass_rating,,,,,,
player,201510110dal,nwe,LewiDi00,rush_att,6,,,,,
player,201510110dal,nwe,LewiDi00,rush_yds,34,,,,,
player,201510110dal,nwe,LewiDi00,rush_td,0,,,,,
player,201510110dal,nwe,LewiDi00,rush_long,13,,,,,
player,201510110dal,nwe,LewiDi00,targets,11,,,,,
player,201510110dal,nwe,LewiDi00,rec,8,,,,,
player,201510110dal,nwe,LewiDi00,rec_yds,59,,,,,
player,201510110dal,nwe,LewiDi00,rec_td,1,,,,,
player,201510110dal,nwe,LewiDi00,rec_long,14,,,,,
player,201510110dal,nwe,LewiDi00,fumbles,0,,,,,
player,201510110dal,nwe,LewiDi00,fumbles_lost,0,,,,,
player,201510110dal,nwe,EdelJu00,pass_cmp,0,,,,,
player,201510110dal,nwe,EdelJu00,pass_att,0,,,,,
player,201510110dal,nwe,EdelJu00,pass_yds,0,,,,,
player,201510110dal,nwe,EdelJu00,pass_td,0,,,,,
player,201510110dal,nwe,EdelJu00,pass_int,0,,,,,
player,201510110dal,nwe,EdelJu00,pass_sacked,0,,,,,
player,201510110dal,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201510110dal,nwe,EdelJu00,pass_long,0,,,,,
player,201510110dal,nwe,EdelJu00,pass_rating,,,,,,
player,201510110dal,nwe,EdelJu00,rush_att,0,,,,,
player,201510110dal,nwe,EdelJu00,rush_yds,0,,,,,
player,201510110dal,nwe,EdelJu00,rush_td,0,,,,,
player,201510110dal,nwe,EdelJu00,rush_long,0,,,,,
player,201510110dal,nwe,EdelJu00,targets,5,,,,,
player,201510110dal,nwe,EdelJu00,rec,4,,,,,
player,201510110dal,nwe,EdelJu00,rec_yds,120,,,,,
player,201510110dal,nwe,EdelJu00,rec_td,1,,,,,
player,201510110dal,nwe,EdelJu00,rec_long,59,,,,,
player,201510110dal,nwe,EdelJu00,fumbles,0,,,,,
player,201510110dal,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201510110dal,nwe,GronRo00,pass_cmp,0,,,,,
player,201510110dal,nwe,GronRo00,pass_att,0,,,,,
player,201510110dal,nwe,GronRo00,pass_yds,0,,,,,
player,201510110dal,nwe,GronRo00,pass_td,0,,,,,
player,201510110dal,nwe,GronRo00,pass_int,0,,,,,
player,201510110dal,nwe,GronRo00,pass_sacked,0,,,,,
player,201510110dal,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201510110dal,nwe,GronRo00,pass_long,0,,,,,
player,201510110dal,nwe,GronRo00,pass_rating,,,,,,
player,201510110dal,nwe,GronRo00,rush_att,0,,,,,
player,201510110dal,nwe,GronRo00,rush_yds,0,,,,,
player,201510110dal,nwe,GronRo00,rush_td,0,,,,,
player,201510110dal,nwe,GronRo00,rush_long,0,,,,,
player,201510110dal,nwe,GronRo00,targets,5,,,,,
player,201510110dal,nwe,GronRo00,rec,4,,,,,
player,201510110dal,nwe,GronRo00,rec_yds,67,,,,,
player,201510110dal,nwe,GronRo00,rec_td,0,,,,,
player,201510110dal,nwe,GronRo00,rec_long,33,,,,,
player,201510110dal,nwe,GronRo00,fumbles,0,,,,,
player,201510110dal,nwe,GronRo00,fumbles_lost,0,,,,,
player,201510110dal,nwe,MartKe01,pass_cmp,0,,,,,
player,201510110dal,nwe,MartKe01,pass_att,0,,,,,
player,201510110dal,nwe,MartKe01,pass_yds,0,,,,,
player,201510110dal,nwe,MartKe01,pass_td,0,,,,,
player,201510110dal,nwe,MartKe01,pass_int,0,,,,,
player,201510110dal,nwe,MartKe01,pass_sacked,0,,,,,
player,201510110dal,nwe,MartKe01,pass_sacked_yds,0,,,,,
player,201510110dal,nwe,MartKe01,pass_long,0,,,,,
player,201510110dal,nwe,MartKe01,pass_rating,,,,,,
player,201510110dal,nwe,MartKe01,rush_att,0,,,,,
player,201510110dal,nwe,MartKe01,rush_yds,0,,,,,
player,201510110dal,nwe,MartKe01,rush_td,0,,,,,
player,201510110dal,nwe,MartKe01,rush_long,0,,,,,
player,201510110dal,nwe,MartKe01,targets,2,,,,,
player,201510110dal,nwe,MartKe01,rec,2,,,,,
player,201510110dal,nwe,MartKe01,rec_yds,23,,,,,
player,201510110dal,nwe,MartKe01,rec_td,0,,,,,
player,201510110dal,nwe,MartKe01,rec_long,16,,,,,
player,201510110dal,nwe,MartKe01,fumbles,0,,,,,
player,201510110dal,nwe,MartKe01,fumbles_lost,0,,,,,
player,201510110dal,nwe,AmenDa00,pass_cmp,0,,,,,
player,201510110dal,nwe,AmenDa00,pass_att,0,,,,,
player,201510110dal,nwe,AmenDa00,pass_yds,0,,,,,
player,201510110dal,nwe,AmenDa00,pass_td,0,,,,,
player,201510110dal,nwe,AmenDa00,pass_int,0,,,,,
player,201510110dal,nwe,AmenDa00,pass_sacked,0,,,,,
player,201510110dal,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201510110dal,nwe,AmenDa00,pass_long,0,,,,,
player,201510110dal,nwe,AmenDa00,pass_rating,,,,,,
player,201510110dal,nwe,AmenDa00,rush_att,0,,,,,
player,201510110dal,nwe,AmenDa00,rush_yds,0,,,,,
player,201510110dal,nwe,AmenDa00,rush_td,0,,,,,
player,201510110dal,nwe,AmenDa00,rush_long,0,,,,,
player,201510110dal,nwe,AmenDa00,targets,3,,,,,
player,201510110dal,nwe,AmenDa00,rec,2,,,,,
player,201510110dal,nwe,AmenDa00,rec_yds,6,,,,,
player,201510110dal,nwe,AmenDa00,rec_td,0,,,,,
player,201510110dal,nwe,AmenDa00,rec_long,4,,,,,
player,201510110dal,nwe,AmenDa00,fumbles,0,,,,,
player,201510110dal,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201510110dal,nwe,SlatMa00,pass_cmp,0,,,,,
player,201510110dal,nwe,SlatMa00,pass_att,0,,,,,
