game,2015,9,20151108,201511080car,gnb,"Green Bay Packers",29,car,"Carolina Panthers",37
player,201511080car,gnb,AdamDa01,pass_cmp,0,,,,,
player,201511080car,gnb,AdamDa01,pass_att,0,,,,,
player,201511080car,gnb,AdamDa01,pass_yds,0,,,,,
player,201511080car,gnb,AdamDa01,pass_td,0,,,,,
player,201511080car,gnb,AdamDa01,pass_int,0,,,,,
player,201511080car,gnb,AdamDa01,pass_sacked,0,,,,,
player,201511080car,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201511080car,gnb,AdamDa01,pass_long,0,,,,,
player,201511080car,gnb,AdamDa01,pass_rating,,,,,,
player,201511080car,gnb,AdamDa01,rush_att,0,,,,,
player,201511080car,gnb,AdamDa01,rush_yds,0,,,,,
player,201511080car,gnb,AdamDa01,rush_td,0,,,,,
player,201511080car,gnb,AdamDa01,rush_long,0,,,,,
player,201511080car,gnb,AdamDa01,targets,11,,,,,
player,201511080car,gnb,AdamDa01,rec,7,,,,,
player,201511080car,gnb,AdamDa01,rec_yds,93,,,,,
player,201511080car,gnb,AdamDa01,rec_td,0,,,,,
player,201511080car,gnb,AdamDa01,rec_long,40,,,,,
player,201511080car,gnb,AdamDa01,fumbles,0,,,,,
player,201511080car,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201511080car,gnb,JoneJa04,pass_cmp,0,,,,,
player,201511080car,gnb,JoneJa04,pass_att,0,,,,,
player,201511080car,gnb,JoneJa04,pass_yds,0,,,,,
player,201511080car,gnb,JoneJa04,pass_td,0,,,,,
player,201511080car,gnb,JoneJa04,pass_int,0,,,,,
player,201511080car,gnb,JoneJa04,pass_sacked,0,,,,,
player,201511080car,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201511080car,gnb,JoneJa04,pass_long,0,,,,,
player,201511080car,gnb,JoneJa04,pass_rating,,,,,,
player,201511080car,gnb,JoneJa04,rush_att,0,,,,,
player,201511080car,gnb,JoneJa04,rush_yds,0,,,,,
player,201511080car,gnb,JoneJa04,rush_td,0,,,,,
player,201511080car,gnb,JoneJa04,rush_long,0,,,,,
player,201511080car,gnb,JoneJa04,targets,6,,,,,
player,201511080car,gnb,JoneJa04,rec,2,,,,,
player,201511080car,gnb,JoneJa04,rec_yds,57,,,,,
player,201511080car,gnb,JoneJa04,rec_td,0,,,,,
player,201511080car,gnb,JoneJa04,rec_long,36,,,,,
player,201511080car,gnb,JoneJa04,fumbles,0,,,,,
player,201511080car,gnb,JoneJa04,fumbles_lost,0,,,,,
player,201511080car,gnb,RodgRi00,pass_cmp,0,,,,,
player,201511080car,gnb,RodgRi00,pass_att,0,,,,,
