game,2015,14,20151213,201512130tam,nor,"New Orleans Saints",24,tam,"Tampa Bay Buccaneers",17
team,201512130tam,nor,First Downs,26,,,,,,
team,201512130tam,tam,First Downs,18,,,,,,
team,201512130tam,nor,Rush-Yds-TDs,35-87-1,,,,,,
team,201512130tam,tam,Rush-Yds-TDs,19-115-1,,,,,,
team,201512130tam,nor,Cmp-Att-Yd-TD-INT,31-41-312-2-0,,,,,,
team,201512130tam,tam,Cmp-Att-Yd-TD-INT,18-32-182-1-0,,,,,,
team,201512130tam,nor,Sacked-Yards,2-11,,,,,,
team,201512130tam,tam,Sacked-Yards,1-6,,,,,,
team,201512130tam,nor,Net Pass Yards,301,,,,,,
team,201512130tam,tam,Net Pass Yards,176,,,,,,
team,201512130tam,nor,Total Yards,388,,,,,,
team,201512130tam,tam,Total Yards,291,,,,,,
team,201512130tam,nor,Fumbles-Lost,0-0,,,,,,
team,201512130tam,tam,Fumbles-Lost,0-0,,,,,,
team,201512130tam,nor,Turnovers,0,,,,,,
team,201512130tam,tam,Turnovers,0,,,,,,
team,201512130tam,nor,Penalties-Yards,12-95,,,,,,
team,201512130tam,tam,Penalties-Yards,8-80,,,,,,
team,201512130tam,nor,Third Down Conv.,12-17,,,,,,
team,201512130tam,tam,Third Down Conv.,4-11,,,,,,
team,201512130tam,nor,Fourth Down Conv.,0-0,,,,,,
team,201512130tam,tam,Fourth Down Conv.,1-1,,,,,,
team,201512130tam,nor,Time of Possession,37:14,,,,,,
team,201512130tam,tam,Time of Possession,22:46,,,,,,
player,201512130tam,nor,BreeDr00,pass_cmp,31,,,,,
player,201512130tam,nor,BreeDr00,pass_att,41,,,,,
player,201512130tam,nor,BreeDr00,pass_yds,312,,,,,
player,201512130tam,nor,BreeDr00,pass_td,2,,,,,
player,201512130tam,nor,BreeDr00,pass_int,0,,,,,
player,201512130tam,nor,BreeDr00,pass_sacked,2,,,,,
player,201512130tam,nor,BreeDr00,pass_sacked_yds,11,,,,,
player,201512130tam,nor,BreeDr00,pass_long,41,,,,,
player,201512130tam,nor,BreeDr00,pass_rating,113.1,,,,,
player,201512130tam,nor,BreeDr00,rush_att,3,,,,,
player,201512130tam,nor,BreeDr00,rush_yds,0,,,,,
player,201512130tam,nor,BreeDr00,rush_td,0,,,,,
player,201512130tam,nor,BreeDr00,rush_long,2,,,,,
player,201512130tam,nor,BreeDr00,targets,0,,,,,
player,201512130tam,nor,BreeDr00,rec,0,,,,,
player,201512130tam,nor,BreeDr00,rec_yds,0,,,,,
player,201512130tam,nor,BreeDr00,rec_td,0,,,,,
player,201512130tam,nor,BreeDr00,rec_long,0,,,,,
player,201512130tam,nor,BreeDr00,fumbles,0,,,,,
player,201512130tam,nor,BreeDr00,fumbles_lost,0,,,,,
player,201512130tam,nor,HighTi00,pass_cmp,0,,,,,
player,201512130tam,nor,HighTi00,pass_att,0,,,,,
