game,2015,1,20150913,201509130htx,kan,"Kansas City Chiefs",27,htx,"Houston Texans",20
team,201509130htx,kan,First Downs,19,,,,,,
team,201509130htx,htx,First Downs,24,,,,,,
team,201509130htx,kan,Rush-Yds-TDs,32-97-0,,,,,,
team,201509130htx,htx,Rush-Yds-TDs,21-98-0,,,,,,
team,201509130htx,kan,Cmp-Att-Yd-TD-INT,22-33-243-3-0,,,,,,
team,201509130htx,htx,Cmp-Att-Yd-TD-INT,26-47-334-2-1,,,,,,
team,201509130htx,kan,Sacked-Yards,2-10,,,,,,
team,201509130htx,htx,Sacked-Yards,5-36,,,,,,
team,201509130htx,kan,Net Pass Yards,233,,,,,,
team,201509130htx,htx,Net Pass Yards,298,,,,,,
team,201509130htx,kan,Total Yards,330,,,,,,
team,201509130htx,htx,Total Yards,396,,,,,,
team,201509130htx,kan,Fumbles-Lost,1-0,,,,,,
team,201509130htx,htx,Fumbles-Lost,2-1,,,,,,
team,201509130htx,kan,Turnovers,0,,,,,,
team,201509130htx,htx,Turnovers,2,,,,,,
team,201509130htx,kan,Penalties-Yards,2-25,,,,,,
team,201509130htx,htx,Penalties-Yards,6-39,,,,,,
team,201509130htx,kan,Third Down Conv.,3-13,,,,,,
team,201509130htx,htx,Third Down Conv.,3-14,,,,,,
team,201509130htx,kan,Fourth Down Conv.,0-0,,,,,,
team,201509130htx,htx,Fourth Down Conv.,0-1,,,,,,
team,201509130htx,kan,Time of Possession,35:19,,,,,,
team,201509130htx,htx,Time of Possession,24:41,,,,,,
player,201509130htx,kan,SmitAl03,pass_cmp,22,,,,,
player,201509130htx,kan,SmitAl03,pass_att,33,,,,,
player,201509130htx,kan,SmitAl03,pass_yds,243,,,,,
player,201509130htx,kan,SmitAl03,pass_td,3,,,,,
player,201509130htx,kan,SmitAl03,pass_int,0,,,,,
player,201509130htx,kan,SmitAl03,pass_sacked,2,,,,,
player,201509130htx,kan,SmitAl03,pass_sacked_yds,10,,,,,
player,201509130htx,kan,SmitAl03,pass_long,42,,,,,
player,201509130htx,kan,SmitAl03,pass_rating,118.6,,,,,
player,201509130htx,kan,SmitAl03,rush_att,9,,,,,
player,201509130htx,kan,SmitAl03,rush_yds,15,,,,,
player,201509130htx,kan,SmitAl03,rush_td,0,,,,,
player,201509130htx,kan,SmitAl03,rush_long,5,,,,,
player,201509130htx,kan,SmitAl03,targets,0,,,,,
player,201509130htx,kan,SmitAl03,rec,0,,,,,
player,201509130htx,kan,SmitAl03,rec_yds,0,,,,,
player,201509130htx,kan,SmitAl03,rec_td,0,,,,,
player,201509130htx,kan,SmitAl03,rec_long,0,,,,,
player,201509130htx,kan,SmitAl03,fumbles,0,,,,,
player,201509130htx,kan,SmitAl03,fumbles_lost,0,,,,,
player,201509130htx,kan,CharJa00,pass_cmp,0,,,,,
player,201509130htx,kan,CharJa00,pass_att,0,,,,,
player,201509130htx,kan,CharJa00,pass_yds,0,,,,,
player,201509130htx,kan,CharJa00,pass_td,0,,,,,
player,201509130htx,kan,CharJa00,pass_int,0,,,,,
player,201509130htx,kan,CharJa00,pass_sacked,0,,,,,
player,201509130htx,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201509130htx,kan,CharJa00,pass_long,0,,,,,
player,201509130htx,kan,CharJa00,pass_rating,,,,,,
player,201509130htx,kan,CharJa00,rush_att,16,,,,,
player,201509130htx,kan,CharJa00,rush_yds,57,,,,,
player,201509130htx,kan,CharJa00,rush_td,0,,,,,
player,201509130htx,kan,CharJa00,rush_long,13,,,,,
player,201509130htx,kan,CharJa00,targets,8,,,,,
player,201509130htx,kan,CharJa00,rec,5,,,,,
player,201509130htx,kan,CharJa00,rec_yds,46,,,,,
player,201509130htx,kan,CharJa00,rec_td,1,,,,,
player,201509130htx,kan,CharJa00,rec_long,17,,,,,
player,201509130htx,kan,CharJa00,fumbles,0,,,,,
player,201509130htx,kan,CharJa00,fumbles_lost,0,,,,,
player,201509130htx,kan,DaviKn00,pass_cmp,0,,,,,
player,201509130htx,kan,DaviKn00,pass_att,0,,,,,
player,201509130htx,kan,DaviKn00,pass_yds,0,,,,,
player,201509130htx,kan,DaviKn00,pass_td,0,,,,,
player,201509130htx,kan,DaviKn00,pass_int,0,,,,,
player,201509130htx,kan,DaviKn00,pass_sacked,0,,,,,
player,201509130htx,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201509130htx,kan,DaviKn00,pass_long,0,,,,,
player,201509130htx,kan,DaviKn00,pass_rating,,,,,,
player,201509130htx,kan,DaviKn00,rush_att,6,,,,,
player,201509130htx,kan,DaviKn00,rush_yds,16,,,,,
player,201509130htx,kan,DaviKn00,rush_td,0,,,,,
player,201509130htx,kan,DaviKn00,rush_long,10,,,,,
player,201509130htx,kan,DaviKn00,targets,1,,,,,
player,201509130htx,kan,DaviKn00,rec,1,,,,,
player,201509130htx,kan,DaviKn00,rec_yds,12,,,,,
player,201509130htx,kan,DaviKn00,rec_td,0,,,,,
player,201509130htx,kan,DaviKn00,rec_long,12,,,,,
player,201509130htx,kan,DaviKn00,fumbles,0,,,,,
player,201509130htx,kan,DaviKn00,fumbles_lost,0,,,,,
player,201509130htx,kan,ThomDe05,pass_cmp,0,,,,,
player,201509130htx,kan,ThomDe05,pass_att,0,,,,,
player,201509130htx,kan,ThomDe05,pass_yds,0,,,,,
player,201509130htx,kan,ThomDe05,pass_td,0,,,,,
player,201509130htx,kan,ThomDe05,pass_int,0,,,,,
player,201509130htx,kan,ThomDe05,pass_sacked,0,,,,,
player,201509130htx,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201509130htx,kan,ThomDe05,pass_long,0,,,,,
player,201509130htx,kan,ThomDe05,pass_rating,,,,,,
player,201509130htx,kan,ThomDe05,rush_att,1,,,,,
player,201509130htx,kan,ThomDe05,rush_yds,9,,,,,
player,201509130htx,kan,ThomDe05,rush_td,0,,,,,
player,201509130htx,kan,ThomDe05,rush_long,9,,,,,
player,201509130htx,kan,ThomDe05,targets,2,,,,,
player,201509130htx,kan,ThomDe05,rec,1,,,,,
player,201509130htx,kan,ThomDe05,rec_yds,2,,,,,
player,201509130htx,kan,ThomDe05,rec_td,0,,,,,
player,201509130htx,kan,ThomDe05,rec_long,2,,,,,
player,201509130htx,kan,ThomDe05,fumbles,1,,,,,
player,201509130htx,kan,ThomDe05,fumbles_lost,0,,,,,
player,201509130htx,kan,KelcTr00,pass_cmp,0,,,,,
player,201509130htx,kan,KelcTr00,pass_att,0,,,,,
player,201509130htx,kan,KelcTr00,pass_yds,0,,,,,
player,201509130htx,kan,KelcTr00,pass_td,0,,,,,
player,201509130htx,kan,KelcTr00,pass_int,0,,,,,
player,201509130htx,kan,KelcTr00,pass_sacked,0,,,,,
player,201509130htx,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201509130htx,kan,KelcTr00,pass_long,0,,,,,
player,201509130htx,kan,KelcTr00,pass_rating,,,,,,
player,201509130htx,kan,KelcTr00,rush_att,0,,,,,
player,201509130htx,kan,KelcTr00,rush_yds,0,,,,,
player,201509130htx,kan,KelcTr00,rush_td,0,,,,,
player,201509130htx,kan,KelcTr00,rush_long,0,,,,,
player,201509130htx,kan,KelcTr00,targets,6,,,,,
player,201509130htx,kan,KelcTr00,rec,6,,,,,
player,201509130htx,kan,KelcTr00,rec_yds,106,,,,,
player,201509130htx,kan,KelcTr00,rec_td,2,,,,,
player,201509130htx,kan,KelcTr00,rec_long,42,,,,,
player,201509130htx,kan,KelcTr00,fumbles,0,,,,,
player,201509130htx,kan,KelcTr00,fumbles_lost,0,,,,,
player,201509130htx,kan,MaclJe00,pass_cmp,0,,,,,
player,201509130htx,kan,MaclJe00,pass_att,0,,,,,
player,201509130htx,kan,MaclJe00,pass_yds,0,,,,,
player,201509130htx,kan,MaclJe00,pass_td,0,,,,,
player,201509130htx,kan,MaclJe00,pass_int,0,,,,,
player,201509130htx,kan,MaclJe00,pass_sacked,0,,,,,
player,201509130htx,kan,MaclJe00,pass_sacked_yds,0,,,,,
player,201509130htx,kan,MaclJe00,pass_long,0,,,,,
player,201509130htx,kan,MaclJe00,pass_rating,,,,,,
player,201509130htx,kan,MaclJe00,rush_att,0,,,,,
player,201509130htx,kan,MaclJe00,rush_yds,0,,,,,
player,201509130htx,kan,MaclJe00,rush_td,0,,,,,
player,201509130htx,kan,MaclJe00,rush_long,0,,,,,
player,201509130htx,kan,MaclJe00,targets,9,,,,,
player,201509130htx,kan,MaclJe00,rec,5,,,,,
player,201509130htx,kan,MaclJe00,rec_yds,52,,,,,
player,201509130htx,kan,MaclJe00,rec_td,0,,,,,
player,201509130htx,kan,MaclJe00,rec_long,20,,,,,
player,201509130htx,kan,MaclJe00,fumbles,0,,,,,
player,201509130htx,kan,MaclJe00,fumbles_lost,0,,,,,
player,201509130htx,kan,WilsAl02,pass_cmp,0,,,,,
player,201509130htx,kan,WilsAl02,pass_att,0,,,,,
player,201509130htx,kan,WilsAl02,pass_yds,0,,,,,
player,201509130htx,kan,WilsAl02,pass_td,0,,,,,
player,201509130htx,kan,WilsAl02,pass_int,0,,,,,
player,201509130htx,kan,WilsAl02,pass_sacked,0,,,,,
player,201509130htx,kan,WilsAl02,pass_sacked_yds,0,,,,,
player,201509130htx,kan,WilsAl02,pass_long,0,,,,,
player,201509130htx,kan,WilsAl02,pass_rating,,,,,,
player,201509130htx,kan,WilsAl02,rush_att,0,,,,,
player,201509130htx,kan,WilsAl02,rush_yds,0,,,,,
player,201509130htx,kan,WilsAl02,rush_td,0,,,,,
player,201509130htx,kan,WilsAl02,rush_long,0,,,,,
player,201509130htx,kan,WilsAl02,targets,3,,,,,
player,201509130htx,kan,WilsAl02,rec,3,,,,,
player,201509130htx,kan,WilsAl02,rec_yds,25,,,,,
player,201509130htx,kan,WilsAl02,rec_td,0,,,,,
player,201509130htx,kan,WilsAl02,rec_long,13,,,,,
player,201509130htx,kan,WilsAl02,fumbles,0,,,,,
player,201509130htx,kan,WilsAl02,fumbles_lost,0,,,,,
player,201509130htx,kan,SherAn00,pass_cmp,0,,,,,
player,201509130htx,kan,SherAn00,pass_att,0,,,,,
player,201509130htx,kan,SherAn00,pass_yds,0,,,,,
player,201509130htx,kan,SherAn00,pass_td,0,,,,,
player,201509130htx,kan,SherAn00,pass_int,0,,,,,
player,201509130htx,kan,SherAn00,pass_sacked,0,,,,,
player,201509130htx,kan,SherAn00,pass_sacked_yds,0,,,,,
player,201509130htx,kan,SherAn00,pass_long,0,,,,,
player,201509130htx,kan,SherAn00,pass_rating,,,,,,
player,201509130htx,kan,SherAn00,rush_att,0,,,,,
player,201509130htx,kan,SherAn00,rush_yds,0,,,,,
player,201509130htx,kan,SherAn00,rush_td,0,,,,,
player,201509130htx,kan,SherAn00,rush_long,0,,,,,
player,201509130htx,kan,SherAn00,targets,1,,,,,
player,201509130htx,kan,SherAn00,rec,1,,,,,
player,201509130htx,kan,SherAn00,rec_yds,0,,,,,
player,201509130htx,kan,SherAn00,rec_td,0,,,,,
player,201509130htx,kan,SherAn00,rec_long,0,,,,,
player,201509130htx,kan,SherAn00,fumbles,0,,,,,
player,201509130htx,kan,SherAn00,fumbles_lost,0,,,,,
player,201509130htx,kan,O'ShJa00,pass_cmp,0,,,,,
player,201509130htx,kan,O'ShJa00,pass_att,0,,,,,
player,201509130htx,kan,O'ShJa00,pass_yds,0,,,,,
player,201509130htx,kan,O'ShJa00,pass_td,0,,,,,
player,201509130htx,kan,O'ShJa00,pass_int,0,,,,,
player,201509130htx,kan,O'ShJa00,pass_sacked,0,,,,,
player,201509130htx,kan,O'ShJa00,pass_sacked_yds,0,,,,,
player,201509130htx,kan,O'ShJa00,pass_long,0,,,,,
player,201509130htx,kan,O'ShJa00,pass_rating,,,,,,
player,201509130htx,kan,O'ShJa00,rush_att,0,,,,,
player,201509130htx,kan,O'ShJa00,rush_yds,0,,,,,
player,201509130htx,kan,O'ShJa00,rush_td,0,,,,,
player,201509130htx,kan,O'ShJa00,rush_long,0,,,,,
player,201509130htx,kan,O'ShJa00,targets,1,,,,,
player,201509130htx,kan,O'ShJa00,rec,0,,,,,
player,201509130htx,kan,O'ShJa00,rec_yds,0,,,,,
player,201509130htx,kan,O'ShJa00,rec_td,0,,,,,
player,201509130htx,kan,O'ShJa00,rec_long,0,,,,,
player,201509130htx,kan,O'ShJa00,fumbles,0,,,,,
player,201509130htx,kan,O'ShJa00,fumbles_lost,0,,,,,
player,201509130htx,htx,HoyeBr00,pass_cmp,18,,,,,
player,201509130htx,htx,HoyeBr00,pass_att,34,,,,,
player,201509130htx,htx,HoyeBr00,pass_yds,236,,,,,
player,201509130htx,htx,HoyeBr00,pass_td,1,,,,,
player,201509130htx,htx,HoyeBr00,pass_int,1,,,,,
player,201509130htx,htx,HoyeBr00,pass_sacked,4,,,,,
player,201509130htx,htx,HoyeBr00,pass_sacked_yds,29,,,,,
player,201509130htx,htx,HoyeBr00,pass_long,32,,,,,
player,201509130htx,htx,HoyeBr00,pass_rating,72.7,,,,,
player,201509130htx,htx,HoyeBr00,rush_att,0,,,,,
player,201509130htx,htx,HoyeBr00,rush_yds,0,,,,,
player,201509130htx,htx,HoyeBr00,rush_td,0,,,,,
player,201509130htx,htx,HoyeBr00,rush_long,0,,,,,
player,201509130htx,htx,HoyeBr00,targets,0,,,,,
player,201509130htx,htx,HoyeBr00,rec,0,,,,,
player,201509130htx,htx,HoyeBr00,rec_yds,0,,,,,
player,201509130htx,htx,HoyeBr00,rec_td,0,,,,,
player,201509130htx,htx,HoyeBr00,rec_long,0,,,,,
player,201509130htx,htx,HoyeBr00,fumbles,1,,,,,
player,201509130htx,htx,HoyeBr00,fumbles_lost,1,,,,,
player,201509130htx,htx,MallRy00,pass_cmp,8,,,,,
player,201509130htx,htx,MallRy00,pass_att,13,,,,,
player,201509130htx,htx,MallRy00,pass_yds,98,,,,,
player,201509130htx,htx,MallRy00,pass_td,1,,,,,
player,201509130htx,htx,MallRy00,pass_int,0,,,,,
player,201509130htx,htx,MallRy00,pass_sacked,1,,,,,
player,201509130htx,htx,MallRy00,pass_sacked_yds,7,,,,,
player,201509130htx,htx,MallRy00,pass_long,20,,,,,
player,201509130htx,htx,MallRy00,pass_rating,110.4,,,,,
player,201509130htx,htx,MallRy00,rush_att,1,,,,,
player,201509130htx,htx,MallRy00,rush_yds,6,,,,,
player,201509130htx,htx,MallRy00,rush_td,0,,,,,
player,201509130htx,htx,MallRy00,rush_long,6,,,,,
player,201509130htx,htx,MallRy00,targets,0,,,,,
player,201509130htx,htx,MallRy00,rec,0,,,,,
player,201509130htx,htx,MallRy00,rec_yds,0,,,,,
player,201509130htx,htx,MallRy00,rec_td,0,,,,,
player,201509130htx,htx,MallRy00,rec_long,0,,,,,
player,201509130htx,htx,MallRy00,fumbles,0,,,,,
player,201509130htx,htx,MallRy00,fumbles_lost,0,,,,,
player,201509130htx,htx,BlueAl00,pass_cmp,0,,,,,
player,201509130htx,htx,BlueAl00,pass_att,0,,,,,
player,201509130htx,htx,BlueAl00,pass_yds,0,,,,,
player,201509130htx,htx,BlueAl00,pass_td,0,,,,,
player,201509130htx,htx,BlueAl00,pass_int,0,,,,,
player,201509130htx,htx,BlueAl00,pass_sacked,0,,,,,
player,201509130htx,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201509130htx,htx,BlueAl00,pass_long,0,,,,,
player,201509130htx,htx,BlueAl00,pass_rating,,,,,,
player,201509130htx,htx,BlueAl00,rush_att,9,,,,,
player,201509130htx,htx,BlueAl00,rush_yds,42,,,,,
player,201509130htx,htx,BlueAl00,rush_td,0,,,,,
player,201509130htx,htx,BlueAl00,rush_long,11,,,,,
player,201509130htx,htx,BlueAl00,targets,2,,,,,
player,201509130htx,htx,BlueAl00,rec,1,,,,,
player,201509130htx,htx,BlueAl00,rec_yds,7,,,,,
player,201509130htx,htx,BlueAl00,rec_td,0,,,,,
player,201509130htx,htx,BlueAl00,rec_long,7,,,,,
player,201509130htx,htx,BlueAl00,fumbles,0,,,,,
player,201509130htx,htx,BlueAl00,fumbles_lost,0,,,,,
player,201509130htx,htx,GrimJo01,pass_cmp,0,,,,,
player,201509130htx,htx,GrimJo01,pass_att,0,,,,,
player,201509130htx,htx,GrimJo01,pass_yds,0,,,,,
player,201509130htx,htx,GrimJo01,pass_td,0,,,,,
player,201509130htx,htx,GrimJo01,pass_int,0,,,,,
player,201509130htx,htx,GrimJo01,pass_sacked,0,,,,,
player,201509130htx,htx,GrimJo01,pass_sacked_yds,0,,,,,
player,201509130htx,htx,GrimJo01,pass_long,0,,,,,
player,201509130htx,htx,GrimJo01,pass_rating,,,,,,
player,201509130htx,htx,GrimJo01,rush_att,6,,,,,
player,201509130htx,htx,GrimJo01,rush_yds,28,,,,,
player,201509130htx,htx,GrimJo01,rush_td,0,,,,,
player,201509130htx,htx,GrimJo01,rush_long,21,,,,,
player,201509130htx,htx,GrimJo01,targets,2,,,,,
player,201509130htx,htx,GrimJo01,rec,1,,,,,
player,201509130htx,htx,GrimJo01,rec_yds,2,,,,,
player,201509130htx,htx,GrimJo01,rec_td,0,,,,,
player,201509130htx,htx,GrimJo01,rec_long,2,,,,,
player,201509130htx,htx,GrimJo01,fumbles,0,,,,,
player,201509130htx,htx,GrimJo01,fumbles_lost,0,,,,,
player,201509130htx,htx,PolkCh00,pass_cmp,0,,,,,
player,201509130htx,htx,PolkCh00,pass_att,0,,,,,
player,201509130htx,htx,PolkCh00,pass_yds,0,,,,,
player,201509130htx,htx,PolkCh00,pass_td,0,,,,,
player,201509130htx,htx,PolkCh00,pass_int,0,,,,,
player,201509130htx,htx,PolkCh00,pass_sacked,0,,,,,
player,201509130htx,htx,PolkCh00,pass_sacked_yds,0,,,,,
player,201509130htx,htx,PolkCh00,pass_long,0,,,,,
player,201509130htx,htx,PolkCh00,pass_rating,,,,,,
player,201509130htx,htx,PolkCh00,rush_att,5,,,,,
player,201509130htx,htx,PolkCh00,rush_yds,22,,,,,
player,201509130htx,htx,PolkCh00,rush_td,0,,,,,
player,201509130htx,htx,PolkCh00,rush_long,13,,,,,
player,201509130htx,htx,PolkCh00,targets,1,,,,,
player,201509130htx,htx,PolkCh00,rec,1,,,,,
