game,2015,8,20151029,201510290nwe,mia,"Miami Dolphins",7,nwe,"New England Patriots",36
team,201510290nwe,mia,First Downs,18,,,,,,
team,201510290nwe,nwe,First Downs,24,,,,,,
team,201510290nwe,mia,Rush-Yds-TDs,13-15-1,,,,,,
team,201510290nwe,nwe,Rush-Yds-TDs,26-95-0,,,,,,
team,201510290nwe,mia,Cmp-Att-Yd-TD-INT,28-44-300-0-2,,,,,,
team,201510290nwe,nwe,Cmp-Att-Yd-TD-INT,26-38-356-4-0,,,,,,
team,201510290nwe,mia,Sacked-Yards,5-45,,,,,,
team,201510290nwe,nwe,Sacked-Yards,2-14,,,,,,
team,201510290nwe,mia,Net Pass Yards,255,,,,,,
team,201510290nwe,nwe,Net Pass Yards,342,,,,,,
team,201510290nwe,mia,Total Yards,270,,,,,,
team,201510290nwe,nwe,Total Yards,437,,,,,,
team,201510290nwe,mia,Fumbles-Lost,2-0,,,,,,
team,201510290nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201510290nwe,mia,Turnovers,2,,,,,,
team,201510290nwe,nwe,Turnovers,0,,,,,,
team,201510290nwe,mia,Penalties-Yards,7-40,,,,,,
team,201510290nwe,nwe,Penalties-Yards,8-69,,,,,,
team,201510290nwe,mia,Third Down Conv.,2-11,,,,,,
team,201510290nwe,nwe,Third Down Conv.,3-12,,,,,,
team,201510290nwe,mia,Fourth Down Conv.,1-2,,,,,,
team,201510290nwe,nwe,Fourth Down Conv.,1-1,,,,,,
team,201510290nwe,mia,Time of Possession,27:23,,,,,,
team,201510290nwe,nwe,Time of Possession,32:37,,,,,,
player,201510290nwe,mia,TannRy00,pass_cmp,28,,,,,
player,201510290nwe,mia,TannRy00,pass_att,44,,,,,
player,201510290nwe,mia,TannRy00,pass_yds,300,,,,,
player,201510290nwe,mia,TannRy00,pass_td,0,,,,,
player,201510290nwe,mia,TannRy00,pass_int,2,,,,,
player,201510290nwe,mia,TannRy00,pass_sacked,5,,,,,
player,201510290nwe,mia,TannRy00,pass_sacked_yds,45,,,,,
player,201510290nwe,mia,TannRy00,pass_long,29,,,,,
player,201510290nwe,mia,TannRy00,pass_rating,64.6,,,,,
player,201510290nwe,mia,TannRy00,rush_att,2,,,,,
player,201510290nwe,mia,TannRy00,rush_yds,-1,,,,,
player,201510290nwe,mia,TannRy00,rush_td,0,,,,,
player,201510290nwe,mia,TannRy00,rush_long,-1,,,,,
player,201510290nwe,mia,TannRy00,targets,0,,,,,
player,201510290nwe,mia,TannRy00,rec,0,,,,,
player,201510290nwe,mia,TannRy00,rec_yds,0,,,,,
player,201510290nwe,mia,TannRy00,rec_td,0,,,,,
player,201510290nwe,mia,TannRy00,rec_long,0,,,,,
player,201510290nwe,mia,TannRy00,fumbles,1,,,,,
player,201510290nwe,mia,TannRy00,fumbles_lost,0,,,,,
player,201510290nwe,mia,MillLa01,pass_cmp,0,,,,,
player,201510290nwe,mia,MillLa01,pass_att,0,,,,,
player,201510290nwe,mia,MillLa01,pass_yds,0,,,,,
player,201510290nwe,mia,MillLa01,pass_td,0,,,,,
player,201510290nwe,mia,MillLa01,pass_int,0,,,,,
player,201510290nwe,mia,MillLa01,pass_sacked,0,,,,,
player,201510290nwe,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201510290nwe,mia,MillLa01,pass_long,0,,,,,
player,201510290nwe,mia,MillLa01,pass_rating,,,,,,
player,201510290nwe,mia,MillLa01,rush_att,9,,,,,
player,201510290nwe,mia,MillLa01,rush_yds,15,,,,,
player,201510290nwe,mia,MillLa01,rush_td,1,,,,,
player,201510290nwe,mia,MillLa01,rush_long,8,,,,,
player,201510290nwe,mia,MillLa01,targets,5,,,,,
player,201510290nwe,mia,MillLa01,rec,5,,,,,
player,201510290nwe,mia,MillLa01,rec_yds,19,,,,,
player,201510290nwe,mia,MillLa01,rec_td,0,,,,,
player,201510290nwe,mia,MillLa01,rec_long,8,,,,,
player,201510290nwe,mia,MillLa01,fumbles,0,,,,,
player,201510290nwe,mia,MillLa01,fumbles_lost,0,,,,,
player,201510290nwe,mia,GrayJo00,pass_cmp,0,,,,,
player,201510290nwe,mia,GrayJo00,pass_att,0,,,,,
player,201510290nwe,mia,GrayJo00,pass_yds,0,,,,,
