game,2015,4,20151004,201510040nor,dal,"Dallas Cowboys",20,nor,"New Orleans Saints",26
team,201510040nor,dal,First Downs,21,,,,,,
team,201510040nor,nor,First Downs,27,,,,,,
team,201510040nor,dal,Rush-Yds-TDs,28-115-1,,,,,,
team,201510040nor,nor,Rush-Yds-TDs,25-103-1,,,,,,
team,201510040nor,dal,Cmp-Att-Yd-TD-INT,16-26-246-1-0,,,,,,
team,201510040nor,nor,Cmp-Att-Yd-TD-INT,33-41-359-2-0,,,,,,
team,201510040nor,dal,Sacked-Yards,3-26,,,,,,
team,201510040nor,nor,Sacked-Yards,3-24,,,,,,
team,201510040nor,dal,Net Pass Yards,220,,,,,,
team,201510040nor,nor,Net Pass Yards,335,,,,,,
team,201510040nor,dal,Total Yards,335,,,,,,
team,201510040nor,nor,Total Yards,438,,,,,,
team,201510040nor,dal,Fumbles-Lost,0-0,,,,,,
team,201510040nor,nor,Fumbles-Lost,0-0,,,,,,
team,201510040nor,dal,Turnovers,0,,,,,,
team,201510040nor,nor,Turnovers,0,,,,,,
team,201510040nor,dal,Penalties-Yards,6-30,,,,,,
team,201510040nor,nor,Penalties-Yards,8-64,,,,,,
team,201510040nor,dal,Third Down Conv.,3-12,,,,,,
team,201510040nor,nor,Third Down Conv.,6-13,,,,,,
team,201510040nor,dal,Fourth Down Conv.,1-1,,,,,,
team,201510040nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201510040nor,dal,Time of Possession,29:20,,,,,,
team,201510040nor,nor,Time of Possession,30:53,,,,,,
player,201510040nor,dal,WeedBr00,pass_cmp,16,,,,,
player,201510040nor,dal,WeedBr00,pass_att,26,,,,,
player,201510040nor,dal,WeedBr00,pass_yds,246,,,,,
player,201510040nor,dal,WeedBr00,pass_td,1,,,,,
player,201510040nor,dal,WeedBr00,pass_int,0,,,,,
player,201510040nor,dal,WeedBr00,pass_sacked,3,,,,,
player,201510040nor,dal,WeedBr00,pass_sacked_yds,26,,,,,
player,201510040nor,dal,WeedBr00,pass_long,67,,,,,
player,201510040nor,dal,WeedBr00,pass_rating,105.6,,,,,
player,201510040nor,dal,WeedBr00,rush_att,3,,,,,
player,201510040nor,dal,WeedBr00,rush_yds,5,,,,,
player,201510040nor,dal,WeedBr00,rush_td,0,,,,,
player,201510040nor,dal,WeedBr00,rush_long,3,,,,,
player,201510040nor,dal,WeedBr00,targets,0,,,,,
player,201510040nor,dal,WeedBr00,rec,0,,,,,
player,201510040nor,dal,WeedBr00,rec_yds,0,,,,,
player,201510040nor,dal,WeedBr00,rec_td,0,,,,,
player,201510040nor,dal,WeedBr00,rec_long,0,,,,,
player,201510040nor,dal,WeedBr00,fumbles,0,,,,,
player,201510040nor,dal,WeedBr00,fumbles_lost,0,,,,,
player,201510040nor,dal,DunbLa00,pass_cmp,0,,,,,
player,201510040nor,dal,DunbLa00,pass_att,0,,,,,
player,201510040nor,dal,DunbLa00,pass_yds,0,,,,,
player,201510040nor,dal,DunbLa00,pass_td,0,,,,,
player,201510040nor,dal,DunbLa00,pass_int,0,,,,,
player,201510040nor,dal,DunbLa00,pass_sacked,0,,,,,
player,201510040nor,dal,DunbLa00,pass_sacked_yds,0,,,,,
player,201510040nor,dal,DunbLa00,pass_long,0,,,,,
player,201510040nor,dal,DunbLa00,pass_rating,,,,,,
player,201510040nor,dal,DunbLa00,rush_att,3,,,,,
player,201510040nor,dal,DunbLa00,rush_yds,54,,,,,
player,201510040nor,dal,DunbLa00,rush_td,0,,,,,
player,201510040nor,dal,DunbLa00,rush_long,45,,,,,
player,201510040nor,dal,DunbLa00,targets,0,,,,,
player,201510040nor,dal,DunbLa00,rec,0,,,,,
player,201510040nor,dal,DunbLa00,rec_yds,0,,,,,
player,201510040nor,dal,DunbLa00,rec_td,0,,,,,
player,201510040nor,dal,DunbLa00,rec_long,0,,,,,
player,201510040nor,dal,DunbLa00,fumbles,0,,,,,
player,201510040nor,dal,DunbLa00,fumbles_lost,0,,,,,
player,201510040nor,dal,McFaDa00,pass_cmp,0,,,,,
player,201510040nor,dal,McFaDa00,pass_att,0,,,,,
player,201510040nor,dal,McFaDa00,pass_yds,0,,,,,
player,201510040nor,dal,McFaDa00,pass_td,0,,,,,
player,201510040nor,dal,McFaDa00,pass_int,0,,,,,
player,201510040nor,dal,McFaDa00,pass_sacked,0,,,,,
player,201510040nor,dal,McFaDa00,pass_sacked_yds,0,,,,,
player,201510040nor,dal,McFaDa00,pass_long,0,,,,,
player,201510040nor,dal,McFaDa00,pass_rating,,,,,,
