game,2015,5,20151011,201510110phi,nor,"New Orleans Saints",17,phi,"Philadelphia Eagles",39
player,201510110phi,nor,CookBr00,special_teams,0,,,,,
player,201510110phi,nor,CookBr00,st_pct,0%,,,,,
player,201510110phi,nor,LeliTi00,pos,G,,,,,
player,201510110phi,nor,LeliTi00,offense,55,,,,,
player,201510110phi,nor,LeliTi00,off_pct,80%,,,,,
player,201510110phi,nor,LeliTi00,defense,0,,,,,
player,201510110phi,nor,LeliTi00,def_pct,0%,,,,,
player,201510110phi,nor,LeliTi00,special_teams,2,,,,,
player,201510110phi,nor,LeliTi00,st_pct,7%,,,,,
player,201510110phi,nor,SneaWi00,pos,WR,,,,,
player,201510110phi,nor,SneaWi00,offense,49,,,,,
player,201510110phi,nor,SneaWi00,off_pct,71%,,,,,
player,201510110phi,nor,SneaWi00,defense,0,,,,,
player,201510110phi,nor,SneaWi00,def_pct,0%,,,,,
player,201510110phi,nor,SneaWi00,special_teams,2,,,,,
player,201510110phi,nor,SneaWi00,st_pct,7%,,,,,
player,201510110phi,nor,IngrMa01,pos,RB,,,,,
player,201510110phi,nor,IngrMa01,offense,35,,,,,
player,201510110phi,nor,IngrMa01,off_pct,51%,,,,,
player,201510110phi,nor,IngrMa01,defense,0,,,,,
player,201510110phi,nor,IngrMa01,def_pct,0%,,,,,
player,201510110phi,nor,IngrMa01,special_teams,0,,,,,
player,201510110phi,nor,IngrMa01,st_pct,0%,,,,,
player,201510110phi,nor,ColsMa00,pos,WR,,,,,
player,201510110phi,nor,ColsMa00,offense,30,,,,,
player,201510110phi,nor,ColsMa00,off_pct,43%,,,,,
player,201510110phi,nor,ColsMa00,defense,0,,,,,
player,201510110phi,nor,ColsMa00,def_pct,0%,,,,,
player,201510110phi,nor,ColsMa00,special_teams,0,,,,,
player,201510110phi,nor,ColsMa00,st_pct,0%,,,,,
player,201510110phi,nor,HillJo02,pos,TE,,,,,
player,201510110phi,nor,HillJo02,offense,28,,,,,
player,201510110phi,nor,HillJo02,off_pct,41%,,,,,
player,201510110phi,nor,HillJo02,defense,0,,,,,
player,201510110phi,nor,HillJo02,def_pct,0%,,,,,
player,201510110phi,nor,HillJo02,special_teams,22,,,,,
player,201510110phi,nor,HillJo02,st_pct,73%,,,,,
player,201510110phi,nor,ColeBr00,pos,WR,,,,,
player,201510110phi,nor,ColeBr00,offense,26,,,,,
player,201510110phi,nor,ColeBr00,off_pct,38%,,,,,
player,201510110phi,nor,ColeBr00,defense,0,,,,,
player,201510110phi,nor,ColeBr00,def_pct,0%,,,,,
player,201510110phi,nor,ColeBr00,special_teams,15,,,,,
player,201510110phi,nor,ColeBr00,st_pct,50%,,,,,
player,201510110phi,nor,HoomMi00,pos,TE,,,,,
player,201510110phi,nor,HoomMi00,offense,19,,,,,
player,201510110phi,nor,HoomMi00,off_pct,28%,,,,,
player,201510110phi,nor,HoomMi00,defense,0,,,,,
player,201510110phi,nor,HoomMi00,def_pct,0%,,,,,
player,201510110phi,nor,HoomMi00,special_teams,0,,,,,
player,201510110phi,nor,HoomMi00,st_pct,0%,,,,,
player,201510110phi,nor,SpilC.00,pos,RB,,,,,
player,201510110phi,nor,SpilC.00,offense,19,,,,,
player,201510110phi,nor,SpilC.00,off_pct,28%,,,,,
player,201510110phi,nor,SpilC.00,defense,0,,,,,
player,201510110phi,nor,SpilC.00,def_pct,0%,,,,,
player,201510110phi,nor,SpilC.00,special_teams,0,,,,,
player,201510110phi,nor,SpilC.00,st_pct,0%,,,,,
player,201510110phi,nor,RobiKh00,pos,RB,,,,,
player,201510110phi,nor,RobiKh00,offense,15,,,,,
player,201510110phi,nor,RobiKh00,off_pct,22%,,,,,
player,201510110phi,nor,RobiKh00,defense,0,,,,,
player,201510110phi,nor,RobiKh00,def_pct,0%,,,,,
player,201510110phi,nor,RobiKh00,special_teams,9,,,,,
player,201510110phi,nor,RobiKh00,st_pct,30%,,,,,
player,201510110phi,nor,McGlMi20,pos,G,,,,,
player,201510110phi,nor,McGlMi20,offense,14,,,,,
player,201510110phi,nor,McGlMi20,off_pct,20%,,,,,
player,201510110phi,nor,McGlMi20,defense,0,,,,,
player,201510110phi,nor,McGlMi20,def_pct,0%,,,,,
player,201510110phi,nor,McGlMi20,special_teams,12,,,,,
player,201510110phi,nor,McGlMi20,st_pct,40%,,,,,
player,201510110phi,nor,VaccKe00,pos,SS,,,,,
player,201510110phi,nor,VaccKe00,offense,1,,,,,
player,201510110phi,nor,VaccKe00,off_pct,1%,,,,,
player,201510110phi,nor,VaccKe00,defense,83,,,,,
player,201510110phi,nor,VaccKe00,def_pct,99%,,,,,
player,201510110phi,nor,VaccKe00,special_teams,8,,,,,
player,201510110phi,nor,VaccKe00,st_pct,27%,,,,,
player,201510110phi,nor,BreaDe00,pos,CB,,,,,
player,201510110phi,nor,BreaDe00,offense,0,,,,,
player,201510110phi,nor,BreaDe00,off_pct,0%,,,,,
player,201510110phi,nor,BreaDe00,defense,84,,,,,
player,201510110phi,nor,BreaDe00,def_pct,100%,,,,,
player,201510110phi,nor,BreaDe00,special_teams,9,,,,,
player,201510110phi,nor,BreaDe00,st_pct,30%,,,,,
player,201510110phi,nor,AnthSt00,pos,LB,,,,,
player,201510110phi,nor,AnthSt00,offense,0,,,,,
player,201510110phi,nor,AnthSt00,off_pct,0%,,,,,
player,201510110phi,nor,AnthSt00,defense,78,,,,,
player,201510110phi,nor,AnthSt00,def_pct,93%,,,,,
player,201510110phi,nor,AnthSt00,special_teams,8,,,,,
player,201510110phi,nor,AnthSt00,st_pct,27%,,,,,
player,201510110phi,nor,BrowBr00,pos,CB,,,,,
player,201510110phi,nor,BrowBr00,offense,0,,,,,
player,201510110phi,nor,BrowBr00,off_pct,0%,,,,,
player,201510110phi,nor,BrowBr00,defense,78,,,,,
player,201510110phi,nor,BrowBr00,def_pct,93%,,,,,
player,201510110phi,nor,BrowBr00,special_teams,8,,,,,
player,201510110phi,nor,BrowBr00,st_pct,27%,,,,,
player,201510110phi,nor,KikaHa00,pos,LB,,,,,
player,201510110phi,nor,KikaHa00,offense,0,,,,,
player,201510110phi,nor,KikaHa00,off_pct,0%,,,,,
player,201510110phi,nor,KikaHa00,defense,72,,,,,
player,201510110phi,nor,KikaHa00,def_pct,86%,,,,,
player,201510110phi,nor,KikaHa00,special_teams,0,,,,,
player,201510110phi,nor,KikaHa00,st_pct,0%,,,,,
player,201510110phi,nor,JordCa00,pos,DE,,,,,
player,201510110phi,nor,JordCa00,offense,0,,,,,
player,201510110phi,nor,JordCa00,off_pct,0%,,,,,
player,201510110phi,nor,JordCa00,defense,70,,,,,
player,201510110phi,nor,JordCa00,def_pct,83%,,,,,
player,201510110phi,nor,JordCa00,special_teams,8,,,,,
player,201510110phi,nor,JordCa00,st_pct,27%,,,,,
player,201510110phi,nor,ElleDa99,pos,LB,,,,,
player,201510110phi,nor,ElleDa99,offense,0,,,,,
player,201510110phi,nor,ElleDa99,off_pct,0%,,,,,
player,201510110phi,nor,ElleDa99,defense,63,,,,,
player,201510110phi,nor,ElleDa99,def_pct,75%,,,,,
player,201510110phi,nor,ElleDa99,special_teams,0,,,,,
player,201510110phi,nor,ElleDa99,st_pct,0%,,,,,
player,201510110phi,nor,ByrdJa99,pos,FS,,,,,
player,201510110phi,nor,ByrdJa99,offense,0,,,,,
player,201510110phi,nor,ByrdJa99,off_pct,0%,,,,,
player,201510110phi,nor,ByrdJa99,defense,61,,,,,
player,201510110phi,nor,ByrdJa99,def_pct,73%,,,,,
player,201510110phi,nor,ByrdJa99,special_teams,0,,,,,
player,201510110phi,nor,ByrdJa99,st_pct,0%,,,,,
player,201510110phi,nor,JenkJo00,pos,DT,,,,,
player,201510110phi,nor,JenkJo00,offense,0,,,,,
player,201510110phi,nor,JenkJo00,off_pct,0%,,,,,
player,201510110phi,nor,JenkJo00,defense,53,,,,,
player,201510110phi,nor,JenkJo00,def_pct,63%,,,,,
player,201510110phi,nor,JenkJo00,special_teams,8,,,,,
player,201510110phi,nor,JenkJo00,st_pct,27%,,,,,
player,201510110phi,nor,WilsKy99,pos,CB,,,,,
player,201510110phi,nor,WilsKy99,offense,0,,,,,
player,201510110phi,nor,WilsKy99,off_pct,0%,,,,,
player,201510110phi,nor,WilsKy99,defense,50,,,,,
player,201510110phi,nor,WilsKy99,def_pct,60%,,,,,
player,201510110phi,nor,WilsKy99,special_teams,5,,,,,
player,201510110phi,nor,WilsKy99,st_pct,17%,,,,,
player,201510110phi,nor,WillKe98,pos,DT,,,,,
player,201510110phi,nor,WillKe98,offense,0,,,,,
player,201510110phi,nor,WillKe98,off_pct,0%,,,,,
player,201510110phi,nor,WillKe98,defense,49,,,,,
player,201510110phi,nor,WillKe98,def_pct,58%,,,,,
player,201510110phi,nor,WillKe98,special_teams,8,,,,,
player,201510110phi,nor,WillKe98,st_pct,27%,,,,,
player,201510110phi,nor,DaviTy01,pos,DT,,,,,
player,201510110phi,nor,DaviTy01,offense,0,,,,,
player,201510110phi,nor,DaviTy01,off_pct,0%,,,,,
player,201510110phi,nor,DaviTy01,defense,31,,,,,
player,201510110phi,nor,DaviTy01,def_pct,37%,,,,,
player,201510110phi,nor,DaviTy01,special_teams,17,,,,,
player,201510110phi,nor,DaviTy01,st_pct,57%,,,,,
player,201510110phi,nor,LewiKe96,pos,CB,,,,,
player,201510110phi,nor,LewiKe96,offense,0,,,,,
player,201510110phi,nor,LewiKe96,off_pct,0%,,,,,
player,201510110phi,nor,LewiKe96,defense,25,,,,,
player,201510110phi,nor,LewiKe96,def_pct,30%,,,,,
player,201510110phi,nor,LewiKe96,special_teams,0,,,,,
player,201510110phi,nor,LewiKe96,st_pct,0%,,,,,
player,201510110phi,nor,BarnTa00,pos,DE,,,,,
player,201510110phi,nor,BarnTa00,offense,0,,,,,
player,201510110phi,nor,BarnTa00,off_pct,0%,,,,,
player,201510110phi,nor,BarnTa00,defense,25,,,,,
player,201510110phi,nor,BarnTa00,def_pct,30%,,,,,
player,201510110phi,nor,BarnTa00,special_teams,0,,,,,
player,201510110phi,nor,BarnTa00,st_pct,0%,,,,,
player,201510110phi,nor,EdebKa00,pos,LB,,,,,
player,201510110phi,nor,EdebKa00,offense,0,,,,,
player,201510110phi,nor,EdebKa00,off_pct,0%,,,,,
player,201510110phi,nor,EdebKa00,defense,24,,,,,
player,201510110phi,nor,EdebKa00,def_pct,29%,,,,,
player,201510110phi,nor,EdebKa00,special_teams,27,,,,,
player,201510110phi,nor,EdebKa00,st_pct,90%,,,,,
player,201510110phi,nor,SanfJa99,pos,SS,,,,,
player,201510110phi,nor,SanfJa99,offense,0,,,,,
player,201510110phi,nor,SanfJa99,off_pct,0%,,,,,
player,201510110phi,nor,SanfJa99,defense,24,,,,,
player,201510110phi,nor,SanfJa99,def_pct,29%,,,,,
player,201510110phi,nor,SanfJa99,special_teams,27,,,,,
player,201510110phi,nor,SanfJa99,st_pct,90%,,,,,
player,201510110phi,nor,EullKa00,pos,DT,,,,,
player,201510110phi,nor,EullKa00,offense,0,,,,,
player,201510110phi,nor,EullKa00,off_pct,0%,,,,,
player,201510110phi,nor,EullKa00,defense,23,,,,,
player,201510110phi,nor,EullKa00,def_pct,27%,,,,,
player,201510110phi,nor,EullKa00,special_teams,0,,,,,
player,201510110phi,nor,EullKa00,st_pct,0%,,,,,
player,201510110phi,nor,SwanDa02,pos,CB,,,,,
player,201510110phi,nor,SwanDa02,offense,0,,,,,
player,201510110phi,nor,SwanDa02,off_pct,0%,,,,,
player,201510110phi,nor,SwanDa02,defense,15,,,,,
player,201510110phi,nor,SwanDa02,def_pct,18%,,,,,
player,201510110phi,nor,SwanDa02,special_teams,2,,,,,
player,201510110phi,nor,SwanDa02,st_pct,7%,,,,,
player,201510110phi,nor,HawtDa20,pos,LB,,,,,
player,201510110phi,nor,HawtDa20,offense,0,,,,,
player,201510110phi,nor,HawtDa20,off_pct,0%,,,,,
player,201510110phi,nor,HawtDa20,defense,11,,,,,
player,201510110phi,nor,HawtDa20,def_pct,13%,,,,,
player,201510110phi,nor,HawtDa20,special_teams,19,,,,,
player,201510110phi,nor,HawtDa20,st_pct,63%,,,,,
player,201510110phi,nor,HumbRa00,pos,LB,,,,,
player,201510110phi,nor,HumbRa00,offense,0,,,,,
player,201510110phi,nor,HumbRa00,off_pct,0%,,,,,
player,201510110phi,nor,HumbRa00,defense,4,,,,,
player,201510110phi,nor,HumbRa00,def_pct,5%,,,,,
player,201510110phi,nor,HumbRa00,special_teams,19,,,,,
player,201510110phi,nor,HumbRa00,st_pct,63%,,,,,
player,201510110phi,nor,DixoBr01,pos,CB,,,,,
player,201510110phi,nor,DixoBr01,offense,0,,,,,
player,201510110phi,nor,DixoBr01,off_pct,0%,,,,,
player,201510110phi,nor,DixoBr01,defense,1,,,,,
player,201510110phi,nor,DixoBr01,def_pct,1%,,,,,
player,201510110phi,nor,DixoBr01,special_teams,10,,,,,
player,201510110phi,nor,DixoBr01,st_pct,33%,,,,,
player,201510110phi,nor,MautMi00,pos,LB,,,,,
player,201510110phi,nor,MautMi00,offense,0,,,,,
player,201510110phi,nor,MautMi00,off_pct,0%,,,,,
player,201510110phi,nor,MautMi00,defense,0,,,,,
player,201510110phi,nor,MautMi00,def_pct,0%,,,,,
player,201510110phi,nor,MautMi00,special_teams,27,,,,,
player,201510110phi,nor,MautMi00,st_pct,90%,,,,,
player,201510110phi,nor,MurpMa03,pos,RB,,,,,
player,201510110phi,nor,MurpMa03,offense,0,,,,,
player,201510110phi,nor,MurpMa03,off_pct,0%,,,,,
player,201510110phi,nor,MurpMa03,defense,0,,,,,
player,201510110phi,nor,MurpMa03,def_pct,0%,,,,,
player,201510110phi,nor,MurpMa03,special_teams,10,,,,,
player,201510110phi,nor,MurpMa03,st_pct,33%,,,,,
player,201510110phi,nor,DresJu20,pos,LS,,,,,
player,201510110phi,nor,DresJu20,offense,0,,,,,
player,201510110phi,nor,DresJu20,off_pct,0%,,,,,
player,201510110phi,nor,DresJu20,defense,0,,,,,
player,201510110phi,nor,DresJu20,def_pct,0%,,,,,
player,201510110phi,nor,DresJu20,special_teams,9,,,,,
player,201510110phi,nor,DresJu20,st_pct,30%,,,,,
player,201510110phi,nor,JoneDo02,pos,SS,,,,,
player,201510110phi,nor,JoneDo02,offense,0,,,,,
player,201510110phi,nor,JoneDo02,off_pct,0%,,,,,
player,201510110phi,nor,JoneDo02,defense,0,,,,,
player,201510110phi,nor,JoneDo02,def_pct,0%,,,,,
player,201510110phi,nor,JoneDo02,special_teams,8,,,,,
player,201510110phi,nor,JoneDo02,st_pct,27%,,,,,
player,201510110phi,nor,HockZa00,pos,K,,,,,
player,201510110phi,nor,HockZa00,offense,0,,,,,
player,201510110phi,nor,HockZa00,off_pct,0%,,,,,
player,201510110phi,nor,HockZa00,defense,0,,,,,
player,201510110phi,nor,HockZa00,def_pct,0%,,,,,
player,201510110phi,nor,HockZa00,special_teams,6,,,,,
player,201510110phi,nor,HockZa00,st_pct,20%,,,,,
player,201510110phi,nor,FielBr20,pos,P,,,,,
player,201510110phi,nor,FielBr20,offense,0,,,,,
player,201510110phi,nor,FielBr20,off_pct,0%,,,,,
player,201510110phi,nor,FielBr20,defense,0,,,,,
player,201510110phi,nor,FielBr20,def_pct,0%,,,,,
player,201510110phi,nor,FielBr20,special_teams,6,,,,,
player,201510110phi,nor,FielBr20,st_pct,20%,,,,,
player,201510110phi,nor,McCoLu00,pos,QB,,,,,
player,201510110phi,nor,McCoLu00,offense,0,,,,,
player,201510110phi,nor,McCoLu00,off_pct,0%,,,,,
player,201510110phi,nor,McCoLu00,defense,0,,,,,
player,201510110phi,nor,McCoLu00,def_pct,0%,,,,,
player,201510110phi,nor,McCoLu00,special_teams,3,,,,,
player,201510110phi,nor,McCoLu00,st_pct,10%,,,,,
player,201510110phi,nor,HillTo21,pos,T,,,,,
player,201510110phi,nor,HillTo21,offense,0,,,,,
player,201510110phi,nor,HillTo21,off_pct,0%,,,,,
player,201510110phi,nor,HillTo21,defense,0,,,,,
player,201510110phi,nor,HillTo21,def_pct,0%,,,,,
player,201510110phi,nor,HillTo21,special_teams,1,,,,,
player,201510110phi,nor,HillTo21,st_pct,3%,,,,,
