game,2015,16,20151227,201512270sea,ram,"St. Louis Rams",23,sea,"Seattle Seahawks",17
team,201512270sea,ram,First Downs,14,,,,,,
team,201512270sea,sea,First Downs,18,,,,,,
team,201512270sea,ram,Rush-Yds-TDs,30-102-1,,,,,,
team,201512270sea,sea,Rush-Yds-TDs,22-59-0,,,,,,
team,201512270sea,ram,Cmp-Att-Yd-TD-INT,14-23-103-1-0,,,,,,
team,201512270sea,sea,Cmp-Att-Yd-TD-INT,25-41-289-2-1,,,,,,
team,201512270sea,ram,Sacked-Yards,0-0,,,,,,
team,201512270sea,sea,Sacked-Yards,4-36,,,,,,
team,201512270sea,ram,Net Pass Yards,103,,,,,,
team,201512270sea,sea,Net Pass Yards,253,,,,,,
team,201512270sea,ram,Total Yards,205,,,,,,
team,201512270sea,sea,Total Yards,312,,,,,,
team,201512270sea,ram,Fumbles-Lost,2-0,,,,,,
team,201512270sea,sea,Fumbles-Lost,5-2,,,,,,
team,201512270sea,ram,Turnovers,0,,,,,,
team,201512270sea,sea,Turnovers,3,,,,,,
team,201512270sea,ram,Penalties-Yards,5-60,,,,,,
team,201512270sea,sea,Penalties-Yards,10-83,,,,,,
team,201512270sea,ram,Third Down Conv.,5-12,,,,,,
team,201512270sea,sea,Third Down Conv.,8-17,,,,,,
team,201512270sea,ram,Fourth Down Conv.,0-0,,,,,,
team,201512270sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201512270sea,ram,Time of Possession,27:54,,,,,,
team,201512270sea,sea,Time of Possession,32:06,,,,,,
player,201512270sea,ram,KeenCa00,pass_cmp,14,,,,,
player,201512270sea,ram,KeenCa00,pass_att,23,,,,,
player,201512270sea,ram,KeenCa00,pass_yds,103,,,,,
player,201512270sea,ram,KeenCa00,pass_td,1,,,,,
player,201512270sea,ram,KeenCa00,pass_int,0,,,,,
player,201512270sea,ram,KeenCa00,pass_sacked,0,,,,,
player,201512270sea,ram,KeenCa00,pass_sacked_yds,0,,,,,
player,201512270sea,ram,KeenCa00,pass_long,28,,,,,
player,201512270sea,ram,KeenCa00,pass_rating,86.0,,,,,
player,201512270sea,ram,KeenCa00,rush_att,4,,,,,
