game,2015,8,20151101,201511010cle,crd,"Arizona Cardinals",34,cle,"Cleveland Browns",20
player,201511010cle,crd,JohnDa08,pass_long,0,,,,,
player,201511010cle,crd,JohnDa08,pass_rating,,,,,,
player,201511010cle,crd,JohnDa08,rush_att,1,,,,,
player,201511010cle,crd,JohnDa08,rush_yds,4,,,,,
player,201511010cle,crd,JohnDa08,rush_td,0,,,,,
player,201511010cle,crd,JohnDa08,rush_long,4,,,,,
player,201511010cle,crd,JohnDa08,targets,2,,,,,
player,201511010cle,crd,JohnDa08,rec,2,,,,,
player,201511010cle,crd,JohnDa08,rec_yds,44,,,,,
player,201511010cle,crd,JohnDa08,rec_td,0,,,,,
player,201511010cle,crd,JohnDa08,rec_long,34,,,,,
player,201511010cle,crd,JohnDa08,fumbles,1,,,,,
player,201511010cle,crd,JohnDa08,fumbles_lost,0,,,,,
player,201511010cle,crd,FloyMi00,pass_cmp,0,,,,,
player,201511010cle,crd,FloyMi00,pass_att,0,,,,,
player,201511010cle,crd,FloyMi00,pass_yds,0,,,,,
player,201511010cle,crd,FloyMi00,pass_td,0,,,,,
player,201511010cle,crd,FloyMi00,pass_int,0,,,,,
player,201511010cle,crd,FloyMi00,pass_sacked,0,,,,,
player,201511010cle,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201511010cle,crd,FloyMi00,pass_long,0,,,,,
player,201511010cle,crd,FloyMi00,pass_rating,,,,,,
player,201511010cle,crd,FloyMi00,rush_att,0,,,,,
player,201511010cle,crd,FloyMi00,rush_yds,0,,,,,
player,201511010cle,crd,FloyMi00,rush_td,0,,,,,
player,201511010cle,crd,FloyMi00,rush_long,0,,,,,
player,201511010cle,crd,FloyMi00,targets,8,,,,,
player,201511010cle,crd,FloyMi00,rec,4,,,,,
player,201511010cle,crd,FloyMi00,rec_yds,106,,,,,
player,201511010cle,crd,FloyMi00,rec_td,1,,,,,
player,201511010cle,crd,FloyMi00,rec_long,60,,,,,
player,201511010cle,crd,FloyMi00,fumbles,0,,,,,
player,201511010cle,crd,FloyMi00,fumbles_lost,0,,,,,
player,201511010cle,crd,FitzLa00,pass_cmp,0,,,,,
player,201511010cle,crd,FitzLa00,pass_att,0,,,,,
player,201511010cle,crd,FitzLa00,pass_yds,0,,,,,
player,201511010cle,crd,FitzLa00,pass_td,0,,,,,
player,201511010cle,crd,FitzLa00,pass_int,0,,,,,
player,201511010cle,crd,FitzLa00,pass_sacked,0,,,,,
player,201511010cle,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201511010cle,crd,FitzLa00,pass_long,0,,,,,
player,201511010cle,crd,FitzLa00,pass_rating,,,,,,
player,201511010cle,crd,FitzLa00,rush_att,0,,,,,
player,201511010cle,crd,FitzLa00,rush_yds,0,,,,,
player,201511010cle,crd,FitzLa00,rush_td,0,,,,,
player,201511010cle,crd,FitzLa00,rush_long,0,,,,,
player,201511010cle,crd,FitzLa00,targets,11,,,,,
player,201511010cle,crd,FitzLa00,rec,9,,,,,
player,201511010cle,crd,FitzLa00,rec_yds,84,,,,,
player,201511010cle,crd,FitzLa00,rec_td,1,,,,,
player,201511010cle,crd,FitzLa00,rec_long,16,,,,,
player,201511010cle,crd,FitzLa00,fumbles,1,,,,,
