game,2015,9,20151108,201511080nwe,was,"Washington Redskins",10,nwe,"New England Patriots",27
team,201511080nwe,was,First Downs,16,,,,,,
team,201511080nwe,nwe,First Downs,27,,,,,,
team,201511080nwe,was,Rush-Yds-TDs,15-37-0,,,,,,
team,201511080nwe,nwe,Rush-Yds-TDs,37-161-1,,,,,,
team,201511080nwe,was,Cmp-Att-Yd-TD-INT,22-40-217-1-1,,,,,,
team,201511080nwe,nwe,Cmp-Att-Yd-TD-INT,26-39-299-2-1,,,,,,
team,201511080nwe,was,Sacked-Yards,1-4,,,,,,
team,201511080nwe,nwe,Sacked-Yards,0-0,,,,,,
team,201511080nwe,was,Net Pass Yards,213,,,,,,
team,201511080nwe,nwe,Net Pass Yards,299,,,,,,
team,201511080nwe,was,Total Yards,250,,,,,,
team,201511080nwe,nwe,Total Yards,460,,,,,,
team,201511080nwe,was,Fumbles-Lost,2-1,,,,,,
team,201511080nwe,nwe,Fumbles-Lost,2-1,,,,,,
team,201511080nwe,was,Turnovers,2,,,,,,
team,201511080nwe,nwe,Turnovers,2,,,,,,
team,201511080nwe,was,Penalties-Yards,4-27,,,,,,
team,201511080nwe,nwe,Penalties-Yards,6-43,,,,,,
team,201511080nwe,was,Third Down Conv.,7-14,,,,,,
team,201511080nwe,nwe,Third Down Conv.,9-16,,,,,,
team,201511080nwe,was,Fourth Down Conv.,0-1,,,,,,
team,201511080nwe,nwe,Fourth Down Conv.,1-1,,,,,,
team,201511080nwe,was,Time of Possession,22:55,,,,,,
team,201511080nwe,nwe,Time of Possession,37:05,,,,,,
player,201511080nwe,was,CousKi00,pass_cmp,22,,,,,
player,201511080nwe,was,CousKi00,pass_att,40,,,,,
player,201511080nwe,was,CousKi00,pass_yds,217,,,,,
player,201511080nwe,was,CousKi00,pass_td,1,,,,,
player,201511080nwe,was,CousKi00,pass_int,1,,,,,
player,201511080nwe,was,CousKi00,pass_sacked,1,,,,,
player,201511080nwe,was,CousKi00,pass_sacked_yds,4,,,,,
player,201511080nwe,was,CousKi00,pass_long,36,,,,,
player,201511080nwe,was,CousKi00,pass_rating,68.4,,,,,
player,201511080nwe,was,CousKi00,rush_att,0,,,,,
player,201511080nwe,was,CousKi00,rush_yds,0,,,,,
player,201511080nwe,was,CousKi00,rush_td,0,,,,,
player,201511080nwe,was,CousKi00,rush_long,0,,,,,
player,201511080nwe,was,CousKi00,targets,0,,,,,
player,201511080nwe,was,CousKi00,rec,0,,,,,
player,201511080nwe,was,CousKi00,rec_yds,0,,,,,
player,201511080nwe,was,CousKi00,rec_td,0,,,,,
player,201511080nwe,was,CousKi00,rec_long,0,,,,,
player,201511080nwe,was,CousKi00,fumbles,0,,,,,
player,201511080nwe,was,CousKi00,fumbles_lost,0,,,,,
player,201511080nwe,was,JoneMa04,pass_cmp,0,,,,,
player,201511080nwe,was,JoneMa04,pass_att,0,,,,,
player,201511080nwe,was,JoneMa04,pass_yds,0,,,,,
player,201511080nwe,was,JoneMa04,pass_td,0,,,,,
player,201511080nwe,was,JoneMa04,pass_int,0,,,,,
player,201511080nwe,was,JoneMa04,pass_sacked,0,,,,,
player,201511080nwe,was,JoneMa04,pass_sacked_yds,0,,,,,
player,201511080nwe,was,JoneMa04,pass_long,0,,,,,
player,201511080nwe,was,JoneMa04,pass_rating,,,,,,
player,201511080nwe,was,JoneMa04,rush_att,11,,,,,
player,201511080nwe,was,JoneMa04,rush_yds,27,,,,,
player,201511080nwe,was,JoneMa04,rush_td,0,,,,,
player,201511080nwe,was,JoneMa04,rush_long,10,,,,,
player,201511080nwe,was,JoneMa04,targets,3,,,,,
player,201511080nwe,was,JoneMa04,rec,2,,,,,
player,201511080nwe,was,JoneMa04,rec_yds,17,,,,,
player,201511080nwe,was,JoneMa04,rec_td,0,,,,,
player,201511080nwe,was,JoneMa04,rec_long,12,,,,,
player,201511080nwe,was,JoneMa04,fumbles,1,,,,,
player,201511080nwe,was,JoneMa04,fumbles_lost,1,,,,,
player,201511080nwe,was,MorrAl00,pass_cmp,0,,,,,
player,201511080nwe,was,MorrAl00,pass_att,0,,,,,
player,201511080nwe,was,MorrAl00,pass_yds,0,,,,,
player,201511080nwe,was,MorrAl00,pass_td,0,,,,,
player,201511080nwe,was,MorrAl00,pass_int,0,,,,,
player,201511080nwe,was,MorrAl00,pass_sacked,0,,,,,
player,201511080nwe,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201511080nwe,was,MorrAl00,pass_long,0,,,,,
player,201511080nwe,was,MorrAl00,pass_rating,,,,,,
player,201511080nwe,was,MorrAl00,rush_att,4,,,,,
player,201511080nwe,was,MorrAl00,rush_yds,10,,,,,
player,201511080nwe,was,MorrAl00,rush_td,0,,,,,
player,201511080nwe,was,MorrAl00,rush_long,4,,,,,
player,201511080nwe,was,MorrAl00,targets,0,,,,,
player,201511080nwe,was,MorrAl00,rec,0,,,,,
player,201511080nwe,was,MorrAl00,rec_yds,0,,,,,
player,201511080nwe,was,MorrAl00,rec_td,0,,,,,
player,201511080nwe,was,MorrAl00,rec_long,0,,,,,
player,201511080nwe,was,MorrAl00,fumbles,0,,,,,
player,201511080nwe,was,MorrAl00,fumbles_lost,0,,,,,
player,201511080nwe,was,GarcPi00,pass_cmp,0,,,,,
player,201511080nwe,was,GarcPi00,pass_att,0,,,,,
player,201511080nwe,was,GarcPi00,pass_yds,0,,,,,
player,201511080nwe,was,GarcPi00,pass_td,0,,,,,
player,201511080nwe,was,GarcPi00,pass_int,0,,,,,
player,201511080nwe,was,GarcPi00,pass_sacked,0,,,,,
player,201511080nwe,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201511080nwe,was,GarcPi00,pass_long,0,,,,,
player,201511080nwe,was,GarcPi00,pass_rating,,,,,,
player,201511080nwe,was,GarcPi00,rush_att,0,,,,,
player,201511080nwe,was,GarcPi00,rush_yds,0,,,,,
player,201511080nwe,was,GarcPi00,rush_td,0,,,,,
player,201511080nwe,was,GarcPi00,rush_long,0,,,,,
player,201511080nwe,was,GarcPi00,targets,8,,,,,
player,201511080nwe,was,GarcPi00,rec,4,,,,,
player,201511080nwe,was,GarcPi00,rec_yds,70,,,,,
player,201511080nwe,was,GarcPi00,rec_td,0,,,,,
player,201511080nwe,was,GarcPi00,rec_long,36,,,,,
player,201511080nwe,was,GarcPi00,fumbles,0,,,,,
player,201511080nwe,was,GarcPi00,fumbles_lost,0,,,,,
player,201511080nwe,was,CrowJa00,pass_cmp,0,,,,,
player,201511080nwe,was,CrowJa00,pass_att,0,,,,,
player,201511080nwe,was,CrowJa00,pass_yds,0,,,,,
player,201511080nwe,was,CrowJa00,pass_td,0,,,,,
player,201511080nwe,was,CrowJa00,pass_int,0,,,,,
player,201511080nwe,was,CrowJa00,pass_sacked,0,,,,,
player,201511080nwe,was,CrowJa00,pass_sacked_yds,0,,,,,
player,201511080nwe,was,CrowJa00,pass_long,0,,,,,
player,201511080nwe,was,CrowJa00,pass_rating,,,,,,
player,201511080nwe,was,CrowJa00,rush_att,0,,,,,
player,201511080nwe,was,CrowJa00,rush_yds,0,,,,,
player,201511080nwe,was,CrowJa00,rush_td,0,,,,,
player,201511080nwe,was,CrowJa00,rush_long,0,,,,,
player,201511080nwe,was,CrowJa00,targets,8,,,,,
player,201511080nwe,was,CrowJa00,rec,6,,,,,
player,201511080nwe,was,CrowJa00,rec_yds,50,,,,,
player,201511080nwe,was,CrowJa00,rec_td,0,,,,,
player,201511080nwe,was,CrowJa00,rec_long,16,,,,,
player,201511080nwe,was,CrowJa00,fumbles,1,,,,,
player,201511080nwe,was,CrowJa00,fumbles_lost,0,,,,,
player,201511080nwe,was,RobeAn00,pass_cmp,0,,,,,
player,201511080nwe,was,RobeAn00,pass_att,0,,,,,
player,201511080nwe,was,RobeAn00,pass_yds,0,,,,,
player,201511080nwe,was,RobeAn00,pass_td,0,,,,,
player,201511080nwe,was,RobeAn00,pass_int,0,,,,,
player,201511080nwe,was,RobeAn00,pass_sacked,0,,,,,
player,201511080nwe,was,RobeAn00,pass_sacked_yds,0,,,,,
player,201511080nwe,was,RobeAn00,pass_long,0,,,,,
player,201511080nwe,was,RobeAn00,pass_rating,,,,,,
player,201511080nwe,was,RobeAn00,rush_att,0,,,,,
player,201511080nwe,was,RobeAn00,rush_yds,0,,,,,
player,201511080nwe,was,RobeAn00,rush_td,0,,,,,
player,201511080nwe,was,RobeAn00,rush_long,0,,,,,
player,201511080nwe,was,RobeAn00,targets,2,,,,,
player,201511080nwe,was,RobeAn00,rec,2,,,,,
player,201511080nwe,was,RobeAn00,rec_yds,26,,,,,
player,201511080nwe,was,RobeAn00,rec_td,0,,,,,
player,201511080nwe,was,RobeAn00,rec_long,18,,,,,
player,201511080nwe,was,RobeAn00,fumbles,0,,,,,
player,201511080nwe,was,RobeAn00,fumbles_lost,0,,,,,
player,201511080nwe,was,ThomCh03,pass_cmp,0,,,,,
player,201511080nwe,was,ThomCh03,pass_att,0,,,,,
player,201511080nwe,was,ThomCh03,pass_yds,0,,,,,
player,201511080nwe,was,ThomCh03,pass_td,0,,,,,
player,201511080nwe,was,ThomCh03,pass_int,0,,,,,
player,201511080nwe,was,ThomCh03,pass_sacked,0,,,,,
player,201511080nwe,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201511080nwe,was,ThomCh03,pass_long,0,,,,,
player,201511080nwe,was,ThomCh03,pass_rating,,,,,,
player,201511080nwe,was,ThomCh03,rush_att,0,,,,,
player,201511080nwe,was,ThomCh03,rush_yds,0,,,,,
player,201511080nwe,was,ThomCh03,rush_td,0,,,,,
player,201511080nwe,was,ThomCh03,rush_long,0,,,,,
player,201511080nwe,was,ThomCh03,targets,4,,,,,
player,201511080nwe,was,ThomCh03,rec,2,,,,,
player,201511080nwe,was,ThomCh03,rec_yds,21,,,,,
player,201511080nwe,was,ThomCh03,rec_td,0,,,,,
player,201511080nwe,was,ThomCh03,rec_long,13,,,,,
player,201511080nwe,was,ThomCh03,fumbles,0,,,,,
player,201511080nwe,was,ThomCh03,fumbles_lost,0,,,,,
player,201511080nwe,was,ReedJo02,pass_cmp,0,,,,,
player,201511080nwe,was,ReedJo02,pass_att,0,,,,,
player,201511080nwe,was,ReedJo02,pass_yds,0,,,,,
player,201511080nwe,was,ReedJo02,pass_td,0,,,,,
player,201511080nwe,was,ReedJo02,pass_int,0,,,,,
player,201511080nwe,was,ReedJo02,pass_sacked,0,,,,,
player,201511080nwe,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201511080nwe,was,ReedJo02,pass_long,0,,,,,
player,201511080nwe,was,ReedJo02,pass_rating,,,,,,
player,201511080nwe,was,ReedJo02,rush_att,0,,,,,
player,201511080nwe,was,ReedJo02,rush_yds,0,,,,,
player,201511080nwe,was,ReedJo02,rush_td,0,,,,,
player,201511080nwe,was,ReedJo02,rush_long,0,,,,,
player,201511080nwe,was,ReedJo02,targets,7,,,,,
player,201511080nwe,was,ReedJo02,rec,3,,,,,
player,201511080nwe,was,ReedJo02,rec_yds,18,,,,,
player,201511080nwe,was,ReedJo02,rec_td,1,,,,,
player,201511080nwe,was,ReedJo02,rec_long,9,,,,,
player,201511080nwe,was,ReedJo02,fumbles,0,,,,,
player,201511080nwe,was,ReedJo02,fumbles_lost,0,,,,,
player,201511080nwe,was,JackDe00,pass_cmp,0,,,,,
player,201511080nwe,was,JackDe00,pass_att,0,,,,,
player,201511080nwe,was,JackDe00,pass_yds,0,,,,,
player,201511080nwe,was,JackDe00,pass_td,0,,,,,
player,201511080nwe,was,JackDe00,pass_int,0,,,,,
player,201511080nwe,was,JackDe00,pass_sacked,0,,,,,
player,201511080nwe,was,JackDe00,pass_sacked_yds,0,,,,,
player,201511080nwe,was,JackDe00,pass_long,0,,,,,
player,201511080nwe,was,JackDe00,pass_rating,,,,,,
player,201511080nwe,was,JackDe00,rush_att,0,,,,,
player,201511080nwe,was,JackDe00,rush_yds,0,,,,,
player,201511080nwe,was,JackDe00,rush_td,0,,,,,
player,201511080nwe,was,JackDe00,rush_long,0,,,,,
player,201511080nwe,was,JackDe00,targets,6,,,,,
player,201511080nwe,was,JackDe00,rec,3,,,,,
player,201511080nwe,was,JackDe00,rec_yds,15,,,,,
player,201511080nwe,was,JackDe00,rec_td,0,,,,,
player,201511080nwe,was,JackDe00,rec_long,9,,,,,
player,201511080nwe,was,JackDe00,fumbles,0,,,,,
player,201511080nwe,was,JackDe00,fumbles_lost,0,,,,,
player,201511080nwe,was,CarrDe00,pass_cmp,0,,,,,
player,201511080nwe,was,CarrDe00,pass_att,0,,,,,
player,201511080nwe,was,CarrDe00,pass_yds,0,,,,,
player,201511080nwe,was,CarrDe00,pass_td,0,,,,,
player,201511080nwe,was,CarrDe00,pass_int,0,,,,,
player,201511080nwe,was,CarrDe00,pass_sacked,0,,,,,
player,201511080nwe,was,CarrDe00,pass_sacked_yds,0,,,,,
player,201511080nwe,was,CarrDe00,pass_long,0,,,,,
player,201511080nwe,was,CarrDe00,pass_rating,,,,,,
player,201511080nwe,was,CarrDe00,rush_att,0,,,,,
player,201511080nwe,was,CarrDe00,rush_yds,0,,,,,
player,201511080nwe,was,CarrDe00,rush_td,0,,,,,
player,201511080nwe,was,CarrDe00,rush_long,0,,,,,
player,201511080nwe,was,CarrDe00,targets,2,,,,,
player,201511080nwe,was,CarrDe00,rec,0,,,,,
player,201511080nwe,was,CarrDe00,rec_yds,0,,,,,
player,201511080nwe,was,CarrDe00,rec_td,0,,,,,
player,201511080nwe,was,CarrDe00,rec_long,0,,,,,
player,201511080nwe,was,CarrDe00,fumbles,0,,,,,
player,201511080nwe,was,CarrDe00,fumbles_lost,0,,,,,
player,201511080nwe,nwe,BradTo00,pass_cmp,26,,,,,
player,201511080nwe,nwe,BradTo00,pass_att,39,,,,,
player,201511080nwe,nwe,BradTo00,pass_yds,299,,,,,
player,201511080nwe,nwe,BradTo00,pass_td,2,,,,,
player,201511080nwe,nwe,BradTo00,pass_int,1,,,,,
player,201511080nwe,nwe,BradTo00,pass_sacked,0,,,,,
player,201511080nwe,nwe,BradTo00,pass_sacked_yds,0,,,,,
player,201511080nwe,nwe,BradTo00,pass_long,48,,,,,
player,201511080nwe,nwe,BradTo00,pass_rating,96.0,,,,,
player,201511080nwe,nwe,BradTo00,rush_att,1,,,,,
player,201511080nwe,nwe,BradTo00,rush_yds,-1,,,,,
player,201511080nwe,nwe,BradTo00,rush_td,0,,,,,
player,201511080nwe,nwe,BradTo00,rush_long,-1,,,,,
