game,2015,13,20151206,201512060ram,crd,"Arizona Cardinals",27,ram,"St. Louis Rams",3
team,201512060ram,crd,First Downs,29,,,,,,
team,201512060ram,ram,First Downs,9,,,,,,
team,201512060ram,crd,Rush-Yds-TDs,36-175-1,,,,,,
team,201512060ram,ram,Rush-Yds-TDs,15-66-0,,,,,,
team,201512060ram,crd,Cmp-Att-Yd-TD-INT,27-41-362-2-0,,,,,,
team,201512060ram,ram,Cmp-Att-Yd-TD-INT,15-35-146-0-1,,,,,,
team,201512060ram,crd,Sacked-Yards,2-13,,,,,,
team,201512060ram,ram,Sacked-Yards,0-0,,,,,,
team,201512060ram,crd,Net Pass Yards,349,,,,,,
team,201512060ram,ram,Net Pass Yards,146,,,,,,
team,201512060ram,crd,Total Yards,524,,,,,,
team,201512060ram,ram,Total Yards,212,,,,,,
team,201512060ram,crd,Fumbles-Lost,1-0,,,,,,
team,201512060ram,ram,Fumbles-Lost,1-0,,,,,,
team,201512060ram,crd,Turnovers,0,,,,,,
team,201512060ram,ram,Turnovers,1,,,,,,
team,201512060ram,crd,Penalties-Yards,3-25,,,,,,
team,201512060ram,ram,Penalties-Yards,7-104,,,,,,
team,201512060ram,crd,Third Down Conv.,7-16,,,,,,
team,201512060ram,ram,Third Down Conv.,1-12,,,,,,
team,201512060ram,crd,Fourth Down Conv.,0-1,,,,,,
team,201512060ram,ram,Fourth Down Conv.,1-2,,,,,,
team,201512060ram,crd,Time of Possession,39:47,,,,,,
team,201512060ram,ram,Time of Possession,20:13,,,,,,
player,201512060ram,crd,PalmCa00,pass_cmp,26,,,,,
player,201512060ram,crd,PalmCa00,pass_att,40,,,,,
player,201512060ram,crd,PalmCa00,pass_yds,356,,,,,
player,201512060ram,crd,PalmCa00,pass_td,2,,,,,
player,201512060ram,crd,PalmCa00,pass_int,0,,,,,
player,201512060ram,crd,PalmCa00,pass_sacked,2,,,,,
player,201512060ram,crd,PalmCa00,pass_sacked_yds,13,,,,,
player,201512060ram,crd,PalmCa00,pass_long,68,,,,,
player,201512060ram,crd,PalmCa00,pass_rating,110.0,,,,,
player,201512060ram,crd,PalmCa00,rush_att,0,,,,,
player,201512060ram,crd,PalmCa00,rush_yds,0,,,,,
player,201512060ram,crd,PalmCa00,rush_td,0,,,,,
player,201512060ram,crd,PalmCa00,rush_long,0,,,,,
player,201512060ram,crd,PalmCa00,targets,0,,,,,
player,201512060ram,crd,PalmCa00,rec,0,,,,,
player,201512060ram,crd,PalmCa00,rec_yds,0,,,,,
player,201512060ram,crd,PalmCa00,rec_td,0,,,,,
player,201512060ram,crd,PalmCa00,rec_long,0,,,,,
player,201512060ram,crd,PalmCa00,fumbles,0,,,,,
player,201512060ram,crd,PalmCa00,fumbles_lost,0,,,,,
player,201512060ram,crd,StanDr00,pass_cmp,1,,,,,
player,201512060ram,crd,StanDr00,pass_att,1,,,,,
player,201512060ram,crd,StanDr00,pass_yds,6,,,,,
player,201512060ram,crd,StanDr00,pass_td,0,,,,,
player,201512060ram,crd,StanDr00,pass_int,0,,,,,
player,201512060ram,crd,StanDr00,pass_sacked,0,,,,,
player,201512060ram,crd,StanDr00,pass_sacked_yds,0,,,,,
player,201512060ram,crd,StanDr00,pass_long,6,,,,,
player,201512060ram,crd,StanDr00,pass_rating,91.7,,,,,
player,201512060ram,crd,StanDr00,rush_att,3,,,,,
player,201512060ram,crd,StanDr00,rush_yds,-3,,,,,
player,201512060ram,crd,StanDr00,rush_td,0,,,,,
player,201512060ram,crd,StanDr00,rush_long,-1,,,,,
player,201512060ram,crd,StanDr00,targets,0,,,,,
player,201512060ram,crd,StanDr00,rec,0,,,,,
player,201512060ram,crd,StanDr00,rec_yds,0,,,,,
player,201512060ram,crd,StanDr00,rec_td,0,,,,,
player,201512060ram,crd,StanDr00,rec_long,0,,,,,
player,201512060ram,crd,StanDr00,fumbles,0,,,,,
player,201512060ram,crd,StanDr00,fumbles_lost,0,,,,,
player,201512060ram,crd,JohnDa08,pass_cmp,0,,,,,
player,201512060ram,crd,JohnDa08,pass_att,0,,,,,
player,201512060ram,crd,JohnDa08,pass_yds,0,,,,,
player,201512060ram,crd,JohnDa08,pass_td,0,,,,,
player,201512060ram,crd,JohnDa08,pass_int,0,,,,,
player,201512060ram,crd,JohnDa08,pass_sacked,0,,,,,
player,201512060ram,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201512060ram,crd,JohnDa08,pass_long,0,,,,,
player,201512060ram,crd,JohnDa08,pass_rating,,,,,,
player,201512060ram,crd,JohnDa08,rush_att,22,,,,,
player,201512060ram,crd,JohnDa08,rush_yds,99,,,,,
player,201512060ram,crd,JohnDa08,rush_td,0,,,,,
player,201512060ram,crd,JohnDa08,rush_long,23,,,,,
player,201512060ram,crd,JohnDa08,targets,3,,,,,
player,201512060ram,crd,JohnDa08,rec,2,,,,,
player,201512060ram,crd,JohnDa08,rec_yds,21,,,,,
player,201512060ram,crd,JohnDa08,rec_td,1,,,,,
player,201512060ram,crd,JohnDa08,rec_long,11,,,,,
player,201512060ram,crd,JohnDa08,fumbles,1,,,,,
player,201512060ram,crd,JohnDa08,fumbles_lost,0,,,,,
player,201512060ram,crd,WillKe05,pass_cmp,0,,,,,
player,201512060ram,crd,WillKe05,pass_att,0,,,,,
player,201512060ram,crd,WillKe05,pass_yds,0,,,,,
player,201512060ram,crd,WillKe05,pass_td,0,,,,,
player,201512060ram,crd,WillKe05,pass_int,0,,,,,
player,201512060ram,crd,WillKe05,pass_sacked,0,,,,,
player,201512060ram,crd,WillKe05,pass_sacked_yds,0,,,,,
player,201512060ram,crd,WillKe05,pass_long,0,,,,,
player,201512060ram,crd,WillKe05,pass_rating,,,,,,
player,201512060ram,crd,WillKe05,rush_att,6,,,,,
player,201512060ram,crd,WillKe05,rush_yds,59,,,,,
player,201512060ram,crd,WillKe05,rush_td,1,,,,,
player,201512060ram,crd,WillKe05,rush_long,35,,,,,
player,201512060ram,crd,WillKe05,targets,0,,,,,
player,201512060ram,crd,WillKe05,rec,0,,,,,
player,201512060ram,crd,WillKe05,rec_yds,0,,,,,
player,201512060ram,crd,WillKe05,rec_td,0,,,,,
player,201512060ram,crd,WillKe05,rec_long,0,,,,,
player,201512060ram,crd,WillKe05,fumbles,0,,,,,
player,201512060ram,crd,WillKe05,fumbles_lost,0,,,,,
player,201512060ram,crd,TaylSt00,pass_cmp,0,,,,,
player,201512060ram,crd,TaylSt00,pass_att,0,,,,,
