game,2015,7,20151025,201510250kan,pit,"Pittsburgh Steelers",13,kan,"Kansas City Chiefs",23
team,201510250kan,pit,First Downs,18,,,,,,
team,201510250kan,kan,First Downs,18,,,,,,
team,201510250kan,pit,Rush-Yds-TDs,24-147-0,,,,,,
team,201510250kan,kan,Rush-Yds-TDs,29-138-1,,,,,,
team,201510250kan,pit,Cmp-Att-Yd-TD-INT,16-29-209-1-2,,,,,,
team,201510250kan,kan,Cmp-Att-Yd-TD-INT,21-32-251-1-0,,,,,,
team,201510250kan,pit,Sacked-Yards,2-17,,,,,,
team,201510250kan,kan,Sacked-Yards,2-12,,,,,,
team,201510250kan,pit,Net Pass Yards,192,,,,,,
team,201510250kan,kan,Net Pass Yards,239,,,,,,
team,201510250kan,pit,Total Yards,339,,,,,,
team,201510250kan,kan,Total Yards,377,,,,,,
team,201510250kan,pit,Fumbles-Lost,1-1,,,,,,
team,201510250kan,kan,Fumbles-Lost,0-0,,,,,,
team,201510250kan,pit,Turnovers,3,,,,,,
team,201510250kan,kan,Turnovers,0,,,,,,
team,201510250kan,pit,Penalties-Yards,1-5,,,,,,
team,201510250kan,kan,Penalties-Yards,6-66,,,,,,
team,201510250kan,pit,Third Down Conv.,2-10,,,,,,
team,201510250kan,kan,Third Down Conv.,9-16,,,,,,
team,201510250kan,pit,Fourth Down Conv.,1-2,,,,,,
team,201510250kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201510250kan,pit,Time of Possession,27:34,,,,,,
team,201510250kan,kan,Time of Possession,32:26,,,,,,
player,201510250kan,pit,JoneLa02,pass_cmp,16,,,,,
player,201510250kan,pit,JoneLa02,pass_att,29,,,,,
player,201510250kan,pit,JoneLa02,pass_yds,209,,,,,
player,201510250kan,pit,JoneLa02,pass_td,1,,,,,
player,201510250kan,pit,JoneLa02,pass_int,2,,,,,
player,201510250kan,pit,JoneLa02,pass_sacked,2,,,,,
player,201510250kan,pit,JoneLa02,pass_sacked_yds,17,,,,,
player,201510250kan,pit,JoneLa02,pass_long,41,,,,,
player,201510250kan,pit,JoneLa02,pass_rating,60.8,,,,,
player,201510250kan,pit,JoneLa02,rush_att,1,,,,,
player,201510250kan,pit,JoneLa02,rush_yds,-2,,,,,
player,201510250kan,pit,JoneLa02,rush_td,0,,,,,
player,201510250kan,pit,JoneLa02,rush_long,-2,,,,,
player,201510250kan,pit,JoneLa02,targets,0,,,,,
player,201510250kan,pit,JoneLa02,rec,0,,,,,
player,201510250kan,pit,JoneLa02,rec_yds,0,,,,,
player,201510250kan,pit,JoneLa02,rec_td,0,,,,,
player,201510250kan,pit,JoneLa02,rec_long,0,,,,,
player,201510250kan,pit,JoneLa02,fumbles,1,,,,,
player,201510250kan,pit,JoneLa02,fumbles_lost,1,,,,,
player,201510250kan,pit,BellLe00,pass_cmp,0,,,,,
player,201510250kan,pit,BellLe00,pass_att,0,,,,,
player,201510250kan,pit,BellLe00,pass_yds,0,,,,,
player,201510250kan,pit,BellLe00,pass_td,0,,,,,
player,201510250kan,pit,BellLe00,pass_int,0,,,,,
player,201510250kan,pit,BellLe00,pass_sacked,0,,,,,
player,201510250kan,pit,BellLe00,pass_sacked_yds,0,,,,,
player,201510250kan,pit,BellLe00,pass_long,0,,,,,
player,201510250kan,pit,BellLe00,pass_rating,,,,,,
player,201510250kan,pit,BellLe00,rush_att,17,,,,,
player,201510250kan,pit,BellLe00,rush_yds,121,,,,,
player,201510250kan,pit,BellLe00,rush_td,0,,,,,
player,201510250kan,pit,BellLe00,rush_long,42,,,,,
player,201510250kan,pit,BellLe00,targets,4,,,,,
player,201510250kan,pit,BellLe00,rec,4,,,,,
player,201510250kan,pit,BellLe00,rec_yds,16,,,,,
player,201510250kan,pit,BellLe00,rec_td,0,,,,,
player,201510250kan,pit,BellLe00,rec_long,7,,,,,
player,201510250kan,pit,BellLe00,fumbles,0,,,,,
player,201510250kan,pit,BellLe00,fumbles_lost,0,,,,,
player,201510250kan,pit,BryaMa00,pass_cmp,0,,,,,
