game,2015,12,20151129,201511290sfo,crd,"Arizona Cardinals",19,sfo,"San Francisco 49ers",13
team,201511290sfo,crd,First Downs,26,,,,,,
team,201511290sfo,sfo,First Downs,17,,,,,,
team,201511290sfo,crd,Rush-Yds-TDs,29-70-2,,,,,,
team,201511290sfo,sfo,Rush-Yds-TDs,17-67-0,,,,,,
team,201511290sfo,crd,Cmp-Att-Yd-TD-INT,24-40-271-0-0,,,,,,
team,201511290sfo,sfo,Cmp-Att-Yd-TD-INT,25-36-318-1-1,,,,,,
team,201511290sfo,crd,Sacked-Yards,1-4,,,,,,
team,201511290sfo,sfo,Sacked-Yards,2-17,,,,,,
team,201511290sfo,crd,Net Pass Yards,267,,,,,,
team,201511290sfo,sfo,Net Pass Yards,301,,,,,,
team,201511290sfo,crd,Total Yards,337,,,,,,
team,201511290sfo,sfo,Total Yards,368,,,,,,
team,201511290sfo,crd,Fumbles-Lost,0-0,,,,,,
team,201511290sfo,sfo,Fumbles-Lost,2-1,,,,,,
team,201511290sfo,crd,Turnovers,0,,,,,,
team,201511290sfo,sfo,Turnovers,2,,,,,,
team,201511290sfo,crd,Penalties-Yards,7-47,,,,,,
team,201511290sfo,sfo,Penalties-Yards,13-81,,,,,,
team,201511290sfo,crd,Third Down Conv.,7-14,,,,,,
team,201511290sfo,sfo,Third Down Conv.,0-9,,,,,,
team,201511290sfo,crd,Fourth Down Conv.,0-1,,,,,,
team,201511290sfo,sfo,Fourth Down Conv.,1-2,,,,,,
team,201511290sfo,crd,Time of Possession,37:27,,,,,,
team,201511290sfo,sfo,Time of Possession,22:33,,,,,,
player,201511290sfo,crd,PalmCa00,pass_cmp,24,,,,,
player,201511290sfo,crd,PalmCa00,pass_att,40,,,,,
player,201511290sfo,crd,PalmCa00,pass_yds,271,,,,,
player,201511290sfo,crd,PalmCa00,pass_td,0,,,,,
player,201511290sfo,crd,PalmCa00,pass_int,0,,,,,
player,201511290sfo,crd,PalmCa00,pass_sacked,1,,,,,
player,201511290sfo,crd,PalmCa00,pass_sacked_yds,4,,,,,
player,201511290sfo,crd,PalmCa00,pass_long,48,,,,,
player,201511290sfo,crd,PalmCa00,pass_rating,80.3,,,,,
player,201511290sfo,crd,PalmCa00,rush_att,3,,,,,
player,201511290sfo,crd,PalmCa00,rush_yds,6,,,,,
player,201511290sfo,crd,PalmCa00,rush_td,1,,,,,
player,201511290sfo,crd,PalmCa00,rush_long,8,,,,,
player,201511290sfo,crd,PalmCa00,targets,0,,,,,
player,201511290sfo,crd,PalmCa00,rec,0,,,,,
player,201511290sfo,crd,PalmCa00,rec_yds,0,,,,,
