game,2015,9,20151108,201511080sfo,atl,"Atlanta Falcons",16,sfo,"San Francisco 49ers",17
team,201511080sfo,atl,First Downs,17,,,,,,
team,201511080sfo,sfo,First Downs,18,,,,,,
team,201511080sfo,atl,Rush-Yds-TDs,14-17-0,,,,,,
team,201511080sfo,sfo,Rush-Yds-TDs,38-133-0,,,,,,
team,201511080sfo,atl,Cmp-Att-Yd-TD-INT,30-45-303-1-0,,,,,,
team,201511080sfo,sfo,Cmp-Att-Yd-TD-INT,15-26-185-2-2,,,,,,
team,201511080sfo,atl,Sacked-Yards,2-18,,,,,,
team,201511080sfo,sfo,Sacked-Yards,0-0,,,,,,
team,201511080sfo,atl,Net Pass Yards,285,,,,,,
team,201511080sfo,sfo,Net Pass Yards,185,,,,,,
team,201511080sfo,atl,Total Yards,302,,,,,,
team,201511080sfo,sfo,Total Yards,318,,,,,,
team,201511080sfo,atl,Fumbles-Lost,1-0,,,,,,
team,201511080sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201511080sfo,atl,Turnovers,0,,,,,,
team,201511080sfo,sfo,Turnovers,2,,,,,,
team,201511080sfo,atl,Penalties-Yards,6-63,,,,,,
team,201511080sfo,sfo,Penalties-Yards,5-30,,,,,,
team,201511080sfo,atl,Third Down Conv.,5-15,,,,,,
team,201511080sfo,sfo,Third Down Conv.,6-15,,,,,,
team,201511080sfo,atl,Fourth Down Conv.,0-0,,,,,,
team,201511080sfo,sfo,Fourth Down Conv.,2-2,,,,,,
team,201511080sfo,atl,Time of Possession,32:08,,,,,,
team,201511080sfo,sfo,Time of Possession,27:52,,,,,,
player,201511080sfo,atl,RyanMa00,pass_cmp,30,,,,,
player,201511080sfo,atl,RyanMa00,pass_att,45,,,,,
player,201511080sfo,atl,RyanMa00,pass_yds,303,,,,,
player,201511080sfo,atl,RyanMa00,pass_td,1,,,,,
player,201511080sfo,atl,RyanMa00,pass_int,0,,,,,
player,201511080sfo,atl,RyanMa00,pass_sacked,2,,,,,
player,201511080sfo,atl,RyanMa00,pass_sacked_yds,18,,,,,
player,201511080sfo,atl,RyanMa00,pass_long,54,,,,,
player,201511080sfo,atl,RyanMa00,pass_rating,93.1,,,,,
player,201511080sfo,atl,RyanMa00,rush_att,1,,,,,
player,201511080sfo,atl,RyanMa00,rush_yds,2,,,,,
player,201511080sfo,atl,RyanMa00,rush_td,0,,,,,
player,201511080sfo,atl,RyanMa00,rush_long,2,,,,,
player,201511080sfo,atl,RyanMa00,targets,0,,,,,
player,201511080sfo,atl,RyanMa00,rec,0,,,,,
player,201511080sfo,atl,RyanMa00,rec_yds,0,,,,,
player,201511080sfo,atl,RyanMa00,rec_td,0,,,,,
player,201511080sfo,atl,RyanMa00,rec_long,0,,,,,
player,201511080sfo,atl,RyanMa00,fumbles,0,,,,,
player,201511080sfo,atl,RyanMa00,fumbles_lost,0,,,,,
player,201511080sfo,atl,FreeDe00,pass_cmp,0,,,,,
player,201511080sfo,atl,FreeDe00,pass_att,0,,,,,
player,201511080sfo,atl,FreeDe00,pass_yds,0,,,,,
player,201511080sfo,atl,FreeDe00,pass_td,0,,,,,
player,201511080sfo,atl,FreeDe00,pass_int,0,,,,,
player,201511080sfo,atl,FreeDe00,pass_sacked,0,,,,,
player,201511080sfo,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201511080sfo,atl,FreeDe00,pass_long,0,,,,,
player,201511080sfo,atl,FreeDe00,pass_rating,,,,,,
player,201511080sfo,atl,FreeDe00,rush_att,12,,,,,
player,201511080sfo,atl,FreeDe00,rush_yds,12,,,,,
player,201511080sfo,atl,FreeDe00,rush_td,0,,,,,
player,201511080sfo,atl,FreeDe00,rush_long,7,,,,,
player,201511080sfo,atl,FreeDe00,targets,10,,,,,
player,201511080sfo,atl,FreeDe00,rec,8,,,,,
player,201511080sfo,atl,FreeDe00,rec_yds,67,,,,,
player,201511080sfo,atl,FreeDe00,rec_td,1,,,,,
player,201511080sfo,atl,FreeDe00,rec_long,17,,,,,
player,201511080sfo,atl,FreeDe00,fumbles,0,,,,,
player,201511080sfo,atl,FreeDe00,fumbles_lost,0,,,,,
player,201511080sfo,atl,ColeTe01,pass_cmp,0,,,,,
player,201511080sfo,atl,ColeTe01,pass_att,0,,,,,
player,201511080sfo,atl,ColeTe01,pass_yds,0,,,,,
player,201511080sfo,atl,ColeTe01,pass_td,0,,,,,
player,201511080sfo,atl,ColeTe01,pass_int,0,,,,,
player,201511080sfo,atl,ColeTe01,pass_sacked,0,,,,,
player,201511080sfo,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201511080sfo,atl,ColeTe01,pass_long,0,,,,,
player,201511080sfo,atl,ColeTe01,pass_rating,,,,,,
player,201511080sfo,atl,ColeTe01,rush_att,1,,,,,
player,201511080sfo,atl,ColeTe01,rush_yds,3,,,,,
player,201511080sfo,atl,ColeTe01,rush_td,0,,,,,
player,201511080sfo,atl,ColeTe01,rush_long,3,,,,,
player,201511080sfo,atl,ColeTe01,targets,0,,,,,
player,201511080sfo,atl,ColeTe01,rec,0,,,,,
player,201511080sfo,atl,ColeTe01,rec_yds,0,,,,,
player,201511080sfo,atl,ColeTe01,rec_td,0,,,,,
player,201511080sfo,atl,ColeTe01,rec_long,0,,,,,
player,201511080sfo,atl,ColeTe01,fumbles,0,,,,,
player,201511080sfo,atl,ColeTe01,fumbles_lost,0,,,,,
player,201511080sfo,atl,JoneJu02,pass_cmp,0,,,,,
player,201511080sfo,atl,JoneJu02,pass_att,0,,,,,
player,201511080sfo,atl,JoneJu02,pass_yds,0,,,,,
player,201511080sfo,atl,JoneJu02,pass_td,0,,,,,
player,201511080sfo,atl,JoneJu02,pass_int,0,,,,,
player,201511080sfo,atl,JoneJu02,pass_sacked,0,,,,,
player,201511080sfo,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201511080sfo,atl,JoneJu02,pass_long,0,,,,,
player,201511080sfo,atl,JoneJu02,pass_rating,,,,,,
player,201511080sfo,atl,JoneJu02,rush_att,0,,,,,
